element_type,osmid,geometry,nodes,building,name,architect,roof:colour,start_date,tourism,historic,layer,building:levels,amenity,healthcare,air_conditioning,cuisine,delivery,microbrewery,opening_hours,wheelchair,ways,type
way,237316228,"POLYGON ((118.7865941 32.0590774, 118.7868283 32.0590656, 118.7867959 32.0586032, 118.7865617 32.058615, 118.7865941 32.0590774))","[2452364556, 2452364557, 2452364558, 2452364559, 2452364556]",yes,体育馆,,,,,,,2,,,,,,,,,,
way,237316229,"POLYGON ((118.7845113 32.0569948, 118.784759 32.0569821, 118.7847609 32.0570087, 118.7847685 32.0571152, 118.784669 32.0571203, 118.7846801 32.0572753, 118.7846925 32.0574486, 118.7845443 32.0574562, 118.7845113 32.0569948))","[2452364564, 2452364565, 2452364569, 2452364566, 2452364567, 1999599511, 1999599510, 2452364568, 2452364564]",yes,,,,,,,,,,,,,,,,,,
way,237316230,"POLYGON ((118.7847609 32.0570087, 118.7847918 32.0569837, 118.7848964 32.0569746, 118.7849366 32.056995, 118.784942 32.057136, 118.7849094 32.0571696, 118.7848442 32.057173, 118.7848122 32.057176, 118.7847757 32.057161, 118.7847685 32.0571152, 118.7847609 32.0570087))","[2452364569, 2452364570, 2452364571, 2452364572, 2452364573, 2452364574, 1999599514, 2452364575, 2452364576, 2452364566, 2452364569]",yes,,,,,,,,,,,,,,,,,,
way,237316231,"POLYGON ((118.7840872 32.0575377, 118.7840802 32.0574031, 118.7844769 32.0573883, 118.7844839 32.057523, 118.7840872 32.0575377))","[2452364577, 2452364578, 2452364579, 2452364580, 2452364577]",yes,继续教育学院,,,,,,,,,,,,,,,,,
way,237316232,"POLYGON ((118.7841028 32.0572642, 118.7840965 32.0571549, 118.7844238 32.0571413, 118.7844302 32.0572506, 118.7841028 32.0572642))","[2452364581, 2452364582, 2452364583, 2452364584, 2452364581]",yes,集成电路学院,,,,,,,,,,,,,,,,,
way,237316233,"POLYGON ((118.7834023 32.0575739, 118.7839747 32.0575526, 118.7839642 32.0573482, 118.7833917 32.0573694, 118.7834023 32.0575739))","[2452364585, 2452364586, 2452364587, 2452364588, 2452364585]",yes,香园餐厅,,,,,,,,restaurant,,,,,,,,,
way,237316234,"POLYGON ((118.7828085 32.0574583, 118.7828125 32.0571463, 118.7831181 32.0571371, 118.7831313 32.0574586, 118.7828085 32.0574583))","[2452364589, 2452364590, 2452364591, 2452364592, 2452364589]",residential,群英楼,,,,,,,,,,,,,,,,,
way,237316235,"POLYGON ((118.7832745 32.0572589, 118.7834616 32.057243, 118.7834317 32.0569117, 118.7832334 32.0569307, 118.7832745 32.0572589))","[2452364595, 2452364596, 2452364597, 2452364598, 2452364595]",apartments,荟萃楼,,,,,,,,,,,,,,,,,
way,237316237,"POLYGON ((118.7870456 32.0592101, 118.7870403 32.0591042, 118.7875594 32.0590855, 118.7875629 32.0591551, 118.7873563 32.0591625, 118.7873582 32.0591988, 118.7870456 32.0592101))","[2452364604, 2452364605, 2452364606, 2452364609, 2452364608, 2452364607, 2452364604]",yes,工艺实习场,,,,,,,,,,,,,,,,,
way,237318477,"POLYGON ((118.790722 32.0546404, 118.7913005 32.0545373, 118.7913374 32.054686, 118.7907589 32.0547891, 118.790722 32.0546404))","[2452391782, 2452391783, 2452391784, 2452391785, 2452391782]",yes,成园2舍,,,,,,,,,,,,,,,,,
way,237318478,"POLYGON ((118.7905564 32.0541811, 118.7910418 32.0541081, 118.7910624 32.0541957, 118.7911949 32.0541752, 118.7912276 32.0543342, 118.791059 32.0543605, 118.79104 32.0542715, 118.7906252 32.0543299, 118.7906166 32.0542715, 118.7905753 32.0542759, 118.7905564 32.0541811))","[2452391786, 2452391787, 2452391788, 2452391789, 2452391790, 2452391791, 2452391792, 2452391793, 2452391794, 2452391795, 2452391786]",yes,成园1舍,,,,,,,,,,,,,,,,,
way,237318479,"POLYGON ((118.7907589 32.0547891, 118.7907027 32.0547996, 118.7906338 32.0547383, 118.7905753 32.0542759, 118.7906166 32.0542715, 118.7906252 32.0543299, 118.7906424 32.0544714, 118.7907251 32.0544597, 118.7907388 32.054537, 118.7906958 32.0545458, 118.7907589 32.0547891))","[2452391785, 2452391796, 2452391797, 2452391795, 2452391794, 2452391793, 2452391798, 2452391799, 2452391800, 2452391801, 2452391785]",yes,,,,,,,,,,,,,,,,,,
way,237318480,"POLYGON ((118.7905463 32.0539184, 118.7910673 32.053837, 118.7911129 32.0540405, 118.7910192 32.0540588, 118.7910072 32.054012, 118.7905847 32.0540791, 118.7905463 32.0539184))","[2452391802, 2452391803, 2452391804, 2452391805, 2452391806, 2452391807, 2452391802]",yes,东南大学校医院,,,,,,,,hospital,hospital,,,,,,,,
way,237445907,"POLYGON ((118.7898164 32.0580593, 118.7898047 32.0578679, 118.7899353 32.0578621, 118.7899379 32.057905, 118.7903699 32.0578862, 118.790367 32.0578391, 118.7904873 32.0578338, 118.7904992 32.0580295, 118.7898164 32.0580593))","[2453408199, 2453408200, 2453408201, 2453408202, 2453408203, 2453408204, 2453408205, 2453408206, 2453408199]",yes,电子管厂,,,,,,,,,,,,,,,,,
way,237445909,"POLYGON ((118.7905794 32.0575588, 118.790574 32.0574156, 118.7907645 32.057402, 118.7907672 32.0574452, 118.7908074 32.0574452, 118.7908154 32.0576725, 118.7906813 32.0576816, 118.7906786 32.0575543, 118.7905794 32.0575588))","[2453408207, 2453408208, 2453408209, 2453408210, 2453408211, 2453408212, 2453408213, 2453408214, 2453408207]",yes,微波楼,,,,,,,,,,,,,,,,,
