u,v,key,osmid,highway,oneway,reversed,length,geometry,bridge
4553246036,4553246044,0,459480096,service,False,True,139.92399999999998,"LINESTRING (121.4094709 31.2064481, 121.4101759 31.2065199, 121.4102541 31.2060467, 121.4102825 31.2058752)",
4553246039,5535959413,0,459480095,service,False,True,68.702,"LINESTRING (121.4091504 31.2039028, 121.4098663 31.2039852)",
4553246039,8959211570,0,968395975,service,False,False,50.455,"LINESTRING (121.4091504 31.2039028, 121.40909 31.2043536)",
4553246043,4553246045,0,459480094,service,False,False,41.688,"LINESTRING (121.4095326 31.2057851, 121.4095996 31.2054146)",
4553246043,4553246044,0,459480097,service,False,False,72.021,"LINESTRING (121.4095326 31.2057851, 121.4102825 31.2058752)",
4553246043,4553246036,0,459480094,service,False,True,73.965,"LINESTRING (121.4095326 31.2057851, 121.4095114 31.2059556, 121.4094709 31.2064481)",
4553246044,4553246043,0,459480097,service,False,True,72.021,"LINESTRING (121.4102825 31.2058752, 121.4095326 31.2057851)",
4553246044,4553246036,0,459480096,service,False,False,139.92399999999998,"LINESTRING (121.4102825 31.2058752, 121.4102541 31.2060467, 121.4101759 31.2065199, 121.4094709 31.2064481)",
4553246044,4553246052,0,459480096,service,False,True,45.824,"LINESTRING (121.4102825 31.2058752, 121.4103154 31.2056763, 121.4103527 31.2054675)",
4553246045,4553246048,0,459480094,service,False,False,40.635,"LINESTRING (121.4095996 31.2054146, 121.4096546 31.2050522)",
4553246045,4553246043,0,459480094,service,False,True,41.688,"LINESTRING (121.4095996 31.2054146, 121.4095326 31.2057851)",
4553246045,4553246049,0,459480098,service,False,False,129.838,"LINESTRING (121.4095996 31.2054146, 121.4084879 31.2052816, 121.4085227 31.2050762)",
4553246048,4171203490,0,459480094,service,False,False,40.388,"LINESTRING (121.4096546 31.2050522, 121.409727 31.2046943)",
4553246048,4553246045,0,459480094,service,False,True,40.635,"LINESTRING (121.4096546 31.2050522, 121.4095996 31.2054146)",
4553246048,4553246049,0,459480098,service,False,True,124.185,"LINESTRING (121.4096546 31.2050522, 121.4085536 31.2049134, 121.4085482 31.2049466, 121.4085227 31.2050762)",
4553246049,8959211575,0,459480099,service,False,False,19.414,"LINESTRING (121.4085227 31.2050762, 121.4083211 31.2050488)",
4553246049,4553246048,0,459480098,service,False,False,124.185,"LINESTRING (121.4085227 31.2050762, 121.4085482 31.2049466, 121.4085536 31.2049134, 121.4096546 31.2050522)",
4553246049,4553246045,0,459480098,service,False,True,129.838,"LINESTRING (121.4085227 31.2050762, 121.4084879 31.2052816, 121.4095996 31.2054146)",
4553246051,4553246056,0,419827353,service,False,False,37.619,"LINESTRING (121.4110389 31.2055739, 121.4110889 31.2052383)",
4553246051,4198271795,0,419827353,service,False,True,151.584,"LINESTRING (121.4110389 31.2055739, 121.4108375 31.2069262)",
4553246051,4553246052,0,459480100,service,False,False,66.326,"LINESTRING (121.4110389 31.2055739, 121.4103527 31.2054675)",
4553246052,4553246051,0,459480100,service,False,True,66.326,"LINESTRING (121.4103527 31.2054675, 121.4110389 31.2055739)",
4553246052,4553246044,0,459480096,service,False,False,45.824,"LINESTRING (121.4103527 31.2054675, 121.4103154 31.2056763, 121.4102825 31.2058752)",
4553246052,8959211595,0,"[459480096, 968395985, 968395984]",service,False,True,73.533,"LINESTRING (121.4103527 31.2054675, 121.4103572 31.2054396, 121.4103899 31.2052187, 121.410468 31.2048137)",
4553246055,8959211585,0,459480102,service,False,False,32.999,"LINESTRING (121.4122408 31.2053743, 121.4118971 31.2053337)",
4553246055,8959211587,0,968395981,service,False,False,41.544,"LINESTRING (121.4122408 31.2053743, 121.4126734 31.2054261)",
4553246055,4198271795,0,"[459480101, 459480102]",service,False,True,304.644,"LINESTRING (121.4122408 31.2053743, 121.4121066 31.2062097, 121.4120545 31.2064718, 121.4119215 31.2071411, 121.4108375 31.2069262)",
4553246056,4553246051,0,419827353,service,False,True,37.619,"LINESTRING (121.4110889 31.2052383, 121.4110389 31.2055739)",
