u,v,key,osmid,highway,oneway,reversed,length,tunnel,name,geometry,lanes,bridge,maxspeed
2864434519,2864434522,0,282494441,residential,False,False,25.743000000000002,,,"LINESTRING (114.3957887 30.524755, 114.3960184 30.5247532, 114.3960489 30.5247322)",,,
2864434520,2864434529,0,282494439,residential,False,False,12.245,,,"LINESTRING (114.3947274 30.524767, 114.3947301 30.5246569)",,,
2864434520,2864434526,0,282494441,residential,False,False,63.894,,,"LINESTRING (114.3947274 30.524767, 114.3953944 30.5247595)",,,
2864434520,2864434507,0,282494439,residential,False,True,86.365,,,"LINESTRING (114.3947274 30.524767, 114.3947151 30.5252644, 114.3947398 30.5253924, 114.3947363 30.5255418)",,,
2864434522,2864434505,0,282494434,residential,False,False,34.812,,,"LINESTRING (114.3960489 30.5247322, 114.3961548 30.5248215, 114.3961524 30.5250069)",,,
2864434522,2864434519,0,282494441,residential,False,True,25.743000000000002,,,"LINESTRING (114.3960489 30.5247322, 114.3960184 30.5247532, 114.3957887 30.524755)",,,
2864434526,2864434519,0,282494441,residential,False,False,37.771,,,"LINESTRING (114.3953944 30.5247595, 114.3957887 30.524755)",,,
2864434526,2864434520,0,282494441,residential,False,True,63.894,,,"LINESTRING (114.3953944 30.5247595, 114.3947274 30.524767)",,,
2864434526,2864434528,0,282494442,residential,False,False,12.577,,,"LINESTRING (114.3953944 30.5247595, 114.3953931 30.5246464)",,,
2864434527,2864434510,0,282494440,residential,False,True,64.053,,,"LINESTRING (114.3953906 30.5244157, 114.3947393 30.5242851)",,,
2864434527,2864434528,0,282494442,residential,False,True,25.654,,,"LINESTRING (114.3953906 30.5244157, 114.3953931 30.5246464)",,,
2864434527,2864434519,0,282494440,residential,False,False,56.391,,,"LINESTRING (114.3953906 30.5244157, 114.3954147 30.5244205, 114.3954939 30.5244538, 114.3956179 30.5245203, 114.395687 30.5245729, 114.395746 30.5246429, 114.3957744 30.5247077, 114.3957887 30.524755)",,,
2864434528,2864434527,0,282494442,residential,False,False,25.654,,,"LINESTRING (114.3953931 30.5246464, 114.3953906 30.5244157)",,,
2864434528,2864434526,0,282494442,residential,False,True,12.577,,,"LINESTRING (114.3953931 30.5246464, 114.3953944 30.5247595)",,,
2864434528,2864434529,0,282494443,residential,False,False,63.516,,,"LINESTRING (114.3953931 30.5246464, 114.3947301 30.5246569)",,,
2864434529,2864434510,0,282494439,residential,False,False,41.352,,,"LINESTRING (114.3947301 30.5246569, 114.3947393 30.5242851)",,,
2864434529,2864434520,0,282494439,residential,False,True,12.245,,,"LINESTRING (114.3947301 30.5246569, 114.3947274 30.524767)",,,
2864434529,2864434528,0,282494443,residential,False,True,63.516,,,"LINESTRING (114.3947301 30.5246569, 114.3953931 30.5246464)",,,
2864441873,4807859898,0,282489699,residential,False,True,5.808,,,"LINESTRING (114.3960797 30.5228705, 114.3960191 30.5228722)",,,
2864441873,4208946477,0,488293576,secondary,True,False,217.44299999999998,,鲁磨路,"LINESTRING (114.3960797 30.5228705, 114.3959317 30.5220113, 114.395732 30.5209381)",2,,
2864441874,4807102330,0,282495544,residential,False,True,17.383,,,"LINESTRING (114.3991793 30.5228609, 114.399176 30.5230172)",,,
2864441874,2864443003,0,282495556,residential,False,False,29.935,,,"LINESTRING (114.3991793 30.5228609, 114.3991669 30.5225919)",,,
2864441874,4807102327,0,282495556,residential,False,True,72.176,,,"LINESTRING (114.3991793 30.5228609, 114.3999328 30.5228578)",,,
2864441874,2864441887,0,488499348,residential,False,True,63.009,,,"LINESTRING (114.3991793 30.5228609, 114.3985215 30.5228577)",,,
2864441876,2864441887,0,488499348,residential,False,False,69.438,,,"LINESTRING (114.3977966 30.5228525, 114.3985215 30.5228577)",,,
2864441876,2864441881,0,488499348,residential,False,True,9.273,,,"LINESTRING (114.3977966 30.5228525, 114.3976998 30.5228537)",,,
2864441876,6502960021,0,282495543,residential,False,True,90.566,,,"LINESTRING (114.3977966 30.5228525, 114.3979281 30.5231641, 114.3979408 30.5236469)",,,
2864441877,6502960014,0,282495544,residential,False,False,21.628,,,"LINESTRING (114.3987787 30.5252726, 114.3987772 30.5250781)",,,
2864441881,4807101996,0,282495545,residential,False,False,7.65,,,"LINESTRING (114.3976998 30.5228537, 114.3977003 30.5227849)",,,
2864441881,2864441876,0,488499348,residential,False,False,9.273,,,"LINESTRING (114.3976998 30.5228537, 114.3977966 30.5228525)",,,
2864441881,4807265689,0,282495542,residential,True,False,146.31400000000002,,,"LINESTRING (114.3976998 30.5228537, 114.3962396 30.5228688, 114.3961724 30.5228695)",,,
2864441883,4807859900,0,282495546,residential,True,False,4.868,,,"LINESTRING (114.3957959 30.5209356, 114.3958467 30.5209343)",,,
2864441883,4208946477,0,421056769,residential,False,True,6.127,,,"LINESTRING (114.3957959 30.5209356, 114.395732 30.5209381)",,,
2864441883,4807859897,0,488421056,secondary,True,False,217.581,,鲁磨路,"LINESTRING (114.3957959 30.5209356, 114.396139 30.5228699)",,,
2864441887,2864441874,0,488499348,residential,False,False,63.009,,,"LINESTRING (114.3985215 30.5228577, 114.3991793 30.5228609)",,,
2864441887,2864441876,0,488499348,residential,False,True,69.438,,,"LINESTRING (114.3985215 30.5228577, 114.3977966 30.5228525)",,,
2864441887,2864443002,0,282495549,residential,False,False,81.35,,,"LINESTRING (114.3985215 30.5228577, 114.3985217 30.5223629, 114.3985217 30.5221261)",,,
2864441887,6502960023,0,282495549,residential,False,True,53.897999999999996,,,"LINESTRING (114.3985215 30.5228577, 114.3985916 30.5229335, 114.398602 30.5233212)",,,
2864441888,6502960012,0,282495549,residential,False,True,40.575,,,"LINESTRING (114.3985218 30.5209113, 114.3985236 30.5212762)",,,
2864441888,6502917035,0,282495550,residential,False,False,55.163,,,"LINESTRING (114.3985218 30.5209113, 114.3985329 30.5204153)",,,
2864441888,4807859899,0,488499349,residential,False,True,77.527,,,"LINESTRING (114.3985218 30.5209113, 114.3977127 30.5209289)",,,
2864441888,6502932639,0,692664262,path,False,True,17.902,,,"LINESTRING (114.3985218 30.5209113, 114.398391 30.5210263)",,,
2864441888,2877837871,0,"[282495547, 488499349]",residential,False,False,135.456,,红军桥,"LINESTRING (114.3985218 30.5209113, 114.3985874 30.5209107, 114.3999359 30.5209062)",,yes,30
2864441889,2864441890,0,282495550,residential,False,False,78.663,,,"LINESTRING (114.3985394 30.5201235, 114.3977182 30.5201278)",,,
2864441889,6502917035,0,282495550,residential,False,True,32.453,,,"LINESTRING (114.3985394 30.5201235, 114.3985329 30.5204153)",,,
2864441889,2877837881,0,488293577,residential,False,False,74.946,,,"LINESTRING (114.3985394 30.5201235, 114.3985405 30.5194495)",,,
2864441890,2864441889,0,282495550,residential,False,True,78.663,,,"LINESTRING (114.3977182 30.5201278, 114.3985394 30.5201235)",,,
2864441890,2864441893,0,488499350,residential,False,False,122.317,,,"LINESTRING (114.3977182 30.5201278, 114.3977257 30.5190278)",,,
2864441890,4807859899,0,488499350,residential,False,True,89.08,,,"LINESTRING (114.3977182 30.5201278, 114.3977127 30.5209289)",,,
2864441890,4807859874,0,"[778752445, 282495550]",residential,False,"[False, True]",167.619,,,"LINESTRING (114.3977182 30.5201278, 114.3966065 30.5201368, 114.3966011 30.5195871)",,,
2864441892,2864441893,0,282495552,residential,False,True,108.244,,,"LINESTRING (114.3965957 30.5190324, 114.3977257 30.5190278)",,,
2864441892,4807859874,0,778752445,residential,False,False,61.682,,,"LINESTRING (114.3965957 30.5190324, 114.3966011 30.5195871)",,,
2864441892,4807859875,0,778752445,residential,False,True,50.038,,,"LINESTRING (114.3965957 30.5190324, 114.396595 30.5185824)",,,
