element_type,osmid,amenity,geometry,access,operator,parking,nodes,building,building:levels,name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,height,name:tr,operator:type,ref,roof:levels,source,fee,surface,wheelchair,capacity,capacity:disabled
way,966075401,parking,"POLYGON ((-71.1008344 42.359473, -71.100161 42.3590821, -71.1001341 42.3591054, -71.1001071 42.3590886, -71.099967 42.359157, -71.1000306 42.3591972, -71.1000085 42.3592187, -71.0999732 42.3592529, -71.0999449 42.3592786, -71.0999136 42.3592589, -71.0998764 42.3592905, -71.0997857 42.3593703, -71.1000935 42.3595475, -71.1001183 42.3595226, -71.1002621 42.3596038, -71.1002352 42.3596281, -71.1003429 42.3596899, -71.1008344 42.359473))",private,MIT,surface,"[8937373972, 8937373973, 11435056227, 11435056226, 11435056225, 11435056224, 11435056237, 11435056228, 11435056223, 11435056222, 11435056231, 8937373974, 11435056232, 11435056235, 11435056234, 11435056233, 8937373975, 8937373972]",,,,,,,,,,,,,,,,university,,,,,,,,
way,980718782,parking,"POLYGON ((-71.0971455 42.3563677, -71.0971965 42.3563519, -71.097126 42.3562357, -71.0969455 42.3562954, -71.0970276 42.3564329, -71.0971576 42.3563877, -71.0971455 42.3563677))",permit,,surface,"[9072007502, 11647020018, 9072007503, 9072007504, 9072007505, 11647020019, 9072007502]",,,,,,,,,,,,,,,,,,,,,,,12,
way,980722693,parking,"POLYGON ((-71.0867784 42.3597139, -71.0867455 42.3596587, -71.0867091 42.3595972, -71.0866714 42.3595336, -71.0866562 42.3595389, -71.0865832 42.3595633, -71.0865543 42.3595847, -71.0866492 42.3597402, -71.0866853 42.3597295, -71.0866953 42.3597315, -71.0867034 42.3597369, -71.0867088 42.3597482, -71.0867603 42.3597322, -71.0867549 42.3597208, -71.0867655 42.3597178, -71.0867784 42.3597139))",permit,,surface,"[9072127299, 11669438582, 9719452739, 9072127300, 9719452738, 9072127301, 9072127302, 9072127303, 9072127304, 9072127305, 9072127306, 9072127307, 9072127308, 9072127309, 11669438581, 9072127299]",,,,,,,,,,,,,,,,,,,,,,,6,
way,1001884048,parking,"POLYGON ((-71.0968835 42.36036, -71.0968021 42.3602518, -71.0967711 42.3602632, -71.096731 42.3602617, -71.0966392 42.3603036, -71.0966001 42.3603028, -71.0965692 42.3603059, -71.09653 42.3603135, -71.0964991 42.3603257, -71.0964692 42.3603371, -71.0964445 42.3603539, -71.0964403 42.3603653, -71.0964414 42.3603843, -71.0964445 42.3603942, -71.0963156 42.360446, -71.0964156 42.3605716, -71.096463 42.3605502, -71.0968835 42.36036))",permit,Massachusetts Institute of Technology,surface,"[9247084066, 9247084067, 9247084068, 9247084069, 9247084070, 9247084071, 9247084072, 9247084073, 9247084074, 9247084075, 9247084076, 9247084077, 9247084078, 9247084079, 9247084080, 9247084081, 9634189812, 9247084066]",,,,,,,,,,,,,,,,university,,,,,,,,
way,1007079323,parking,"POLYGON ((-71.0941132 42.3577615, -71.0940312 42.3576282, -71.0938906 42.3576754, -71.0939726 42.3578087, -71.0941132 42.3577615))",private,,surface,"[9290820362, 9290820363, 9290820364, 9290820365, 9290820362]",,,,,,,,,,,,,,,,,,,,,,,,
way,1007111505,parking,"POLYGON ((-71.0990965 42.3599839, -71.0986946 42.3597407, -71.0985692 42.3598015, -71.0990007 42.3600636, -71.0990965 42.3599839))",private,,surface,"[9291062367, 9291062368, 9291062369, 9291062370, 9291062367]",,,,,,,,,,,,,,,,,,,,,,,,
way,1018329122,parking,"POLYGON ((-71.0997348 42.3578921, -71.099897 42.3580769, -71.1001264 42.3579682, -71.1001221 42.3579628, -71.1001407 42.3579519, -71.1001633 42.3579368, -71.1001714 42.3579201, -71.1001698 42.3578908, -71.1000338 42.3577372, -71.0999724 42.3577668, -71.0999897 42.3577864, -71.0998576 42.3578503, -71.0998467 42.357838, -71.0997348 42.3578921))",private,,surface,"[9392592188, 9392592189, 9392592190, 9392592191, 9392592200, 9392592192, 9392592193, 9392592194, 9392592195, 9392592196, 9392592197, 9392592198, 9392592199, 9392592188]",,,,,,,,,,,,,,,,,,,,,,,,
way,1037473739,parking,"POLYGON ((-71.1002286 42.3585518, -71.1003533 42.3584443, -71.1002984 42.3584095, -71.1004131 42.3583106, -71.1002589 42.3582129, -71.1001825 42.3582787, -71.1002161 42.3583, -71.100053 42.3584406, -71.1002286 42.3585518))",private,,surface,"[9557165041, 9557165040, 9557165039, 9557165038, 9557165037, 9557165036, 9557165035, 9557165034, 9557165041]",,,,,,,,,,,,,,,,,,,,,,,,
way,1037473740,parking,"POLYGON ((-71.1021276 42.358975, -71.1018685 42.3591024, -71.1018437 42.3591146, -71.1014101 42.3593278, -71.1017601 42.359528, -71.1017974 42.3594924, -71.1018887 42.3595446, -71.102257 42.359193, -71.1025327 42.3593506, -71.1024778 42.359403, -71.1026597 42.359507, -71.1027305 42.3594394, -71.1027907 42.359382, -71.1025415 42.3592395, -71.1025646 42.3592175, -71.1021276 42.358975))",private,,surface,"[9557165054, 9675594644, 9675594645, 9557165053, 9557165052, 9557165051, 9557165050, 9557165049, 9557165048, 9557165047, 9557165046, 9557165045, 9557165044, 9557165043, 9557165042, 9557165054]",,,,,,,,,,,,,,,,,,,,,,,,3
way,1037473741,parking,"POLYGON ((-71.1013672 42.3582555, -71.101221 42.3582982, -71.1009716 42.3581376, -71.1010091 42.3579999, -71.101618 42.3576976, -71.101736 42.3578264, -71.1013064 42.3580413, -71.1014601 42.358209, -71.1013672 42.3582555))",private,,surface,"[9557165062, 9557165061, 9557165060, 9557165059, 9557165058, 9557165057, 9557165056, 9557165055, 9557165062]",,,,,,,,,,,,,,,,,,,,,,,,
way,1037473742,parking,"POLYGON ((-71.1007161 42.3573086, -71.1001018 42.3576119, -71.1001169 42.3576286, -71.1007312 42.3573253, -71.1007161 42.3573086))",yes,,street_side,"[9557165066, 9557165065, 9557165064, 9557165063, 9557165066]",,,,,,,,,,,,,,,,,,,,yes,,,,
way,1037473743,parking,"POLYGON ((-71.1012606 42.3570406, -71.1008877 42.3572224, -71.1009063 42.3572432, -71.1012767 42.3570625, -71.1012606 42.3570406))",yes,,street_side,"[9557165070, 9557165069, 9557165068, 9557165067, 9557165070]",,,,,,,,,,,,,,,,,,,,yes,,,,
way,1037473744,parking,"POLYGON ((-71.1020015 42.3566759, -71.1013216 42.3570118, -71.1013363 42.357028, -71.1020162 42.3566921, -71.1020015 42.3566759))",yes,,street_side,"[9557165074, 9557165073, 9557165072, 9557165071, 9557165074]",,,,,,,,,,,,,,,,,,,,yes,,,,
way,1037473745,parking,"POLYGON ((-71.1023026 42.356552, -71.1021698 42.3566164, -71.1021553 42.3566001, -71.1022881 42.3565357, -71.1023026 42.356552))",private,,street_side,"[9557165078, 9557165077, 9557165076, 9557165075, 9557165078]",,,,,,,,,,,,,,,,,,,,,,,,
way,1037473748,parking,"POLYGON ((-71.1042606 42.3553811, -71.1039401 42.3547681, -71.1040211 42.3547449, -71.1039074 42.3545274, -71.1038791 42.3544733, -71.1037981 42.3544965, -71.1037293 42.354365, -71.1038044 42.3543435, -71.1039675 42.3542969, -71.1039967 42.3543528, -71.1040175 42.3543469, -71.1040825 42.3543283, -71.1042136 42.3542909, -71.1044187 42.3546831, -71.1042238 42.3547387, -71.1045047 42.3552949, -71.1044505 42.3553119, -71.1044503 42.3553258, -71.1043084 42.3553675, -71.1042606 42.3553811))",private,Massachusetts Institute of Technology,surface,"[9557165098, 9557165097, 9557165096, 9632179142, 9557165095, 9557165094, 9557165093, 9632179146, 9557165092, 9557165091, 9632179186, 9632179180, 9557165090, 9557165089, 9557165088, 9557165087, 11361740694, 11361740695, 11361740690, 9557165098]",,,,,,,,,,,,,,,,university,,,,,,,,
way,1037473749,parking,"POLYGON ((-71.1042523 42.3554392, -71.104205 42.3553842, -71.1038254 42.3555699, -71.1038657 42.3556412, -71.1042523 42.3554392))",private,,surface,"[9557165102, 9557165101, 9557165100, 9557165099, 9557165102]",,,,,,,,,,,,,,,,,,,,,,,,
way,1047497894,parking,"POLYGON ((-71.0973643 42.3593718, -71.0972787 42.3592329, -71.0972339 42.3592501, -71.0972067 42.3592587, -71.0971726 42.3592595, -71.097161 42.3592516, -71.0971181 42.3592717, -71.0971045 42.359271, -71.097089 42.3592695, -71.0970354 42.3592933, -71.0970199 42.3592947, -71.0970072 42.3592925, -71.0969878 42.3592882, -71.0969488 42.3592523, -71.0969105 42.3592712, -71.0968583 42.3592969, -71.0969274 42.3593688, -71.0969226 42.3593954, -71.0969128 42.3594191, -71.0969041 42.3594392, -71.0969021 42.3594543, -71.0969972 42.3595538, -71.0973643 42.3593718))",private,Massachusetts Institute of Technology,surface,"[9632096400, 9632096401, 9632096402, 9632096403, 9632096404, 9632096405, 9632096406, 9632096407, 9632096408, 9632096409, 9632096410, 9632096411, 9632096412, 9632096413, 9661124343, 9632096414, 9632096415, 9632096416, 9632096417, 9632096418, 9632096419, 9632096420, 9632096400]",,,,,,,,,,,,,,,,university,,,,,,,,
way,1047497915,parking,"POLYGON ((-71.0860441 42.3611922, -71.0860503 42.3611485, -71.0861263 42.3611544, -71.0861357 42.3610885, -71.0861851 42.360741, -71.0861088 42.3607351, -71.0860631 42.3606598, -71.0858913 42.3607167, -71.0858772 42.3606933, -71.0857666 42.3607298, -71.0858089 42.3607995, -71.0857898 42.3608058, -71.0857643 42.3607638, -71.0856871 42.3607893, -71.085719 42.360842, -71.0856478 42.3608365, -71.0856076 42.3611181, -71.0858009 42.3611331, -71.0857952 42.3611728, -71.0860441 42.3611922))",permit,,surface,"[9632096565, 9632096566, 9632096567, 9719388959, 9632096568, 9632096569, 9632096570, 9632096571, 9632096572, 9632096573, 9632096574, 9632096575, 9632096576, 9632096577, 9632096578, 9632096579, 9632096580, 9632096581, 9632096582, 9632096565]",,,,,,,,,,,,,,,,,,,,,,,,
way,1052438049,parking,"POLYGON ((-71.0877655 42.3624319, -71.0878227 42.3620044, -71.0876773 42.3619938, -71.0876726 42.3620292, -71.0876202 42.3620253, -71.0876251 42.3619883, -71.0874931 42.3619787, -71.0874887 42.3620118, -71.0874586 42.3620096, -71.0874056 42.3624056, -71.0877655 42.3624319))",private,MIT,surface,"[9672086211, 9672086212, 9672086213, 9672086214, 9672086215, 9672086216, 9672086217, 9672086218, 9672086219, 9672086220, 9672086211]",,,Ford Lot,,,,,,,,,,,,,university,,,,,,,,
way,1052439785,parking,"POLYGON ((-71.0991949 42.3557139, -71.0991133 42.3555792, -71.0990438 42.3556022, -71.0991254 42.3557369, -71.0991949 42.3557139))",private,,surface,"[9672059294, 9672059295, 9672059296, 9672059297, 9672059294]",,,,,,,,,,,,,,,,,,,,yes,,,,
way,1052526823,parking,"POLYGON ((-71.1050912 42.3550176, -71.1050824 42.3549579, -71.1050627 42.3548786, -71.1049304 42.3548818, -71.1049571 42.3550023, -71.1050265 42.3550102, -71.1050912 42.3550176))",private,,surface,"[9663203297, 9663203296, 9663203295, 9672880749, 9672880750, 9663203298, 9663203297]",,,,,,,,,,,,,,,,,,,,,,,,
way,1110799053,parking,"POLYGON ((-71.0973844 42.3621693, -71.0973915 42.3621144, -71.0971044 42.3620942, -71.0971204 42.3619699, -71.096959 42.3619585, -71.0969359 42.3621379, -71.0973844 42.3621693))",private,,surface,"[10162539115, 10162539116, 10162539117, 10162539118, 10162539119, 10162539120, 10162539115]",,,,,,,,,,,,,,,,,,,,,,,,
way,1247011207,parking,"POLYGON ((-71.0971071 42.3589416, -71.0970717 42.3588769, -71.0968352 42.3589531, -71.0968456 42.3589677, -71.0967727 42.3589908, -71.0967612 42.3589762, -71.0966581 42.3590139, -71.0967321 42.3591302, -71.0971071 42.3589416))",private,,surface,"[11592982012, 11592982013, 11592982014, 11592982015, 11592982016, 11592982017, 11592982018, 11592982019, 11592982012]",,,,,,,,,,,,,,,,,,,,,,,,
