u,v,key,osmid,lanes,highway,maxspeed,oneway,reversed,length,name,geometry,bridge,service
3034716200,3034716195,0,299485203,,service,,False,False,27.463,,"LINESTRING (121.4231795 31.1449419, 121.423182 31.1448806, 121.4232428 31.1447024)",,
3034716206,3034560110,0,299470383,,service,,False,True,51.807,,"LINESTRING (121.4221049 31.1449389, 121.4219381 31.1444954)",,
3034716206,3034560093,0,299470383,,service,,False,False,104.256,,"LINESTRING (121.4221049 31.1449389, 121.4221324 31.1450119, 121.4230871 31.145283)",,
3034716206,5175769085,0,"[533508882, 299485205, 299485206, 299485207]",,"['service', 'footway']",,False,True,173.212,,"LINESTRING (121.4221049 31.1449389, 121.4219946 31.1449116, 121.4218906 31.1449329, 121.4218114 31.1449464, 121.42161 31.145453, 121.4207566 31.1452299)",yes,
3034716218,3034716227,0,299485213,,unclassified,,False,False,41.108,勤奋路,"LINESTRING (121.4198754 31.1448438, 121.4197441 31.145196)",,
3034716218,5081377536,0,299485211,,service,,False,True,112.09500000000001,,"LINESTRING (121.4198754 31.1448438, 121.4190973 31.1446444, 121.4190062 31.1445099, 121.4189279 31.1443674)",,
3034716218,5081255539,0,299485213,,unclassified,,False,True,86.543,勤奋路,"LINESTRING (121.4198754 31.1448438, 121.4200284 31.1444639, 121.4204376 31.144602)",,
3034716220,3034716221,0,299485213,,unclassified,,False,False,96.605,勤奋路,"LINESTRING (121.4192365 31.1465576, 121.4189419 31.147389)",,
3034716220,6679484105,0,299485213,,unclassified,,False,True,67.52,勤奋路,"LINESTRING (121.4192365 31.1465576, 121.4194439 31.1459769)",,
3034716220,3034560096,0,710426491,,service,,False,False,91.107,,"LINESTRING (121.4192365 31.1465576, 121.4201503 31.1468019)",,
3034716220,3034560107,0,710430007,,service,,False,True,30.359,,"LINESTRING (121.4192365 31.1465576, 121.418932 31.1464762)",,
3034716221,3034716220,0,299485213,,unclassified,,False,True,96.605,勤奋路,"LINESTRING (121.4189419 31.147389, 121.4192365 31.1465576)",,
3034716221,5084971952,0,521507384,,service,,False,True,68.975,,"LINESTRING (121.4189419 31.147389, 121.4187174 31.1479788)",,
3034716221,3034560104,0,521520086,2,residential,20,False,False,76.272,,"LINESTRING (121.4189419 31.147389, 121.4181802 31.1471756)",,
3034716221,5081269281,0,521520086,2,residential,20,False,True,76.049,,"LINESTRING (121.4189419 31.147389, 121.4197014 31.1476017)",,
3034716222,6679484105,0,299485213,,unclassified,,False,False,46.687,勤奋路,"LINESTRING (121.4196012 31.1455792, 121.4194439 31.1459769)",,
3034716222,3034716227,0,299485213,,unclassified,,False,True,44.728,勤奋路,"LINESTRING (121.4196012 31.1455792, 121.4197441 31.145196)",,
3034716222,3034716227,1,299485214,,footway,,False,False,164.765,,"LINESTRING (121.4196012 31.1455792, 121.4190182 31.1454323, 121.4189956 31.1453955, 121.4191154 31.1450587, 121.4191629 31.1450374, 121.4197441 31.145196)",,
3034716227,3034716222,0,299485213,,unclassified,,False,False,44.728,勤奋路,"LINESTRING (121.4197441 31.145196, 121.4196012 31.1455792)",,
3034716227,3034716222,1,299485214,,footway,,False,True,164.76500000000001,,"LINESTRING (121.4197441 31.145196, 121.4191629 31.1450374, 121.4191154 31.1450587, 121.4189956 31.1453955, 121.4190182 31.1454323, 121.4196012 31.1455792)",,
3034716227,3034716218,0,299485213,,unclassified,,False,True,41.108,勤奋路,"LINESTRING (121.4197441 31.145196, 121.4198754 31.1448438)",,
3034716229,3034716230,0,"[299485216, 299485215]",,service,,False,"[False, True]",27.78,,"LINESTRING (121.4184708 31.1450935, 121.4183306 31.1450529, 121.4181926 31.145018)",yes,
3034716230,3034716232,0,299485217,,service,,False,False,62.076,,"LINESTRING (121.4181926 31.145018, 121.4179891 31.1455484)",,
3034716230,3034716234,0,299485217,,service,,False,True,57.994,,"LINESTRING (121.4181926 31.145018, 121.4183828 31.1445225)",,
3034716230,3034716229,0,"[299485216, 299485215]",,service,,False,"[False, True]",27.78,,"LINESTRING (121.4181926 31.145018, 121.4183306 31.1450529, 121.4184708 31.1450935)",yes,
3034716231,8833899275,0,299485210,,service,,False,True,102.481,,"LINESTRING (121.4185598 31.1440613, 121.417554 31.1437321)",,
3034716231,3034716238,0,299485217,,service,,False,False,32.468,,"LINESTRING (121.4185598 31.1440613, 121.4184533 31.1443387)",,
3034716231,5081377536,0,"[299485209, 299485210, 299485211]",,service,,False,False,52.528999999999996,,"LINESTRING (121.4185598 31.1440613, 121.4186586 31.1440928, 121.4187603 31.1441257, 121.4188124 31.1441528, 121.4188779 31.1442534, 121.4189279 31.1443674)",yes,
3034716232,3034560080,0,299485217,,service,,False,False,33.901,,"LINESTRING (121.4179891 31.1455484, 121.4176521 31.1454496)",,
3034716232,3034716230,0,299485217,,service,,False,True,62.076,,"LINESTRING (121.4179891 31.1455484, 121.4181926 31.145018)",,
3034716232,5081261421,0,521500250,2,unclassified,30,False,False,43.428,,"LINESTRING (121.4179891 31.1455484, 121.4184206 31.1456755)",,
3034716233,8833899274,0,299485218,,service,,False,False,6.38,,"LINESTRING (121.4173174 31.144205, 121.4173807 31.1442239)",,
3034716234,3034716230,0,299485217,,service,,False,False,57.994,,"LINESTRING (121.4183828 31.1445225, 121.4181926 31.145018)",,
3034716234,3034716238,0,299485217,,service,,False,True,21.511,,"LINESTRING (121.4183828 31.1445225, 121.4184533 31.1443387)",,
3034716234,3034716235,0,299485218,,service,,False,True,22.755,,"LINESTRING (121.4183828 31.1445225, 121.418157 31.1444552)",,
3034716235,3034716234,0,299485218,,service,,False,False,22.755,,"LINESTRING (121.418157 31.1444552, 121.4183828 31.1445225)",,
3034716235,8833899274,0,299485218,,service,,False,True,78.228,,"LINESTRING (121.418157 31.1444552, 121.4173807 31.1442239)",,
3034716235,3034716238,0,299485219,,service,,False,False,36.442,,"LINESTRING (121.418157 31.1444552, 121.4182017 31.1443696, 121.4183397 31.1443096, 121.4184533 31.1443387)",,driveway
3034716238,3034716234,0,299485217,,service,,False,False,21.511,,"LINESTRING (121.4184533 31.1443387, 121.4183828 31.1445225)",,
3034716238,3034716231,0,299485217,,service,,False,True,32.468,,"LINESTRING (121.4184533 31.1443387, 121.4185598 31.1440613)",,
3034716238,3034716235,0,299485219,,service,,False,True,36.442,,"LINESTRING (121.4184533 31.1443387, 121.4183397 31.1443096, 121.4182017 31.1443696, 121.418157 31.1444552)",,driveway
3034716239,3034716176,0,299485197,,service,,False,False,93.031,,"LINESTRING (121.4211678 31.1438256, 121.4212166 31.143814, 121.4220986 31.1440579)",,
3034716239,3034716172,0,299485197,,service,,False,True,46.764,,"LINESTRING (121.4211678 31.1438256, 121.4211351 31.1438334, 121.4210809 31.1438818, 121.4209542 31.1441876)",,
3034716239,6679482775,0,299485220,,service,,False,False,44.1,,"LINESTRING (121.4211678 31.1438256, 121.4210408 31.1435853, 121.4208933 31.1435439)",,
3034716241,6679482775,0,299485220,,service,,False,True,42.366,,"LINESTRING (121.4204757 31.1434119, 121.4208933 31.1435439)",,
3034716241,3034716243,0,299485220,,service,,False,False,151.586,,"LINESTRING (121.4204757 31.1434119, 121.4203051 31.1438682, 121.4193313 31.1435731)",,
3034716241,3034716243,1,299485220,,service,,False,True,165.657,,"LINESTRING (121.4204757 31.1434119, 121.4204046 31.1432933, 121.4195446 31.1430286, 121.4193313 31.1435731)",,
3034716243,5081377536,0,521521461,,service,,False,False,96.305,,"LINESTRING (121.4193313 31.1435731, 121.4189279 31.1443674)",,
3034716243,3034716241,0,299485220,,service,,False,False,165.657,,"LINESTRING (121.4193313 31.1435731, 121.4195446 31.1430286, 121.4204046 31.1432933, 121.4204757 31.1434119)",,
3034716243,3034716241,1,299485220,,service,,False,True,151.586,,"LINESTRING (121.4193313 31.1435731, 121.4203051 31.1438682, 121.4204757 31.1434119)",,
3034716276,3034716296,0,521678545,,living_street,,False,False,19.024,,"LINESTRING (121.4163978 31.1456566, 121.4163249 31.1458159)",,
