u,v,key,osmid,highway,oneway,reversed,length,geometry,name,bridge,lanes,tunnel,service,access
5726340778,5726340779,0,603105980,living_street,False,False,34.803,"LINESTRING (113.3446605 23.152197, 113.3450004 23.1521799)",,,,,,
5726340779,5726340721,0,603105962,living_street,False,False,23.572,"LINESTRING (113.3450004 23.1521799, 113.3450124 23.1523916)",西江路,,,,,
5726340779,5726340781,0,603105962,living_street,False,True,25.911,"LINESTRING (113.3450004 23.1521799, 113.3449871 23.1519472)",西江路,,,,,
5726340779,5726340778,0,603105980,living_street,False,True,34.803,"LINESTRING (113.3450004 23.1521799, 113.3446605 23.152197)",,,,,,
5726340780,5726340782,0,603105965,residential,False,False,22.22,"LINESTRING (113.3446348 23.1519645, 113.3446128 23.1517657)",,,,,,
5726340780,5726340778,0,603105965,residential,False,True,25.986,"LINESTRING (113.3446348 23.1519645, 113.3446605 23.152197)",,,,,,
5726340780,5726340781,0,603105981,living_street,False,False,36.07,"LINESTRING (113.3446348 23.1519645, 113.3449871 23.1519472)",,,,,,
5726340781,5726340779,0,603105962,living_street,False,False,25.911,"LINESTRING (113.3449871 23.1519472, 113.3450004 23.1521799)",西江路,,,,,
5726340781,5726340783,0,603105962,living_street,False,True,20.755,"LINESTRING (113.3449871 23.1519472, 113.3449765 23.1517608)",西江路,,,,,
5726340781,5726340780,0,603105981,living_street,False,True,36.07,"LINESTRING (113.3449871 23.1519472, 113.3446348 23.1519645)",,,,,,
5726340781,5726340790,0,603105981,living_street,False,False,98.916,"LINESTRING (113.3449871 23.1519472, 113.3454672 23.1519475, 113.3454735 23.1514994)",,,,,,
5726340782,5726340786,0,603105965,residential,False,False,26.646,"LINESTRING (113.3446128 23.1517657, 113.3445864 23.1515273)",,,,,,
5726340782,5726340780,0,603105965,residential,False,True,22.22,"LINESTRING (113.3446128 23.1517657, 113.3446348 23.1519645)",,,,,,
5726340782,5726340783,0,603105982,living_street,False,False,37.189,"LINESTRING (113.3446128 23.1517657, 113.3449765 23.1517608)",九峰山路,,,,,
5726340783,5726340781,0,603105962,living_street,False,False,20.755,"LINESTRING (113.3449765 23.1517608, 113.3449871 23.1519472)",西江路,,,,,
5726340783,5726340787,0,603105962,living_street,False,True,26.779,"LINESTRING (113.3449765 23.1517608, 113.3449628 23.1515203)",西江路,,,,,
5726340783,5726340784,0,603105982,living_street,False,False,83.755,"LINESTRING (113.3449765 23.1517608, 113.3457951 23.1517897)",九峰山路,,,,,
5726340783,5726340782,0,603105982,living_street,False,True,37.189,"LINESTRING (113.3449765 23.1517608, 113.3446128 23.1517657)",九峰山路,,,,,
5726340784,5726340793,0,488110319,residential,False,False,48.338,"LINESTRING (113.3457951 23.1517897, 113.3458274 23.151356)",北江路,,,,,
5726340784,5726340723,0,488110319,residential,False,True,54.066,"LINESTRING (113.3457951 23.1517897, 113.3457591 23.1522748)",北江路,,,,,
5726340784,5726340785,0,603105982,living_street,False,False,74.548,"LINESTRING (113.3457951 23.1517897, 113.346521 23.1517265)",九峰山路,,,,,
5726340784,5726340783,0,603105982,living_street,False,True,83.755,"LINESTRING (113.3457951 23.1517897, 113.3449765 23.1517608)",九峰山路,,,,,
5726340785,5726340784,0,603105982,living_street,False,True,74.548,"LINESTRING (113.346521 23.1517265, 113.3457951 23.1517897)",九峰山路,,,,,
5726340785,5726340803,0,603105988,residential,False,False,44.943,"LINESTRING (113.346521 23.1517265, 113.3464955 23.15213)",,,,,,
5726340785,1988660573,0,603105988,residential,False,True,22.453,"LINESTRING (113.346521 23.1517265, 113.3465751 23.1515308)",,,,,,
5726340786,5726340733,0,603105965,residential,False,False,23.515,"LINESTRING (113.3445864 23.1515273, 113.3445632 23.1513169)",,,,,,
5726340786,5726340782,0,603105965,residential,False,True,26.646,"LINESTRING (113.3445864 23.1515273, 113.3446128 23.1517657)",,,,,,
5726340786,5726340787,0,603105983,living_street,False,False,38.491,"LINESTRING (113.3445864 23.1515273, 113.3449628 23.1515203)",,,,,,
5726340787,5726340783,0,603105962,living_street,False,False,26.779,"LINESTRING (113.3449628 23.1515203, 113.3449765 23.1517608)",西江路,,,,,
5726340787,5726340734,0,603105962,living_street,False,True,22.749,"LINESTRING (113.3449628 23.1515203, 113.3449511 23.151316)",西江路,,,,,
5726340787,5726340790,0,603105983,living_street,False,False,52.266,"LINESTRING (113.3449628 23.1515203, 113.3454735 23.1514994)",,,,,,
5726340787,5726340786,0,603105983,living_street,False,True,38.491,"LINESTRING (113.3449628 23.1515203, 113.3445864 23.1515273)",,,,,,
5726340789,5726340708,0,603105959,living_street,False,False,30.059,"LINESTRING (113.3454826 23.1508402, 113.3451886 23.1508393)",,,,,,
5726340789,5726340709,0,603105959,living_street,False,True,23.546,"LINESTRING (113.3454826 23.1508402, 113.3457129 23.1508408)",,,,,,
5726340789,5726340797,0,603105981,living_street,False,True,21.763,"LINESTRING (113.3454826 23.1508402, 113.3454799 23.1510359)",,,,,,
5726340790,5726340795,0,603105981,living_street,False,False,33.472,"LINESTRING (113.3454735 23.1514994, 113.3454777 23.1511984)",,,,,,
5726340790,5726340787,0,603105983,living_street,False,True,52.266,"LINESTRING (113.3454735 23.1514994, 113.3449628 23.1515203)",,,,,,
