element_type,osmid,amenity,name,geometry,building,man_made,name:en,capacity,phone,addr:city,addr:district,addr:postcode,addr:province,addr:street,fee,leisure,nodes,building:levels,height,shop,healthcare,wheelchair,name:zh,tourism,int_name,alt_name,name_1,wikidata,addr:housenumber,website,opening_hours,addr:housename,description,cuisine,fast_food,level,opening_hours:covid19,note,bicycle_parking,covered,supervised,power,takeaway,layer,access,female,toilets:disposal,male,name:zh-Hans,ways,type
way,103638426,,,"POLYGON ((114.367433 30.5326667, 114.3673253 30.5326455, 114.367357 30.5325259, 114.3674647 30.5325471, 114.367433 30.5326667))",residential,,,,,,,,,,,,"[1196665162, 1196665119, 1196665095, 1196665100, 1196665162]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103638427,,,"POLYGON ((114.3680554 30.5321186, 114.3677817 30.5320484, 114.3678116 30.531962, 114.3680853 30.5320321, 114.3680554 30.5321186))",residential,,,,,,,,,,,,"[1196665086, 1196665192, 1196665159, 1196665190, 1196665086]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103638428,,,"POLYGON ((114.3677955 30.5317713, 114.3675539 30.5317768, 114.3675426 30.5316682, 114.3677942 30.5316627, 114.3677955 30.5317713))",residential,,,,,,,,,,,,"[1196665061, 1196665098, 1196665109, 1196665093, 1196665061]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103638430,,,"POLYGON ((114.3664266 30.5322852, 114.3661131 30.5322083, 114.3661406 30.532125, 114.3661954 30.5321384, 114.3662454 30.5319873, 114.3664321 30.5320331, 114.3663827 30.5321825, 114.3664548 30.5322001, 114.3664266 30.5322852))",residential,,,,,,,,,,,,"[1196665077, 1196665163, 1196665138, 1196665139, 1196665064, 1196665078, 1196665076, 1196665115, 1196665077]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103638431,,,"POLYGON ((114.3681506 30.5314896, 114.367916 30.5314866, 114.3675104 30.5314815, 114.3675125 30.5313582, 114.3675537 30.5313588, 114.3675553 30.5312611, 114.367663 30.5312624, 114.3676612 30.5313702, 114.3677639 30.5313715, 114.3677658 30.5312623, 114.3678837 30.5312637, 114.3678818 30.5313722, 114.3679265 30.5313728, 114.3679917 30.5313736, 114.3679937 30.5312574, 114.368107 30.5312589, 114.3681049 30.5313784, 114.3681525 30.531379, 114.3681506 30.5314896))",residential,,,,,,,,,,,,"[1196665074, 1615503843, 1196665111, 1196665169, 1196665173, 1196665101, 1196665187, 1196665157, 1196665080, 1196665193, 1196665160, 1196665135, 1615503844, 1196665067, 1196665112, 1196665117, 1196665152, 1196665140, 1196665074]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103639628,,,"POLYGON ((114.360857 30.5339617, 114.360726 30.5339877, 114.3606904 30.5338545, 114.3608214 30.5338285, 114.360857 30.5339617))",yes,,,,,,,,,,,,"[1196676744, 1196676690, 1196676759, 1196676755, 1196676744]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103639630,,,"POLYGON ((114.3596339 30.5328355, 114.3590414 30.5330282, 114.3589919 30.5329151, 114.3595844 30.5327225, 114.3596339 30.5328355))",yes,,,,,,,,,,,,"[1196676704, 1196676757, 1196676723, 1196676763, 1196676704]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103639633,,,"POLYGON ((114.3619284 30.5335738, 114.3613653 30.5336059, 114.361357 30.5334972, 114.36192 30.5334651, 114.3619284 30.5335738))",residential,,,,,,,,,,,,"[1196676706, 1196676741, 1196676760, 1196676762, 1196676706]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103639635,,,"POLYGON ((114.36204 30.5332841, 114.3613604 30.5333355, 114.3613504 30.5332371, 114.36203 30.5331857, 114.36204 30.5332841))",residential,,,,,,,,,,,,"[1196676709, 1196676747, 1196676730, 1196676695, 1196676709]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103639639,,,"POLYGON ((114.3615397 30.5337597, 114.3608805 30.5338871, 114.3609055 30.5339833, 114.3615648 30.5338559, 114.3615397 30.5337597))",residential,,,,,,,,,,,,"[1196676729, 1196676728, 1196676774, 1196676700, 1196676729]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
