u,v,key,osmid,oneway,name,highway,reversed,length,geometry,tunnel,access,width,bridge,service
1196676777,1196676697,0,103639638,False,,living_street,False,134.183,"LINESTRING (114.3612291 30.5331841, 114.3612009 30.5328993, 114.3612143 30.5328508, 114.3612841 30.5328439, 114.3622229 30.5327884)",,,,,
1196688701,1196672267,0,103640963,False,珞南六路,living_street,False,46.887,"LINESTRING (114.3633011 30.5330657, 114.362966 30.5333731)",,,,,
1196688701,1196688791,0,103640963,False,珞南六路,living_street,True,27.034,"LINESTRING (114.3633011 30.5330657, 114.3632487 30.5328268)",,,,,
1196688701,1196688739,0,103640989,False,,living_street,False,63.937,"LINESTRING (114.3633011 30.5330657, 114.3626501 30.533193)",,,,,
1196688701,1196672258,0,103640989,False,,living_street,True,31.718,"LINESTRING (114.3633011 30.5330657, 114.3636271 30.5330155)",,,,,
1196688702,1196688802,0,103640963,False,珞南六路,living_street,False,34.124,"LINESTRING (114.3629337 30.5335307, 114.3628717 30.5338329)",,,,,
1196688702,1196672267,0,103640963,False,珞南六路,living_street,True,17.795,"LINESTRING (114.3629337 30.5335307, 114.362966 30.5333731)",,,,,
1196688702,1196688848,0,103640973,False,,living_street,False,65.548,"LINESTRING (114.3629337 30.5335307, 114.3636108 30.5336165)",,,,,
1196688702,1196688782,0,"[103640953, 103640973]",False,,"['steps', 'living_street']","[False, True]",68.58,"LINESTRING (114.3629337 30.5335307, 114.3623704 30.5334677, 114.3622245 30.5334462)",,,,,
1196688706,1196672335,0,103639126,False,,living_street,False,40.826,"LINESTRING (114.3635441 30.534143, 114.3635206 30.5345096)",,,,,
1196688706,1196688842,0,103639126,False,,living_street,True,27.17,"LINESTRING (114.3635441 30.534143, 114.3635749 30.5339001)",,,,,
1196688706,1196688827,0,103640962,False,,living_street,False,69.418,"LINESTRING (114.3635441 30.534143, 114.362829 30.5340412)",,,,,
1196688706,1196688822,0,103640962,False,,living_street,True,120.803,"LINESTRING (114.3635441 30.534143, 114.3641487 30.5342185, 114.3642104 30.5342924, 114.3647491 30.534362)",,,,,
1196688711,1196688802,0,103640975,False,,living_street,False,87.927,"LINESTRING (114.361962 30.5337265, 114.3628717 30.5338329)",,,,,
1196688711,1196672255,0,103639127,False,珞南五路,residential,False,15.299999999999999,"LINESTRING (114.361962 30.5337265, 114.3620486 30.5336595, 114.3620744 30.5336295)",,,,,
1196688711,1196672342,0,103639127,False,珞南五路,residential,True,59.601000000000006,"LINESTRING (114.361962 30.5337265, 114.3617858 30.5338628, 114.3615337 30.5340197, 114.3614822 30.534066)",,,,,
1196688724,1196688767,0,103639127,False,珞南五路,residential,True,26.965,"LINESTRING (114.3624305 30.5324888, 114.36247 30.5327289)",,,,,
1196688724,1196688746,0,103640968,False,,living_street,True,67.543,"LINESTRING (114.3624305 30.5324888, 114.3631173 30.5323509)",,,,,
1196688724,1196688762,0,103639127,False,珞南五路,residential,False,28.53,"LINESTRING (114.3624305 30.5324888, 114.3624027 30.5323196, 114.3623814 30.5322359)",,,,,
1196688726,1196688791,0,103640963,False,珞南六路,living_street,False,27.298,"LINESTRING (114.363177 30.5325892, 114.3632487 30.5328268)",,,,,
1196688726,1196688746,0,103640963,False,珞南六路,living_street,True,27.108,"LINESTRING (114.363177 30.5325892, 114.3631173 30.5323509)",,,,,
1196688726,1196688767,0,103640964,False,,living_street,False,69.473,"LINESTRING (114.363177 30.5325892, 114.36247 30.5327289)",,,,,
1196688726,1196688775,0,103640964,False,,living_street,True,83.622,"LINESTRING (114.363177 30.5325892, 114.364028 30.5324211)",,,,,
1196688735,1196688746,0,103640963,False,珞南六路,living_street,False,28.872,"LINESTRING (114.3630485 30.5320981, 114.3631173 30.5323509)",,,,,
1196688735,1196688762,0,103640985,False,,living_street,False,65.705,"LINESTRING (114.3630485 30.5320981, 114.3623814 30.5322359)",,,,,
1196688735,1196688750,0,103640985,False,,living_street,True,55.267,"LINESTRING (114.3630485 30.5320981, 114.3636096 30.5319821)",,,,,
1196688739,1196688701,0,103640989,False,,living_street,True,63.937,"LINESTRING (114.3626501 30.533193, 114.3633011 30.5330657)",,,,,
1196688739,1196672267,0,527572905,False,,living_street,True,36.283,"LINESTRING (114.3626501 30.533193, 114.362966 30.5333731)",,,,,
1196688739,1196688786,0,527572905,False,,living_street,False,28.269,"LINESTRING (114.3626501 30.533193, 114.3626012 30.5331651, 114.3625332 30.53297)",,,,,
1196688746,1196688726,0,103640963,False,珞南六路,living_street,False,27.108,"LINESTRING (114.3631173 30.5323509, 114.363177 30.5325892)",,,,,
1196688746,1196688735,0,103640963,False,珞南六路,living_street,True,28.872,"LINESTRING (114.3631173 30.5323509, 114.3630485 30.5320981)",,,,,
1196688746,1196688724,0,103640968,False,,living_street,False,67.543,"LINESTRING (114.3631173 30.5323509, 114.3624305 30.5324888)",,,,,
1196688746,1196688783,0,103640968,False,,living_street,True,82.178,"LINESTRING (114.3631173 30.5323509, 114.3639529 30.5321831)",,,,,
1196688750,1196688735,0,103640985,False,,living_street,False,55.267,"LINESTRING (114.3636096 30.5319821, 114.3630485 30.5320981)",,,,,
1196688759,1196688840,0,103640962,False,,living_street,False,30.603,"LINESTRING (114.3659805 30.534521, 114.3656645 30.5344802)",,,,,
1196688762,1196688735,0,103640985,False,,living_street,True,65.705,"LINESTRING (114.3623814 30.5322359, 114.3630485 30.5320981)",,,,,
1196688762,1196688724,0,103639127,False,珞南五路,residential,True,28.53,"LINESTRING (114.3623814 30.5322359, 114.3624027 30.5323196, 114.3624305 30.5324888)",,,,,
1196688767,1196688724,0,103639127,False,珞南五路,residential,False,26.965,"LINESTRING (114.36247 30.5327289, 114.3624305 30.5324888)",,,,,
1196688767,1196672364,0,103639127,False,珞南五路,residential,True,12.667,"LINESTRING (114.36247 30.5327289, 114.3624885 30.5328417)",,,,,
1196688767,1196688726,0,103640964,False,,living_street,True,69.473,"LINESTRING (114.36247 30.5327289, 114.363177 30.5325892)",,,,,
1196688775,1196688726,0,103640964,False,,living_street,False,83.622,"LINESTRING (114.364028 30.5324211, 114.363177 30.5325892)",,,,,
1196688782,1196676773,0,103639127,False,珞南五路,residential,False,10.055,"LINESTRING (114.3622245 30.5334462, 114.3622659 30.5333631)",,,,,
1196688782,1196672255,0,103639127,False,珞南五路,residential,True,24.998,"LINESTRING (114.3622245 30.5334462, 114.3622149 30.5334655, 114.3620744 30.5336295)",,,,,
1196688782,1196688702,0,"[103640953, 103640973]",False,,"['steps', 'living_street']","[False, True]",68.58,"LINESTRING (114.3622245 30.5334462, 114.3623704 30.5334677, 114.3629337 30.5335307)",,,,,
