u,v,key,osmid,highway,oneway,reversed,length,geometry,bridge
5227149338,5227224026,0,540274754,unclassified,False,True,75.945,"LINESTRING (113.4103642 23.0223008, 113.4099488 23.0220427, 113.4097227 23.0219662)",
5227149338,4950043868,0,"[540282340, 540274759]",unclassified,False,False,134.92,"LINESTRING (113.4103642 23.0223008, 113.4106038 23.0224392, 113.4110878 23.0215967)",yes
5227149339,5227217173,0,504914068,unclassified,False,False,8.549,"LINESTRING (113.4108221 23.0214705, 113.4108996 23.0214992)",
5227149339,5227224031,0,504914068,unclassified,False,True,4.258,"LINESTRING (113.4108221 23.0214705, 113.4107957 23.0214409)",
5227149339,5227149338,0,540282341,unclassified,False,True,103.537,"LINESTRING (113.4108221 23.0214705, 113.4103642 23.0223008)",
5227149339,5227217171,0,540282334,residential,False,False,40.982,"LINESTRING (113.4108221 23.0214705, 113.410923 23.0212864, 113.4107644 23.0212153)",
5227181751,4950043875,0,504914067,unclassified,False,False,227.219,"LINESTRING (113.4098439 23.0165744, 113.4078413 23.0156922)",
5227181751,5227224038,0,504914067,unclassified,False,True,8.531,"LINESTRING (113.4098439 23.0165744, 113.4099191 23.0166075)",
5227181751,5227217194,0,540278026,unclassified,True,False,62.71,"LINESTRING (113.4098439 23.0165744, 113.4100946 23.0160598)",
5227181753,5227224039,0,504914067,unclassified,False,False,7.466,"LINESTRING (113.4104823 23.0168556, 113.4104165 23.0168266)",
5227181753,4950043853,0,504914067,unclassified,False,True,312.071,"LINESTRING (113.4104823 23.0168556, 113.4110557 23.0171082, 113.4112861 23.0172333, 113.4114588 23.0173437, 113.4127548 23.0186672)",
5227217089,5227217165,0,"[839301584, 839301585, 540282327]",footway,False,False,90.118,"LINESTRING (113.4084794 23.0190379, 113.4084946 23.0190087, 113.4085015 23.0189954, 113.4088464 23.0183324, 113.4088594 23.0183068)",yes
5227217090,5227217092,0,504914062,unclassified,False,False,56.724,"LINESTRING (113.409244 23.0178908, 113.4097449 23.0181092)",
5227217090,4950043881,0,504914062,unclassified,False,True,194.58,"LINESTRING (113.409244 23.0178908, 113.4075258 23.0171416)",
5227217090,5227224038,0,540282327,footway,False,False,158.543,"LINESTRING (113.409244 23.0178908, 113.4099191 23.0166075)",
5227217090,5227217094,0,540282327,footway,False,True,40.726,"LINESTRING (113.409244 23.0178908, 113.4090678 23.0182192)",
5227217091,5227217095,0,"[540282328, 839301582, 839301583]",footway,False,False,158.727,"LINESTRING (113.4090997 23.0196565, 113.4091176 23.0196229, 113.4095665 23.0187577, 113.4097038 23.018493, 113.4095657 23.0184394)",yes
5227217092,9627882904,0,504914062,unclassified,False,False,163.888,"LINESTRING (113.4097449 23.0181092, 113.4111921 23.0187402)",
5227217092,5227217090,0,504914062,unclassified,False,True,56.724,"LINESTRING (113.4097449 23.0181092, 113.409244 23.0178908)",
5227217092,5227224039,0,540282328,footway,False,False,158.317,"LINESTRING (113.4097449 23.0181092, 113.4104165 23.0168266)",
5227217092,5227217095,0,540282328,footway,False,True,41.042,"LINESTRING (113.4097449 23.0181092, 113.4095657 23.0184394)",
5227217094,5227217090,0,540282327,footway,False,False,40.726,"LINESTRING (113.4090678 23.0182192, 113.409244 23.0178908)",
5227217094,5227217095,0,540282329,footway,False,True,56.533,"LINESTRING (113.4090678 23.0182192, 113.4095657 23.0184394)",
5227217094,5227217165,0,540282327,footway,False,True,33.062,"LINESTRING (113.4090678 23.0182192, 113.4089353 23.0181606, 113.4088594 23.0183068)",
5227217095,5227217092,0,540282328,footway,False,False,41.042,"LINESTRING (113.4095657 23.0184394, 113.4097449 23.0181092)",
5227217095,5227217094,0,540282329,footway,False,False,56.533,"LINESTRING (113.4095657 23.0184394, 113.4090678 23.0182192)",
5227217095,5227217091,0,"[540282328, 839301582, 839301583]",footway,False,True,158.727,"LINESTRING (113.4095657 23.0184394, 113.4097038 23.018493, 113.4095665 23.0187577, 113.4091176 23.0196229, 113.4090997 23.0196565)",yes
5227217128,5227217165,0,540282331,footway,False,False,775.974,"LINESTRING (113.4109763 23.0205987, 113.4110263 23.020525, 113.4109592 23.020482, 113.4107133 23.0203454, 113.4104022 23.0202126, 113.409951 23.0200423, 113.4096156 23.019887, 113.4093717 23.0197617, 113.4090857 23.0195852, 113.4088919 23.0194792, 113.4088126 23.0193912, 113.4086134 23.0190844, 113.4085504 23.0190283, 113.4084787 23.0189787, 113.4084163 23.0189385, 113.4083573 23.0188786, 113.4083289 23.0188075, 113.4083065 23.0187159, 113.4082638 23.0186747, 113.4081988 23.0186354, 113.4081276 23.0186055, 113.408213 23.0184165, 113.4078735 23.0182594, 113.4078349 23.0183323, 113.4075646 23.0182182, 113.4074304 23.0178178, 113.4074385 23.0176981, 113.407471 23.0176102, 113.4075259 23.0175391, 113.4075971 23.0174923, 113.4076961 23.0174536, 113.4077725 23.017445, 113.407865 23.0174499, 113.4084296 23.017719, 113.4083358 23.0179005, 113.4084672 23.0179684, 113.4084015 23.0181029, 113.4088594 23.0183068)",
5227217165,5227217094,0,540282327,footway,False,False,33.062,"LINESTRING (113.4088594 23.0183068, 113.4089353 23.0181606, 113.4090678 23.0182192)",
5227217165,5227217089,0,"[839301584, 839301585, 540282327]",footway,False,True,90.11799999999998,"LINESTRING (113.4088594 23.0183068, 113.4088464 23.0183324, 113.4085015 23.0189954, 113.4084946 23.0190087, 113.4084794 23.0190379)",yes
