u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,service,tunnel,bridge,ref,junction,access
1988660793,1988660792,0,188244785,华农燕山路,residential,False,True,80.598,"LINESTRING (113.3508477 23.1652999, 113.3516361 23.1653012)",,,,,,,,
1988660793,1988676676,0,188244790,,residential,False,False,43.983,"LINESTRING (113.3508477 23.1652999, 113.3508408 23.1649044)",,,,,,,,
1988660793,1988660810,0,188244790,,residential,False,True,39.39,"LINESTRING (113.3508477 23.1652999, 113.3508538 23.1656541)",,,,,,,,
1988660795,8221407432,0,188244789,华农燕山路,residential,False,False,196.946,"LINESTRING (113.3552195 23.1653121, 113.353293 23.1653129)",,,,,,,,
1988660796,1988660792,0,188244785,华农燕山路,residential,False,False,87.031,"LINESTRING (113.3524874 23.1653076, 113.3516361 23.1653012)",,,,,,,,
1988660796,1988660804,0,188244770,,residential,False,False,17.503999999999998,"LINESTRING (113.3524874 23.1653076, 113.3524913 23.1653389, 113.3525055 23.1653675, 113.3525287 23.1653907, 113.3525587 23.1654059, 113.3525923 23.1654119)",,,,,,,,
1988660796,1988660783,0,188244770,,residential,False,True,18.274,"LINESTRING (113.3524874 23.1653076, 113.3524944 23.1652767, 113.3525127 23.1652481, 113.3525401 23.1652266, 113.3525739 23.1652145, 113.3526099 23.1652133)",,,,,,,,
1988660804,1988660807,0,188244786,,residential,False,False,26.843,"LINESTRING (113.3525923 23.1654119, 113.3525914 23.1656533)",,,,,,,,
1988660804,8973570969,0,188244770,,residential,False,False,17.621000000000002,"LINESTRING (113.3525923 23.1654119, 113.3526238 23.1654086, 113.3526529 23.1653971, 113.3526772 23.1653783, 113.3526945 23.1653539, 113.3527036 23.1653245, 113.3527032 23.1653132)",,,,,,,,
1988660804,1988660796,0,188244770,,residential,False,True,17.503999999999998,"LINESTRING (113.3525923 23.1654119, 113.3525587 23.1654059, 113.3525287 23.1653907, 113.3525055 23.1653675, 113.3524913 23.1653389, 113.3524874 23.1653076)",,,,,,,,
1988660807,1988660822,0,188244786,,residential,False,False,70.954,"LINESTRING (113.3525914 23.1656533, 113.352589 23.1662914)",,,,,,,,
1988660807,1988660804,0,188244786,,residential,False,True,26.843,"LINESTRING (113.3525914 23.1656533, 113.3525923 23.1654119)",,,,,,,,
1988660807,1988660808,0,188244788,,residential,False,False,97.855,"LINESTRING (113.3525914 23.1656533, 113.3517278 23.1656553, 113.3516342 23.1656555)",,,,,,,,
1988660807,8221407432,0,"[884012024, 884012025]",,service,False,False,109.72999999999999,"LINESTRING (113.3525914 23.1656533, 113.3533005 23.1656477, 113.353293 23.1653129)",,,driveway,,,,,
1988660808,1988660810,0,188244788,,residential,False,False,79.78,"LINESTRING (113.3516342 23.1656555, 113.3508538 23.1656541)",,,,,,,,
1988660808,1988660792,0,969710165,,residential,False,True,39.397,"LINESTRING (113.3516342 23.1656555, 113.3516361 23.1653012)",,,,,,,,
1988660808,1988660807,0,188244788,,residential,False,True,97.855,"LINESTRING (113.3516342 23.1656555, 113.3517278 23.1656553, 113.3525914 23.1656533)",,,,,,,,
1988660810,1988660808,0,188244788,,residential,False,True,79.78,"LINESTRING (113.3508538 23.1656541, 113.3516342 23.1656555)",,,,,,,,
1988660810,1988660793,0,188244790,,residential,False,False,39.39,"LINESTRING (113.3508538 23.1656541, 113.3508477 23.1652999)",,,,,,,,
1988660810,1988660822,0,"[188244805, 188244790]",华农玉泉北路,residential,False,True,272.865,"LINESTRING (113.3508538 23.1656541, 113.3508687 23.1665107, 113.3510683 23.1664981, 113.352589 23.1662914)",,,,,,,,
1988660822,1988660807,0,188244786,,residential,False,True,70.954,"LINESTRING (113.352589 23.1662914, 113.3525914 23.1656533)",,,,,,,,
1988660822,1988660810,0,"[188244805, 188244790]",华农玉泉北路,residential,False,False,272.865,"LINESTRING (113.352589 23.1662914, 113.3510683 23.1664981, 113.3508687 23.1665107, 113.3508538 23.1656541)",,,,,,,,
1988660822,1988660768,0,188244805,华农玉泉北路,residential,False,True,382.616,"LINESTRING (113.352589 23.1662914, 113.3536637 23.1661688, 113.3544755 23.1659165, 113.3552948 23.1654715, 113.3553596 23.1653068, 113.3553886 23.1650638, 113.35545 23.1647052)",,,,,,,,
1988676626,10718506089,0,188246586,,living_street,False,True,36.721,"LINESTRING (113.3487122 23.1621379, 113.3487783 23.1624625)",,,,,,,,
1988676626,5809450702,0,205495144,玉泉路,residential,False,True,40.393,"LINESTRING (113.3487122 23.1621379, 113.3486884 23.1617753)",,,,,yes,,,
1988676626,6509548111,0,188246622,,residential,False,True,150.543,"LINESTRING (113.3487122 23.1621379, 113.3480613 23.1625153, 113.3478355 23.1627553, 113.347637 23.1630291)",,,,,,,,
1988676626,10718506075,0,"[1152354202, 1152354203]",,"['path', 'service']",False,True,213.07899999999998,"LINESTRING (113.3487122 23.1621379, 113.3487885 23.1621902, 113.3488024 23.1622811, 113.348834 23.1623392, 113.3488953 23.1623592, 113.3491365 23.162372, 113.3494786 23.1624374, 113.3498799 23.1625537, 113.3505244 23.1628913)",,,alley,,,,,
1988676631,10718506089,0,188246586,,living_street,False,False,22.477,"LINESTRING (113.3488187 23.1626612, 113.3487783 23.1624625)",,,,,,,,
1988676631,10696386718,0,188246586,,living_street,False,True,62.719,"LINESTRING (113.3488187 23.1626612, 113.348909 23.1632191)",,,,,,,,
1988676631,1988676636,0,188246581,,living_street,False,False,173.801,"LINESTRING (113.3488187 23.1626612, 113.3492572 23.1627119, 113.3497634 23.1628736, 113.3503604 23.1632473)",,,,,,,,
1988676631,10696386727,0,188246581,,living_street,False,True,244.837,"LINESTRING (113.3488187 23.1626612, 113.3485279 23.1627979, 113.3482896 23.162933, 113.3481141 23.1631103, 113.3480241 23.163243, 113.3480167 23.1636777, 113.3481318 23.1640218, 113.3483507 23.164428)",,,,,,,,
1988676636,5726341190,0,854396415,,residential,False,False,94.222,"LINESTRING (113.3503604 23.1632473, 113.3500008 23.1640275)",,,,,,,,
1988676636,10718506083,0,854396415,,residential,False,True,21.833,"LINESTRING (113.3503604 23.1632473, 113.3504437 23.1630665)",,,,,,,,
1988676636,1988676631,0,188246581,,living_street,False,True,173.801,"LINESTRING (113.3503604 23.1632473, 113.3497634 23.1628736, 113.3492572 23.1627119, 113.3488187 23.1626612)",,,,,,,,
1988676669,1988676671,0,188246618,华农紫薇路,residential,False,False,26.601,"LINESTRING (113.3482607 23.1647185, 113.3480005 23.1647195)",,,,,,,,
1988676669,10696386727,0,188246581,,living_street,False,False,36.582,"LINESTRING (113.3482607 23.1647185, 113.3482582 23.1646195, 113.3482896 23.1645427, 113.3483643 23.1644846, 113.3483507 23.164428)",,,,,,,,
1988676669,1988676676,0,"[188246618, 884012012]",华农紫薇路,residential,False,True,267.729,"LINESTRING (113.3482607 23.1647185, 113.3496467 23.1647286, 113.3497464 23.1647313, 113.3502103 23.1647417, 113.3505136 23.1647615, 113.350689 23.1648154, 113.3508408 23.1649044)",,,,,,,,
1988676671,1988660773,0,188246618,华农紫薇路,residential,False,False,63.035,"LINESTRING (113.3480005 23.1647195, 113.3473839 23.1647202)",,,,,,,,
1988676671,1988676669,0,188246618,华农紫薇路,residential,False,True,26.601,"LINESTRING (113.3480005 23.1647195, 113.3482607 23.1647185)",,,,,,,,
1988676671,6509548111,0,188246622,,residential,False,False,200.98000000000002,"LINESTRING (113.3480005 23.1647195, 113.3476187 23.1640666, 113.3475341 23.1637222, 113.3475439 23.1632029, 113.347637 23.1630291)",,,,,,,,
1988676676,1988660793,0,188244790,,residential,False,True,43.983,"LINESTRING (113.3508408 23.1649044, 113.3508477 23.1652999)",,,,,,,,
1988676676,5726341190,0,854396415,,residential,False,True,145.389,"LINESTRING (113.3508408 23.1649044, 113.3507826 23.1647253, 113.3506908 23.164638, 113.3505639 23.1645787, 113.3500932 23.1643795, 113.3500168 23.1643061, 113.3499777 23.1642345, 113.3499734 23.1641284, 113.3500008 23.1640275)",,,,,,,,
1988676676,1988676669,0,"[188246618, 884012012]",华农紫薇路,residential,False,False,267.729,"LINESTRING (113.3508408 23.1649044, 113.350689 23.1648154, 113.3505136 23.1647615, 113.3502103 23.1647417, 113.3497464 23.1647313, 113.3496467 23.1647286, 113.3482607 23.1647185)",,,,,,,,
1988787386,7972736820,0,854396410,,living_street,False,True,22.101,"LINESTRING (113.3506592 23.1592818, 113.3505311 23.1594419)",,,,,,,,
1988787386,7967862936,0,854396424,,living_street,False,False,90.709,"LINESTRING (113.3506592 23.1592818, 113.3515235 23.1594662)",,,,,,,,
1988787386,5809450755,0,"[854396410, 854396411]",,"['steps', 'living_street']",False,False,52.593999999999994,"LINESTRING (113.3506592 23.1592818, 113.3507532 23.1590701, 113.3508097 23.1589296, 113.3508401 23.1588393)",,,,,,,,
1988787395,7972736802,0,854849145,,living_street,False,True,75.607,"LINESTRING (113.350118 23.1598857, 113.3508432 23.160019)",,,,,,,,
1988787395,7972736820,0,854396410,,living_street,False,False,65.001,"LINESTRING (113.350118 23.1598857, 113.3504513 23.1595418, 113.3505311 23.1594419)",,,,,,,,
1988787395,1988787409,0,854396410,,living_street,False,True,63.54900000000001,"LINESTRING (113.350118 23.1598857, 113.3498731 23.1601209, 113.3497475 23.160338)",,,,,,,,
1988787409,7967862887,0,854396409,,living_street,False,False,69.419,"LINESTRING (113.3497475 23.160338, 113.3491891 23.1602426, 113.3490799 23.160224)",,,,,,,,
1988787409,1988787395,0,854396410,,living_street,False,False,63.54900000000001,"LINESTRING (113.3497475 23.160338, 113.3498731 23.1601209, 113.350118 23.1598857)",,,,,,,,
1988787409,7972736805,0,"[854849148, 854849149]",,service,False,False,91.553,"LINESTRING (113.3497475 23.160338, 113.349659 23.1606992, 113.3501392 23.1608011)",,,driveway,,,,,
1988787409,7972736800,0,"[857689738, 857689739, 857689740, 854849150]",,"['service', 'steps']",False,True,132.605,"LINESTRING (113.3497475 23.160338, 113.3501608 23.1604244, 113.3502413 23.1601481, 113.3507004 23.1602261, 113.3507942 23.1602413)",,,driveway,,,,,
1988787415,7996334485,0,854396417,,living_street,False,False,41.773,"LINESTRING (113.3511108 23.1611013, 113.3510106 23.1614655)",,,,,,,,
1988787415,8951312402,0,854849144,,living_street,False,True,4.47,"LINESTRING (113.3511108 23.1611013, 113.3511205 23.1610621)",,,,,,,,
1988787415,7972736803,0,854849154,,living_street,False,True,51.335,"LINESTRING (113.3511108 23.1611013, 113.3506209 23.161)",,,,,,,,
1988787418,8221407420,0,857689744,,service,False,True,67.837,"LINESTRING (113.3526812 23.1614881, 113.3528152 23.1608906)",,,driveway,,,,,
1988787418,7996334486,0,884012016,,service,False,False,31.972,"LINESTRING (113.3526812 23.1614881, 113.352618 23.1617697)",,,driveway,,,,,
1988787418,8951312412,0,967559662,,service,False,False,27.423,"LINESTRING (113.3526812 23.1614881, 113.3524204 23.1614304)",,,driveway,,,,,
2154470537,7961613992,0,852603759,华农紫荆路,residential,True,False,31.182,"LINESTRING (113.3536592 23.1556288, 113.3539642 23.1556289)",2,20,,,,,,
2154491397,7975842540,0,852603762,鄱阳路,residential,False,False,8.752,"LINESTRING (113.3490448 23.1572721, 113.3491304 23.1572733)",,,,,,,,
2154491397,6509548177,0,856024874,,service,False,True,81.473,"LINESTRING (113.3490448 23.1572721, 113.3490053 23.1565403)",,,,,,,,
2154491397,5809450610,0,614119182,鄱阳路,residential,False,True,103.3,"LINESTRING (113.3490448 23.1572721, 113.3489273 23.157274, 113.348745 23.1572755, 113.3483928 23.1572863, 113.3480397 23.1573416)",,20,,,,,,
2154564574,7961592357,0,205493514,泰山公寓二路,living_street,False,False,132.806,"LINESTRING (113.3623368 23.1556322, 113.3623488 23.1544379)",,,,,,,,
2154564574,2154564607,0,852603756,紫荆路,living_street,False,True,50.372,"LINESTRING (113.3623368 23.1556322, 113.3628295 23.1556326)",,,,,,,,
2154564574,2154564592,0,931675663,紫荆路,living_street,False,False,71.096,"LINESTRING (113.3623368 23.1556322, 113.3616414 23.1556316)",,,,,,,,
2154564577,7961592373,0,205493507,,residential,False,False,6.672,"LINESTRING (113.3590459 23.1557007, 113.3590465 23.1556407)",,,,,,,,
