element_type,osmid,building,historic,name,name:zh-Hans,geometry,nodes,addr:housenumber,addr:place,alt_name,name:zh,name:en,addr:city,addr:district,addr:postcode,addr:province,building:levels,wheelchair,amenity,layer,level,opening_hours,operator,ref,start_date,subway,wikidata,wikimedia_commons,wikipedia,smoking,name:alt,old_name,alt_name:en,alt_name:zh,height,tourism,office,leisure,construction,ways,type
way,400487949,university,,,,"POLYGON ((113.3551621 23.1644234, 113.3551589 23.1641944, 113.3547656 23.1638344, 113.3548978 23.1637399, 113.3550184 23.163606, 113.3551141 23.1633969, 113.3552674 23.1634562, 113.3552072 23.1635878, 113.3553359 23.1636963, 113.3555913 23.1636934, 113.3555945 23.1639338, 113.355531 23.1639346, 113.3555325 23.1640449, 113.3554641 23.1640457, 113.3554663 23.1642005, 113.3554081 23.1642012, 113.3554112 23.1644204, 113.3551621 23.1644234))","[4030356149, 4030356150, 4030356151, 8493451168, 4030356153, 4030356154, 4030356155, 4030356156, 4030356157, 4030356158, 4030356159, 4030356160, 4030356161, 4030356162, 4030356163, 4030356164, 2627943488, 4030356149]",79,华南农业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,431796469,dormitory,,,,"POLYGON ((113.3524158 23.1648826, 113.3524176 23.1651994, 113.3518635 23.1652021, 113.3518617 23.1648854, 113.3524158 23.1648826))","[4310144602, 4310144603, 4310144604, 8973570967, 4310144602]",2,六一区研究生公寓,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,
way,431796472,dormitory,,,,"POLYGON ((113.352709 23.1651983, 113.352708 23.1649006, 113.3531871 23.1648992, 113.3531881 23.165197, 113.352709 23.1651983))","[4310144628, 4310144631, 4310144632, 4310144638, 4310144628]",3,六一区研究生公寓,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,
way,516062691,dormitory,,,,"POLYGON ((113.3467242 23.1567489, 113.3467902 23.1567493, 113.3467906 23.1567064, 113.3470595 23.1567081, 113.3470592 23.1567486, 113.3471571 23.1567493, 113.3471588 23.1565365, 113.3467642 23.1565338, 113.3467633 23.1566488, 113.3467249 23.1566582, 113.3467242 23.1567489))","[5038481985, 8700617952, 8700617955, 8700617954, 8700617953, 5038481986, 5038481987, 5038481988, 8700617957, 8700617956, 5038481985]",,华南农业大学,,,,,,,,,,,,,,,,1934,,,,,,,,,,,,,,,,
way,516062693,dormitory,,,,"POLYGON ((113.3472269 23.1567592, 113.3472313 23.1565588, 113.3476702 23.156567, 113.3476656 23.1567774, 113.3475695 23.1567756, 113.3475705 23.1567323, 113.3473053 23.1567274, 113.3473046 23.1567607, 113.3472269 23.1567592))","[5038481989, 5038481990, 5038481991, 5038481992, 8700617962, 8700617961, 8700617959, 8700617958, 5038481989]",,华南农业大学,,,,,,,,,,,,,,,,1934,,,,,,,,,,,,,,,,
way,516063459,dormitory,,,,"POLYGON ((113.346816 23.1562934, 113.3470796 23.1562964, 113.3470803 23.1562432, 113.3471599 23.1562441, 113.3471617 23.156108, 113.3470691 23.156107, 113.3470686 23.1561508, 113.346818 23.156148, 113.346816 23.1562934))","[5038487720, 5038489721, 8700617971, 8700617970, 8700617969, 8700617972, 8700617973, 5038489723, 5038487720]",,华南农业大学,,,,,,,,,,,,,,,,1934,,,,,,,,,,,,,,,,
way,516063460,dormitory,,,,"POLYGON ((113.3472261 23.1563652, 113.3472323 23.1561251, 113.3476293 23.1561338, 113.3476267 23.1562325, 113.3476963 23.1562341, 113.3476929 23.1563642, 113.3475871 23.1563618, 113.3475883 23.1563152, 113.3473298 23.1563095, 113.3473283 23.1563675, 113.3472261 23.1563652))","[5038489724, 5038489725, 8700617968, 8700617963, 5038489726, 5038489727, 8700617964, 8700617965, 8700617967, 8700617966, 5038489724]",,华南农业大学,,,,,,,,,,,,,,,,1934,,,,,,,,,,,,,,,,
way,584464449,dormitory,,,,"POLYGON ((113.3415825 23.1648713, 113.3420553 23.1649453, 113.3420711 23.1648604, 113.3418707 23.1648291, 113.3418972 23.1646857, 113.3422885 23.1647476, 113.3422929 23.1647242, 113.3422813 23.1647223, 113.3422927 23.1646611, 113.3418283 23.1645877, 113.3418125 23.1646724, 113.3418714 23.1646817, 113.3418446 23.1648265, 113.3415979 23.1647879, 113.3415825 23.1648713))","[5586843067, 5586843066, 5586843065, 5586843064, 5586843063, 5586843061, 5586843060, 5586843059, 5586843058, 5586843057, 5586843056, 5586843055, 5586843054, 5586843053, 5586843067]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,613936875,dormitory,,,,"POLYGON ((113.3526722 23.1655705, 113.3526723 23.1654737, 113.3527393 23.1654738, 113.3527395 23.165398, 113.3531785 23.1653986, 113.3531785 23.1654108, 113.3532175 23.1654109, 113.3532173 23.1655011, 113.3531062 23.1655009, 113.3531061 23.1655711, 113.3528935 23.1655708, 113.3528935 23.1655853, 113.352803 23.1655852, 113.352803 23.1655707, 113.3526722 23.1655705))","[5808019518, 5808019516, 5808019514, 5808019513, 5808019510, 5808019509, 5808019512, 5808019511, 5808019515, 5808019517, 5808019507, 5808019506, 5808019505, 5808019508, 5808019518]",9,六一区研究生公寓,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,
way,613936877,dormitory,,,,"POLYGON ((113.3518528 23.1654022, 113.3518527 23.1654631, 113.3518527 23.1654924, 113.3519259 23.1654925, 113.3519258 23.1655348, 113.3519145 23.1655347, 113.3519145 23.1655662, 113.3524568 23.1655669, 113.3524569 23.1655502, 113.3525186 23.1655502, 113.3525187 23.1655163, 113.3524959 23.1655162, 113.3524959 23.1654762, 113.3524448 23.1654761, 113.3524449 23.165403, 113.3518528 23.1654022))","[5808019533, 5808019531, 5808019529, 5808019527, 5808019520, 5808019519, 5808019526, 5808019528, 5808019524, 5808019523, 5808019522, 5808019521, 5808019525, 5808019530, 5808019532, 5808019533]",8,六一区研究生公寓,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,
