element_type,osmid,building,geometry,name,nodes,amenity,level,name:en,leisure,addr:city,addr:housenumber,addr:postcode,addr:street,building:levels,name:de,website,sport,shop,healthcare
way,183383470,yes,"POLYGON ((121.4973663 31.2879659, 121.4972837 31.2878309, 121.4977421 31.2876261, 121.4978247 31.2877611, 121.4973663 31.2879659))",,"[1937554576, 1937554573, 1937554564, 1937554568, 1937554576]",,,,,,,,,,,,,,
way,183383471,college,"POLYGON ((121.5010866 31.2872494, 121.5009759 31.2870313, 121.5015323 31.2868252, 121.501643 31.2870433, 121.5010866 31.2872494))",城规学院C楼,"[1937554551, 1937554533, 1937554518, 1937554535, 1937554551]",,,CAUP Building C,,,,,,,,,,,
way,183383472,college,"POLYGON ((121.4988654 31.284906, 121.4987816 31.284749, 121.5004598 31.2840948, 121.5005436 31.2842518, 121.4996991 31.2845795, 121.4988654 31.284906))",教学南楼,"[1937554324, 1937554319, 1937554299, 1937554304, 2024714400, 1937554324]",,,South Teaching Building,,,,,,,,,,,
way,183383473,residential,"POLYGON ((121.4954749 31.284635, 121.4953995 31.2844908, 121.4964475 31.2840906, 121.4965229 31.2842349, 121.4954749 31.284635))",西南二楼,"[1937554315, 1937554313, 1937554298, 1937554303, 1937554315]",,,Xinan Apartments Building 3,,,,,,,,,,,
way,183383474,college,"POLYGON ((121.4995971 31.2863207, 121.4995133 31.2861637, 121.5003782 31.2858251, 121.5011915 31.2855096, 121.5012753 31.2856666, 121.4995971 31.2863207))",教学北楼,"[1937554477, 1937554462, 2024714405, 1937554390, 1937554419, 1937554477]",,,North Teaching Building,,,,,,,,,,,
way,183383475,college,"POLYGON ((121.5006415 31.286976, 121.5005685 31.2868399, 121.5013698 31.2865263, 121.5014428 31.2866624, 121.5006415 31.286976))",城规学院D楼,"[1937554525, 1937554516, 1937554499, 1937554506, 1937554525]",,,CAUP Building D,,,,,,,,,,,
way,183383476,yes,"POLYGON ((121.4954348 31.2851724, 121.4953793 31.2850823, 121.4953271 31.2849975, 121.4954654 31.2849352, 121.4955731 31.2851102, 121.4954348 31.2851724))",教育超市,"[1937554355, 2000861568, 1937554339, 1937554325, 1937554349, 1937554355]",,,Jiaoyu Supermarket,,,,,,,,,,supermarket,
way,183383477,yes,"POLYGON ((121.5022606 31.2858825, 121.5021647 31.2857187, 121.5021165 31.2857165, 121.5021215 31.2856319, 121.5020783 31.2855598, 121.5022214 31.2855007, 121.5024037 31.2858234, 121.5022606 31.2858825))",同济大学校史馆,"[1937554441, 1937554424, 1937554423, 1937554404, 1937554397, 1937554389, 1937554433, 1937554441]",,,School History Building,,,,,,,,,,,
way,183383478,yes,"POLYGON ((121.496642 31.2880691, 121.4966133 31.2882103, 121.496936 31.2882582, 121.4968895 31.2884868, 121.4974531 31.2885706, 121.4974847 31.2884151, 121.4970808 31.2883551, 121.4971244 31.2881408, 121.496642 31.2880691))",,"[1937554579, 1937554583, 1937554585, 1937554594, 1937554597, 1937554591, 1937554588, 1937554581, 1937554579]",,,,,,,,,,,,,,
way,183383480,college,"POLYGON ((121.5004673 31.2866563, 121.5004086 31.2865426, 121.5006052 31.2864685, 121.500573 31.2864061, 121.500682 31.286365, 121.500706 31.2864116, 121.5012356 31.286212, 121.5013025 31.2863415, 121.5004673 31.2866563))",汇文楼,"[1937554505, 1937554500, 1937554490, 1937554486, 1937554484, 1937554488, 1937554470, 1937554479, 1937554505]",,,Huiwen Building,,,,,,,,,,,
way,183383481,yes,"POLYGON ((121.4977136 31.2885136, 121.497649 31.2883878, 121.4978954 31.2882953, 121.4979371 31.2883765, 121.4984744 31.2881749, 121.4985363 31.2882956, 121.497909 31.2885203, 121.4978741 31.2884532, 121.4977136 31.2885136))",学五楼,"[1937554595, 1937554590, 1937554586, 1937554589, 1937554582, 1937554587, 3879256569, 1937554592, 1937554595]",,,,,,,,,,,,,,
way,183383482,yes,"POLYGON ((121.5000357 31.2829393, 121.500221 31.2832869, 121.4993958 31.2836083, 121.4993884 31.2835945, 121.49933 31.283485, 121.4993188 31.283464, 121.4999415 31.2832214, 121.4998331 31.2830182, 121.5000357 31.2829393))",129礼堂,"[1937554231, 1937554250, 1937554268, 1937554266, 1937554259, 1937554257, 1937554244, 1937554233, 1937554231]",,,129 Hall,,,,,,,,,,,
way,183383483,yes,"POLYGON ((121.4996292 31.2841744, 121.4993578 31.283659, 121.4994721 31.2836151, 121.4995977 31.2838536, 121.5001634 31.283636, 121.5002222 31.2837477, 121.4996583 31.2839646, 121.4997452 31.2841297, 121.4996292 31.2841744))",,"[1937554301, 1937554278, 1937554271, 1937554288, 1937554274, 1937554284, 1937554292, 1937554300, 1937554301]",,,,,,,,,,,,,,
way,183383511,yes,"POLYGON ((121.4984365 31.2866132, 121.4983492 31.2864694, 121.4986479 31.2863368, 121.4987353 31.2864806, 121.4984365 31.2866132))",,"[1937554503, 1937554492, 1937554482, 1937554496, 1937554503]",,,,,,,,,,,,,,
