element_type,osmid,nodes,building,building:levels,name,name:zh,geometry,source,name:en,amenity,leisure,sport,alt_name,smoking,cuisine,diet:halal,office,shelter_type,layer,ref,height,museum,operator,operator:type,tourism,building:min_level,construction,ways,type,alt_name:en,alt_name:zh
way,217855271,"[2271616327, 2271616333, 2271616323, 2271616307, 2271616311, 2271616321, 2271616327]",yes,,校安保中心,校安保中心,"POLYGON ((103.9268177 30.7601727, 103.9268526 30.760251, 103.9271396 30.7601542, 103.9270564 30.7599837, 103.9269572 30.7600182, 103.9270001 30.7601127, 103.9268177 30.7601727))",,Campus Security Centre,police,,,,,,,,,,,,,,,,,,,,,
way,217855275,"[5260608585, 9139805343, 5260608586, 9139805324, 5260608587, 9139805325, 5260608588, 9139805326, 5260608589, 9139805327, 2271614738, 9139805328, 2271614720, 9139805329, 2271614688, 9139805330, 2271614670, 9139805331, 2271614655, 9139805332, 5260608581, 9139805333, 5260608582, 9139805334, 5260608583, 9139805335, 5260608584, 9139805336, 5717238316, 9139805337, 2271614690, 9139805338, 2271614723, 9139805339, 5717238646, 9139805340, 2271614747, 9139805341, 2271614749, 9139805342, 5260608585]",yes,2,体育馆,体育馆,"POLYGON ((103.9262569 30.7467645, 103.9261705 30.7468024, 103.9260784 30.7468283, 103.9259826 30.7468417, 103.9258856 30.7468422, 103.9257897 30.7468297, 103.9256973 30.7468046, 103.9256104 30.7467675, 103.9255313 30.7467194, 103.9254618 30.7466612, 103.9254036 30.7465945, 103.9253581 30.7465209, 103.9253264 30.7464421, 103.9253094 30.7463601, 103.9253073 30.7462767, 103.9253202 30.7461941, 103.9253479 30.7461143, 103.9253896 30.746039, 103.9254444 30.7459702, 103.9255109 30.7459096, 103.9255876 30.7458585, 103.9256725 30.7458182, 103.9257636 30.7457898, 103.9258588 30.7457738, 103.9259557 30.7457706, 103.9260521 30.7457804, 103.9261454 30.7458029, 103.9262337 30.7458376, 103.9263146 30.7458835, 103.9264054 30.7459582, 103.9264657 30.74603, 103.9265114 30.7461094, 103.9265413 30.7461941, 103.926554 30.7462738, 103.9265528 30.7463543, 103.9265367 30.7464365, 103.9265061 30.7465155, 103.9264615 30.7465896, 103.9264042 30.7466568, 103.9263354 30.7467156, 103.9262569 30.7467645))",,,,stadium,,,,,,,,,,,,,,,,,,,,
way,217855276,"[2271614771, 5684953450, 5260246605, 5717238632, 2271614761, 5717238631, 5717238628, 2271614741, 2271614707, 5717238627, 5717238624, 2271614666, 2271614645, 2271614635, 5684953462, 2271614612, 5684953463, 2271614616, 7558060441, 2271614639, 5684953453, 5684953454, 5684953461, 5684953455, 5684953456, 5684953457, 5684953458, 5684953459, 5684953460, 5684953474, 2271614659, 2271614693, 5684953473, 5684953472, 5684953471, 5684953470, 2271614732, 5684953469, 5684953468, 2271614755, 5684953467, 5684953466, 2271614766, 2271614773, 5684953465, 5684953464, 2271614777, 5684953452, 2271614774, 5684953451, 2271614771]",grandstand,2,看台,看台,"POLYGON ((103.928609 30.7469482, 103.9284955 30.7468506, 103.9283821 30.7467369, 103.9282592 30.7465372, 103.9282178 30.7464699, 103.9281938 30.7463477, 103.9281716 30.7462341, 103.9281594 30.746172, 103.9282129 30.7458735, 103.9282376 30.7458319, 103.9282946 30.7457361, 103.9283728 30.7456045, 103.928623 30.7453923, 103.9289148 30.7452806, 103.9291192 30.7452352, 103.9292965 30.7452332, 103.9294815 30.7452528, 103.9296272 30.7453009, 103.9297782 30.7453869, 103.9298592 30.7454649, 103.9298122 30.7455328, 103.9296868 30.7454331, 103.9296246 30.7453966, 103.9295141 30.7453648, 103.9293929 30.7453329, 103.9292532 30.745317, 103.9291055 30.7453367, 103.928907 30.7454099, 103.9287326 30.7455699, 103.9286508 30.7457352, 103.9285904 30.7459189, 103.9285437 30.7461139, 103.9285376 30.7463725, 103.9285529 30.7465549, 103.9286104 30.7466985, 103.9286663 30.7467829, 103.9287298 30.7468457, 103.928832 30.7469224, 103.9289879 30.7469761, 103.9291387 30.7470005, 103.9292517 30.7469945, 103.9293967 30.7469701, 103.9295474 30.7468937, 103.9296141 30.7469821, 103.9294926 30.7470513, 103.9293657 30.7470975, 103.9292245 30.7471114, 103.9290785 30.7471159, 103.9289485 30.7470928, 103.9287948 30.7470367, 103.928609 30.7469482))",,,,,,,,,,,,,,,,,,,,,,,,
way,217855279,"[2271614695, 9139805403, 2271614722, 5717238637, 5684953492, 5261412626, 5684953493, 2271614744, 5684953494, 5261412627, 5684953495, 2271614754, 2271614745, 5684953496, 2271614737, 5684953497, 5684953498, 5717238636, 2271614716, 9139805404, 5684953499, 9139805405, 2271614697, 9139805406, 9139805407, 5467635367, 9139805401, 9139805402, 2271614695]",yes,2,游泳馆,游泳馆,"POLYGON ((103.9270497 30.7461251, 103.9269856 30.7461621, 103.9269355 30.7461951, 103.9268911 30.7462335, 103.9268318 30.7463029, 103.9267612 30.746428, 103.9267663 30.7465524, 103.9268068 30.7466311, 103.9268927 30.7467133, 103.9270564 30.7467894, 103.9272419 30.7468254, 103.9274344 30.7468249, 103.9275958 30.7467888, 103.9277175 30.7467244, 103.9278003 30.7466175, 103.9278231 30.7465098, 103.9277991 30.7464042, 103.9277864 30.7463531, 103.9277504 30.7462645, 103.927703 30.7462148, 103.9276498 30.7461721, 103.9275752 30.7461173, 103.9275135 30.7460876, 103.9274536 30.7460668, 103.9273775 30.7460535, 103.9272909 30.7460542, 103.9271872 30.7460741, 103.927112 30.746095, 103.9270497 30.7461251))",,,,sports_centre,swimming,,,,,,,,,,,,,,,,,,,
way,217855287,"[2271616025, 2271616015, 2271616019, 2271616029, 2271616025]",dormitory,,硕丰苑11栋,硕丰苑11栋,"POLYGON ((103.9325966 30.7581816, 103.9326075 30.7580779, 103.9330642 30.7581133, 103.9330533 30.758217, 103.9325966 30.7581816))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855288,"[2271615977, 2271615952, 2271615953, 2271615971, 2271615974, 2271615990, 2271615985, 2271615977]",dormitory,,硕丰苑12栋,硕丰苑12栋,"POLYGON ((103.9328712 30.7577444, 103.932879 30.757602, 103.9329918 30.7576066, 103.9329858 30.7577172, 103.9333399 30.7577315, 103.9333337 30.7578446, 103.9329533 30.7578291, 103.9328712 30.7577444))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855289,"[2271615989, 2271616010, 2271616005, 2271615965, 2271615961, 2271616007, 2271616020, 2271616022, 2271616012, 2271615991, 2271615989]",dormitory,,硕丰苑13栋,硕丰苑13栋,"POLYGON ((103.9338904 30.7578966, 103.933868 30.7580881, 103.9335291 30.7580588, 103.9335683 30.7577242, 103.9334677 30.7577155, 103.9334272 30.7580615, 103.9335087 30.7581394, 103.9338692 30.7581574, 103.9339762 30.7580855, 103.9339973 30.7579059, 103.9338904 30.7578966))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855290,"[2271615926, 2271615907, 2271615911, 2271615925, 2271615979, 2271615987, 2271615984, 2271615980, 2271615972, 2271615973, 2271615932, 2271615926]",dormitory,,硕丰苑14栋,硕丰苑14栋,"POLYGON ((103.9339527 30.7575047, 103.9339602 30.7574064, 103.934389 30.7574306, 103.9344558 30.7574976, 103.9344383 30.7578209, 103.9343372 30.7578855, 103.9341092 30.7578755, 103.9340766 30.7578235, 103.9340808 30.7577679, 103.9343054 30.7577805, 103.9343248 30.7575257, 103.9339527 30.7575047))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855291,"[2271615914, 2271615902, 2271615905, 2271615919, 2271615914]",dormitory,,硕丰苑15栋,硕丰苑15栋,"POLYGON ((103.9333092 30.7574449, 103.9333142 30.7573493, 103.9338082 30.7573683, 103.9338032 30.7574639, 103.9333092 30.7574449))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855292,"[2271616284, 2271616286, 2271616237, 2271616229, 7913199856, 2271616284]",dormitory,6,硕丰苑1栋,硕丰苑1栋,"POLYGON ((103.928677 30.7597211, 103.9285395 30.7597658, 103.9283108 30.7592468, 103.9284485 30.759202, 103.9286666 30.7596974, 103.928677 30.7597211))",,,,,,,,,,,,,,,,,,,,,,,,
