element_type,osmid,building,name,geometry,addr:city,nodes,addr:housename,addr:housenumber,addr:postcode,addr:street,building:levels,alt_name,layer,note,amenity,library,operator,fast_food,leisure,shop,atm,tourism,addr:district,addr:province,cuisine,diet:local,delivery,opening_hours,smoking,min_height,sport
way,283790553,yes,,"POLYGON ((114.3958922 30.5246762, 114.3959661 30.5246788, 114.3959985 30.5246603, 114.3959954 30.5245926, 114.3960108 30.5245806, 114.3960278 30.5245979, 114.3961202 30.5245554, 114.3959692 30.5243617, 114.3958814 30.5244254, 114.3957874 30.5243842, 114.3957967 30.5243604, 114.3954624 30.5241918, 114.3954408 30.5242104, 114.3952991 30.5241613, 114.3953684 30.5241308, 114.3953669 30.5240658, 114.3951189 30.5240578, 114.3951096 30.5241401, 114.3951743 30.524152, 114.3950418 30.524225, 114.3951219 30.5243126, 114.3952483 30.5242555, 114.3958552 30.5245607, 114.3958922 30.5246762))",,"[2876184125, 2876184126, 2876184127, 2876184128, 2876184129, 2876184130, 2876184131, 2876184132, 2876184133, 2876184134, 2876184135, 2876184136, 2876184137, 2876184138, 2876184139, 2876184140, 2876184141, 2876184142, 2876184143, 2876184144, 2876184145, 2876184146, 2876184147, 2876184125]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283790554,yes,长江钻头公司,"POLYGON ((114.3955086 30.524146, 114.3954131 30.5240199, 114.3955364 30.5239469, 114.3955626 30.5239841, 114.3958568 30.5239867, 114.3958583 30.5239589, 114.3959477 30.5239589, 114.3959446 30.5240677, 114.3959785 30.5240664, 114.3960324 30.5241407, 114.3958245 30.5242442, 114.3957752 30.5241593, 114.3955086 30.524146))",,"[2876184148, 2876184149, 2876184150, 2876184151, 2876184152, 2876184153, 2876184154, 2876184155, 2876184156, 2876184157, 4807242061, 2876184159, 2876184148]",,,,,9,,,,,,,,,,,,,,,,,,,,
way,283791010,dormitory,学生公寓西区53栋,"POLYGON ((114.391151 30.5220297, 114.3911474 30.5218207, 114.3912747 30.5218191, 114.3912762 30.5219053, 114.3918913 30.5218976, 114.3918933 30.5220203, 114.391151 30.5220297))",,"[2876189749, 2876189750, 2876189751, 2876189752, 2876189753, 2876189754, 2876189749]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283791011,dormitory,学生公寓西区63栋,"POLYGON ((114.3911494 30.5217358, 114.3913297 30.5217337, 114.3913281 30.5216306, 114.3919261 30.5216237, 114.3919235 30.5214605, 114.3911452 30.5214696, 114.3911494 30.5217358))",,"[2876189755, 2876189756, 2876189757, 2876189758, 2876189759, 2876189760, 2876189755]",,,,,0,,,,,,,,,,,,,,,,,,,,
way,283791014,dormitory,学生公寓西区62栋,"POLYGON ((114.3912011 30.5208694, 114.391312 30.5208685, 114.3913147 30.5211209, 114.391763 30.5211174, 114.3917611 30.5209361, 114.391414 30.5209388, 114.391413 30.5208381, 114.3914574 30.5208378, 114.3914568 30.5207762, 114.3917713 30.5207737, 114.3917697 30.5206212, 114.3919385 30.5206198, 114.3919449 30.5212326, 114.391205 30.5212384, 114.3912011 30.5208694))",,"[2876189786, 2876189787, 2876189788, 2876189789, 2876189790, 2876189791, 2876189792, 2876189793, 2876189794, 2876189795, 2876189796, 2876189797, 2876189798, 2876189799, 2876189786]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283791015,dormitory,学生公寓西区60栋,"POLYGON ((114.391235 30.5207452, 114.3912324 30.5204815, 114.391311 30.520481, 114.3913097 30.5203484, 114.3919758 30.5203436, 114.3919771 30.5204733, 114.3913904 30.5204776, 114.391393 30.5207441, 114.391235 30.5207452))",,"[2876189800, 2876190401, 2876190402, 2876190403, 2876190404, 2876190405, 2876190406, 2876190407, 2876189800]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792153,yes,,"POLYGON ((114.3980818 30.5254809, 114.3990303 30.5259114, 114.3991613 30.5258495, 114.3992644 30.5253045, 114.3981534 30.5253052, 114.3980818 30.5254809))",,"[2876198715, 2876198716, 2876198722, 2876198723, 2876198724, 2876198715]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792156,yes,,"POLYGON ((114.397273 30.5249202, 114.3972717 30.5248066, 114.3978008 30.5248023, 114.3978021 30.5249159, 114.397273 30.5249202))",,"[2876198739, 2876198740, 2876198741, 2876198742, 2876198739]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792157,yes,,"POLYGON ((114.3972467 30.5246609, 114.3978979 30.524657, 114.3978971 30.5245564, 114.3972459 30.5245602, 114.3972467 30.5246609))",,"[2876198743, 2876198744, 2876198745, 2876198746, 2876198743]",,,,,,,,,,,,,,,,,,,,,,,,,
way,283792158,yes,,"POLYGON ((114.397196 30.5243882, 114.3978602 30.5243815, 114.3978586 30.5242678, 114.3971944 30.5242745, 114.397196 30.5243882))",,"[2876198747, 2876198748, 2876198749, 2876198750, 2876198747]",,,,,,,,,,,,,,,,,,,,,,,,,
