element_type,osmid,nodes,building,name,name:en,geometry,building:levels,addr:street,amenity,cuisine,fast_food,office,operator,ways,type
way,521564217,"[5081735102, 5081735103, 5081735104, 5081735105, 5081735102]",school,实验7楼,Research Building 7,"POLYGON ((121.4203448 31.1466602, 121.4204106 31.1465026, 121.4211321 31.1467137, 121.4210578 31.1468772, 121.4203448 31.1466602))",,,,,,,,,
way,521564306,"[5081736543, 5081736544, 5081736546, 5081736547, 5081736548, 5081736549, 5081736543]",school,实验10楼,Research Building 10,"POLYGON ((121.4213493 31.1470805, 121.4214591 31.1468163, 121.4225121 31.1471368, 121.4225312 31.1470909, 121.4226803 31.1471363, 121.4225514 31.1474464, 121.4213493 31.1470805))",,,,,,,,,
way,521677558,"[5082733593, 5082733594, 5082733595, 5082733596, 5082733597, 5082733598, 5082733599, 5082733600, 5082733601, 5082733602, 5082733603, 5082733604, 5082733605, 5082733606, 5082733607, 5082733608, 5082733609, 5082733610, 5082733593]",yes,第七教学楼,Teaching Building 7,"POLYGON ((121.4193772 31.1435573, 121.4194127 31.1434711, 121.4195002 31.1434975, 121.4195579 31.1433576, 121.4194618 31.1433286, 121.4195063 31.1432208, 121.4196551 31.1432657, 121.4196148 31.1433635, 121.4200632 31.1434988, 121.4201139 31.1433756, 121.420353 31.1434477, 121.4202628 31.1436666, 121.4200892 31.1436142, 121.4200458 31.1437197, 121.4199287 31.1436843, 121.4199496 31.1436335, 121.4195422 31.1435105, 121.4195068 31.1435964, 121.4193772 31.1435573))",,,,,,,,,
way,521677658,"[5082733472, 5082733473, 5082733474, 5082733475, 5082733476, 5082733477, 5082733478, 5082733479, 5082733472]",school,第五教学楼,Teaching Building 5,"POLYGON ((121.4192815 31.1439277, 121.4193653 31.1437182, 121.4195163 31.1437625, 121.4195081 31.143783, 121.4200786 31.1439499, 121.4200539 31.1440117, 121.4200808 31.1440285, 121.420033 31.1441479, 121.4192815 31.1439277))",,,,,,,,,
way,521677892,"[5082735611, 5082735612, 5082735613, 5082735614, 5082735611]",yes,,Auditorium,"POLYGON ((121.4181973 31.1467737, 121.4182881 31.1465238, 121.4188057 31.1466616, 121.4187148 31.1469116, 121.4181973 31.1467737))",2,,,,,,,,
way,521678010,"[5082736899, 5082736900, 5082736901, 5082736902, 5082736899]",dormitory,,,"POLYGON ((121.4174552 31.1469232, 121.417533 31.1467505, 121.4181382 31.1469444, 121.4180604 31.147111, 121.4174552 31.1469232))",,,,,,,,,
way,521678012,"[5082734250, 5082734251, 5082734252, 5082734253, 5082734250]",dormitory,,,"POLYGON ((121.418255 31.1471352, 121.41834 31.1469474, 121.4189806 31.1471261, 121.4188779 31.1473291, 121.418255 31.1471352))",,,,,,,,,
way,521678109,"[5082737977, 5082737978, 5082737979, 5082737980, 5082737977]",dormitory,留学生宿舍,Dormitory for International Student,"POLYGON ((121.4165986 31.145321, 121.4166573 31.1451787, 121.4170975 31.1453022, 121.4170364 31.1454466, 121.4165986 31.145321))",,,,,,,,,
way,521678579,"[5082744463, 5082744464, 5082744465, 5082744466, 5082744463]",yes,实验14楼,Research Building 14,"POLYGON ((121.4218278 31.1459545, 121.4218809 31.1458121, 121.4226382 31.1460302, 121.4225639 31.1461817, 121.4218278 31.1459545))",,,,,,,,,
way,521678600,"[5082744478, 5082744479, 5082744480, 5082744481, 5082744478]",yes,实验9楼,Research Building 9,"POLYGON ((121.4227815 31.1462935, 121.4228476 31.1461323, 121.4235347 31.1462935, 121.423454 31.1464776, 121.4227815 31.1462935))",,,,,,,,,
way,521678611,"[5082745378, 5082745379, 5082745380, 5082745381, 5082745378]",yes,实验11楼,Research Building 11,"POLYGON ((121.4229325 31.1459965, 121.422988 31.1458557, 121.4235248 31.146011, 121.4234692 31.1461517, 121.4229325 31.1459965))",,,,,,,,,
way,521679101,"[5082749045, 5082749046, 5082749047, 5082749048, 5082749049, 5082749050, 5082749051, 5082749052, 5082749045]",yes,Students career center,,"POLYGON ((121.4207776 31.1454182, 121.4208387 31.1452821, 121.4209341 31.1453114, 121.4209072 31.1453658, 121.4212984 31.1454768, 121.4213278 31.1454391, 121.4214378 31.1454726, 121.4213816 31.1455919, 121.4207776 31.1454182))",,,,,,,,,
way,521952253,"[5084888288, 5084888289, 11215330873, 11215330874, 5084888288]",yes,,,"POLYGON ((121.421293 31.1475029, 121.4213382 31.147394, 121.4216308 31.1474829, 121.4215856 31.1475918, 121.421293 31.1475029))",,,,,,,,,
way,521962065,"[5084955415, 5084955416, 5084955417, 5084955418, 5084955419, 5084955420, 5084960321, 5084960322, 5084960323, 5084955415]",yes,,,"POLYGON ((121.4202888 31.1448726, 121.4202752 31.1449075, 121.4202617 31.1449431, 121.4201835 31.1449253, 121.4201456 31.145031, 121.4203864 31.1450959, 121.4204243 31.1449975, 121.4203449 31.1449672, 121.4203717 31.1448962, 121.4202888 31.1448726))",,,,,,yes,,,
way,533508973,"[5175770097, 5175770098, 5175770099, 5175770100, 5175770097]",yes,,,"POLYGON ((121.4170872 31.145514, 121.4171328 31.1453992, 121.4175512 31.1455186, 121.417503 31.145631, 121.4170872 31.145514))",,,shower,,,,女浴室,,
way,543888259,"[5257658182, 5257658183, 5257658184, 5257658185, 5257658182]",university,工程培训中心,,"POLYGON ((121.4220718 31.1485956, 121.4221255 31.1484716, 121.4216668 31.1483408, 121.4216131 31.148467, 121.4220718 31.1485956))",,,,,,,,,
way,543888260,"[5257658186, 5257658187, 5257658188, 5257658211, 5257658212, 5257658189, 5257658186]",apartments,21舍,Dormitory 21,"POLYGON ((121.4215273 31.1485015, 121.421051 31.1483598, 121.4210094 31.1484763, 121.4210378 31.1484848, 121.4211039 31.1485047, 121.4214817 31.1486185, 121.4215273 31.1485015))",,,,,,,,,
way,543888262,"[5257658196, 5257658213, 5257658210, 5257658197, 5257658198, 5257658199, 5257658196]",apartments,22舍,Dormitory 22,"POLYGON ((121.4213746 31.1488713, 121.4210008 31.1487628, 121.4209363 31.1487441, 121.4208949 31.1487321, 121.4208542 31.1488434, 121.4213278 31.1489843, 121.4213746 31.1488713))",,,,,,,,,
way,543888263,"[5257658200, 5257658201, 5257658202, 5257658203, 5257658200]",apartments,12舍,Dormitory 12,"POLYGON ((121.4208339 31.1483946, 121.4202647 31.1482258, 121.4202058 31.1483754, 121.420777 31.1485407, 121.4208339 31.1483946))",,,,,,,,,
way,543888265,"[5257658206, 5257658207, 5257658208, 5257658209, 5257658206]",apartments,11舍,Dormitory 11,"POLYGON ((121.4209274 31.1481528, 121.4208725 31.1482919, 121.4203074 31.1481284, 121.4203582 31.147991, 121.4209274 31.1481528))",,,,,,,,,
way,543888266,"[5257658210, 5257659621, 5257659622, 5257658219, 5257659623, 5257658220, 5257658211, 5257658212, 5257658216, 5257658217, 5257658214, 5257658218, 5257658215, 5257658213, 5257658210]",apartments,,,"POLYGON ((121.4209363 31.1487441, 121.4209652 31.1486778, 121.420954 31.1486446, 121.4209587 31.1486084, 121.4209776 31.1485846, 121.4210071 31.1485633, 121.4210378 31.1484848, 121.4211039 31.1485047, 121.4210732 31.1485792, 121.4210853 31.1486172, 121.4210818 31.1486464, 121.42106 31.1486743, 121.4210306 31.1486966, 121.4210008 31.1487628, 121.4209363 31.1487441))",,,,,,,,,
way,551796708,"[5328661730, 5328661731, 5328661732, 5328661733, 5328661734, 5328661735, 5328661736, 5328661737, 5328661730]",university,产业大楼,,"POLYGON ((121.4232911 31.147257, 121.4236139 31.1473506, 121.4236012 31.1473826, 121.4237925 31.1474381, 121.4237317 31.1475916, 121.423524 31.1475313, 121.4235348 31.147504, 121.4232285 31.1474152, 121.4232911 31.147257))",,,,,,,,,
way,1210512806,"[11215330861, 11215330862, 11215330863, 11215330864, 11215330865, 11215330866, 11215330867, 11215330868, 11215330869, 11215330870, 11215330871, 11215330872, 11215330861]",yes,,,"POLYGON ((121.421861 31.1480243, 121.4219273 31.1480445, 121.4218468 31.1482513, 121.4221216 31.1483297, 121.4221611 31.1482108, 121.4219794 31.148154, 121.4220031 31.1480756, 121.4222922 31.1481513, 121.4221958 31.1484, 121.4221563 31.1484108, 121.4218057 31.1483054, 121.4217662 31.1482473, 121.421861 31.1480243))",,,,,,,,,
way,1210512807,"[11215330875, 11215330876, 11215330877, 11215330878, 11215330875]",yes,,,"POLYGON ((121.4219838 31.1476856, 121.4220259 31.1475874, 121.4222412 31.147655, 121.4221991 31.1477532, 121.4219838 31.1476856))",,,,,,,,,
relation,3980999,"[[[3034560128, 3034560129, 3034560130, 3034560131, 3034560233, 3034560234, 3034560235, 3034560132, 3034560128], [3034560236, 3034560237, 3034560238, 3034560239, 3034560236]]]",yes,,,"POLYGON ((121.4176871 31.1450675, 121.4175357 31.1450237, 121.4176874 31.144639, 121.4178416 31.1446836, 121.4179015 31.1445317, 121.4172575 31.1443456, 121.4169847 31.1450371, 121.417626 31.1452224, 121.4176871 31.1450675), (121.4171778 31.1448019, 121.4174288 31.1448697, 121.4173809 31.1449998, 121.4171299 31.144932, 121.4171778 31.1448019))",,,library,,,,,"[299470387, 299470388]",multipolygon
relation,6611484,"[[[4419217158, 3034716248, 3034716249, 3034716265, 4419217158], [4419217159, 3034716268, 3034716267, 3034716269, 3034716266, 3034716251, 3034716252, 3034716253, 3034716254, 3034716255, 3034716256, 3034716257, 3034716258, 3034716264, 3034716263, 3034716259, 3034716262, 3034716261, 3034716260, 3034716246, 3034716247, 4419217159]]]",school,第八教学楼,Teaching Building 8,"POLYGON ((121.4227219 31.1448538, 121.4227094 31.1448026, 121.4226774 31.1447609, 121.4226316 31.1447336, 121.4226474 31.1446953, 121.4226177 31.1446869, 121.4226341 31.144644, 121.4224475 31.1445917, 121.4224157 31.1446747, 121.4222093 31.1446168, 121.4221599 31.1447456, 121.4221894 31.144755, 121.4221797 31.1447812, 121.42217 31.14483, 121.4221783 31.144874, 121.4222158 31.1449192, 121.4222728 31.1449478, 121.4222645 31.1449687, 121.4229798 31.1451694, 121.4230418 31.1450074, 121.4227107 31.144915, 121.4227219 31.1448538), (121.4223978 31.1448268, 121.4224353 31.1447289, 121.4225583 31.1447634, 121.4225215 31.1448615, 121.4223978 31.1448268))",,,,,,,,"[299485221, 444443521]",multipolygon
