element_type,osmid,geometry,amenity,maxheight,parking,name,access,description,lit,addr:housenumber,addr:street,nodes,operator,fee,surface,building,addr:city,addr:postcode,addr:state,capacity,payment:credit_cards,charge,maxstay,ref,fee:conditional,park_ride,payment:coins,payment:debit_cards,access:conditional,supervised,website,opening_hours,operational_status,operator:type,capacity:disabled,note,old_name,area,ways,type
way,226571759,"POLYGON ((-83.7225242 42.2958474, -83.7224935 42.2947541, -83.721575 42.2947683, -83.7216057 42.2958616, -83.7225242 42.2958474))",parking,,,,private,,,,,"[2353532646, 2353532644, 2329415032, 2353532645, 2353532646]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228360904,"POLYGON ((-83.7158153 42.2969345, -83.7158155 42.296963, -83.7158167 42.2970963, -83.7159587 42.2970967, -83.7164363 42.2970934, -83.71663 42.2970925, -83.7173581 42.297089, -83.7173583 42.2970325, -83.7173538 42.2965977, -83.7171752 42.2965986, -83.7166457 42.2966011, -83.7166477 42.2968279, -83.7162226 42.2968299, -83.7162208 42.2966318, -83.7154646 42.2966354, -83.7154659 42.2967885, -83.7161565 42.2967852, -83.7161578 42.2969329, -83.7158153 42.2969345))",parking,,surface,,private,,,,,"[2370396966, 2370583575, 2370396985, 2958683395, 2370583586, 2370583592, 2370362282, 2370362268, 2370362241, 2370362239, 3533592746, 2370396948, 2370396950, 2370396930, 2370396933, 2370396946, 2370396945, 2370396963, 2370396966]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228360905,"POLYGON ((-83.7132342 42.2977087, -83.7132315 42.2973804, -83.7127894 42.2973824, -83.7127921 42.2977107, -83.7132342 42.2977087))",parking,,surface,,private,,,,,"[2370397015, 2370396994, 2370396995, 2370397016, 2370397015]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228360906,"POLYGON ((-83.7130456 42.2959373, -83.7126777 42.2959336, -83.7126718 42.2962484, -83.7130397 42.2962522, -83.7130456 42.2959373))",parking,,surface,,private,,,,,"[2370396921, 2370396919, 2370396923, 2370396924, 2370396921]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228360907,"POLYGON ((-83.7097168 42.298608, -83.7099719 42.2987321, -83.7102689 42.2988766, -83.710289 42.2988864, -83.7105159 42.2986312, -83.7099437 42.2983528, -83.7097168 42.298608))",parking,,surface,,private,,,,,"[2370397032, 4608505067, 4610076397, 2370397040, 2370397033, 2370397029, 2370397032]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228360908,"POLYGON ((-83.7119624 42.2974761, -83.7118143 42.2975746, -83.7113995 42.297233, -83.7115476 42.2971346, -83.7119624 42.2974761))",parking,,surface,,private,,,,,"[2370397003, 2370397009, 2370396992, 2370396988, 2370397003]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228360909,"POLYGON ((-83.7099663 42.2976538, -83.7106478 42.2974236, -83.7104608 42.2971207, -83.7097793 42.2973509, -83.7099663 42.2976538))",parking,,surface,,private,,,,,"[2370397013, 2370396997, 2370396986, 2370396993, 2370397013]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228360910,"POLYGON ((-83.7123209 42.2993384, -83.7113358 42.2993428, -83.7113346 42.2991996, -83.7123198 42.2991952, -83.7123207 42.2993078, -83.7123209 42.2993384))",parking,,surface,,private,,,,,"[2370397043, 2370397044, 2370397042, 2370397041, 9426397971, 2370397043]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228360911,"POLYGON ((-83.7185246 42.2949824, -83.715728 42.2950928, -83.7157395 42.295253, -83.7158195 42.2952498, -83.7163196 42.2952301, -83.7171729 42.2951964, -83.7175826 42.2951803, -83.7180342 42.2951625, -83.7185362 42.2951427, -83.7185246 42.2949824))",parking,,surface,,private,,,,,"[2370396887, 2370396892, 2370396905, 5371165120, 9051705779, 2370362119, 2370362117, 2370362116, 2370362110, 2370396887]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228360912,"POLYGON ((-83.7124964 42.2986709, -83.7125871 42.2986656, -83.7127024 42.2986589, -83.7126929 42.2985704, -83.7126709 42.2983643, -83.7126611 42.298273, -83.7125939 42.2982769, -83.7124551 42.298285, -83.7124964 42.2986709))",parking,,surface,,private,,,,,"[2370397038, 2370397036, 2370397034, 3010359845, 3010359847, 2370397024, 3010359857, 2370397025, 2370397038]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228360913,"POLYGON ((-83.7150649 42.2969177, -83.7150643 42.2969686, -83.7146188 42.296966, -83.7146225 42.296631, -83.715068 42.2966336, -83.7150649 42.2969177))",parking,,surface,,private,,,,,"[2370396962, 2370396969, 2370396967, 2370396929, 2370396932, 2370396962]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228360914,"POLYGON ((-83.7189609 42.2951215, -83.7191564 42.2957233, -83.7192695 42.296078, -83.7194033 42.2964746, -83.719545 42.2969258, -83.7195828 42.2970299, -83.7195873 42.2972689, -83.7196025 42.297816, -83.719706 42.2978139, -83.7198057 42.297812, -83.7197768 42.2970183, -83.7194092 42.2958499, -83.719393 42.2957822, -83.7191674 42.2950875, -83.7189609 42.2951215))",parking,,surface,,private,,,,,"[2370396900, 8359150014, 8359150013, 8359150012, 8359150011, 2370396978, 8359150320, 2370397022, 2370397018, 2370397023, 2370396972, 8359150322, 8359150323, 2370396894, 2370396900]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228360915,"POLYGON ((-83.7156319 42.2977796, -83.7152131 42.2977819, -83.7152097 42.2974466, -83.7152566 42.2974463, -83.7157907 42.2974433, -83.7157924 42.2976041, -83.7156369 42.297605, -83.7156301 42.297605, -83.7156319 42.2977796))",parking,,surface,,private,,,,,"[2370397020, 2370397021, 2370397002, 9051713928, 2370397000, 2370397011, 3010359891, 2370397012, 2370397020]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228360917,"POLYGON ((-83.7146246 42.2956139, -83.7148647 42.2956119, -83.7148659 42.2956893, -83.7153682 42.2956852, -83.7153675 42.2956374, -83.7153655 42.2955003, -83.7153629 42.2953321, -83.7146204 42.2953382, -83.7146246 42.2956139))",parking,,surface,,private,,,,,"[2370396914, 2370396913, 2370396917, 5371165112, 3533592716, 5371165113, 9051714002, 2370396911, 2370396914]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,242389278,"POLYGON ((-83.7021381 42.3020224, -83.7017092 42.3020222, -83.7017094 42.3016705, -83.7016289 42.3016705, -83.7016287 42.3018947, -83.7015457 42.3018946, -83.7015456 42.3019721, -83.7011512 42.3019719, -83.7011515 42.301226, -83.7016234 42.3012261, -83.7016235 42.3010198, -83.7017549 42.3010198, -83.7017548 42.3011527, -83.7020177 42.3011528, -83.7020177 42.3010654, -83.7021386 42.3010654, -83.7021381 42.3020224))",parking,,surface,NC82,private,Yellow permit required 6 AM-5 PM Monday-Friday.,yes,,,"[9168516851, 9168516848, 9168516846, 9168516843, 9168516844, 9168516845, 9168516847, 2498715335, 2498715337, 2958897523, 2498715339, 9168516835, 9168516836, 9168516842, 9168516841, 2498715341, 9168516851]",University of Michigan,,asphalt,,,,,211,,,,NC82,,,,,,,,Mo-Fr 06:00-17:00,,,,,,,,
way,242389279,"POLYGON ((-83.7037821 42.3007524, -83.7032934 42.3007524, -83.7032934 42.3003238, -83.7037821 42.3003239, -83.7037821 42.3007524))",parking,,surface,NC84,private,Blue permit required 6 AM-5 PM Monday-Friday.,yes,,,"[2498715348, 2498715349, 2498715350, 2498715351, 2498715348]",University of Michigan,,asphalt,,,,,65,,,,NC84,,,,,,,,Mo-Fr 06:00-17:00,,,,,,,,
way,242389280,"POLYGON ((-83.7025455 42.2990543, -83.702546 42.299339, -83.7024783 42.299339, -83.7024784 42.2993921, -83.7015215 42.2993929, -83.7015214 42.2993464, -83.7014557 42.2993465, -83.7014555 42.2992344, -83.7015457 42.2992343, -83.7015456 42.2991482, -83.701783 42.299148, -83.701783 42.2991235, -83.7022188 42.2991232, -83.7022188 42.2991054, -83.7024401 42.2991052, -83.70244 42.2990543, -83.7025455 42.2990543))",parking,,surface,NC86,private,Yellow permit required 6 AM-5 PM Monday-Friday.,yes,,,"[9169917930, 9169880915, 9169880916, 9169917918, 9169880908, 9169880907, 2498715353, 2498715354, 9169917926, 9169917927, 9169917928, 9169917929, 9169917925, 9169917924, 9169917923, 9169917922, 9169917930]",University of Michigan,,asphalt,,,,,82,,,,NC86,,,,,,,,Mo-Fr 06:00-17:00,,,,,,,,
way,242389281,"POLYGON ((-83.7079027 42.2973564, -83.7070427 42.2973549, -83.7070458 42.2963666, -83.7070458 42.2963604, -83.7071959 42.2963607, -83.7076744 42.2966017, -83.707836 42.2967385, -83.7078358 42.2967905, -83.7079045 42.2967906, -83.7079027 42.2973564))",parking,,surface,U of M Lot NC 91,private,"U of M Yellow parking permit required. Other valid permits: Gold, Blue, Student Yellow. Enforcement hours: 6 AM-5 PM, Monday-Friday; parking facilities are open to the public outside enforcement hours.",yes,,,"[2958898293, 2498715359, 9421776754, 2498715362, 2498715363, 9421776818, 9421776819, 2498715364, 2498715365, 2958898293]",University of Michigan,,asphalt,,,,,,,,48 hours,NC91,,,,,,,,,,,,,,,,
way,242389282,"POLYGON ((-83.7069775 42.2982818, -83.7062765 42.2982807, -83.7056077 42.2982705, -83.7056123 42.2979669, -83.7056735 42.2979674, -83.7058841 42.297801, -83.7058968 42.2977116, -83.7059688 42.2976668, -83.7062877 42.2976694, -83.7062885 42.2976138, -83.7069876 42.2976196, -83.7069818 42.2979632, -83.7069775 42.2982818))",parking,,,,private,,,,,"[2498715366, 5371372773, 2498715367, 9421727497, 9421727496, 9421727495, 2498715368, 2498715369, 2498715370, 2498715371, 2498715372, 5371372771, 2498715366]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,256664655,"POLYGON ((-83.7238466 42.2940733, -83.7237351 42.2941295, -83.7234714 42.2942316, -83.7232662 42.2942748, -83.7229813 42.2942984, -83.7229936 42.2944725, -83.7232078 42.2944607, -83.7234591 42.2944214, -83.7236289 42.2943704, -83.7238024 42.2943049, -83.7239404 42.2942264, -83.7239669 42.2942107, -83.7239082 42.2941436, -83.7238466 42.2940733))",parking,,,,private,,,,,"[2623013804, 2623013805, 2623013806, 2623013807, 2623013808, 2623013809, 2623013810, 2623013811, 2623013812, 2623013813, 2623013814, 2623013815, 2984573729, 2623013804]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,265956889,"POLYGON ((-83.7065017 42.2881344, -83.706511 42.2882966, -83.7064494 42.2882985, -83.7064633 42.2885415, -83.7063947 42.2885437, -83.7064071 42.2887593, -83.7063731 42.2887604, -83.7063782 42.2888487, -83.7063226 42.2888505, -83.7063273 42.2889332, -83.7062887 42.2889345, -83.7062935 42.2890176, -83.7062631 42.2890186, -83.7062678 42.2891009, -83.7062082 42.2891028, -83.7062129 42.2891843, -83.7061282 42.289187, -83.7061361 42.2893245, -83.706067 42.2893267, -83.7060718 42.2894102, -83.7060387 42.2894112, -83.7060439 42.289502, -83.7059858 42.2895038, -83.7059903 42.2895822, -83.7059587 42.2895832, -83.7059631 42.2896594, -83.7058983 42.2896615, -83.7059032 42.2897482, -83.7058398 42.2897502, -83.7058443 42.2898284, -83.7059028 42.2898266, -83.7059077 42.2899122, -83.7058806 42.289913, -83.7058891 42.2900615, -83.7059593 42.2900593, -83.7059633 42.2901292, -83.7059933 42.2901283, -83.7059984 42.2902177, -83.7060913 42.2902148, -83.7061003 42.290373, -83.7062375 42.2903687, -83.706242 42.2904483, -83.7054574 42.2904764, -83.7052968 42.2900868, -83.7052848 42.2899351, -83.7049295 42.2899462, -83.7049258 42.2898459, -83.7051447 42.28984, -83.7051413 42.2897637, -83.7050591 42.2897656, -83.7050026 42.2888176, -83.7050214 42.2888167, -83.7050125 42.2885945, -83.704996 42.2885944, -83.7049746 42.2881679, -83.7065017 42.2881344))",parking,,surface,U of M Lot NC 51,private,"U of M Orange parking permit required 6 AM - 5 PM, Monday-Friday. Other valid permits: Gold, Blue, Yellow, Student Yellow, Student Orange.",yes,,,"[2715594288, 10834629977, 10834629976, 10834629975, 2715594302, 10834630000, 10834629974, 10834629973, 10834629972, 10834629971, 10834629970, 10834629969, 10834629968, 10834629967, 10834629966, 2715594290, 10834629965, 10834629964, 10834629963, 10834629962, 10834629961, 10834629960, 10834629959, 10834629958, 10834629957, 10834629956, 10834629955, 10834629978, 10834629979, 10834629980, 10834629981, 10834629982, 2715594291, 10834629984, 10834629985, 10834629986, 10834629987, 2715594292, 10834629988, 10834629989, 10834629990, 2715594283, 2715594284, 10834629991, 2715594285, 2715594286, 10834629997, 10834629996, 10834629995, 10834629994, 10834629992, 10834629993, 10834629998, 10834629999, 2715594287, 2715594288]",,,asphalt,,,,,,,,,NC51,,,,,,,,,,,,,,,,
way,265956891,"POLYGON ((-83.7073655 42.2886045, -83.7069289 42.288622, -83.7068948 42.2881576, -83.7073314 42.2881401, -83.7073655 42.2886045))",parking,,surface,U of M Lot NC 52,private,"U of M Orange parking permit required 6 AM - 5 PM, Monday-Friday. Other valid permits: Gold, Blue, Yellow, Student Yellow, Student Orange.",yes,,,"[2715594298, 2715594299, 2715594300, 2715594301, 2715594298]",,,asphalt,,,,,,,,,NC52,,,,,,,,,,,,,,,,
way,270901208,"POLYGON ((-83.7406536 42.2478187, -83.7404873 42.2478197, -83.7404898 42.2479847, -83.7399872 42.2479889, -83.7399916 42.2482831, -83.7397742 42.2482849, -83.739778 42.2484318, -83.7397881 42.248969, -83.7400087 42.2489667, -83.7400129 42.2491892, -83.741728 42.2491715, -83.741727 42.2491203, -83.7419477 42.249118, -83.7419409 42.2487411, -83.7418845 42.2487417, -83.7418672 42.248704, -83.7418352 42.2486703, -83.7417836 42.2486415, -83.7417335 42.2486284, -83.7417364 42.248582, -83.7407667 42.2485948, -83.7407435 42.2478172, -83.7406536 42.2478187))",parking,,surface,State Street Park and Ride,,,,,,"[2758637916, 2758637918, 9424328672, 2758637919, 9424328673, 9424328674, 9424328671, 9424328679, 9424328680, 2758637904, 2758637905, 2758637907, 2758637908, 2758637909, 9424328670, 9424328667, 2758637910, 9424328668, 9424328669, 2758637912, 2758637913, 2758637917, 2758637916]",,no,,,,,,,,,,,,yes,,,,no,,,,,,,,,,
way,270901213,"POLYGON ((-83.7439075 42.2530096, -83.7439117 42.2536472, -83.7443514 42.2536456, -83.7443445 42.2525706, -83.7442094 42.2525711, -83.7442091 42.2525239, -83.7434782 42.2525264, -83.742781 42.2525289, -83.7427838 42.2529689, -83.7428999 42.2529685, -83.7429114 42.2529684, -83.7429117 42.2530131, -83.7439075 42.2530096))",parking,,surface,,,,,,,"[2758637960, 9424361082, 9424361081, 9424361080, 9424361079, 2758637963, 2758637965, 2758637968, 2758637970, 9424361078, 9424361083, 2758637972, 2758637960]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,277368084,"POLYGON ((-83.7437553 42.2740871, -83.7437889 42.2740196, -83.7434496 42.273704, -83.7432699 42.2737635, -83.7432698 42.2740881, -83.7437553 42.2740871))",parking,,surface,,private,,,,,"[2818844544, 2818844545, 2818844546, 2818844547, 2818844548, 2818844544]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,285037322,"POLYGON ((-83.7383127 42.2426869, -83.738516 42.2426629, -83.7385404 42.2431986, -83.7382152 42.2435146, -83.73752 42.2435507, -83.7375118 42.2434905, -83.7374102 42.2434303, -83.7383127 42.2426869))",parking,,surface,,,,,,,"[2887308990, 2887308991, 2887308992, 2887308993, 2887308994, 2887308995, 2887308996, 2887308990]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,285037323,"POLYGON ((-83.7364222 42.2431373, -83.7363949 42.2426508, -83.7351713 42.2426884, -83.7351924 42.2430638, -83.7351357 42.2430655, -83.7351419 42.2431767, -83.7364222 42.2431373))",parking,,surface,,,,,,,"[2887308997, 2887308998, 2887308999, 2887309433, 2887309434, 2887309000, 2887308997]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,285037324,"POLYGON ((-83.7363921 42.242612, -83.7363751 42.242286, -83.7351468 42.242321, -83.7351637 42.242647, -83.7363921 42.242612))",parking,,surface,,,,,,,"[2887309401, 2887309402, 2887309403, 2887309404, 2887309401]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,285037325,"POLYGON ((-83.736555 42.2422792, -83.7365684 42.2425587, -83.7366755 42.2425559, -83.7366777 42.2426006, -83.7375457 42.2425778, -83.7375431 42.2425236, -83.7377743 42.2425175, -83.7377769 42.2425713, -83.7382785 42.2425581, -83.7382629 42.2422342, -83.736555 42.2422792))",parking,,surface,,,,,,,"[2887309438, 2887309437, 2887309436, 2887309405, 2887309406, 2887309407, 2887309408, 2887309409, 3850577662, 3850577661, 2887309438]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,292082548,"POLYGON ((-83.7199878 42.2951502, -83.7205932 42.2951472, -83.7205891 42.2947981, -83.7201226 42.2948101, -83.7199784 42.2948839, -83.7199878 42.2951502))",parking,,surface,,yes,,,,,"[2955963425, 2955963426, 2955963427, 2955963428, 2955963429, 2955963425]",,no,,,,,,,,,,,yes @ (Mo-Su 06:00-17:00),,,,,,,,closed,,,,,,,
way,292320670,"POLYGON ((-83.7034194 42.2970502, -83.7034559 42.29688, -83.7031858 42.2968527, -83.7031039 42.2968447, -83.7030933 42.2969289, -83.7029697 42.2969207, -83.7028343 42.2969118, -83.7028343 42.2968405, -83.7026989 42.2968418, -83.7026989 42.2969102, -83.7025449 42.2969161, -83.7023745 42.2969226, -83.7023648 42.2968283, -83.7020163 42.2968556, -83.7014612 42.2969233, -83.701511 42.2970949, -83.7018326 42.2970491, -83.7019989 42.2970307, -83.7021946 42.2970118, -83.7024622 42.297, -83.7027595 42.2969982, -83.7030552 42.2970145, -83.7034194 42.2970502))",parking,,surface,NC65,private,Yellow permit required 6 AM-5 PM Monday-Friday.,yes,,,"[2958747666, 2958747667, 8579410922, 8579410917, 8579398416, 8579398410, 8579398415, 2958747668, 8579410919, 2958747659, 8579398413, 8579410918, 2958747669, 8579410920, 2958747670, 2958747671, 8579410921, 8579398405, 2958747672, 8579398406, 2958747673, 8579398407, 2958747666]",University of Michigan,,asphalt,,,,,82,,,,NC65,,,,,,,,Mo-Fr 06:00-17:00,,,,,,,,
way,292320674,"POLYGON ((-83.7037325 42.2955893, -83.7037395 42.2955094, -83.7037477 42.2954157, -83.7029568 42.2953777, -83.7029415 42.2955513, -83.7037325 42.2955893))",parking,,surface,,,,yes,,,"[2958747697, 2958747676, 2958747698, 2958747699, 2958747700, 2958747697]",,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,
way,292320675,"POLYGON ((-83.7025258 42.2952704, -83.702263 42.2953103, -83.7019508 42.2953983, -83.7016813 42.2955163, -83.7014163 42.2956841, -83.7012546 42.2958203, -83.7011513 42.2959117, -83.701103 42.295944, -83.7010502 42.2959648, -83.7009554 42.2959966, -83.7010362 42.2963107, -83.7011661 42.2962823, -83.7012935 42.2962393, -83.7013736 42.2961991, -83.7014612 42.2961542, -83.7015188 42.2961484, -83.701578 42.2961309, -83.7016287 42.2961097, -83.7016745 42.2960755, -83.7017535 42.2960035, -83.7018565 42.295925, -83.7019949 42.2958488, -83.7021305 42.2957838, -83.702356 42.2957077, -83.7024871 42.2956772, -83.7026179 42.2956575, -83.7025258 42.2952704))",parking,,surface,,private,,yes,,,"[2958747701, 2958747702, 2958747703, 2958747704, 2958747705, 2958747706, 2958747707, 8579410929, 2958747708, 2958747709, 2958747710, 8579410930, 2958747711, 2958747712, 2958747713, 8579410941, 2958747714, 8579410942, 2958747715, 8579410943, 2958747716, 8579410944, 2958747717, 2958747718, 8579410945, 2958747719, 2958747701]",,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,
way,292322283,"POLYGON ((-83.7029812 42.2974931, -83.7029809 42.2973338, -83.7019785 42.297335, -83.7019787 42.2974142, -83.7020859 42.297414, -83.7020861 42.2974942, -83.7029812 42.2974931))",parking,,surface,NC34,private,Yellow permit required 6 AM-5 PM Monday-Friday.,yes,,,"[2958758993, 2958758994, 2958758995, 2958758996, 9176766053, 9176766054, 2958758993]",University of Michigan,,asphalt,,,,,50,,,,NC34,,,,,,,,Mo-Fr 06:00-17:00,,,,,,,,
way,292322288,"POLYGON ((-83.7015821 42.2977521, -83.7021554 42.2977471, -83.7021564 42.2978145, -83.7024262 42.2978122, -83.7024366 42.2984701, -83.7019532 42.2984743, -83.7019522 42.2984109, -83.7019486 42.2981803, -83.7022135 42.298178, -83.702209 42.2978945, -83.7015777 42.2978999, -83.7014492 42.297914, -83.7013979 42.2977683, -83.701492 42.2977563, -83.7015821 42.2977521))",parking,,surface,NC9,private,Yellow permit required 6 AM-5 PM Monday-Friday.,yes,,,"[2958759030, 9220054324, 9220054323, 2958759031, 2958759028, 2958759029, 9176766038, 9176766080, 9176766079, 9176766074, 9176766073, 9176766072, 9176766071, 9176766066, 2958759030]",University of Michigan,,asphalt,,,,,,,,,NC9,,,,,,,,Mo-Fr 06:00-17:00,,,,,,,,
way,292333839,"POLYGON ((-83.7072525 42.3017802, -83.7063213 42.3017836, -83.7063173 42.3011929, -83.7063172 42.3011812, -83.7065178 42.3011805, -83.7072484 42.3011778, -83.7072485 42.3011964, -83.7072525 42.3017802))",parking,,surface,NC99,private,Blue permit required,,,,"[2958897519, 2958897520, 9421817178, 2958897521, 9421817180, 2958897522, 9421817183, 2958897519]",University of Michigan,no,,,,,,,,,,,,,,,,,,,,,,,,,,
way,294837491,"POLYGON ((-83.7012717 42.2943462, -83.7012695 42.2940007, -83.7003574 42.2940039, -83.7003597 42.2943494, -83.7012717 42.2943462))",parking,,,,private,,,,,"[2984591440, 2984591441, 2984591442, 2984591443, 2984591440]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,294837492,"POLYGON ((-83.7012572 42.2934766, -83.7012596 42.2931604, -83.7003699 42.2931567, -83.7003675 42.2934729, -83.7012572 42.2934766))",parking,,,,private,,,,,"[2984591444, 2984591445, 2984591446, 2984591447, 2984591444]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,294837493,"POLYGON ((-83.6991864 42.2930813, -83.6995921 42.2929455, -83.6991967 42.2922991, -83.698791 42.2924348, -83.6991864 42.2930813))",parking,,,,private,,,,,"[2984591448, 2984591449, 2984591450, 2984591451, 2984591448]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,294837494,"POLYGON ((-83.6989739 42.2936407, -83.6989674 42.2933064, -83.6980588 42.2933161, -83.6980653 42.2936504, -83.6989739 42.2936407))",parking,,,,private,,,,,"[2984591452, 2984591453, 2984591454, 2984591455, 2984591452]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,294837495,"POLYGON ((-83.6995833 42.2941308, -83.6992802 42.2939028, -83.6986463 42.2943639, -83.6989494 42.2945919, -83.6995833 42.2941308))",parking,,,,private,,,,,"[2984591456, 2984591457, 2984591458, 2984591459, 2984591456]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,298600701,"POLYGON ((-83.710891 42.3018139, -83.7113387 42.30181, -83.71133 42.301258, -83.7108823 42.3012618, -83.710891 42.3018139))",parking,,,,private,,,,,"[3024902232, 3024902333, 3024902334, 3024902335, 3024902232]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,298600702,"POLYGON ((-83.7100389 42.3002396, -83.7100343 42.2999051, -83.7097888 42.2999069, -83.7096174 42.2999082, -83.7092739 42.2999108, -83.7092785 42.3002454, -83.7097634 42.3002417, -83.7100389 42.3002396))",parking,,,,private,,,,,"[3024902336, 3024902337, 4608505057, 4608505031, 3024902338, 3024902340, 4608505030, 3024902336]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,298600703,"POLYGON ((-83.7102465 42.3011244, -83.7101142 42.301159, -83.7095309 42.3013116, -83.7093821 42.3010005, -83.7100977 42.3008132, -83.7102465 42.3011244))",parking,,,,private,,,,,"[3024902341, 4608505040, 3024902342, 3024902343, 3024902344, 3024902341]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,305031997,"POLYGON ((-83.7351999 42.2827039, -83.735189 42.2823608, -83.7342851 42.2823891, -83.7342994 42.282729, -83.7344223 42.2827256, -83.7345327 42.2827235, -83.7351999 42.2827039))",parking,,multi-storey,U-M M86 Ann Structure,private,,,,,"[3095946647, 3095946648, 3095946649, 3095946650, 3095946656, 3095946655, 3095946647]",University of Michigan,,,yes,,,,,,,,,,,,,,,,,,university,,,,,,
way,305031998,"POLYGON ((-83.7351653 42.2830788, -83.7351552 42.2828695, -83.7351015 42.2828698, -83.7350933 42.2827451, -83.734532 42.2827613, -83.7345327 42.2827235, -83.7344223 42.2827256, -83.734424 42.2827654, -83.7344124 42.2827654, -83.73443 42.2831021, -83.7351653 42.2830788))",parking,,multi-storey,U-M M5 Catherine Structure,private,,,,,"[3095946651, 5615363518, 5615363517, 3095946652, 3095946654, 3095946655, 3095946656, 5615363515, 5615363516, 3095946653, 3095946651]",University of Michigan,,,yes,,,,398,,,,,,,,,,,,,,university,,,,,,
way,305362452,"POLYGON ((-83.709896 42.2931446, -83.709898 42.2932711, -83.7100533 42.2932698, -83.7100496 42.2930322, -83.7098386 42.293034, -83.7098394 42.2930885, -83.709896 42.2931446))",parking,,surface,U of M Lot NC 22,private,U of M Blue permit required 6 AM-5 PM Monday-Friday. Other valid permits: Gold.,yes,,,"[9838875877, 3099825315, 3099825312, 3099825313, 3099825314, 9838875876, 9838875877]",University of Michigan,,asphalt,,,,,16,,,,NC22,,,,,,,,,,,,,,,,
way,305610779,"POLYGON ((-83.7125855 42.2881423, -83.7125812 42.2877639, -83.7120762 42.2877671, -83.7120805 42.2881454, -83.7125855 42.2881423))",parking,,surface,Ford Library Parking Lot NC 47,private,"Ford Library Parking. Permit required 8 AM - 5 PM, Monday - Friday. Visitors obtain permit inside.",yes,,,"[3102594581, 3102594582, 3102594583, 3102594584, 3102594581]",,,asphalt,,,,,,,,,NC47,,,,,,,,,,,,,,,,
way,305610782,"POLYGON ((-83.7259654 42.2958848, -83.7257618 42.2954836, -83.7255251 42.2955493, -83.7257287 42.2959505, -83.7257967 42.2959316, -83.7258537 42.2959158, -83.7259654 42.2958848))",parking,,surface,,,,,,,"[3102594591, 3102594592, 3102594593, 3102594594, 5173713168, 3102594590, 3102594591]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,308924349,"POLYGON ((-83.7342299 42.2782389, -83.7341295 42.2782378, -83.7341453 42.2777996, -83.734208 42.277804, -83.7342939 42.2778281, -83.734419 42.2779206, -83.7343502 42.2779713, -83.7343888 42.278001, -83.7343001 42.2780625, -83.7343452 42.2780943, -83.734359 42.2780827, -83.7343752 42.2780947, -83.7344256 42.2780603, -83.7346207 42.2782078, -83.7345729 42.2782883, -83.7342287 42.2782847, -83.7342299 42.2782389))",parking,,surface,,private,,,,,"[3142097096, 5481488675, 3142097097, 5481488701, 5481488681, 5481488680, 5481488679, 5481488678, 5481488693, 5481488694, 3142097099, 5481488695, 5481488696, 3142097100, 3142097101, 5481488676, 3142097096]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,313502488,"POLYGON ((-83.676401 42.3106167, -83.676391 42.3103751, -83.6761511 42.3103805, -83.6761611 42.3106222, -83.6762816 42.3106194, -83.676401 42.3106167))",parking,,surface,,destination,Parking permitted in designated areas only. There are 13 spaces for disabled and four spaces for short term parking (only 30 munites).,yes,,,"[3194993244, 3194993242, 3194993240, 3194993243, 10892393881, 3194993244]",University of Michigan,no,asphalt,,,,,17,,,48 hours,,,,,,,,,,,,13,,,,,
