u,v,key,osmid,highway,oneway,reversed,length,width,geometry,lanes,name,access,bridge,service,maxspeed,junction,tunnel
3079601291,3079601290,0,303571857,service,False,True,17.656,,"LINESTRING (-83.6978855 42.2964798, -83.6976814 42.2964306)",,,,,,,,
3079601292,3079601296,0,303571858,service,False,False,33.693,,"LINESTRING (-83.6982758 42.2979944, -83.6982732 42.2982974)",,,,,parking_aisle,,,
3079601292,62535051,0,8726407,residential,False,False,230.939,,"LINESTRING (-83.6982758 42.2979944, -83.698617 42.298018, -83.698787 42.298005, -83.69888 42.297998, -83.699161 42.297969, -83.699524 42.297909, -83.699894 42.297794, -83.700322 42.297633, -83.700925 42.297428)",2,Baxter Road,,,,30 mph,,
3079601292,3079601297,0,8726407,residential,False,True,68.042,,"LINESTRING (-83.6982758 42.2979944, -83.69811 42.297983, -83.6974544 42.2979219)",2,Baxter Road,,,,30 mph,,
9168493711,9168493710,0,992339530,footway,False,True,18.412,,"LINESTRING (-83.7030691 42.3002132, -83.7030691 42.3001911, -83.7032631 42.300192)",,,,,,,,
9168493707,2958897504,0,292333852,service,False,True,16.004,,"LINESTRING (-83.7036862 42.3007262, -83.7038808 42.3007263)",,,,,parking_aisle,,,
9168493707,2958898261,0,292333852,service,False,False,42.483000000000004,,"LINESTRING (-83.7036862 42.3007262, -83.7033895 42.300726, -83.7033868 42.3005634)",,,,,parking_aisle,,,
9168493707,9168493706,0,992339529,footway,False,True,14.165,,"LINESTRING (-83.7036862 42.3007262, -83.7036864 42.3007706, -83.703621 42.3007708, -83.7035742 42.3007709)",,,,,,,,
9168493706,9168493703,0,992339528,footway,False,False,19.993,,"LINESTRING (-83.7035742 42.3007709, -83.7035743 42.3009507)",,,,,,,,
9168493706,9168493707,0,992339529,footway,False,False,14.165,,"LINESTRING (-83.7035742 42.3007709, -83.703621 42.3007708, -83.7036864 42.3007706, -83.7036862 42.3007262)",,,,,,,,
9168493706,9168493710,0,992339529,footway,False,True,89.80699999999999,,"LINESTRING (-83.7035742 42.3007709, -83.703266 42.3007717, -83.7032631 42.300192)",,,,,,,,
9168493710,9168516725,0,992339530,footway,False,True,0.864,,"LINESTRING (-83.7032631 42.300192, -83.7032736 42.3001921)",,,,,,,,
9168493710,9168493706,0,992339529,footway,False,False,89.80699999999999,,"LINESTRING (-83.7032631 42.300192, -83.703266 42.3007717, -83.7035742 42.3007709)",,,,,,,,
9168493710,9168493711,0,992339530,footway,False,False,18.412,,"LINESTRING (-83.7032631 42.300192, -83.7030691 42.3001911, -83.7030691 42.3002132)",,,,,,,,
3079601296,3079601292,0,303571858,service,False,True,33.693,,"LINESTRING (-83.6982732 42.2982974, -83.6982758 42.2979944)",,,,,parking_aisle,,,
3079601296,3079601296,0,303571858,service,False,False,153.92499999999998,,"LINESTRING (-83.6982732 42.2982974, -83.6982689 42.2988128, -83.6985099 42.2988177, -83.6985099 42.2983023, -83.6982732 42.2982974)",,,,,parking_aisle,,,
3079601296,3079601296,1,303571858,service,False,True,153.925,,"LINESTRING (-83.6982732 42.2982974, -83.6985099 42.2983023, -83.6985099 42.2988177, -83.6982689 42.2988128, -83.6982732 42.2982974)",,,,,parking_aisle,,,
3079601297,62535097,0,8726407,residential,False,True,19.432,,"LINESTRING (-83.6974544 42.2979219, -83.69722 42.2979)",2,Baxter Road,,,,30 mph,,
3079601297,3079601292,0,8726407,residential,False,False,68.042,,"LINESTRING (-83.6974544 42.2979219, -83.69811 42.297983, -83.6982758 42.2979944)",2,Baxter Road,,,,30 mph,,
3079601297,3079601300,0,303571859,service,False,False,111.183,,"LINESTRING (-83.6974544 42.2979219, -83.6974532 42.2981606, -83.6975061 42.2982095, -83.6975193 42.298908)",,,,,parking_aisle,,,
9168493713,9168516725,0,992339531,footway,False,False,10.261999999999999,,"LINESTRING (-83.7033589 42.3001834, -83.7033564 42.3001761, -83.7033403 42.3001641, -83.7033182 42.3001596, -83.703296 42.3001638, -83.7032797 42.3001757, -83.7032736 42.3001921)",,,,,,,,
9168493713,9168516725,1,992339531,footway,False,True,12.35,,"LINESTRING (-83.7033589 42.3001834, -83.7033621 42.3001925, -83.703356 42.3002089, -83.7033397 42.3002208, -83.7033175 42.300225, -83.7032954 42.3002205, -83.7032794 42.3002085, -83.7032736 42.3001921)",,,,,,,,
9168493713,9179870182,0,992339541,footway,False,True,9.704,,"LINESTRING (-83.7033589 42.3001834, -83.7033775 42.3001821, -83.7034768 42.3001819)",,,,,,,,
2370583699,2370583701,0,228374732,footway,False,False,13.852,,"LINESTRING (-83.7158065 42.2976545, -83.7156381 42.2976565)",,,,,,,,
2370583699,2370583748,0,228374732,footway,False,True,12.699,,"LINESTRING (-83.7158065 42.2976545, -83.7158058 42.2977687)",,,,,,,,
2370583699,2370583664,0,978224511,footway,False,True,24.308,,"LINESTRING (-83.7158065 42.2976545, -83.7158044 42.2974359)",,,,,,,,
3079601300,3079601297,0,303571859,service,False,True,111.183,,"LINESTRING (-83.6975193 42.298908, -83.6975061 42.2982095, -83.6974532 42.2981606, -83.6974544 42.2979219)",,,,,parking_aisle,,,
2370583701,3010359891,0,228374732,footway,False,False,5.727,,"LINESTRING (-83.7156381 42.2976565, -83.7156369 42.297605)",,,,,,,,
2370583701,2370583699,0,228374732,footway,False,True,13.852,,"LINESTRING (-83.7156381 42.2976565, -83.7158065 42.2976545)",,,,,,,,
2370583701,2370583750,0,228374734,footway,False,False,14.574,,"LINESTRING (-83.7156381 42.2976565, -83.7156439 42.2977875)",,,,,,,,
3079601302,62535097,0,303571860,service,False,True,109.298,,"LINESTRING (-83.6971593 42.2988812, -83.6971759 42.2982266, -83.69722 42.2979)",,,,,parking_aisle,,,
3079601303,62535103,0,8726407,residential,False,True,49.746,,"LINESTRING (-83.6955456 42.2978008, -83.694941 42.297788)",2,Baxter Road,,,,30 mph,,
3079601303,3079601304,0,303571861,service,False,False,37.598,,"LINESTRING (-83.6955456 42.2978008, -83.6955403 42.2981389)",,,,,parking_aisle,,,
3079601303,3079601285,0,8726407,residential,False,False,61.86,,"LINESTRING (-83.6955456 42.2978008, -83.695694 42.297804, -83.6962958 42.2978391)",2,Baxter Road,,,,30 mph,,
3079601304,3079601303,0,303571861,service,False,True,37.598,,"LINESTRING (-83.6955403 42.2981389, -83.6955456 42.2978008)",,,,,parking_aisle,,,
3079601304,3079601304,0,303571861,service,False,False,152.843,,"LINESTRING (-83.6955403 42.2981389, -83.6955438 42.2986243, -83.6954986 42.298667, -83.6954258 42.29868, -83.6953581 42.2986725, -83.6953104 42.2986224, -83.6952978 42.2981343, -83.6955403 42.2981389)",,,,,parking_aisle,,,
3079601304,3079601304,1,303571861,service,False,True,152.84300000000002,,"LINESTRING (-83.6955403 42.2981389, -83.6952978 42.2981343, -83.6953104 42.2986224, -83.6953581 42.2986725, -83.6954258 42.29868, -83.6954986 42.298667, -83.6955438 42.2986243, -83.6955403 42.2981389)",,,,,parking_aisle,,,
3079601312,62535098,0,303571862,service,False,True,154.31799999999998,,"LINESTRING (-83.6964277 42.2983604, -83.6964325 42.2986698, -83.6962234 42.2986752, -83.6962114 42.2982129, -83.6963484 42.2982022, -83.696363 42.297843)",,,,,parking_aisle,,,
2370583717,2370583746,0,228374735,footway,False,True,8.687,,"LINESTRING (-83.7160362 42.2976919, -83.7160303 42.2977699)",,,,,,,,
2370583727,2370583735,0,228374745,footway,False,False,6.917,,"LINESTRING (-83.7164743 42.297704, -83.7164749 42.2977662)",,,,,,,,
2370583735,9051713938,0,228374732,footway,False,False,2.765,,"LINESTRING (-83.7164749 42.2977662, -83.7164413 42.2977669)",,,,,,,,
2370583735,2370583727,0,228374745,footway,False,True,6.917,,"LINESTRING (-83.7164749 42.2977662, -83.7164743 42.297704)",,,,,,,,
2370583735,2370583672,0,228374732,footway,False,True,43.153,,"LINESTRING (-83.7164749 42.2977662, -83.716517 42.2977633, -83.7165633 42.297754, -83.7166003 42.2977395, -83.7166244 42.2977138, -83.7166314 42.2976848, -83.7166291 42.2974552)",,,,,,,,
2370583735,9051713940,0,228374745,footway,False,False,38.254,,"LINESTRING (-83.7164749 42.2977662, -83.7164746 42.2979207, -83.7164654 42.2979518, -83.7164401 42.2979802, -83.7164067 42.2979994, -83.7163679 42.2980077, -83.7162834 42.2980089)",,,,,,,,
11034401977,11034401980,0,1188307947,service,False,False,12.354,20',"LINESTRING (-83.7210276 42.2901684, -83.7210272 42.2902795)",,,,,driveway,,,
11034401977,11012499199,0,1186536868,service,False,True,19.296,20',"LINESTRING (-83.7210276 42.2901684, -83.7210277 42.2901272, -83.7210779 42.2901271, -83.7212066 42.2901268)",,,,,driveway,,,
11034401977,11034401978,0,"[1188307949, 1188307950]",footway,False,False,19.259,,"LINESTRING (-83.7210276 42.2901684, -83.7209725 42.2901684, -83.7209534 42.2901684, -83.7209561 42.2902867)",,,,,,,,
11034401977,11012499200,0,"[1185535308, 1188307950]",footway,False,True,14.691,,"LINESTRING (-83.7210276 42.2901684, -83.7210774 42.2901684, -83.7212062 42.290168)",,,,,,,,
11034401978,11034401977,0,"[1188307949, 1188307950]",footway,False,True,19.259,,"LINESTRING (-83.7209561 42.2902867, -83.7209534 42.2901684, -83.7209725 42.2901684, -83.7210276 42.2901684)",,,,,,,,
11034401980,11034401977,0,1188307947,service,False,True,12.354,20',"LINESTRING (-83.7210272 42.2902795, -83.7210276 42.2901684)",,,,,driveway,,,
2370583744,2370583746,0,228374732,footway,False,False,7.452,,"LINESTRING (-83.7161209 42.2977693, -83.7160303 42.2977699)",,,,,,,,
2370583744,9051713938,0,228374732,footway,False,True,26.353,,"LINESTRING (-83.7161209 42.2977693, -83.7164413 42.2977669)",,,,,,,,
