element_type,osmid,amenity,bicycle_parking,capacity,covered,geometry,access,fee,lit,operator,surface,nodes,building,description,layer
way,604288786,bicycle_parking,bollard,10,no,"POLYGON ((-83.7408608 42.2752758, -83.7408364 42.275276, -83.7408372 42.2753348, -83.7408616 42.2753347, -83.7408608 42.2752758))",,,,,,"[5734325387, 5734325388, 5734325389, 5734325390, 5734325387]",,,
way,604288788,bicycle_parking,bollard,14,no,"POLYGON ((-83.7408552 42.2751642, -83.7408527 42.2750477, -83.7408293 42.2750479, -83.7408319 42.2751645, -83.7408552 42.2751642))",,,,,,"[5734325392, 5734325393, 5734325394, 5734325395, 5734325392]",,,
way,651368746,bicycle_parking,stands,48,no,"POLYGON ((-83.7436207 42.2752084, -83.7434361 42.2752101, -83.7434352 42.2751618, -83.7436199 42.2751602, -83.7436207 42.2752084))",,,,,,"[6108257997, 6108257998, 6108257999, 6108258000, 6108257997]",,,
way,651368747,bicycle_parking,stands,24,no,"POLYGON ((-83.7434342 42.2751277, -83.743434 42.2751102, -83.7435791 42.2751095, -83.7435793 42.275127, -83.7434342 42.2751277))",,,,,,"[6108258001, 6108258002, 6108258003, 6108258004, 6108258001]",,,
way,723285333,bicycle_parking,loops,54,no,"POLYGON ((-83.7159667 42.2935067, -83.7158821 42.2935076, -83.7158806 42.2934269, -83.7159652 42.293426, -83.7159667 42.2935067))",,no,,,,"[6784131315, 6784131316, 6784131317, 6784131318, 6784131315]",,,
way,723678120,bicycle_parking,loops,50,no,"POLYGON ((-83.7378756 42.2721739, -83.7378739 42.2721024, -83.7376997 42.2721046, -83.7377014 42.2721761, -83.7378756 42.2721739))",,,,,,"[6787305741, 6787305742, 6787305743, 6787305744, 6787305741]",,,
way,723680220,bicycle_parking,stands,104,no,"POLYGON ((-83.7169509 42.2915889, -83.7168786 42.2915892, -83.7168773 42.29136, -83.7168771 42.2913307, -83.7169495 42.2913304, -83.7169509 42.2915889))",,,,,,"[6787313483, 3096018418, 3096018423, 6787313484, 6787323485, 6787313483]",,,
way,905192717,bicycle_parking,stands,38,no,"POLYGON ((-83.709659 42.2941705, -83.7096342 42.2941741, -83.7096554 42.2942544, -83.7096944 42.2942487, -83.709742 42.2942419, -83.7097167 42.2941459, -83.7096898 42.2941498, -83.7096739 42.2941521, -83.7096572 42.2941545, -83.709659 42.2941705))",yes,no,yes,University of Michigan,concrete,"[10862434377, 8406231664, 8406231667, 8406231660, 8406231666, 8406231665, 10862434378, 8406231661, 10862434376, 10862434377]",,,
way,977866682,bicycle_parking,stands,20,no,"POLYGON ((-83.7316596 42.2803171, -83.7316592 42.2803033, -83.731587 42.2803044, -83.7315874 42.2803182, -83.7316596 42.2803171))",,,,,,"[9048229752, 9048229751, 9048229750, 9048229749, 9048229752]",,,
way,980710255,bicycle_parking,stands,,no,"POLYGON ((-83.7347598 42.275453, -83.734759 42.2753836, -83.734735 42.2753838, -83.7347358 42.2754531, -83.7347598 42.275453))",,,,,,"[9071728056, 9071728055, 9071728054, 9071728053, 9071728056]",,,
