u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,access,geometry,tunnel,bridge,service
1108317788,1108317789,0,95587067,,,footway,,False,False,75.40299999999999,,"LINESTRING (-0.1736822 51.4994474, -0.1735506 51.4993201, -0.1733749 51.4992068, -0.1731276 51.4990936, -0.1728736 51.4990115)",,,
1108317788,1108317755,0,95587068,,,footway,,False,True,32.795,,"LINESTRING (-0.1736822 51.4994474, -0.1737164 51.4996112, -0.1737215 51.4996698, -0.1736985 51.4997159, -0.1736832 51.4997366)",,,
1108317789,1108317758,0,95587067,,,footway,,False,False,45.708,,"LINESTRING (-0.1728736 51.4990115, -0.1726678 51.498946, -0.172494 51.4989028, -0.1723489 51.4988811, -0.1722584 51.4988683)",,,
1108317789,1108317788,0,95587067,,,footway,,False,True,75.40299999999999,,"LINESTRING (-0.1728736 51.4990115, -0.1731276 51.4990936, -0.1733749 51.4992068, -0.1735506 51.4993201, -0.1736822 51.4994474)",,,
1108317789,1108317801,0,95587069,,,footway,,False,False,66.521,,"LINESTRING (-0.1728736 51.4990115, -0.172691 51.4991179, -0.1725253 51.4992407, -0.1724078 51.4993568, -0.1723295 51.4994933)",,,
1108317789,1108317750,0,95587069,,,footway,,False,True,55.256,,"LINESTRING (-0.1728736 51.4990115, -0.1730892 51.4988951, -0.1733074 51.4988064, -0.1735344 51.4987379)",,,
1108317792,1108317716,0,8392342,,Watt's Way,service,20 mph,False,True,93.478,destination,"LINESTRING (-0.1721722 51.4987669, -0.1735129 51.4986663)",,,
1108317792,1108317714,0,95587070,,,service,,False,False,10.722,destination,"LINESTRING (-0.1721722 51.4987669, -0.1721849 51.498863)",,,
1108317801,1108317687,0,95587066,,,footway,,False,False,4.219,,"LINESTRING (-0.1723295 51.4994933, -0.1722692 51.4994988)",,,
1108317801,1108317755,0,95587066,,,footway,,False,True,100.63899999999998,,"LINESTRING (-0.1723295 51.4994933, -0.1724717 51.4994856, -0.1726607 51.4994872, -0.1728881 51.4995015, -0.1730924 51.4995317, -0.1732483 51.4995619, -0.1733734 51.4996017, -0.1735216 51.4996542, -0.1736161 51.4996971, -0.1736832 51.4997366)",,,
1108317801,1108317789,0,95587069,,,footway,,False,True,66.521,,"LINESTRING (-0.1723295 51.4994933, -0.1724078 51.4993568, -0.1725253 51.4992407, -0.172691 51.4991179, -0.1728736 51.4990115)",,,
