element_type,osmid,nodes,amenity,building,emergency,healthcare,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,operator,operator:type,wheelchair,geometry,building:levels,smoking,ref,leisure,air_conditioning,outdoor_seating,layer,note,access,sport,description,internet_access,internet_access:fee,addr:city,addr:housenumber,addr:postcode,addr:street,foot,start_date,addr:province,bicycle_parking,man_made
way,270334648,"[2753721038, 2753721043, 2753721045, 2753721048, 2753721051, 2753721054, 2753721038]",,yes,,,学生服务中心,,学生服务中心,学生服务中心,學生服務中心,中国科学技术大学,,yes,"POLYGON ((117.2629951 31.8371618, 117.2630224 31.8368484, 117.2626609 31.8368257, 117.2626497 31.8369537, 117.2627975 31.836963, 117.2627813 31.8371484, 117.2629951 31.8371618))",,no,,,,,,,,,,,,,,,,,,,,
way,270334649,"[2753721057, 2753721060, 2753721062, 2753721065, 2753721068, 2753721071, 2753721057]",,university,,,国际学院（国际合作与交流部）,,国际学院（国际合作与交流部）,国际学院（国际合作与交流部）,國際學院（國際合作與交流部）,中国科学技术大学,,yes,"POLYGON ((117.2625702 31.8376807, 117.2629307 31.837704, 117.2629506 31.8374809, 117.2625577 31.8374556, 117.2625512 31.8375284, 117.2625836 31.8375305, 117.2625702 31.8376807))",,no,,,,,,,,,,,,,,,,,,,,
way,270537512,"[2755623185, 2755623186, 2755623187, 2755623188, 2755623189, 2755623190, 2755623191, 2755623192, 2755623193, 2755623194, 2755623195, 2755623196, 2755623185]",,yes,,,教学行政楼,,教学行政楼,教学行政楼,教學行政樓,中国科学技术大学,,yes,"POLYGON ((117.2657115 31.8433752, 117.2657164 31.8432698, 117.2656415 31.8432673, 117.2656442 31.8432095, 117.2653512 31.8431997, 117.2651604 31.8432276, 117.2648616 31.8431333, 117.2648329 31.843199, 117.2648518 31.843205, 117.2648386 31.8432352, 117.2648588 31.8432415, 117.2648539 31.8433465, 117.2657115 31.8433752))",,no,,,,,,,,,,,,,,,,,,,,
way,270537513,"[2755623197, 2755623198, 2755623199, 2755623200, 2755623201, 2755623202, 2755623203, 2755623204, 2755623209, 2755623205, 2755623206, 2755623207, 2755623208, 2755623197]",,yes,,,管理科学教学科研楼,,管理科学教学科研楼,管理科学教学科研楼,管理科學教學科研樓,中国科学技术大学,,yes,"POLYGON ((117.2669841 31.8433233, 117.2669427 31.8433233, 117.2669463 31.8432529, 117.266903 31.8432513, 117.2668832 31.8432406, 117.266611 31.8432314, 117.2664451 31.8432069, 117.2661297 31.8432375, 117.2661337 31.8432605, 117.2661387 31.8432896, 117.2661657 31.8432911, 117.2661693 31.8433876, 117.2669823 31.8434121, 117.2669841 31.8433233))",,no,,,,,,,,,,,,,,,,,,,,
way,270537514,"[2755623209, 2755623210, 2755623211, 2755623212, 2755623213, 2755623214, 2755623215, 2755623216, 2755623217, 2755623218, 2755623219, 2755623220, 2755623207, 2755623206, 2755623205, 2755623209]",,yes,,,管理学院MBA中心,,管理学院MBA中心,管理学院MBA中心,管理學院MBA中心,中国科学技术大学,,yes,"POLYGON ((117.2661337 31.8432605, 117.266099 31.8432605, 117.2659422 31.8432146, 117.2658917 31.8432207, 117.2658593 31.8432498, 117.2658431 31.8432896, 117.2658557 31.8433738, 117.2658935 31.8433692, 117.265908 31.8433861, 117.2659368 31.8433922, 117.2660071 31.8433861, 117.2660792 31.8433983, 117.2661693 31.8433876, 117.2661657 31.8432911, 117.2661387 31.8432896, 117.2661337 31.8432605))",,no,,,,,,,,,,,,,,,,,,,,
way,270537516,"[2755623226, 2755623227, 2755623228, 2755623229, 2755623230, 2755623231, 2755623232, 2755623233, 2755623234, 2755623235, 2755623236, 2755623237, 2755623238, 2755623239, 2755623240, 2755623241, 2755623242, 2755623243, 2755623226]",,yes,,,,,,,,中国科学技术大学,,yes,"POLYGON ((117.2644432 31.842644, 117.26445 31.8425016, 117.2641489 31.8424913, 117.2641522 31.8424233, 117.2642111 31.8424253, 117.2642138 31.8423684, 117.2641549 31.8423663, 117.2641591 31.8422775, 117.2640097 31.8422724, 117.2640048 31.8423757, 117.264063 31.8423777, 117.2640606 31.842428, 117.2638514 31.8424207, 117.2638433 31.8425916, 117.2640339 31.8425981, 117.2640308 31.8426627, 117.264146 31.8426665, 117.2641476 31.842634, 117.2644432 31.842644))",,no,,,,,,,,,,,,,,,,,,,,
way,271365631,"[2763190972, 2763190977, 2763190979, 2763190981, 2763190984, 2763190986, 2763190988, 2763190990, 2763190993, 2763190994, 2763190995, 2763190997, 2763190998, 2763190999, 2763191001, 2763191002, 2763191004, 2763191005, 2763191006, 2763191008, 2763190972]",,yes,,,行政楼,,行政楼,行政楼,行政樓,中国科学技术大学,,yes,"POLYGON ((117.2641386 31.8385248, 117.2640596 31.8385203, 117.2640441 31.8387139, 117.2641834 31.8387219, 117.2641867 31.8386803, 117.264366 31.8386907, 117.26436 31.8387663, 117.2645034 31.8387746, 117.2645091 31.8387037, 117.2647104 31.8387153, 117.264708 31.8387457, 117.2648289 31.8387527, 117.2648432 31.8385754, 117.2647545 31.8385703, 117.2647491 31.8386378, 117.2645304 31.8386251, 117.2645315 31.8386116, 117.2643677 31.8386021, 117.2643666 31.8386153, 117.2641325 31.8386017, 117.2641386 31.8385248))",,no,218#,,,,,,,,,,,,,,,,,,,
way,271365634,"[2763191009, 2763191034, 2763191036, 2763191038, 2763191035, 2763191011, 2763191012, 2763191013, 2763191015, 2763191016, 2763191018, 2763191019, 2763191020, 2763191022, 2763191023, 2763191027, 2763191028, 2763191029, 2763191031, 2763191032, 2763191009]",,yes,,,校史馆,,校史馆,校史馆,校史館,中国科学技术大学,,yes,"POLYGON ((117.2642042 31.8380029, 117.2644252 31.8380169, 117.2644242 31.8380277, 117.264576 31.8380372, 117.264577 31.8380256, 117.2647904 31.838039, 117.2647838 31.8381146, 117.2648897 31.8381213, 117.2649065 31.8379277, 117.2647782 31.8379197, 117.264776 31.8379448, 117.2645805 31.8379325, 117.2645833 31.8379011, 117.2644419 31.8378922, 117.2644388 31.8379277, 117.264246 31.8379156, 117.2642482 31.8378901, 117.2641228 31.8378822, 117.2641064 31.8380699, 117.2641978 31.8380757, 117.2642042 31.8380029))",,no,219#,,,,,,,,,,,,,,,,,,,
way,271365637,"[2763191039, 2763191041, 2763191042, 2763191043, 2763191039]",,yes,,,服务楼,,服务楼,服务楼,服務樓,中国科学技术大学,,yes,"POLYGON ((117.2651453 31.8380187, 117.2651521 31.8379182, 117.2657611 31.8379477, 117.2657544 31.8380482, 117.2651453 31.8380187))",,no,213#,,,,,,,,,,,,,,,,,,,
way,271958257,"[2768927303, 2768927304, 2768927305, 2768927306, 2768927307, 2768927308, 2768927310, 2768927311, 2768927312, 2768927313, 2768927314, 10586958106, 2768927321, 2768927322, 2768927323, 2768927324, 2768927325, 2768927327, 2768927328, 2768927329, 2768927330, 2768927331, 2768927332, 2768927333, 2768927334, 2768927335, 2768927337, 2768927338, 2768927303]",,yes,,,第二教学楼,,第二教学楼,第二教学楼,第二教學樓,中国科学技术大学,,yes,"POLYGON ((117.2652418 31.8396566, 117.2652336 31.8397681, 117.2653834 31.839776, 117.2653793 31.8398328, 117.2653299 31.8398302, 117.2653254 31.8398923, 117.265363 31.8398942, 117.2653567 31.8399817, 117.2648835 31.8399574, 117.264878 31.8400339, 117.2648351 31.8400318, 117.2648307 31.840076, 117.2648737 31.8400783, 117.2648713 31.8401083, 117.2654177 31.8401389, 117.2654155 31.8401671, 117.2656063 31.8401777, 117.2656182 31.8400228, 117.2655524 31.8400192, 117.2655482 31.8400741, 117.2653937 31.8400656, 117.2654063 31.8399008, 117.2655592 31.8399092, 117.2655673 31.8398022, 117.2654043 31.8397933, 117.2654089 31.8397324, 117.2654565 31.8397349, 117.2654615 31.8396684, 117.2652418 31.8396566))",8,no,,,,,1,,,,,,,,,,,,,,,
