u,v,key,osmid,oneway,name,highway,reversed,length,access,geometry,tunnel,width,bridge
2706839947,2710571989,0,265032066,False,,service,True,174.646,permissive,"LINESTRING (117.2622179 31.8358841, 117.2622738 31.8350669, 117.2624562 31.8350122, 117.2627432 31.8350373, 117.2627809 31.8353784)",,,
2706839948,3027002392,0,265032060,False,四牌楼路,residential,False,38.003,permissive,"LINESTRING (117.262175 31.8366292, 117.2625762 31.8366543)",,,
2706839948,2706839916,0,265032060,False,四牌楼路,residential,True,95.973,permissive,"LINESTRING (117.262175 31.8366292, 117.2611603 31.8365864)",,,
2706839948,2706839947,0,265032066,False,,service,True,82.95,permissive,"LINESTRING (117.262175 31.8366292, 117.2621794 31.8365529, 117.2622179 31.8358841)",,,
2706849468,2706839906,0,265575538,False,,service,True,51.566,permissive,"LINESTRING (117.2609083 31.8380393, 117.2609407 31.837765, 117.2610691 31.8376118)",,,
2706849469,2706839909,0,265032060,False,四牌楼路,residential,False,19.46,permissive,"LINESTRING (117.2604796 31.8365498, 117.2606853 31.8365593)",,,
2706849469,2706839937,0,265033438,False,,service,False,87.724,permissive,"LINESTRING (117.2604796 31.8365498, 117.2605261 31.8358624, 117.260535 31.8357623)",,,
2706849471,10582890638,0,265032055,False,郭沫若路,residential,True,22.904,permissive,"LINESTRING (117.2631122 31.837096, 117.2630995 31.8373017)",,,
2706849471,2706849472,0,265033439,False,芳草路,service,False,84.244,permissive,"LINESTRING (117.2631122 31.837096, 117.2640009 31.837159)",,,
2706849471,2705289536,0,265032055,False,郭沫若路,residential,False,45.998000000000005,permissive,"LINESTRING (117.2631122 31.837096, 117.263121 31.8369533, 117.2631377 31.8366829)",,,
2706849472,2706839904,0,265032057,False,玉泉南路,residential,False,46.589,permissive,"LINESTRING (117.2640009 31.837159, 117.264041 31.8367414)",,,
2706849472,10582890639,0,265032057,False,玉泉南路,residential,True,22.14,permissive,"LINESTRING (117.2640009 31.837159, 117.2639826 31.8373575)",,,
