element_type,osmid,geometry,nodes,amenity,building,building:levels,internet_access,internet_access:fee,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,opening_hours,operator,addr:city,addr:district,addr:province,addr:street,layer,leisure,sport,access,historic,historic:civilization,ruins,bridge,level,building:min_level,ways,type
way,876065295,"POLYGON ((113.9918893 22.6045993, 113.9920182 22.6046214, 113.992094 22.6042443, 113.9919651 22.6042222, 113.9918893 22.6045993))","[6531606995, 8153829294, 8153829295, 6531606996, 6531606995]",library,yes,,,,涵泳图书馆,Learning Nexus,涵泳图书馆,涵泳图书馆,涵泳圖書館,,,,,,,,,,,,,,,,,,
way,919044335,"POLYGON ((113.9931439 22.6046959, 113.9937569 22.6048072, 113.9937803 22.6046974, 113.9936428 22.6046724, 113.9936683 22.6045522, 113.9934316 22.6045092, 113.9934065 22.6046269, 113.9931678 22.6045836, 113.9931439 22.6046959))","[8535716258, 8535716257, 8535716256, 8535716255, 8535716254, 8535716253, 8535716252, 8535716251, 8535716258]",,university,,,,,,,,,,,,,,,,,,,,,,,,,,
way,919051717,"POLYGON ((113.998014 22.6003312, 113.9980548 22.6002248, 113.99853 22.60038, 113.9985028 22.600451, 113.998206 22.6003541, 113.9981924 22.6003895, 113.998014 22.6003312))","[8535791129, 8535791128, 8535791127, 8535791126, 8535791125, 8535791124, 8535791129]",,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,
way,927400198,"POLYGON ((113.9911768 22.6042681, 113.9911841 22.6042465, 113.991199 22.6042285, 113.9912197 22.6042163, 113.9912436 22.6042113, 113.9912679 22.6042142, 113.9912897 22.6042246, 113.9913064 22.6042413, 113.9913158 22.6042622, 113.9913169 22.6042848, 113.9913096 22.6043065, 113.9912947 22.6043245, 113.9912741 22.6043367, 113.9912501 22.6043416, 113.9912258 22.6043387, 113.991204 22.6043283, 113.9911874 22.6043117, 113.9911779 22.6042908, 113.9911768 22.6042681))","[8604452289, 8604452287, 8604452286, 8604452285, 8604452284, 8604452283, 8604452282, 8604452281, 8604452280, 8604452288, 8604452279, 8604452278, 8604452277, 8604452276, 8604452275, 8604452274, 8604452273, 8604452272, 8604452289]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
way,927400201,"POLYGON ((113.9905389 22.6032877, 113.9905033 22.6035622, 113.9905656 22.6035708, 113.9906025 22.6032971, 113.9905389 22.6032877))","[8604452295, 8604452294, 8604452293, 8604452292, 8604452295]",,university,,,,,,,,,,,,,,,,,,,,,,yes,1,,,
way,927418784,"POLYGON ((113.9947751 22.6083945, 113.9947424 22.608288, 113.995154 22.6081802, 113.9951868 22.6082867, 113.9947751 22.6083945))","[8604575436, 8604575435, 8604575434, 8604575433, 8604575436]",,dormitory,7,,,荔园8栋,Lychee 8,荔园8栋,荔园8栋,荔園8棟,,,,,,,,,,,,,,,,,,
way,927418785,"POLYGON ((113.9946345 22.6084527, 113.9947571 22.6084215, 113.9946204 22.6079636, 113.9944978 22.6079948, 113.9946345 22.6084527))","[8604575440, 8604575439, 8604575438, 8604575437, 8604575440]",,dormitory,7,,,荔园7栋,Lychee 7,荔园7栋,荔园7栋,荔園7棟,,,,,,,,,,,,,,,,,,
way,927438471,"POLYGON ((113.9975441 22.6018199, 113.9978883 22.6019309, 113.9978193 22.6021489, 113.9974702 22.6020413, 113.9975441 22.6018199))","[6816439992, 6816439989, 6816439986, 6816439991, 6816439992]",,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,
way,927438472,"POLYGON ((113.9980099 22.6017152, 113.9978883 22.6019309, 113.9981293 22.601996, 113.9982285 22.6017758, 113.9980099 22.6017152))","[6816303078, 6816439989, 6816439988, 6816303079, 6816303078]",,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,
way,927438473,"POLYGON ((113.9976574 22.6016306, 113.9980099 22.6017152, 113.9980756 22.6015135, 113.997726 22.6014179, 113.9976574 22.6016306))","[6816303082, 6816303078, 6816303081, 6816439985, 6816303082]",,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,
way,927438474,"POLYGON ((113.997019 22.6027012, 113.9970951 22.602627, 113.9971554 22.6025367, 113.9971896 22.6024759, 113.9974302 22.6024714, 113.997376 22.6025849, 113.9973318 22.6026425, 113.9972885 22.6027025, 113.997019 22.6027012))","[6816440009, 8604669053, 8604669052, 6816440001, 6816439998, 8604669051, 8604669050, 6816440008, 6816440009]",,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,
way,927438475,"POLYGON ((113.9974253 22.6022482, 113.9974702 22.6020413, 113.997222 22.6019708, 113.9972372 22.602042, 113.9972352 22.6021367, 113.9971847 22.6022527, 113.9974253 22.6022482))","[6816439999, 6816439991, 6816439990, 8604669048, 8604669049, 6816440000, 6816439999]",,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,
way,927438476,"POLYGON ((113.997638 22.6028806, 113.9976446 22.6026261, 113.9978899 22.6027025, 113.9978743 22.6029504, 113.997638 22.6028806))","[6816440005, 6816439994, 6816439995, 6816440002, 6816440005]",,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,
way,949595079,"POLYGON ((113.9944158 22.5967315, 113.9945738 22.5966161, 113.9943142 22.5963127, 113.9941523 22.5964331, 113.9944158 22.5967315))","[7057414671, 6673677456, 6602899614, 6602899622, 7057414671]",,university,9,,,理学院,College of Science,理学院,理学院,理學院,,,,,,,,,,,,,,,,,,
way,949595080,"POLYGON ((113.9948677 22.5989846, 113.9951782 22.599341, 113.9950147 22.5994623, 113.9947044 22.5991059, 113.9948677 22.5989846))","[8790943676, 8790943677, 8790943678, 8790943679, 8790943676]",,university,6,,,公共教学楼,Public Lecture Hall,公共教学楼,公共教学楼,公共教學樓,,,,,,,,,,,,,,,,,,
way,949595081,"POLYGON ((113.9950188 22.598655, 113.99522 22.5985032, 113.9951687 22.5984429, 113.9949663 22.5985956, 113.9950188 22.598655))","[8790943680, 8790943681, 8790943682, 8790943683, 8790943680]",,university,4,,,,,,,,,,,,,,,,,,,,,,,1,,
way,978632507,"POLYGON ((113.9932837 22.5974919, 113.9932903 22.5977691, 113.9933045 22.5977684, 113.9933219 22.5977658, 113.9933205 22.5974813, 113.9932837 22.5974919))","[9055227476, 9055227475, 5173028399, 9055227474, 9055227473, 9055227476]",,university,,,,,,,,,,,,,,,,,,,,,,yes,1,,,
relation,12480428,"POLYGON ((113.9922577 22.6001545, 113.9923422 22.6002722, 113.9928988 22.6008702, 113.9934151 22.6006547, 113.9934325 22.5996432, 113.9929256 22.5993968, 113.9928465 22.5993745, 113.9927445 22.5993807, 113.9922604 22.5996197, 113.9922577 22.6001545), (113.9923033 22.5999635, 113.9923311 22.6000435, 113.992493 22.6002021, 113.9923663 22.6002053, 113.9923114 22.6001223, 113.9923033 22.5999635), (113.993344 22.5997088, 113.9933923 22.5997348, 113.993399 22.5998264, 113.9927888 22.600084, 113.9926037 22.59985, 113.992597 22.5997955, 113.9930637 22.5998004, 113.9930597 22.5996395, 113.9932426 22.5997382, 113.9932555 22.5997125, 113.9933199 22.599746, 113.993344 22.5997088), (113.9925735 22.5998722, 113.9927512 22.6001075, 113.9926594 22.6001422, 113.9924783 22.599762, 113.9924823 22.5996286, 113.9925206 22.5996286, 113.992544 22.5996816, 113.9925735 22.5998722), (113.9927539 22.6002486, 113.9926788 22.6001743, 113.9927834 22.600136, 113.9928304 22.6001855, 113.9927539 22.6002486), (113.9930771 22.6000852, 113.9929799 22.6000879, 113.9928679 22.6001644, 113.9928129 22.6001124, 113.9930798 22.6000022, 113.9930771 22.6000852), (113.9927781 22.6002672, 113.9928545 22.6002102, 113.9929631 22.6003291, 113.9931105 22.6007184, 113.9930543 22.6007364, 113.992888 22.6003898, 113.9927781 22.6002672), (113.9931656 22.5999651, 113.993395 22.5998623, 113.9933962 22.5999841, 113.9933239 22.5999886, 113.9932783 22.5999886, 113.9932778 22.6000432, 113.9932099 22.6000406, 113.9932112 22.6000811, 113.9931656 22.6000798, 113.9931656 22.5999651))","[[[9070798469, 9070798468, 9070798467, 9070798466, 9070798465, 9070798464, 9070798463, 9070798462, 9070798461, 9070798469], [9070798417, 6683163597, 6683163598, 9070771516, 9070771515, 9070798417], [9070798424, 9070798423, 9070798422, 9070798421, 9070798420, 9070798419, 9070798418, 9070798424], [9070798428, 9070798427, 9070798426, 9070798425, 9070798428], [9070798460, 9070798459, 9070798458, 9070798457, 9070798456, 9070798455, 9070798460], [9070798446, 9070798445, 9070798444, 9070798443, 9070798442, 9070798446], [8552263729, 9070798454, 9070798453, 9070798452, 9070798451, 9070798450, 9070798447, 9070798449, 6683163629, 8552263727, 8552263728, 8552263729], [9070798441, 9070798440, 9070798439, 9070798438, 8552234693, 9070798437, 9070798436, 9070798435, 9070798434, 9070798441]]]",,university,1,,,南科大中心,SUSTech Center,南科大中心,南科大中心,南科大中心,,,,,,,1,,,,,,,,,,"[980598954, 980598946, 980598947, 980598948, 980598953, 980598951, 980598952, 980598950]",multipolygon
relation,12870273,"POLYGON ((113.9945604 22.6020569, 113.994733 22.6021756, 113.994935 22.6022976, 113.9952288 22.6025282, 113.9956059 22.6027905, 113.9957157 22.6027974, 113.9962044 22.6028075, 113.9962016 22.6027366, 113.9956588 22.6026495, 113.9955116 22.6025248, 113.9954308 22.6023824, 113.995243 22.6024797, 113.9950714 22.6023571, 113.9947548 22.6018854, 113.9951067 22.6017227, 113.9948836 22.6015643, 113.9944966 22.6014577, 113.9943952 22.6012975, 113.9943647 22.6013152, 113.994168 22.6014292, 113.9945604 22.6020569), (113.9944357 22.6016167, 113.9945188 22.6015598, 113.9946221 22.6015907, 113.994673 22.6016675, 113.9945228 22.6017455, 113.9944357 22.6016167))","[[[8853596671, 8853596670, 8853596669, 8853596668, 8853596667, 8853596671], [5173028685, 5173028703, 5173028686, 5173028687, 5173028688, 5173028689, 8853596674, 8853596673, 8853596672, 5173028690, 5173028691, 5173028692, 5173028693, 5173028694, 5173028695, 5173028698, 5173028699, 5173028700, 5173028701, 5173028702, 5173028685]]]",,university,2,,,,,,,,,,,,,,,,,,,,,,,,"[956649059, 533170989]",multipolygon
