element_type,osmid,nodes,amenity,building,name,geometry,tourism,ways,type
way,1145919324,"[10664137611, 10664137612, 10664137613, 10664137614, 10664137611]",,greenhouse,,"POLYGON ((116.2818913 40.0291825, 116.2821708 40.0291997, 116.2821816 40.0290967, 116.2819021 40.0290794, 116.2818913 40.0291825))",,,
way,1145919325,"[10664137615, 10664137616, 10664137617, 10664137618, 10664137615]",,greenhouse,,"POLYGON ((116.2814167 40.0293536, 116.2820781 40.0293881, 116.2820853 40.0293074, 116.2814239 40.0292728, 116.2814167 40.0293536))",,,
way,1145919326,"[10664137619, 10664137620, 10664137621, 10664137622, 10664137623, 10664137624, 10664137625, 10664137626, 10664137627, 10664137628, 10664137629, 10664137630, 10664137631, 10664137632, 10664137633, 10664137634, 10664137635, 10664137636, 10664137637, 10664137638, 10664137619]",,greenhouse,,"POLYGON ((116.281408 40.0294833, 116.2814704 40.0294864, 116.2814662 40.0295371, 116.2813995 40.0295339, 116.2813923 40.02962, 116.2814279 40.0296218, 116.2814244 40.029664, 116.2813828 40.029662, 116.2813741 40.0297661, 116.2820592 40.0297997, 116.2820664 40.0297142, 116.2820287 40.0297124, 116.2820333 40.0296574, 116.282068 40.0296591, 116.2820752 40.0295732, 116.2820402 40.0295715, 116.2820459 40.0295038, 116.2820891 40.029506, 116.2820961 40.0294224, 116.2814159 40.0293889, 116.281408 40.0294833))",,,
way,1145919327,"[10664137639, 10664137640, 10664137641, 10664137642, 10664137639]",,yes,,"POLYGON ((116.2820669 40.029797, 116.2821626 40.0298036, 116.2821878 40.0295899, 116.282092 40.0295833, 116.2820669 40.029797))",,,
way,1145919331,"[10664137661, 10664137662, 10664137663, 10664137664, 10664137661]",,greenhouse,农业资源高效利用教学科研温室,"POLYGON ((116.2801641 40.0283332, 116.2804893 40.0283616, 116.28058 40.0277521, 116.2802546 40.0277238, 116.2801641 40.0283332))",,,
way,1145919332,"[10664137665, 10664137666, 10664137667, 10664137668, 10664137665]",,greenhouse,,"POLYGON ((116.281644 40.0275733, 116.2824114 40.0276247, 116.2824413 40.0273631, 116.2816739 40.0273116, 116.281644 40.0275733))",,,
way,1145919333,"[10664137669, 10664137670, 10664137671, 10664137672, 10664137673, 10664137674, 10664137675, 10664137669]",,yes,,"POLYGON ((116.2812343 40.0276108, 116.2813173 40.0276169, 116.2813525 40.0273384, 116.281654 40.0273607, 116.281665 40.027274, 116.2812891 40.0272461, 116.2812785 40.0272613, 116.2812343 40.0276108))",,,
way,1145919334,"[10664137676, 10664137677, 10664137678, 10664137679, 10664137676]",,school,兔场,"POLYGON ((116.2811157 40.0297544, 116.2813224 40.0297655, 116.2813494 40.0294706, 116.2811427 40.0294595, 116.2811157 40.0297544))",,,
way,1145919335,"[10664137680, 10664137681, 10664137682, 10664137683, 10664137688, 10664137684, 10664137685, 10664137686, 10664137687, 10664137680]",,school,牧草种子实验室,"POLYGON ((116.2805626 40.0290453, 116.2808113 40.0290527, 116.280813 40.0290193, 116.2810714 40.029027, 116.2810723 40.0290093, 116.2810775 40.0289075, 116.2807968 40.0288992, 116.2807174 40.028953, 116.2805674 40.0289486, 116.2805626 40.0290453))",,,
way,1145919337,"[10664137695, 10664137696, 10664137697, 10664137698, 10664137695]",,greenhouse,,"POLYGON ((116.2805697 40.0286465, 116.2813746 40.0286961, 116.2813838 40.028608, 116.2805789 40.0285585, 116.2805697 40.0286465))",,,
way,1145919339,"[10664137708, 10664137709, 10664137710, 10664137711, 10664137708]",,greenhouse,,"POLYGON ((116.2805878 40.0275651, 116.2808791 40.0275787, 116.2808968 40.0273574, 116.2806056 40.0273437, 116.2805878 40.0275651))",,,
way,1145919342,"[10664137721, 10664137722, 10664137723, 10664137724, 10664137721]",,school,国家饲料工程研究中心,"POLYGON ((116.2779467 40.0291915, 116.2784398 40.0292195, 116.2784529 40.0290839, 116.2779598 40.0290559, 116.2779467 40.0291915))",,,
way,1145919343,"[10664137725, 10664137726, 10664137727, 10664137728, 10664137725]",,yes,中国农业大学饲料博物馆,"POLYGON ((116.2786516 40.0293362, 116.2790971 40.0293758, 116.2791409 40.029087, 116.2786955 40.0290473, 116.2786516 40.0293362))",museum,,
way,1145919344,"[10664137729, 10664137730, 10664137731, 10664137732, 10664137733, 10664137734, 10664137735, 10664137736, 10664137737, 10664137738, 10664137729]",,school,药械与施药技术研究中心,"POLYGON ((116.2792922 40.029129, 116.2792564 40.0294424, 116.2797356 40.0294745, 116.2797782 40.0291019, 116.2795556 40.0290869, 116.2795457 40.029173, 116.2796638 40.0291809, 116.2796466 40.0293317, 116.2793969 40.0293149, 116.2794172 40.0291374, 116.2792922 40.029129))",,,
way,1145919345,"[10664137739, 10664137740, 10664137741, 10664137742, 10664137743, 10664137744, 10664137745, 10664137746, 10664137739]",,school,,"POLYGON ((116.2778669 40.0294753, 116.2784207 40.0295185, 116.278436 40.0294035, 116.2786236 40.0294181, 116.2786327 40.0293498, 116.2784622 40.0293365, 116.2784574 40.0293725, 116.2778865 40.0293279, 116.2778669 40.0294753))",,,
way,1145919346,"[10664137747, 10664137748, 10664137749, 10664137761, 10664137750, 10664137747]",,school,,"POLYGON ((116.2780142 40.0284215, 116.2781758 40.0284342, 116.2782279 40.0280427, 116.2781579 40.0280372, 116.2780662 40.0280301, 116.2780142 40.0284215))",,,
way,1145919347,"[10664137751, 10664137752, 10664137753, 10664137754, 10664137755, 10664137756, 10664137757, 10664137758, 10664137751]",,school,,"POLYGON ((116.2775311 40.0282088, 116.2778151 40.0283607, 116.2779267 40.0282383, 116.2778716 40.0282088, 116.2778322 40.0282519, 116.2776727 40.0281666, 116.2777136 40.0281218, 116.2776442 40.0280847, 116.2775311 40.0282088))",,,
way,1145919350,"[10664137769, 10664137770, 10664137771, 10664137772, 10664137769]",,school,资源与环境学院,"POLYGON ((116.2765574 40.0245531, 116.2767974 40.0246772, 116.2775067 40.0238733, 116.2772665 40.023749, 116.2765574 40.0245531))",,,
way,1145919351,"[10664137773, 10664137774, 10664137775, 10664137776, 10664137777, 10664137778, 10664137779, 10664137780, 10664137781, 10664137782, 10664137783, 10664137784, 10664137785, 10664137786, 10664137773]",,school,土地科学与技术学院,"POLYGON ((116.2769166 40.0235683, 116.277493 40.02386, 116.2776734 40.0236509, 116.2777476 40.0236885, 116.2777997 40.0236282, 116.2776398 40.0235473, 116.2776045 40.0235883, 116.2775554 40.0235635, 116.2774927 40.0236362, 116.2771577 40.0234668, 116.2772169 40.0233982, 116.2770195 40.0232984, 116.2768883 40.0234505, 116.2769788 40.0234963, 116.2769166 40.0235683))",,,
way,1145919352,"[10664137788, 10664137789, 10664137790, 10664137791, 10664137792, 10664137793, 10664137794, 10664137795, 10664137796, 10664137797, 10664137788]",,school,,"POLYGON ((116.2759122 40.0245806, 116.2760626 40.0246571, 116.2761234 40.0245871, 116.2764781 40.0247675, 116.2764076 40.0248487, 116.2765797 40.0249362, 116.2767565 40.0247325, 116.2761909 40.0244448, 116.2761398 40.0245038, 116.2760281 40.024447, 116.2759122 40.0245806))",,,
way,1145919353,"[10664137798, 10664137799, 10664137800, 10664137801, 10664137802, 10664137803, 10664137798]",,school,畜牧楼,"POLYGON ((116.2750202 40.0254803, 116.2752329 40.0255957, 116.2756842 40.0251078, 116.2762033 40.0253894, 116.276366 40.0252135, 116.2756345 40.0248165, 116.2750202 40.0254803))",,,
way,1146172264,"[10666269202, 10666269203, 10666269204, 10666274705, 10666269202]",,yes,,"POLYGON ((116.2738493 40.025302, 116.2743408 40.0255683, 116.2744386 40.0254625, 116.2739472 40.0251961, 116.2738493 40.025302))",,,
way,1191959313,"[11066096014, 11066096015, 11066096016, 11066096017, 11066096018, 11066096019, 11066096020, 11066096021, 11066096022, 11066096023, 11066096024, 11066096025, 11066096026, 11066096027, 11066096028, 11066096029, 11066096014]",,yes,杨胜楼,"POLYGON ((116.271612 40.027168, 116.2712653 40.0269856, 116.271328 40.026853, 116.2721075 40.0272523, 116.2721652 40.0271777, 116.2723709 40.027291, 116.2723168 40.0273504, 116.2723385 40.027367, 116.272315 40.0274043, 116.2724846 40.0274927, 116.2723655 40.0276378, 116.2723854 40.027653, 116.2723511 40.0276903, 116.2723764 40.0277, 116.2723158 40.0277815, 116.2715068 40.0274693, 116.271612 40.027168))",,,
way,1191960919,"[11066111589, 11066111590, 11066111591, 11066111592, 11066111589]",,yes,近邻宝,"POLYGON ((116.2719475 40.0255762, 116.2720106 40.0255043, 116.2719609 40.0254815, 116.2718995 40.0255525, 116.2719475 40.0255762))",,,
relation,15481561,"[[[10664137577, 10664137578, 10664137579, 10664137580, 10664137581, 10664137582, 10664137583, 10664137584, 10664137577], [10664137585, 10664137586, 10664137587, 10664137588, 10664137589, 10664137590, 10664137585]]]",,yes,动物医学院,"POLYGON ((116.2794427 40.0290416, 116.2795005 40.0285691, 116.2782988 40.0279584, 116.2781688 40.0287487, 116.2782194 40.0287542, 116.2782085 40.0288344, 116.2782879 40.0288371, 116.2782699 40.0289615, 116.2794427 40.0290416), (116.2785045 40.0284724, 116.2787932 40.0284945, 116.2788004 40.0284116, 116.2792118 40.0286547, 116.2791865 40.0288123, 116.2784684 40.028757, 116.2785045 40.0284724))",,"[1145919317, 1145919318]",multipolygon
