element_type,osmid,nodes,building,name,geometry,amenity,name:en,name:zh,leisure,building:levels,ref,ways,type
way,675690935,"[6327767463, 6327767464, 6327767465, 6327767466, 6327767463]",university,,"POLYGON ((126.6789021 45.7783433, 126.6790499 45.7779497, 126.6807878 45.7782671, 126.68064 45.7786608, 126.6789021 45.7783433))",,,,,,,,
way,675690954,"[6327768553, 6327768554, 6327768555, 6327768556, 6327768553]",university,,"POLYGON ((126.6779183 45.7803617, 126.6779926 45.7801409, 126.6784537 45.7802163, 126.6783794 45.7804371, 126.6779183 45.7803617))",,,,,,,,
way,675690959,"[6327768572, 6327768573, 6327768574, 6327768575, 6327768576, 6327768577, 6327768578, 6327768579, 6327768580, 6327768581, 6327768582, 6327768572]",yes,图书馆,"POLYGON ((126.6820293 45.7744645, 126.6807043 45.7742026, 126.6805058 45.7740417, 126.6804683 45.7738958, 126.6805434 45.7737498, 126.6807633 45.7736413, 126.6810315 45.7736525, 126.6822654 45.7738845, 126.6824477 45.7740267, 126.6824531 45.7741726, 126.6823619 45.7743298, 126.6820293 45.7744645))",library,,,,,,,
way,675690976,"[6327768649, 6327768650, 6327768651, 6327768652, 6327768649]",yes,启航活动中心,"POLYGON ((126.677934 45.7722484, 126.6780005 45.771547, 126.6795107 45.7716166, 126.6794443 45.772318, 126.677934 45.7722484))",theatre,Qihang Student Center,启航活动中心,,,,,
way,675690977,"[6327768653, 6327768654, 6327768655, 6327768656, 6327768653]",yes,,"POLYGON ((126.6781012 45.7711945, 126.6781574 45.7706682, 126.6789503 45.7707094, 126.678894 45.7712357, 126.6781012 45.7711945))",,,,,,,,
way,675690993,"[6327768708, 6327768709, 6327768710, 6327768711, 6327768712, 6327768713, 6327768714, 6327768715, 6327768716, 6327768717, 6327768718, 6327768719, 6327768708]",university,,"POLYGON ((126.6707418 45.7737592, 126.6707812 45.7732994, 126.6710254 45.7733096, 126.6710112 45.7734759, 126.6729638 45.7735573, 126.6729746 45.7734306, 126.6732135 45.7734405, 126.6731766 45.7738724, 126.6729229 45.7738618, 126.6729387 45.7736767, 126.6710227 45.7735969, 126.6710079 45.7737703, 126.6707418 45.7737592))",,,,,,,,
way,675690995,"[6327768736, 6327768737, 6327768738, 6327768739, 6327768736]",yes,,"POLYGON ((126.671527 45.7744997, 126.671568 45.7739426, 126.6722847 45.7739682, 126.6722437 45.7745254, 126.671527 45.7744997))",,,,sports_centre,,,,
way,675690998,"[6327768755, 6327768756, 6327768757, 6327768758, 6327768755]",university,,"POLYGON ((126.6745544 45.7774642, 126.6738158 45.7774348, 126.6739079 45.7763078, 126.6746464 45.7763372, 126.6745544 45.7774642))",,,,,,,,
way,675691000,"[6327768763, 6327768764, 6327768765, 6327768766, 6327768763]",university,,"POLYGON ((126.6780888 45.7795083, 126.6784558 45.7785489, 126.6796034 45.7787623, 126.6792364 45.7797218, 126.6780888 45.7795083))",,,,,,,,
way,675691006,"[6327768786, 6327768787, 6327768788, 6327768789, 6327768790, 6327768791, 6327768786]",university,,"POLYGON ((126.6812543 45.7725836, 126.6812979 45.7721042, 126.6816464 45.7721197, 126.6816214 45.7723958, 126.6828038 45.7724481, 126.6827854 45.7726513, 126.6812543 45.7725836))",,,,,7,,,
way,675691007,"[6327768792, 6327768793, 6327768794, 6327768795, 6327768796, 6327768797, 6327768798, 6327768799, 6327768792]",university,Main Building,"POLYGON ((126.6811886 45.7719523, 126.6812036 45.7717533, 126.6819075 45.7717792, 126.6819533 45.7711737, 126.6811364 45.7711437, 126.6811543 45.7709062, 126.6823367 45.7709497, 126.6822579 45.7719917, 126.6811886 45.7719523))",,,1#,,9,1,,
