u,v,key,osmid,highway,oneway,reversed,length,geometry,name,service,tunnel
6328109208,6328109207,0,675733290,service,False,True,43.232,"LINESTRING (126.6824816 45.7717807, 126.683039 45.7717815)",,driveway,
6328109208,6328109212,0,675733291,service,False,False,57.084,"LINESTRING (126.6824816 45.7717807, 126.6825191 45.771268)",,parking_aisle,
6328109208,6328109212,1,675733290,service,False,False,65.702,"LINESTRING (126.6824816 45.7717807, 126.6823582 45.7716871, 126.6823314 45.7715225, 126.6823958 45.7713466, 126.6825191 45.771268)",,driveway,
6328109208,6328109214,0,675733291,service,False,True,62.281000000000006,"LINESTRING (126.6824816 45.7717807, 126.6824601 45.7719453, 126.6830225 45.77199)",,parking_aisle,
6328109212,6328109213,0,675733290,service,False,False,43.414,"LINESTRING (126.6825191 45.771268, 126.6830784 45.7712835)",,driveway,
6328109212,6328109208,0,675733291,service,False,True,57.084,"LINESTRING (126.6825191 45.771268, 126.6824816 45.7717807)",,parking_aisle,
6328109212,6328109208,1,675733290,service,False,True,65.702,"LINESTRING (126.6825191 45.771268, 126.6823958 45.7713466, 126.6823314 45.7715225, 126.6823582 45.7716871, 126.6824816 45.7717807)",,driveway,
6328109212,6328109217,0,675733291,service,False,False,60.228,"LINESTRING (126.6825191 45.771268, 126.6825352 45.7711146, 126.6830911 45.7711224)",,parking_aisle,
6328109213,6328109217,0,675690999,residential,False,False,17.941,"LINESTRING (126.6830784 45.7712835, 126.6830911 45.7711224)",林毅路,,
6328109213,6327768776,0,675690999,residential,False,True,29.556,"LINESTRING (126.6830784 45.7712835, 126.6830574 45.7715489)",林毅路,,
6328109213,6328109212,0,675733290,service,False,True,43.414,"LINESTRING (126.6830784 45.7712835, 126.6825191 45.771268)",,driveway,
6328109214,6328109207,0,675690999,residential,False,False,23.219,"LINESTRING (126.6830225 45.77199, 126.683039 45.7717815)",林毅路,,
6328109214,6327768806,0,675690999,residential,False,True,14.555,"LINESTRING (126.6830225 45.77199, 126.6830122 45.7721207)",林毅路,,
6328109214,6328109208,0,675733291,service,False,False,62.281000000000006,"LINESTRING (126.6830225 45.77199, 126.6824601 45.7719453, 126.6824816 45.7717807)",,parking_aisle,
6328109217,6327768808,0,675690999,residential,False,False,18.787,"LINESTRING (126.6830911 45.7711224, 126.6831044 45.7709537)",林毅路,,
6328109217,6328109213,0,675690999,residential,False,True,17.941,"LINESTRING (126.6830911 45.7711224, 126.6830784 45.7712835)",林毅路,,
6328109217,6328109212,0,675733291,service,False,True,60.228,"LINESTRING (126.6830911 45.7711224, 126.6825352 45.7711146, 126.6825191 45.771268)",,parking_aisle,
6328109220,6327768658,0,675690978,residential,False,False,73.004,"LINESTRING (126.678706 45.7713506, 126.6777665 45.7713106)",郑和路,,
