element_type,osmid,building,name,geometry,nodes,name:zh,office,leisure,sport,amenity,building:levels,fast_food,name_1,ways,type
way,599534386,yes,新能源与低碳技术研究院,"POLYGON ((103.9908928 30.563658, 103.9914924 30.5637598, 103.9915323 30.5635856, 103.9909327 30.5634838, 103.9908928 30.563658))","[4770839612, 5703840810, 5703840811, 5703840812, 4770839612]",,research,,,,,,,,
way,599534387,yes,,"POLYGON ((103.9910232 30.5642016, 103.9914202 30.5642717, 103.9914501 30.5641458, 103.9910532 30.5640758, 103.9910232 30.5642016))","[5703840813, 5703840814, 5703840815, 5703840816, 5703840813]",,,,,,,,,,
way,599535948,yes,,"POLYGON ((103.9934001 30.5653693, 103.9935597 30.5653944, 103.9936032 30.565189, 103.9934436 30.5651639, 103.9934001 30.5653693))","[5703850521, 5703850522, 5703850523, 5703850524, 5703850521]",,,,,,,,,,
way,599535949,yes,,"POLYGON ((103.9934694 30.5650552, 103.9936306 30.5650838, 103.9936699 30.5649197, 103.9935086 30.5648911, 103.9934694 30.5650552))","[5703850525, 5703850526, 5703850527, 5703850528, 5703850525]",,,,,,,,,,
way,599535950,yes,,"POLYGON ((103.9935289 30.5647794, 103.9936852 30.5648067, 103.9937453 30.5645514, 103.9935891 30.5645241, 103.9935289 30.5647794))","[5703850529, 5703850530, 5703850531, 5703850532, 5703850529]",,,,,,,,,,
way,599535951,yes,,"POLYGON ((103.9937446 30.5652241, 103.9940915 30.5653053, 103.9941349 30.5651678, 103.9940798 30.5651549, 103.9940515 30.5651976, 103.9938615 30.5651531, 103.9939041 30.5650181, 103.9940835 30.5650601, 103.9940672 30.5651117, 103.994153 30.5651318, 103.9941988 30.5649867, 103.9938457 30.564904, 103.9937446 30.5652241))","[5703850533, 5703850534, 5703850535, 5703850536, 5703850537, 5703850538, 5703850539, 5703850540, 5703850541, 5703850542, 5703850543, 5703850544, 5703850533]",,,,,,,,,,
way,599537883,yes,,"POLYGON ((103.9942823 30.5649892, 103.9940779 30.5649429, 103.9941 30.5648706, 103.9940344 30.5648557, 103.9940456 30.5648189, 103.9939203 30.5647906, 103.9940119 30.5644903, 103.9941337 30.5645179, 103.9941263 30.5645423, 103.9943998 30.5646043, 103.9942823 30.5649892))","[5703862026, 5703862027, 5703862028, 5703862029, 5703862030, 5703862031, 5703862032, 5703862033, 5703862034, 5703862035, 5703862026]",,,,,,,,,,
way,599537884,yes,,"POLYGON ((103.9936754 30.5641014, 103.9938434 30.5641269, 103.993866 30.564017, 103.993698 30.5639915, 103.9936754 30.5641014))","[5703862036, 5703862037, 5703862038, 5703862039, 5703862036]",,,,,,,,,,
way,599537885,yes,纳米医学技术实验楼,"POLYGON ((103.9880998 30.5618531, 103.9883707 30.5617887, 103.9882493 30.5613022, 103.9879878 30.5613625, 103.9880998 30.5618531))","[5703862040, 5703862041, 5703862042, 5703862043, 5703862040]",,,,,,,,,,
way,599537886,yes,纳米医学技术实验楼,"POLYGON ((103.9885108 30.561841, 103.9884454 30.5617364, 103.9885762 30.5616359, 103.9884921 30.56127, 103.988735 30.5612177, 103.9888143 30.5615273, 103.988735 30.5615555, 103.9887863 30.5616118, 103.988861 30.5615917, 103.9888937 30.561644, 103.9885108 30.561841))","[5703862044, 5703862045, 5703862046, 5703862047, 5703862048, 5703862049, 5703862050, 5703862051, 5703862052, 5703862053, 5703862044]",,,,,,,,,,
way,599537887,yes,纳米医学技术实验楼,"POLYGON ((103.9883591 30.5616508, 103.9885173 30.5616161, 103.9884396 30.5612905, 103.9882786 30.5613251, 103.9883591 30.5616508))","[4770839197, 5703862055, 5703862056, 5703862057, 4770839197]",,,,,,,,,,
way,599537888,dormitory,学生宿舍21舍,"POLYGON ((103.9875159 30.5603266, 103.9881782 30.5604354, 103.9881921 30.5603729, 103.9883001 30.5603906, 103.9883416 30.5602032, 103.9882253 30.5601841, 103.9881915 30.5603367, 103.9875374 30.5602293, 103.9875159 30.5603266))","[5703862058, 5703862059, 5703862060, 5703862061, 5703862062, 5703862063, 5703862064, 5703862065, 5703862058]",,,,,,,,,,
way,599537889,dormitory,学生宿舍21舍,"POLYGON ((103.9875305 30.5601172, 103.9876459 30.5601361, 103.9876814 30.5599747, 103.9882584 30.5600687, 103.9882491 30.5601112, 103.988352 30.560128, 103.9883822 30.5599909, 103.9876987 30.5598795, 103.9876841 30.559946, 103.9875721 30.5599277, 103.9875305 30.5601172))","[5703862066, 5703862067, 5703862068, 5703862069, 5703862070, 5703862071, 5703862072, 5703862073, 5703862074, 5703862075, 5703862066]",,,,,,,,,,
