u,v,key,osmid,highway,oneway,reversed,length,name,geometry,bridge
4770960558,8012043959,0,859542693,pedestrian,False,False,88.558,,"LINESTRING (103.9929878 30.5573244, 103.9929046 30.5575003, 103.9926834 30.5576542, 103.9925046 30.5577075, 103.9923418 30.5577106, 103.9922749 30.5577007)",
4770960558,4770960549,0,859542693,pedestrian,False,True,76.882,,"LINESTRING (103.9929878 30.5573244, 103.9930037 30.5571574, 103.9929691 30.557107, 103.9929116 30.5570233, 103.9927894 30.556932, 103.9927648 30.5569136, 103.9925455 30.5568457)",
5430897289,7783790099,0,563576795,unclassified,False,False,34.763999999999996,,"LINESTRING (103.9916721 30.5633137, 103.99166 30.5631983, 103.9916164 30.5631514, 103.9915232 30.5631058, 103.991477 30.5630861)",
5430897289,4770839253,0,"[563576795, 484339183]",unclassified,False,True,280.538,,"LINESTRING (103.9916721 30.5633137, 103.9916399 30.5634477, 103.9915123 30.5641025, 103.9913463 30.5647802, 103.9912934 30.5648133, 103.9906813 30.5647141, 103.9906165 30.5646397, 103.9906501 30.5644247, 103.9905068 30.5643947)",
5430897289,4770839242,0,563576797,unclassified,False,False,88.58699999999999,,"LINESTRING (103.9916721 30.5633137, 103.9911407 30.5632047, 103.9909252 30.5631802, 103.9907803 30.5632418)",
5508577656,8855606935,0,573626553,residential,False,False,20.504,,"LINESTRING (104.0013366 30.5633209, 104.0012098 30.5634695)",
5508577656,8855606941,0,956998272,residential,False,False,79.945,,"LINESTRING (104.0013366 30.5633209, 104.0018383 30.5627462)",
5508577656,4770839104,0,573626553,residential,False,True,163.62199999999999,,"LINESTRING (104.0013366 30.5633209, 104.0007071 30.5628995, 104.000665 30.56281, 104.0011393 30.5622559)",
5508577657,8855606935,0,573626553,residential,False,True,82.211,,"LINESTRING (104.0007017 30.5640655, 104.0012098 30.5634695)",
5508577657,5508577657,0,"[956998273, 956998270]",residential,False,"[False, True]",317.687,,"LINESTRING (104.0007017 30.5640655, 104.0015018 30.5645941, 104.0011115 30.565052, 104.000326 30.5645312, 104.0007017 30.5640655)",
5508577657,5508577657,1,"[956998273, 956998270]",residential,False,"[False, True]",317.687,,"LINESTRING (104.0007017 30.5640655, 104.000326 30.5645312, 104.0011115 30.565052, 104.0015018 30.5645941, 104.0007017 30.5640655)",
5508585646,4770839141,0,487495732,tertiary,False,True,7.987,环形大道,"LINESTRING (104.0032996 30.5597063, 104.0033488 30.5596483)",
5508585646,5735557008,0,604464168,residential,False,True,144.739,,"LINESTRING (104.0032996 30.5597063, 104.0045228 30.5604711)",
5508585646,4770839158,0,487495732,tertiary,False,False,66.724,环形大道,"LINESTRING (104.0032996 30.5597063, 104.0029111 30.5601426, 104.0028693 30.5601777)",
5703864657,5703864658,0,859542690,residential,False,False,36.755,,"LINESTRING (103.9893233 30.5581084, 103.988942 30.5580703)",
5703864657,4770960507,0,599573409,pedestrian,False,False,156.22500000000002,,"LINESTRING (103.9893233 30.5581084, 103.9893375 30.5579915, 103.9895633 30.5573961, 103.9898104 30.5567702)",
5703864657,5703950638,0,604464920,residential,False,False,65.157,,"LINESTRING (103.9893233 30.5581084, 103.9896518 30.5581219, 103.9900034 30.5581231)",
5703864658,5703974096,0,859542689,residential,False,False,106.388,,"LINESTRING (103.988942 30.5580703, 103.9887173 30.5590073)",
5703864658,5703864657,0,859542690,residential,False,True,36.755,,"LINESTRING (103.988942 30.5580703, 103.9893233 30.5581084)",
5703864658,5703950635,0,859542691,residential,False,True,93.515,,"LINESTRING (103.988942 30.5580703, 103.9879925 30.5578734)",
5703864664,5703974096,0,859542689,residential,False,True,183.664,,"LINESTRING (103.9883294 30.5606249, 103.9887173 30.5590073)",
5703950631,5703950635,0,599557080,residential,False,False,299.045,,"LINESTRING (103.9873986 30.5605137, 103.9879925 30.5578734)",
5703950635,8012043939,0,599557080,residential,False,False,156.539,,"LINESTRING (103.9879925 30.5578734, 103.9883034 30.5564913)",
5703950635,5703950631,0,599557080,residential,False,True,299.045,,"LINESTRING (103.9879925 30.5578734, 103.9873986 30.5605137)",
5703950635,5703864658,0,859542691,residential,False,False,93.515,,"LINESTRING (103.9879925 30.5578734, 103.988942 30.5580703)",
5703950638,5703974094,0,599562716,residential,False,True,124.286,,"LINESTRING (103.9900034 30.5581231, 103.9897618 30.5592213)",
5703950638,5703950651,0,604464920,residential,False,False,29.788,,"LINESTRING (103.9900034 30.5581231, 103.9903145 30.558124)",
5703950638,5703864657,0,604464920,residential,False,True,65.157,,"LINESTRING (103.9900034 30.5581231, 103.9896518 30.5581219, 103.9893233 30.5581084)",
5703950642,5703950644,0,604464920,residential,False,False,81.432,,"LINESTRING (103.9912992 30.5583182, 103.9921257 30.5584908)",
5703950642,5703950649,0,604464920,residential,False,True,7.603,,"LINESTRING (103.9912992 30.5583182, 103.9912215 30.5583041)",
5703950642,5703974119,0,599562726,residential,False,False,198.88500000000002,,"LINESTRING (103.9912992 30.5583182, 103.9912575 30.5584475, 103.9911372 30.5588263, 103.9910544 30.5591682, 103.9910351 30.5594982, 103.9910796 30.5598636, 103.9911207 30.5600753)",
5703950644,5703950642,0,604464920,residential,False,True,81.432,,"LINESTRING (103.9921257 30.5584908, 103.9912992 30.5583182)",
5703950644,4770960510,0,599567591,residential,False,False,86.16300000000001,,"LINESTRING (103.9921257 30.5584908, 103.9923122 30.5578346, 103.9922996 30.5577797, 103.9922573 30.5577562)",
5703950644,5735565829,0,604464920,residential,False,False,43.346000000000004,,"LINESTRING (103.9921257 30.5584908, 103.9923719 30.5585732, 103.9925379 30.5586502)",
5703950649,4770960509,0,599571307,pedestrian,False,False,83.288,,"LINESTRING (103.9912215 30.5583041, 103.9914657 30.5575852)",
5703950649,5703950642,0,604464920,residential,False,False,7.603,,"LINESTRING (103.9912215 30.5583041, 103.9912992 30.5583182)",
5703950649,5703950651,0,604464920,residential,False,True,89.25800000000001,,"LINESTRING (103.9912215 30.5583041, 103.9909734 30.5582425, 103.9907461 30.5581893, 103.9905401 30.5581522, 103.9903145 30.558124)",
5703950651,5703950638,0,604464920,residential,False,True,29.788,,"LINESTRING (103.9903145 30.558124, 103.9900034 30.5581231)",
5703950651,4770960553,0,604500132,residential,False,False,111.231,,"LINESTRING (103.9903145 30.558124, 103.9905904 30.5571523)",
5703950651,5703950649,0,604464920,residential,False,False,89.25800000000001,,"LINESTRING (103.9903145 30.558124, 103.9905401 30.5581522, 103.9907461 30.5581893, 103.9909734 30.5582425, 103.9912215 30.5583041)",
5703974094,5703950638,0,599562716,residential,False,False,124.286,,"LINESTRING (103.9897618 30.5592213, 103.9900034 30.5581231)",
5703974094,4770839247,0,599562716,residential,False,True,222.331,,"LINESTRING (103.9897618 30.5592213, 103.9893375 30.5611871)",
5703974094,5703974096,0,599562718,residential,False,False,102.803,,"LINESTRING (103.9897618 30.5592213, 103.9887173 30.5590073)",
5703974096,5703974094,0,599562718,residential,False,True,102.803,,"LINESTRING (103.9887173 30.5590073, 103.9897618 30.5592213)",
5703974096,5703864664,0,859542689,residential,False,False,183.664,,"LINESTRING (103.9887173 30.5590073, 103.9883294 30.5606249)",
