u,v,key,osmid,oneway,name,highway,reversed,length,maxspeed,access,geometry,service,junction
1684824362,1684824360,0,156205176,False,,service,False,12.517,,,"LINESTRING (118.7715379 32.0570941, 118.7714051 32.057092)",driveway,
1684824362,1684824285,0,156205184,False,,service,True,7.385,,,"LINESTRING (118.7715379 32.0570941, 118.7715393 32.0570277)",driveway,
1684824362,1984584721,0,156205176,False,,service,True,60.778999999999996,,,"LINESTRING (118.7715379 32.0570941, 118.7716247 32.0570954, 118.7716293 32.0568857, 118.7713187 32.0568808)",driveway,
1684824430,1684824522,0,156205176,False,,service,True,15.904,,,"LINESTRING (118.7707022 32.057217, 118.7706991 32.05736)",driveway,
1684824430,1684824448,0,156205182,False,,service,False,36.92,,,"LINESTRING (118.7707022 32.057217, 118.7710939 32.0572232)",driveway,
1684824430,1984584721,0,156205176,False,,service,False,95.84,,,"LINESTRING (118.7707022 32.057217, 118.7707098 32.0568713, 118.7713187 32.0568808)",driveway,
1684824448,1684824524,0,156205176,False,,service,False,18.061,,,"LINESTRING (118.7710939 32.0572232, 118.7710904 32.0573856)",driveway,
1684824448,1684824352,0,156205176,False,,service,True,15.136,,,"LINESTRING (118.7710939 32.0572232, 118.7710969 32.0570871)",driveway,
1684824448,1684824430,0,156205182,False,,service,True,36.92,,,"LINESTRING (118.7710939 32.0572232, 118.7707022 32.057217)",driveway,
1684824461,1684824522,0,156205199,False,,service,True,25.625999999999998,,,"LINESTRING (118.7705652 32.0572391, 118.7705674 32.0573579, 118.7706991 32.05736)",driveway,
1684824522,1684824430,0,156205176,False,,service,False,15.904,,,"LINESTRING (118.7706991 32.05736, 118.7707022 32.057217)",driveway,
1684824522,1684824562,0,156205176,False,,service,True,24.996,,,"LINESTRING (118.7706991 32.05736, 118.7706951 32.057545, 118.770742 32.0575457)",driveway,
1684824522,1684824461,0,156205199,False,,service,False,25.625999999999998,,,"LINESTRING (118.7706991 32.05736, 118.7705674 32.0573579, 118.7705652 32.0572391)",driveway,
1684824524,1684824579,0,156205176,False,,service,False,18.406,,,"LINESTRING (118.7710904 32.0573856, 118.7710868 32.0575511)",driveway,
1684824524,1684824448,0,156205176,False,,service,True,18.061,,,"LINESTRING (118.7710904 32.0573856, 118.7710939 32.0572232)",driveway,
1684824524,1684824525,0,156205202,False,,service,False,43.622,,,"LINESTRING (118.7710904 32.0573856, 118.7715532 32.0573929)",driveway,
1684824525,4712672737,0,156205183,False,,service,True,6.883,,,"LINESTRING (118.7715532 32.0573929, 118.7715541 32.057331)",driveway,
1684824525,1684824527,0,156205202,False,,service,False,14.685,,,"LINESTRING (118.7715532 32.0573929, 118.771709 32.0573953)",driveway,
1684824525,1684824524,0,156205202,False,,service,True,43.622,,,"LINESTRING (118.7715532 32.0573929, 118.7710904 32.0573856)",driveway,
1684824527,4712672738,0,156205193,False,,service,True,6.962,,,"LINESTRING (118.771709 32.0573953, 118.7717104 32.0573327)",driveway,
1684824527,1684824530,0,156205202,False,,service,False,2.601,,,"LINESTRING (118.771709 32.0573953, 118.7717366 32.0573957)",driveway,
1684824527,1684824525,0,156205202,False,,service,True,14.685,,,"LINESTRING (118.771709 32.0573953, 118.7715532 32.0573929)",driveway,
1684824530,1684824527,0,156205202,False,,service,True,2.601,,,"LINESTRING (118.7717366 32.0573957, 118.771709 32.0573953)",driveway,
1684824531,1684824661,0,156205200,False,,service,True,82.572,,,"LINESTRING (118.7718401 32.0574325, 118.7714914 32.057436, 118.7714977 32.057883)",driveway,
1684824543,1684824577,0,156205191,False,,service,True,10.154,,,"LINESTRING (118.7708928 32.0574568, 118.7708908 32.0575481)",driveway,
1684824562,1684824654,0,156205176,False,,service,True,20.389,,,"LINESTRING (118.770742 32.0575457, 118.7708349 32.0577113)",driveway,
1684824562,1684824577,0,156205196,False,,service,False,14.025,,,"LINESTRING (118.770742 32.0575457, 118.7708908 32.0575481)",driveway,
