element_type,osmid,geometry,nodes,building,name,height,roof:colour,roof:shape,tourism,amenity,building:levels,leisure,sport,alt_name,historic,wikipedia,cuisine,fast_food,smoking,alt_name:en,loc_name,name:en,official_name,short_name,healthcare,power,voltage,atm,opening_hours,shop,layer,ways,type
way,99978647,"POLYGON ((118.7762556 32.0541744, 118.776274 32.0540622, 118.7768491 32.0541301, 118.7768307 32.0542423, 118.7762556 32.0541744))","[1155818356, 1155818392, 1155818416, 1155818376, 1155818356]",dormitory,南园4舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978648,"POLYGON ((118.7768968 32.0544232, 118.7769182 32.0542915, 118.7775313 32.0543631, 118.7775099 32.0544948, 118.7768968 32.0544232))","[1155818330, 1155818300, 1155818445, 1155818297, 1155818330]",dormitory,南园17舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978649,"POLYGON ((118.7760671 32.0552808, 118.7760926 32.0551293, 118.7762422 32.0551473, 118.7766643 32.0551982, 118.7766388 32.0553497, 118.7760671 32.0552808))","[1155818400, 1155818395, 1985873517, 1155818410, 1155818411, 1155818400]",dormitory,南园1舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978650,"POLYGON ((118.7771694 32.0530977, 118.7771867 32.0529649, 118.7777811 32.0530207, 118.7777638 32.0531535, 118.7771694 32.0530977))","[1155818288, 1155818276, 1155818365, 1155818291, 1155818288]",dormitory,南园11舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978651,"POLYGON ((118.7767434 32.0553581, 118.7767638 32.0552314, 118.7774353 32.0553092, 118.7774151 32.0554338, 118.7772928 32.0554196, 118.7772892 32.055442, 118.7771583 32.0554268, 118.777162 32.0554038, 118.776966 32.0553811, 118.7769623 32.0554041, 118.7768547 32.0553916, 118.776858 32.0553714, 118.7767434 32.0553581))","[1155818343, 1155818363, 1155818382, 1155818342, 2024911682, 2024911687, 2024911685, 2024911678, 2024911674, 2024911680, 2024911676, 2024911671, 1155818343]",dormitory,南园5舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978653,"POLYGON ((118.7752097 32.054373, 118.775248 32.0541804, 118.7755311 32.0542209, 118.7755508 32.0541218, 118.775758 32.0541514, 118.775741 32.0542368, 118.7760347 32.0542787, 118.7759947 32.0544799, 118.7756663 32.054433, 118.7756588 32.0544706, 118.7755826 32.0544597, 118.7755053 32.0544487, 118.7755118 32.0544162, 118.7752097 32.054373))","[1155818357, 1155818331, 1155818407, 1155818339, 1155818448, 1155818378, 1155818286, 1155818345, 1155818393, 1155818371, 1683870907, 1155818405, 1155818386, 1155818357]",yes,南园教学楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978654,"POLYGON ((118.7771371 32.0534047, 118.7771611 32.0532523, 118.7776499 32.0533075, 118.7776259 32.0534599, 118.7774108 32.0534356, 118.7771371 32.0534047))","[1155818457, 1155818373, 1155818420, 1155818385, 1686024180, 1155818457]",dormitory,南园15舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978655,"POLYGON ((118.7768727 32.0546737, 118.7768949 32.0545583, 118.7775601 32.0546506, 118.7775379 32.054766, 118.7768727 32.0546737))","[1155818299, 1155818315, 1155818285, 1155818317, 1155818299]",dormitory,南园7舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978657,"POLYGON ((118.7758185 32.0529401, 118.7758362 32.0528235, 118.7760652 32.0528485, 118.7760733 32.0527949, 118.7762227 32.0528112, 118.7762146 32.0528648, 118.7763857 32.0528834, 118.7766098 32.0529079, 118.776619 32.0528477, 118.7767649 32.0528636, 118.7767558 32.0529238, 118.7769555 32.0529456, 118.7769378 32.0530622, 118.7763658 32.0529998, 118.7758185 32.0529401))","[1155818314, 1155818443, 1962023636, 1962023633, 1962023634, 1962023638, 1985866070, 1962023639, 1962023635, 1962023637, 1962023640, 1155818408, 1155818388, 1686024148, 1155818314]",dormitory,南园8舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978659,"POLYGON ((118.7772321 32.0527113, 118.7772526 32.0525812, 118.7778419 32.0526479, 118.7778214 32.052778, 118.7772321 32.0527113))","[1155818278, 1155818422, 1155818333, 1155818350, 1155818278]",dormitory,南园12舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978661,"POLYGON ((118.7770976 32.0537281, 118.77712 32.0535854, 118.7773826 32.0536151, 118.7776017 32.0536398, 118.7775793 32.0537824, 118.7770976 32.0537281))","[1155818427, 1155818436, 1686024192, 1155818313, 1155818318, 1155818427]",dormitory,南园16舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978664,"POLYGON ((118.7762932 32.0539108, 118.7763151 32.0537606, 118.7763993 32.0537694, 118.7766241 32.0537929, 118.7768379 32.0538153, 118.776816 32.0539655, 118.7762932 32.0539108))","[1155818336, 1155818380, 1683882109, 1683882110, 1155818326, 1155818428, 1155818336]",dormitory,陶园2舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99978665,"POLYGON ((118.7762102 32.0545545, 118.7762387 32.0544182, 118.7768124 32.0545032, 118.77678 32.0546444, 118.7762102 32.0545545))","[1155818277, 1155818419, 1155818294, 1155818324, 1155818277]",dormitory,南园3舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99988072,"POLYGON ((118.7730688 32.0601133, 118.7730719 32.0599291, 118.773738 32.0599371, 118.7737269 32.0606054, 118.7734448 32.060602, 118.7734441 32.0606433, 118.7732359 32.0606408, 118.7732369 32.0605773, 118.7732036 32.0605769, 118.7731703 32.0605765, 118.7731692 32.0606398, 118.7729608 32.0606373, 118.7729664 32.0602962, 118.7732078 32.0602987, 118.77344 32.0603019, 118.7734406 32.0602657, 118.7735929 32.0602675, 118.7735953 32.0601196, 118.7735127 32.0601186, 118.7730688 32.0601133))","[1156100547, 1156100554, 1156100531, 1156100536, 1156100555, 1156100523, 1156100539, 1156100545, 10806750268, 1156100524, 1156100532, 1156100553, 1156100517, 1156100535, 1156100542, 1156100520, 1156100526, 1156100552, 10806750271, 1156100547]",university,费彝民楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100950657,"POLYGON ((118.7753898 32.0546826, 118.7753798 32.0548109, 118.7750456 32.0547923, 118.7750555 32.054664, 118.7753898 32.0546826))","[1166185691, 1166185667, 1166185698, 1166185676, 1166185691]",yes,校园卡管理中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100950659,"POLYGON ((118.775024 32.0555796, 118.7750376 32.0554847, 118.7752952 32.055511, 118.7752816 32.0556059, 118.775024 32.0555796))","[1166185708, 1166185723, 1166185699, 1166185729, 1166185708]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
