element_type,osmid,geometry,nodes,building,building:levels,name,name:en,sport,tourism,wheelchair,leisure,amenity,roof:levels,addr:housenumber,addr:street,addr:city,addr:postcode,name:zh,operator,opening_hours,source,library,ways,type
way,296012277,"POLYGON ((121.4989759 31.2950367, 121.4988555 31.2949399, 121.498806 31.2948099, 121.4989369 31.2945044, 121.4991599 31.2942322, 121.4993227 31.2942383, 121.4994678 31.2942897, 121.4996271 31.2943835, 121.4997439 31.2945044, 121.4995846 31.2947978, 121.4993333 31.2950548, 121.4991457 31.295076, 121.4989759 31.2950367))","[2997693662, 2997693671, 2997693667, 2997693668, 2997693666, 2997693672, 2997693663, 2997693673, 2997693664, 2997693669, 2997693665, 2997693670, 2997693662]",yes,,正大集团体育馆,,,,,stadium,,,,,,,,,,,,,
way,296012278,"POLYGON ((121.4911614 31.3032646, 121.4916172 31.3031136, 121.4912808 31.3023721, 121.490825 31.3025231, 121.4911614 31.3032646))","[2997693674, 2997693675, 2997693676, 2997693677, 2997693674]",yes,,,,,,,stadium,,,,,,,,,,,,,
way,301674303,"POLYGON ((121.5030599 31.2998769, 121.5029439 31.300154, 121.5032201 31.3002384, 121.5032325 31.3002087, 121.503318 31.3002348, 121.5032461 31.3004067, 121.5031605 31.3003805, 121.5031699 31.3003583, 121.5028136 31.3002494, 121.5028043 31.3002717, 121.5027128 31.3002437, 121.5027613 31.3001277, 121.5028529 31.3001556, 121.5029269 31.2999788, 121.5027498 31.2999246, 121.5028027 31.2997983, 121.5030599 31.2998769))","[3057653146, 3057653161, 3057653172, 3057653168, 3057653171, 3057653185, 3057653183, 3057653180, 3057653174, 3057653176, 3057653173, 3057653157, 3057653162, 3057653151, 3057653148, 3057653145, 3057653146]",university,,五号楼,,,,,,,,,,,,,,,,,,
way,301674304,"POLYGON ((121.5017147 31.3024195, 121.5016449 31.3023987, 121.5016321 31.3024302, 121.501295 31.3023298, 121.5013312 31.3022411, 121.5012492 31.3022156, 121.5011789 31.3021938, 121.501127 31.3021795, 121.5011016 31.3022418, 121.5008993 31.302182, 121.5009246 31.30212, 121.5009115 31.3021161, 121.5006834 31.3020481, 121.5006703 31.3020443, 121.5006484 31.3020982, 121.5006451 31.3021062, 121.5004473 31.3020473, 121.5004522 31.3020354, 121.5004726 31.3019854, 121.5004677 31.3019839, 121.5003161 31.3019388, 121.5001419 31.3018869, 121.5001057 31.3019755, 121.4998132 31.3018883, 121.4999784 31.3014833, 121.500271 31.3015704, 121.5002297 31.3016717, 121.5004069 31.3017253, 121.5005176 31.3017588, 121.5005248 31.3017611, 121.5005604 31.3017702, 121.5005629 31.3017628, 121.5005967 31.3016811, 121.5010355 31.3018118, 121.5012498 31.3018756, 121.5012134 31.3019647, 121.5012671 31.3019811, 121.501419 31.3020259, 121.5014205 31.302022, 121.5014603 31.3019247, 121.5017974 31.3020251, 121.5017766 31.3020761, 121.5018463 31.3020969, 121.5017147 31.3024195))","[3057653318, 3057653317, 3057653319, 3057653316, 3057653314, 10873702234, 4900745778, 3057653312, 3057653315, 3057653313, 3057653311, 8942618057, 8942618051, 3057653305, 8942618053, 3057653310, 3057653306, 8942618052, 3057653300, 8942618054, 10873702222, 3057653291, 3057653299, 3057653292, 3057653264, 3057653269, 3057653275, 10873702221, 4900745783, 8942618058, 3057653280, 8942618055, 3057653276, 8942618056, 3057653290, 3057653298, 8942618060, 3057653304, 8942618059, 3057653296, 3057653303, 3057653308, 3057653309, 3057653318]",university,5,光华楼,Guanghua Building,,,,,,,,,,,,,,,,,
way,301674305,"POLYGON ((121.5022126 31.3013021, 121.5024524 31.3013754, 121.5024478 31.3013864, 121.5026595 31.3014511, 121.5026641 31.3014401, 121.5029122 31.301516, 121.5029665 31.3013863, 121.5027184 31.3013104, 121.5027249 31.3012947, 121.5025132 31.30123, 121.5025066 31.3012457, 121.5022669 31.3011724, 121.5022126 31.3013021))","[3057653251, 3057653256, 3057653258, 3057653262, 3057653261, 3057653265, 3057653257, 3057653252, 3057653250, 3057653246, 3057653248, 3057653244, 3057653251]",yes,4,八号楼,Building 8,,,,,,,,,,,,,,,,,
way,301674307,"POLYGON ((121.4984383 31.3001383, 121.4982839 31.3004999, 121.4981442 31.3004563, 121.4981827 31.3003662, 121.4976748 31.3002079, 121.4976272 31.3003193, 121.4974663 31.3002691, 121.4975138 31.3001577, 121.4975673 31.3001744, 121.4976334 31.3000197, 121.4975858 31.3000004, 121.497634 31.2998875, 121.4977907 31.2999364, 121.4977357 31.3000653, 121.4982436 31.3002236, 121.4982986 31.3000947, 121.4984383 31.3001383))","[3057653158, 3057653188, 3057653187, 3057653181, 3057653167, 3057653179, 3057653175, 3057653163, 3057653165, 3057653153, 3057653152, 3057653147, 3057653149, 3057653154, 3057653170, 3057653156, 3057653158]",yes,,化学楼,Chemistry Building,,,,,,,,,,,,,,,,,
way,301674308,"POLYGON ((121.5020245 31.30178, 121.5022643 31.3018533, 121.5022597 31.3018643, 121.5024714 31.301929, 121.502476 31.301918, 121.5027242 31.3019938, 121.5027785 31.3018642, 121.5025303 31.3017883, 121.5025369 31.3017726, 121.5023252 31.3017079, 121.5023186 31.3017236, 121.5020788 31.3016503, 121.5020245 31.30178))","[3057653282, 3057653285, 3057653288, 3057653297, 3057653295, 3057653301, 3057653287, 3057653283, 3057653281, 3057653278, 3057653279, 3057653274, 3057653282]",yes,4,十一号楼,Building 11,,,,,,,,,,,,,,,,,
way,301674309,"POLYGON ((121.5029388 31.3020479, 121.502999 31.301904, 121.5030141 31.3019086, 121.5031402 31.3016074, 121.5031251 31.3016028, 121.5031858 31.3014579, 121.5030679 31.3014219, 121.5030072 31.3015667, 121.5029934 31.3015625, 121.5028673 31.3018638, 121.5028811 31.301868, 121.5028209 31.3020118, 121.5029388 31.3020479))","[3057653307, 3057653293, 3057653294, 3057653272, 3057653271, 3057653263, 3057653260, 3057653268, 3057653267, 3057653286, 3057653289, 3057653302, 3057653307]",yes,,十号楼,Building 10,,,,,,,,,,,,,,,,,
way,301674310,"POLYGON ((121.5034712 31.3005703, 121.5035775 31.3006028, 121.5035973 31.3005554, 121.5037089 31.3005894, 121.503689 31.3006369, 121.5037923 31.3006684, 121.5039166 31.3003715, 121.5035955 31.3002734, 121.5034712 31.3005703))","[3057653191, 3057653197, 3057653189, 3057653193, 3057653198, 3057653201, 3057653182, 3057653177, 3057653191]",university,,卿云楼,,,,,,,,,,,,,,,,,,
way,301674311,"POLYGON ((121.5010268 31.2994372, 121.5010325 31.2994226, 121.5010254 31.2993914, 121.5010345 31.2993687, 121.501076 31.2993808, 121.5010647 31.299409, 121.5012001 31.2994487, 121.5012576 31.2993057, 121.5009038 31.2992019, 121.5008576 31.2993168, 121.5009514 31.2993443, 121.5009434 31.2993642, 121.5009125 31.2993983, 121.5008942 31.2993984, 121.5008436 31.2994163, 121.5008037 31.2994504, 121.5007822 31.2994949, 121.5007826 31.2995431, 121.5008047 31.2995874, 121.5008452 31.299621, 121.5008977 31.2996386, 121.5009539 31.2996375, 121.5010053 31.299618, 121.5010439 31.2995831, 121.5010638 31.2995382, 121.5010619 31.2994901, 121.5010394 31.2994475, 121.5010268 31.2994372))","[3057652817, 3057652815, 3057652810, 3057652806, 3057652809, 3057652813, 3057652820, 3057652795, 3057652787, 3057652799, 3057652803, 3057652805, 3057652811, 3057652812, 3057652814, 3057652821, 3057652825, 3057652827, 3057652832, 3057653136, 3057653138, 3057653137, 3057653135, 3057652831, 3057652826, 3057652823, 3057652819, 3057652817]",university,,叶耀珍楼,,,,,,,,,,,,,,,,,,
way,301674312,"POLYGON ((121.5034557 31.3012088, 121.503233 31.3011407, 121.5032812 31.3010256, 121.503432 31.3010718, 121.503448 31.3010337, 121.503394 31.3010172, 121.5034645 31.3008488, 121.5035185 31.3008653, 121.5035303 31.3008369, 121.5036022 31.3008589, 121.5034557 31.3012088))","[3057653245, 3057653243, 3057653234, 3057653240, 3057653236, 3057653233, 3057653219, 3057653222, 3057653215, 3057653220, 3057653245]",yes,,四号楼,Building 4,,,,,,,,,,,,,,,,,
way,301674314,"POLYGON ((121.4980799 31.2989419, 121.4984462 31.2990532, 121.4988116 31.2991644, 121.498756 31.299298, 121.4987923 31.299309, 121.49868 31.2995786, 121.4985697 31.299545, 121.498682 31.2992755, 121.4984649 31.2992095, 121.4984096 31.2993422, 121.4983761 31.299332, 121.4983561 31.29938, 121.4984966 31.2994227, 121.4984419 31.299554, 121.4980721 31.2994415, 121.4981268 31.2993102, 121.4982772 31.299356, 121.4982972 31.299308, 121.4982701 31.2992997, 121.4983254 31.299167, 121.4981035 31.2990995, 121.4979912 31.2993691, 121.49788 31.2993352, 121.4979641 31.2989996, 121.4979923 31.2990657, 121.4980243 31.2990754, 121.4980799 31.2989419))","[3057652774, 3067824733, 3057652785, 3057652793, 3057652797, 3057652830, 3057652828, 3057652791, 3057652789, 3057652802, 3057652800, 3057652808, 3057652816, 3057652829, 3057652818, 3057652798, 3057652804, 3057652796, 3057652794, 3057652786, 3057652778, 3057652807, 3057652801, 10803449661, 3057652775, 3057652776, 3057652774]",yes,,复旦大学理科图书馆,,,,,,library,,,,,,,,,,,,
way,301674315,"POLYGON ((121.5030516 31.3010546, 121.5027278 31.3009499, 121.5027582 31.3008814, 121.5026222 31.3008374, 121.5026781 31.3007112, 121.5028141 31.3007552, 121.5027874 31.3008154, 121.5031111 31.30092, 121.5030516 31.3010546))","[3057653239, 3057653229, 3057653223, 3057653216, 3057653206, 3057653210, 3057653212, 3057653228, 3057653239]",university,3,学生服务站,,,,,,,,,,,,,,,,,,
way,301674316,"POLYGON ((121.4991899 31.301232, 121.4992496 31.3010921, 121.4986742 31.3009127, 121.4986821 31.3008942, 121.4985237 31.3008449, 121.4985158 31.3008633, 121.4979532 31.3006879, 121.4978934 31.3008278, 121.4984561 31.3010033, 121.498443 31.3010338, 121.4986014 31.3010831, 121.4986144 31.3010526, 121.4991899 31.301232))","[3057653247, 3057653242, 3057653227, 3057653225, 3057653217, 3057653221, 3057653203, 3057653214, 3057653232, 3057653237, 3057653241, 3057653238, 3057653247]",university,,恒隆物理楼,Physics Building,,,,,,,,,,,,,,,,,
way,301674317,"POLYGON ((121.502267 31.3029484, 121.5022603 31.3029647, 121.5023387 31.3029884, 121.5023107 31.3030562, 121.5023534 31.303069, 121.5022695 31.3032722, 121.5022268 31.3032593, 121.502208 31.303305, 121.5021295 31.3032813, 121.5021197 31.3033053, 121.5015907 31.3031458, 121.5016006 31.3031219, 121.5015288 31.3031003, 121.5015477 31.3030546, 121.501515 31.3030448, 121.5015989 31.3028416, 121.5016315 31.3028514, 121.5016595 31.3027837, 121.5017313 31.3028053, 121.501738 31.302789, 121.5018389 31.3028194, 121.5019302 31.302825, 121.5020188 31.3028445, 121.5021006 31.3028766, 121.5021744 31.3029205, 121.502267 31.3029484))","[3057653433, 3057653434, 3057653436, 3057653439, 3057653440, 3057653446, 3057653445, 3057653448, 3057653447, 3057653449, 3057653444, 3057653442, 3057653441, 3057653438, 3057653437, 3057653328, 3057653330, 3057653323, 3057653325, 3057653324, 3057653326, 3057653327, 3057653329, 3057653331, 3057653332, 3057653433]",university,4,本部食堂,,,,,,restaurant,,,,,,,,,,,,
way,301674318,"POLYGON ((121.5033334 31.3000766, 121.5040454 31.3002942, 121.5040809 31.3002095, 121.5039441 31.3001677, 121.503953 31.3001465, 121.5033777 31.2999707, 121.5033334 31.3000766))","[3057653155, 3057653178, 3057653169, 3057653164, 3057653159, 3057653150, 3057653155]",university,,正大发展中心,,,,,,,,,,,,,,,,,,
way,301674319,"POLYGON ((121.4991234 31.3007776, 121.4992859 31.3003972, 121.4994282 31.3004415, 121.4993768 31.3005618, 121.4998878 31.3007211, 121.4999392 31.3006008, 121.5000888 31.3006475, 121.5000505 31.3007372, 121.5000066 31.3007235, 121.4999343 31.3008929, 121.4999782 31.3009066, 121.4999263 31.301028, 121.4997767 31.3009813, 121.499834 31.3008471, 121.499323 31.3006878, 121.4992657 31.300822, 121.4991234 31.3007776))","[3057653211, 3057653184, 3057653186, 3057653190, 3057653207, 3057653196, 3057653200, 3057653209, 3057653208, 3057653224, 3057653226, 3057653235, 3057653230, 3057653218, 3057653202, 3057653213, 3057653211]",yes,3,立人生物楼,Biology Building,,,,,,,,,,,,,,,,,
way,301742776,"POLYGON ((121.5008782 31.2955023, 121.5012261 31.2956537, 121.5012729 31.2955753, 121.500925 31.2954237, 121.5008782 31.2955023))","[3058494333, 3058494533, 3058494633, 3058494933, 3058494333]",university,,,,,,,,,,,,,,,,,,,,
way,301742778,"POLYGON ((121.5007665 31.2956721, 121.5011144 31.2958235, 121.5011612 31.2957451, 121.5008133 31.2955935, 121.5007665 31.2956721))","[3058494634, 3058495033, 3058494534, 3058495133, 3058494634]",university,,,,,,,,,,,,,,,,,,,,
way,301742781,"POLYGON ((121.5006761 31.2958393, 121.501024 31.2959907, 121.5010708 31.2959123, 121.5007229 31.2957607, 121.5006761 31.2958393))","[3058494334, 3058495233, 3058495333, 3058495334, 3058494334]",university,,,,,,,,,,,,,,,,,,,,
way,301742782,"POLYGON ((121.5009783 31.2953272, 121.5013262 31.2954786, 121.501373 31.2954002, 121.5010251 31.2952486, 121.5009783 31.2953272))","[3058494335, 3058495433, 3058495034, 3058495234, 3058494335]",university,,,,,,,,,,,,,,,,,,,,
way,301742783,"POLYGON ((121.5010945 31.2951479, 121.5014424 31.2952993, 121.5014892 31.2952209, 121.5011413 31.2950693, 121.5010945 31.2951479))","[3058495035, 3058495533, 3058495633, 3058494336, 3058495035]",university,,,,,,,,,,,,,,,,,,,,
way,301742785,"POLYGON ((121.5015367 31.2953469, 121.5018242 31.2954659, 121.5018708 31.2953837, 121.5015834 31.2952647, 121.5015367 31.2953469))","[3058495036, 3058495733, 3058495434, 3058495534, 3058495036]",university,,,,,,,,,,,,,,,,,,,,
way,301742786,"POLYGON ((121.5014332 31.2955272, 121.5017207 31.2956462, 121.5017673 31.295564, 121.5014799 31.295445, 121.5014332 31.2955272))","[3058495335, 3058494635, 3058495037, 3058494337, 3058495335]",university,,,,,,,,,,,,,,,,,,,,
way,301742788,"POLYGON ((121.5013263 31.2956966, 121.5016138 31.2958156, 121.5016604 31.2957334, 121.501373 31.2956144, 121.5013263 31.2956966))","[3058494535, 3058495038, 3058494536, 3058495336, 3058494535]",university,,,,,,,,,,,,,,,,,,,,
way,301742790,"POLYGON ((121.5012172 31.2958736, 121.5015047 31.2959926, 121.5015513 31.2959104, 121.5012639 31.2957914, 121.5012172 31.2958736))","[3058495634, 3058495039, 3058495734, 3058495040, 3058495634]",university,,,,,,,,,,,,,,,,,,,,
way,301742791,"POLYGON ((121.5011147 31.2960425, 121.5014022 31.2961615, 121.5014488 31.2960793, 121.5011614 31.2959603, 121.5011147 31.2960425))","[3058494636, 3058495833, 3058495933, 3058495535, 3058494636]",university,,,,,,,,,,,,,,,,,,,,
way,302086215,"POLYGON ((121.4920688 31.3036747, 121.4915871 31.3036907, 121.4915834 31.3036076, 121.492065 31.3035917, 121.4920688 31.3036747))","[3063238333, 3063238433, 3063238533, 3063238334, 3063238333]",university,,,,,,,,,,,,,,,,,,,,
way,302086216,"POLYGON ((121.4920423 31.303959, 121.4915606 31.303975, 121.4915569 31.3038919, 121.4920385 31.303876, 121.4920423 31.303959))","[3063238733, 3063238534, 3063238833, 3063238834, 3063238733]",university,7,,,,,,,,0,,,,,,,,,,,
way,302086217,"POLYGON ((121.4914802 31.3039605, 121.4910031 31.3039039, 121.4910166 31.3038218, 121.4914943 31.3038782, 121.4914802 31.3039605))","[3063238835, 3063238535, 3063238434, 3063238933, 3063238835]",university,7,,,,,,,,0,,,,,,,,,,,
way,302086219,"POLYGON ((121.491504 31.3036892, 121.4910269 31.3036326, 121.4910404 31.3035505, 121.4915181 31.3036069, 121.491504 31.3036892))","[3063238734, 3063238934, 3063238935, 3063238435, 3063238734]",university,,,,,,,,,,,,,,,,,,,,
way,302086236,"POLYGON ((121.4915831 31.3042507, 121.4911041 31.3042089, 121.4911143 31.3041262, 121.4915942 31.304168, 121.4915831 31.3042507))","[3063238436, 3063239033, 3063239034, 3063238836, 3063238436]",university,7,,,,,,,,0,,,,,,,,,,,
way,302086243,"POLYGON ((121.4921343 31.3042371, 121.4916526 31.3042531, 121.4916489 31.30417, 121.4921305 31.3041541, 121.4921343 31.3042371))","[3063238536, 3063238537, 3063238437, 3063238538, 3063238536]",university,7,,,,,,,,0,,,,,,,,,,,
way,302086244,"POLYGON ((121.4910145 31.304189, 121.490554 31.3040676, 121.4905825 31.3039881, 121.4910431 31.3041096, 121.4910145 31.304189))","[3063238335, 3063238336, 3063238735, 3063238837, 3063238335]",university,7,,,,,,,,0,,,,,,,,,,,
way,302086245,"POLYGON ((121.4909071 31.3038814, 121.4904466 31.30376, 121.4904751 31.3036805, 121.4909357 31.303802, 121.4909071 31.3038814))","[3063238736, 3063239133, 3063238438, 3063238539, 3063238736]",university,7,,,,,,,,0,,,,,,,,,,,
way,302086246,"POLYGON ((121.4909461 31.3036106, 121.4903409 31.3034604, 121.4903675 31.3033819, 121.4909728 31.303532, 121.4909461 31.3036106))","[3063238540, 3063239333, 3063238541, 3063238838, 3063238540]",university,,,,,,,,,,,,,,,,,,,,
way,302086247,"POLYGON ((121.4909517 31.3030417, 121.4903465 31.3028915, 121.4903731 31.302813, 121.4909784 31.3029631, 121.4909517 31.3030417))","[3063238737, 3063239633, 3063239334, 3063239335, 3063238737]",university,,,,,,,,,,,,,,,,,,,,
way,302086248,"POLYGON ((121.4910658 31.3033404, 121.4902634 31.3031577, 121.4902875 31.3030804, 121.4910899 31.303263, 121.4910658 31.3033404))","[3063239634, 3063239336, 3063238936, 3063238937, 3063239634]",university,,,,,,,,,,,,,,,,,,,,
way,302086249,"POLYGON ((121.4907591 31.3027229, 121.4904557 31.3026446, 121.4904846 31.3025627, 121.490788 31.302641, 121.4907591 31.3027229))","[3063239337, 3063238938, 3063239635, 3063239833, 3063239337]",university,,,,,,,,,,,,,,,,,,,,
