u,v,key,osmid,name,highway,oneway,reversed,length,geometry,tunnel
667526655,3057653321,0,52531427,,service,False,False,915.4839999999999,"LINESTRING (121.4931028 31.3005418, 121.499233 31.3025584, 121.5013901 31.3032346, 121.5016459 31.3026148)",
667526655,2035903705,0,188862025,,service,False,False,104.591,"LINESTRING (121.4931028 31.3005418, 121.4926978 31.3011946, 121.4926925 31.3013963)",
667526655,858656023,0,188862025,,service,False,True,291.932,"LINESTRING (121.4931028 31.3005418, 121.493998 31.2990115, 121.4947269 31.2993878, 121.4948445 31.2992302)",
667526658,667526783,0,52520108,,service,False,False,66.251,"LINESTRING (121.5017774 31.3026561, 121.5024374 31.3028484)",
667526658,3057653321,0,52520108,,service,False,True,13.311,"LINESTRING (121.5017774 31.3026561, 121.5016459 31.3026148)",
667526658,3057653284,0,52531400,,service,False,False,95.174,"LINESTRING (121.5017774 31.3026561, 121.5021035 31.3018468)",
667526688,10873702224,0,52531432,,footway,False,True,21.151,"LINESTRING (121.5019072 31.3017863, 121.5016979 31.3017215)",
667526688,3057653284,0,72259322,,service,False,False,19.827,"LINESTRING (121.5019072 31.3017863, 121.5021035 31.3018468)",
667526688,667526466,0,301674306,,service,False,False,93.458,"LINESTRING (121.5019072 31.3017863, 121.5022037 31.3009849)",
667526783,667526658,0,52520108,,service,False,True,66.251,"LINESTRING (121.5024374 31.3028484, 121.5017774 31.3026561)",
667526783,858656067,0,52531456,,service,False,False,94.684,"LINESTRING (121.5024374 31.3028484, 121.5027585 31.3020423)",
850249725,667341423,0,52509551,相伯路,service,False,False,104.245,"LINESTRING (121.4989867 31.3008856, 121.5000196 31.3012018)",
850249725,850249758,0,52509551,相伯路,service,False,True,63.334,"LINESTRING (121.4989867 31.3008856, 121.4983595 31.3006927)",
850249725,667526328,0,52531334,日月东路,service,False,True,91.991,"LINESTRING (121.4989867 31.3008856, 121.4993057 31.3001045)",
850249758,850249725,0,52509551,相伯路,service,False,False,63.334,"LINESTRING (121.4983595 31.3006927, 121.4989867 31.3008856)",
850249758,667340947,0,52509551,相伯路,service,False,True,109.222,"LINESTRING (121.4983595 31.3006927, 121.4972775 31.3003609)",
850249758,667526334,0,71461972,日月西路,service,False,False,91.66300000000001,"LINESTRING (121.4983595 31.3006927, 121.498394 31.3006082, 121.4986689 31.2999119)",
850250032,667526459,0,52531396,,service,False,False,92.957,"LINESTRING (121.5014412 31.3003158, 121.5023685 31.3005824)",
850250032,667526385,0,52531396,,service,False,True,93.065,"LINESTRING (121.5014412 31.3003158, 121.5005201 31.3000311)",
850250032,667526479,0,52531401,,service,False,False,41.822,"LINESTRING (121.5014412 31.3003158, 121.5015944 31.2999632)",
850250032,667526464,0,52531401,,service,False,True,45.755,"LINESTRING (121.5014412 31.3003158, 121.5012815 31.300704)",
858656017,858656020,0,72259309,登辉环路,service,False,False,69.913,"LINESTRING (121.4957551 31.2990636, 121.4961439 31.2985298)",
858656017,3067820433,0,72259309,登辉环路,service,False,True,58.993,"LINESTRING (121.4957551 31.2990636, 121.4954203 31.2995104)",
858656017,667340016,0,52509397,博学北路,service,False,True,195.59,"LINESTRING (121.4957551 31.2990636, 121.4972468 31.2998009, 121.4975779 31.2997558)",
858656020,667340012,0,52531417,博学南路,service,False,True,180.159,"LINESTRING (121.4961439 31.2985298, 121.4977711 31.2993616)",
858656020,858656017,0,72259309,登辉环路,service,False,True,69.913,"LINESTRING (121.4961439 31.2985298, 121.4957551 31.2990636)",
858656020,858656023,0,72259309,登辉环路,service,False,False,185.486,"LINESTRING (121.4961439 31.2985298, 121.4956972 31.2982952, 121.4955401 31.2983255, 121.4948445 31.2992302)",
858656023,3067820433,0,72259309,登辉环路,service,False,False,62.958,"LINESTRING (121.4948445 31.2992302, 121.4954203 31.2995104)",
858656023,858656020,0,72259309,登辉环路,service,False,True,185.486,"LINESTRING (121.4948445 31.2992302, 121.4955401 31.2983255, 121.4956972 31.2982952, 121.4961439 31.2985298)",
858656023,667526655,0,188862025,,service,False,False,291.932,"LINESTRING (121.4948445 31.2992302, 121.4947269 31.2993878, 121.493998 31.2990115, 121.4931028 31.3005418)",
858656067,667339614,0,52531456,,service,False,False,93.634,"LINESTRING (121.5027585 31.3020423, 121.5030926 31.3012501)",
858656067,667526783,0,52531456,,service,False,True,94.684,"LINESTRING (121.5027585 31.3020423, 121.5024374 31.3028484)",
858656067,3057653284,0,72259322,,service,False,True,65.919,"LINESTRING (121.5027585 31.3020423, 121.5021035 31.3018468)",
1875128773,667526480,0,301674306,,service,False,True,58.905,"LINESTRING (121.5027011 31.2997335, 121.5025017 31.3002351)",
1994986959,2035903774,0,188862026,,service,False,False,30.52,"LINESTRING (121.4911293 31.3021646, 121.4913455 31.3023676)",
1994986959,2035903705,0,188862026,,service,False,True,177.239,"LINESTRING (121.4911293 31.3021646, 121.4916162 31.3017312, 121.491966 31.3015493, 121.4925074 31.3014037, 121.4926925 31.3013963)",
1994986959,3063238549,0,302086320,,service,False,True,92.195,"LINESTRING (121.4911293 31.3021646, 121.4907631 31.3024607, 121.4909307 31.3028324)",
1994986960,2035903771,0,188862025,,service,False,True,40.886,"LINESTRING (121.4926591 31.3026678, 121.4926688 31.3023002)",
1994986960,1994986961,0,188862026,,service,False,False,58.931,"LINESTRING (121.4926591 31.3026678, 121.4932499 31.3028292)",
1994986960,1994986962,0,188862026,,service,False,True,81.27,"LINESTRING (121.4926591 31.3026678, 121.4920779 31.3028664, 121.4918503 31.3028416)",
1994986961,1994986960,0,188862026,,service,False,True,58.931,"LINESTRING (121.4932499 31.3028292, 121.4926591 31.3026678)",
1994986961,2035903781,0,193057325,,service,False,True,40.176,"LINESTRING (121.4932499 31.3028292, 121.493438 31.3025056)",
1994986961,1994986965,0,188862026,,service,False,False,136.458,"LINESTRING (121.4932499 31.3028292, 121.4934921 31.3034623, 121.4928822 31.3036704)",
1994986962,2035903791,0,188862026,,service,False,True,12.769,"LINESTRING (121.4918503 31.3028416, 121.4917598 31.3027567)",
1994986962,3063238939,0,302086279,,service,False,False,37.967,"LINESTRING (121.4918503 31.3028416, 121.4921023 31.3031066)",
1994986962,1994986960,0,188862026,,service,False,False,81.27,"LINESTRING (121.4918503 31.3028416, 121.4920779 31.3028664, 121.4926591 31.3026678)",
1994986962,3063238543,0,302086290,,service,False,False,78.235,"LINESTRING (121.4918503 31.3028416, 121.4916707 31.3032036, 121.4916717 31.303514)",
1994986965,3063238738,0,188862026,,service,False,False,26.321,"LINESTRING (121.4928822 31.3036704, 121.4929748 31.3038935)",
1994986965,1994986961,0,188862026,,service,False,True,136.458,"LINESTRING (121.4928822 31.3036704, 121.4934921 31.3034623, 121.4932499 31.3028292)",
1994986965,3063238846,0,302086319,,service,False,True,65.842,"LINESTRING (121.4928822 31.3036704, 121.4927118 31.303721, 121.4923613 31.3037858, 121.4922171 31.3037396)",
2035903705,2035903729,0,188862025,,service,False,False,30.052,"LINESTRING (121.4926925 31.3013963, 121.4926854 31.3016665)",
2035903705,667526655,0,188862025,,service,False,True,104.591,"LINESTRING (121.4926925 31.3013963, 121.4926978 31.3011946, 121.4931028 31.3005418)",
2035903705,1994986959,0,188862026,,service,False,False,177.23900000000003,"LINESTRING (121.4926925 31.3013963, 121.4925074 31.3014037, 121.491966 31.3015493, 121.4916162 31.3017312, 121.4911293 31.3021646)",
2035903705,2035903719,0,188862026,,service,False,True,82.519,"LINESTRING (121.4926925 31.3013963, 121.4929636 31.3014037, 121.4935293 31.3015675)",
2035903719,2035903741,0,188862026,,service,False,True,73.252,"LINESTRING (121.4935293 31.3015675, 121.4942501 31.3018013)",
2035903719,2035903744,0,193057326,,service,False,False,33.078,"LINESTRING (121.4935293 31.3015675, 121.4934137 31.3018481)",
2035903719,2035903705,0,188862026,,service,False,False,82.519,"LINESTRING (121.4935293 31.3015675, 121.4929636 31.3014037, 121.4926925 31.3013963)",
2035903729,2035903754,0,188862025,,service,False,False,34.401,"LINESTRING (121.4926854 31.3016665, 121.4926773 31.3019758)",
2035903729,2035903705,0,188862025,,service,False,True,30.052,"LINESTRING (121.4926854 31.3016665, 121.4926925 31.3013963)",
2035903729,2035903744,0,193057325,,service,False,False,72.922,"LINESTRING (121.4926854 31.3016665, 121.492772 31.3016558, 121.4934137 31.3018481)",
2035903729,2035903774,0,193057325,,service,False,True,153.28300000000002,"LINESTRING (121.4926854 31.3016665, 121.4921698 31.3017806, 121.4919569 31.3018793, 121.4917561 31.3020118, 121.4913455 31.3023676)",
2035903741,2035903719,0,188862026,,service,False,False,73.252,"LINESTRING (121.4942501 31.3018013, 121.4935293 31.3015675)",
2035903744,2035903719,0,193057326,,service,False,True,33.078,"LINESTRING (121.4934137 31.3018481, 121.4935293 31.3015675)",
2035903744,2035903767,0,193057325,,service,False,False,72.17099999999999,"LINESTRING (121.4934137 31.3018481, 121.4937939 31.3019755, 121.4936191 31.3022358)",
2035903744,2035903729,0,193057325,,service,False,True,72.922,"LINESTRING (121.4934137 31.3018481, 121.492772 31.3016558, 121.4926854 31.3016665)",
2035903754,2035903771,0,188862025,,service,False,False,36.081,"LINESTRING (121.4926773 31.3019758, 121.4926688 31.3023002)",
2035903754,2035903729,0,188862025,,service,False,True,34.401,"LINESTRING (121.4926773 31.3019758, 121.4926854 31.3016665)",
2035903754,2035903767,0,193057327,,service,False,False,94.035,"LINESTRING (121.4926773 31.3019758, 121.4936191 31.3022358)",
