u,v,key,osmid,lanes,name,highway,access,oneway,reversed,length,geometry,service,bridge,tunnel
1923658035,1923658182,0,"[182023185, 456279022, 182023182]",,,"['steps', 'footway']",,False,"[False, True]",36.685,"LINESTRING (114.1387454 22.2836928, 114.1387163 22.2836412, 114.1387421 22.2835995, 114.1387327 22.2834713, 114.1387302 22.283436, 114.1387267 22.2833763)",,yes,
1923658035,356626383,0,347465164,,,footway,,False,False,48.836,"LINESTRING (114.1387454 22.2836928, 114.138622 22.2837672, 114.138449 22.2837822, 114.1383146 22.283851)",,,
1923658061,1923658025,0,"[182023187, 182023172]",,,"['steps', 'footway']",,False,False,22.184,"LINESTRING (114.1389887 22.283806, 114.1391479 22.2838802, 114.1391652 22.2838941, 114.1391638 22.2839074)",,,
1923658061,1923658035,0,"[182023185, 182023172]",,,"['steps', 'footway']",,False,True,34.233999999999995,"LINESTRING (114.1389887 22.283806, 114.1389497 22.2838063, 114.1389065 22.2836903, 114.1387454 22.2836928)",,,
1923658062,356626383,0,31853978,2,仲賢路 Lee Chung Yin Road,service,permissive,False,False,17.291,"LINESTRING (114.1383701 22.2837043, 114.1383395 22.2837784, 114.1383146 22.283851)",,,
1923658108,5566729016,0,182023176,,仲賢路 Lee Chung Yin Road,service,permissive,True,False,2.73,"LINESTRING (114.1373657 22.2836615, 114.137391 22.2836541)",,,
1923658108,4525548837,0,"[700710027, 700710029]",,,service,permissive,False,False,17.431,"LINESTRING (114.1373657 22.2836615, 114.1373469 22.2835948, 114.1373097 22.283514)",driveway,,
1923658181,6505344809,0,"[692913410, 182023188]",,,footway,,False,False,24.003999999999998,"LINESTRING (114.1378643 22.2837069, 114.1378639 22.2836834, 114.1378528 22.2834913)",,yes,
1923658182,1923658035,0,"[182023185, 182023182, 456279022]",,,"['steps', 'footway']",,False,"[False, True]",36.685,"LINESTRING (114.1387267 22.2833763, 114.1387302 22.283436, 114.1387327 22.2834713, 114.1387421 22.2835995, 114.1387163 22.2836412, 114.1387454 22.2836928)",,yes,
1923658182,4525548855,0,"[182023184, 456279023]",,,footway,,False,True,24.682000000000002,"LINESTRING (114.1387267 22.2833763, 114.1388736 22.2833694, 114.1389525 22.2833242)",,yes,
1923658182,9036874346,0,"[182023186, 544609611]",,,footway,,False,False,15.674,"LINESTRING (114.1387267 22.2833763, 114.1386804 22.283378, 114.1385954 22.2833194)",,yes,
1923668805,6499717133,0,182024492,2,,service,permissive,False,True,18.112,"LINESTRING (114.1368916 22.2835508, 114.1367198 22.2835863)",,,
1923668805,6499717124,0,317082358,,仲賢路 Lee Chung Yin Road,service,permissive,True,False,13.365,"LINESTRING (114.1368916 22.2835508, 114.1368989 22.2836708)",,,
1923668805,9223062115,0,675660166,2,仲賢路 Lee Chung Yin Road,service,permissive,False,True,3.175,"LINESTRING (114.1368916 22.2835508, 114.1368884 22.2835224)",,,
1925480949,6563915347,0,182203585,2,,service,permissive,False,True,2.358,"LINESTRING (114.1390234 22.2823531, 114.1390408 22.2823669)",,,
1925480949,3044835118,0,182203585,2,,service,permissive,False,False,106.09299999999999,"LINESTRING (114.1390234 22.2823531, 114.1389643 22.282328, 114.1388945 22.2823194, 114.1379991 22.2823398)",,,
1925480949,6563915349,0,"[698990275, 698990278]",2,,service,permissive,False,False,15.267999999999999,"LINESTRING (114.1390234 22.2823531, 114.1390853 22.2823529, 114.1391717 22.2823493)",,,
