u,v,key,osmid,highway,oneway,reversed,length,lanes,name,maxspeed,service,geometry,width,tunnel,access,bridge,junction
335535638,6918271758,0,367937780,service,False,True,10.784,,Rue Jean Tschumi,30,driveway,"LINESTRING (6.5645836 46.5216698, 6.564465 46.5217222)",,,,,
335535638,10676653204,0,"[30403008, 1087114436]",footway,False,False,54.205999999999996,,,,,"LINESTRING (6.5645836 46.5216698, 6.5645844 46.521766, 6.5645843 46.5217725, 6.5645829 46.5218925, 6.564588 46.5219099, 6.5645972 46.5219243, 6.5646071 46.5219357, 6.5646204 46.5219456, 6.564637 46.5219544, 6.5646538 46.5219604, 6.5646855 46.5219636, 6.5648508 46.5219781, 6.5649095 46.521978)",,yes,,,
335535638,9026075055,0,35464372,service,False,False,33.189,,Rue Jean Tschumi,,driveway,"LINESTRING (6.5645836 46.5216698, 6.5646302 46.5216022, 6.5646392 46.5215676, 6.5646412 46.5213791)",,,,,
335535672,9053698108,0,30403017,service,False,False,5.916,,,,parking_aisle,"LINESTRING (6.5631822 46.5213034, 6.5631049 46.5213021)",,,,,
335535672,9026075056,0,30403013,service,True,False,95.79400000000001,,,,parking_aisle,"LINESTRING (6.5631822 46.5213034, 6.5643816 46.5213076, 6.5643811 46.5213438)",,,,,
335535675,9053698104,0,23385359,unclassified,False,False,11.143,,Avenue Jean-Rodolphe-Perronet,30,,"LINESTRING (6.5628652 46.521303, 6.5628113 46.5212099)",,,,,
335535675,415963487,0,30403017,service,False,True,6.889,,,,parking_aisle,"LINESTRING (6.5628652 46.521303, 6.5629551 46.5212996)",,,,,
335535675,253204614,0,23385359,unclassified,False,True,81.421,,Avenue Jean-Rodolphe-Perronet,30,,"LINESTRING (6.5628652 46.521303, 6.5630125 46.5215581, 6.5630317 46.5215915, 6.5630927 46.5216753, 6.5631562 46.5217414, 6.5632374 46.5217935, 6.5633258 46.5218303, 6.5633931 46.5218533, 6.5634623 46.5218674)",,,,,
335535677,415963477,0,23385359,unclassified,False,True,90.335,,Avenue Jean-Rodolphe-Perronet,30,,"LINESTRING (6.561582 46.5190582, 6.562012 46.5198148)",,,,,
335535677,334496980,0,825869003,service,False,False,91.397,,Chemin Alan-Turing,30,driveway,"LINESTRING (6.561582 46.5190582, 6.5627765 46.5190605)",,,,,
