element_type,osmid,geometry,image,name,wikidata,wikimedia_commons,nodes,addr:city,addr:country,addr:housename,addr:postcode,building,building:levels,source,architect,building:colour,roof:levels,roof:shape,addr:street,layer,wheelchair,amenity,nohousenumber,name:fr,bridge,foot,lit,surface,building:min_level,noaddress,description,opening_hours,phone,service:bicycle:pump,shop,website,capacity,leisure,check_date,opening_date,shelter_type,ways,type,ref,alt_name,building:part
way,869061403,"POLYGON ((6.5708496 46.5181351, 6.5706749 46.5178664, 6.5702891 46.5179851, 6.5704638 46.5182539, 6.5708496 46.5181351))",,RTS: Logistique et garage,,,"[8100394000, 8100394001, 8100394002, 8100394003, 8100394000]",,,,,construction,4,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-07,,,,,,,
way,869061404,"POLYGON ((6.5700786 46.5184745, 6.5700779 46.5182485, 6.5703864 46.518248, 6.5703871 46.518474, 6.5700786 46.5184745))",,RTS: Radio et ouverture au public,,,"[8100394004, 8100394005, 8100394006, 8100394007, 8100394004]",,,,,construction,4,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-26,,,,,,,
way,869061405,"POLYGON ((6.5702613 46.5188991, 6.5700953 46.5187202, 6.5704824 46.5185502, 6.5706483 46.5187291, 6.5702613 46.5188991))",,RTS: Administration et restaurant,,,"[8100394008, 8100394009, 8100394010, 8100394011, 8100394008]",,,,,construction,4,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-26,,,,,,,
way,869061406,"POLYGON ((6.5706564 46.5188835, 6.5712426 46.5188913, 6.571254 46.5184855, 6.5706679 46.5184777, 6.5706564 46.5188835))",,RTS: Studios radio et télévision,,,"[8100394012, 8100394013, 8100394014, 8100394015, 8100394012]",,,,,construction,4,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-07,,,,,,,
way,939458510,"POLYGON ((6.5707928 46.5196474, 6.5708424 46.5196478, 6.5708439 46.5195606, 6.5707942 46.5195602, 6.5707928 46.5196474))",,,,,"[8702469685, 8702469686, 8702469687, 8702469688, 8702469685]",,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965697691,"POLYGON ((6.5710533 46.5181848, 6.5711137 46.5181548, 6.5712022 46.5182383, 6.5712981 46.5183024, 6.5714027 46.518356, 6.5713611 46.518398, 6.5712431 46.5183394, 6.5711445 46.5182678, 6.5710533 46.5181848))",,,,,"[8933671365, 8933671366, 8933671367, 8933671368, 8933671369, 8933671370, 8933671371, 8933671372, 8933671365]",,,,,roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965866284,"POLYGON ((6.5653778 46.5179074, 6.5654801 46.5179078, 6.5654829 46.5175624, 6.5653807 46.517562, 6.5653778 46.5179074))",,,,,"[8935269866, 8935269867, 8935269868, 8935269869, 8935269866]",,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965866288,"POLYGON ((6.5641681 46.5172097, 6.5644282 46.5172131, 6.5644333 46.5170267, 6.5641732 46.5170233, 6.5641681 46.5172097))",,STF,,,"[8935270044, 8935270045, 8935270046, 8935270047, 8935270044]",Lausanne,,,1015,yes,1,,,,,,Chemin Cécile Biéler-Butticaz,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965866290,"POLYGON ((6.5654562 46.5212453, 6.5656534 46.5212459, 6.5656538 46.5211947, 6.5654969 46.5211942, 6.565497 46.5211761, 6.5654566 46.521176, 6.5654562 46.5212453))",,,,,"[8935270064, 8935270065, 8935270066, 8935270067, 8935270068, 8935270069, 8935270064]",,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965866291,"POLYGON ((6.5706886 46.5215221, 6.5708468 46.5215218, 6.5708466 46.5214701, 6.5706883 46.5214704, 6.5706886 46.5215221))",,,,,"[8935270113, 8935270114, 8935270115, 8935270116, 8935270113]",,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965866292,"POLYGON ((6.5715192 46.5212318, 6.5715734 46.5212492, 6.5716057 46.5212017, 6.5715515 46.5211843, 6.5715192 46.5212318))",,,,,"[8935270117, 8935270118, 8935270119, 8935270120, 8935270117]",,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1016957171,"POLYGON ((6.5691417 46.5175153, 6.5692375 46.5175245, 6.5692432 46.5174964, 6.5691518 46.5174876, 6.5691545 46.5175029, 6.5691417 46.5175153))",,,,,"[9380036465, 9380036466, 9380036467, 9380036468, 9380036469, 9380036465]",,,,,yes,,,,,,,,,,shelter,,,,,,,,,,,,,,,,,,,public_transport,,,,,
way,1071073719,"POLYGON ((6.5645295 46.5180414, 6.5645308 46.5179954, 6.564648 46.5179961, 6.5646474 46.5180421, 6.5645295 46.5180414))",,PPH,,,"[3096299275, 3096299272, 9828699392, 9828699393, 3096299275]",Lausanne,CH,,1015,university,1,EPFL plan,,,0,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
relation,153242,"MULTIPOLYGON (((6.5671898 46.5219161, 6.5674805 46.5219177, 6.5674829 46.5217082, 6.5671922 46.5217066, 6.5671898 46.5219161)), ((6.5671964 46.5216526, 6.5674832 46.5216542, 6.5674836 46.5216226, 6.5674842 46.5215689, 6.5671974 46.5215673, 6.5671964 46.5216526)))",,LE,,,"[[[415957446, 415957447, 415957448, 415957449, 415957446], [415957450, 415957451, 938410540, 415957452, 415957453, 415957450]]]",Lausanne,CH,LE,1015,university,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,"[35468398, 35468399]",multipolygon,,,
