element_type,osmid,access,amenity,fee,name,parking,geometry,noexit,nodes,capacity,capacity:disabled,source,layer,parking:orientation,surface,ways,type
way,35468395,private,parking,yes,Barrage,surface,"POLYGON ((6.5657168 46.521247, 6.5658083 46.5212473, 6.5658043 46.5218463, 6.5657127 46.521846, 6.5657168 46.521247))",,"[415957429, 1473004467, 415957431, 415957432, 415957429]",,,,,,,,
way,35468444,,parking,yes,,surface,"POLYGON ((6.5706245 46.5203612, 6.5709731 46.5203637, 6.5709756 46.5202001, 6.570627 46.5201976, 6.5706245 46.5203612))",,"[415957763, 415957764, 415957765, 415957766, 415957763]",,,,,,,,
way,35469250,yes,parking,yes,Esplanade,underground,"POLYGON ((6.5657047 46.5204051, 6.5657053 46.5203696, 6.5656265 46.5203689, 6.5656295 46.5201964, 6.5656328 46.5200097, 6.5657228 46.5200104, 6.5657237 46.5199584, 6.5661254 46.5199618, 6.5661248 46.5199968, 6.5661892 46.5199973, 6.566183 46.5203486, 6.5660005 46.5203471, 6.5660001 46.5203669, 6.5659994 46.5204076, 6.5657047 46.5204051))",,"[415965511, 1271160272, 1271160263, 1973837721, 415965513, 1271160268, 1271160270, 1271160260, 1271160265, 415965514, 1271160269, 1271160271, 2117505322, 415965512, 415965511]",81,,EPFL plan,-1,,,,
way,35767755,private,parking,yes,Piccard,street_side,"POLYGON ((6.568402 46.5207257, 6.568429 46.5207428, 6.5684591 46.5207619, 6.5684494 46.521098, 6.5683965 46.5210629, 6.568402 46.5207257))",,"[418161352, 9379387741, 418161354, 418161355, 418161353, 418161352]",,,,,diagonal,asphalt,,
way,111648362,private,parking,yes,Esplanade,underground,"POLYGON ((6.5652099 46.5201817, 6.5655288 46.5204099, 6.5656257 46.5204096, 6.5656265 46.5203689, 6.5656295 46.5201964, 6.5656328 46.5200097, 6.565458 46.520008, 6.5652099 46.5201817))",,"[1271472539, 1271472541, 1271472537, 1271160263, 1973837721, 415965513, 1271472535, 1271472539]",,,EPFL plan,-1,,,,
way,201759810,private,parking,,,surface,"POLYGON ((6.5719984 46.5182721, 6.5718343 46.5182673, 6.5718159 46.5184987, 6.5718114 46.5185368, 6.571989 46.5185314, 6.5719984 46.5182721))",,"[2117738107, 8100314306, 2117738113, 2117738111, 2117738109, 2117738107]",,,,,,,,
way,201762387,,parking,,Innovation,surface,"POLYGON ((6.5607425 46.5172627, 6.5607479 46.5171483, 6.561061 46.5171487, 6.561071 46.5166669, 6.5610725 46.5165972, 6.5611019 46.5165969, 6.5611293 46.5165971, 6.5613416 46.5165891, 6.5613376 46.5171504, 6.5612131 46.5171698, 6.5611682 46.5171852, 6.5611678 46.5172095, 6.5611619 46.517822, 6.5611019 46.517822, 6.5610993 46.5178995, 6.5610081 46.5178976, 6.5610107 46.5177537, 6.5609651 46.5177537, 6.5609732 46.5175802, 6.560874 46.5175783, 6.560882 46.5174196, 6.560831 46.5174214, 6.5608337 46.5172646, 6.5607425 46.5172627))",,"[2117758936, 2117758933, 2117767837, 9823458880, 2117767781, 2249915549, 2117767808, 2117767774, 2117767775, 9823458833, 2286559839, 2286559837, 2117758935, 2117758932, 2117758939, 2117758931, 2117758934, 2117758937, 2117758942, 2117758930, 2117758938, 2117758943, 2117758941, 2117758936]",101,,,,,,,
way,201762593,customers,parking,yes,,surface,"POLYGON ((6.5627158 46.5180143, 6.5627196 46.5178607, 6.5623752 46.5178588, 6.5623733 46.5179161, 6.5621909 46.5179161, 6.5621879 46.517851, 6.5617121 46.5178484, 6.5617108 46.517905, 6.5616598 46.517905, 6.561644 46.5178849, 6.5616437 46.5177149, 6.5616813 46.5176854, 6.5626147 46.5176854, 6.5626161 46.5175854, 6.5621536 46.5175838, 6.5621127 46.5175837, 6.5616062 46.517582, 6.5616033 46.5176331, 6.5615821 46.5180065, 6.5627158 46.5180143))",,"[2117762642, 861321157, 335535696, 2117762649, 2117762643, 335543392, 335543403, 2117762637, 2117762646, 2117762644, 2117762635, 2117762636, 2117762647, 2117762648, 9828595521, 9823448087, 2117762638, 9823448086, 2117762650, 2117762642]",,,,,,,,
way,305061676,private,parking,,CRPP,surface,"POLYGON ((6.5647305 46.5175383, 6.5646747 46.5175377, 6.5646692 46.5177826, 6.564725 46.5177832, 6.5647305 46.5175383))",,"[3096299252, 3096299253, 3096299254, 3096299255, 3096299252]",8,,,,,,,
way,305061677,private,parking,,CRPP,surface,"POLYGON ((6.5648145 46.5173538, 6.5648156 46.5173062, 6.565301 46.5173115, 6.5652999 46.5173591, 6.5648145 46.5173538))",,"[3096299256, 3096299257, 3096299258, 3096299259, 3096299256]",,,,,,,,
way,305061678,private,parking,,CRPP,surface,"POLYGON ((6.565489 46.5173206, 6.5654853 46.5175237, 6.5653864 46.5175235, 6.56539 46.5173188, 6.565489 46.5173206))",,"[3096299260, 3096299261, 3096299262, 3096299263, 3096299260]",,,,,,,,
way,305061680,private,parking,,,surface,"POLYGON ((6.564841 46.5179988, 6.5648728 46.517999, 6.5649042 46.5179992, 6.5649347 46.5179994, 6.5649667 46.5179997, 6.5650634 46.5180003, 6.5650949 46.5180006, 6.5651254 46.5180008, 6.5651578 46.518001, 6.5651883 46.5180012, 6.5652202 46.5180014, 6.5652525 46.5180016, 6.5652519 46.5180451, 6.5652193 46.5180448, 6.5651878 46.5180446, 6.5651564 46.5180444, 6.5651249 46.5180442, 6.565094 46.518044, 6.5650625 46.5180437, 6.5649652 46.518043, 6.5649338 46.5180428, 6.5649033 46.5180426, 6.5648719 46.5180424, 6.5648404 46.5180422, 6.564841 46.5179988))",,"[3096299269, 9828583401, 9828583403, 9828583405, 9828583407, 9828583410, 9828583409, 9828583413, 9828583415, 9828608017, 9828608019, 3096299270, 3096299271, 9828608018, 9828583416, 9828583414, 9828583412, 9828583408, 9828583411, 9828583406, 9828583404, 9828583402, 9828583400, 3096299268, 3096299269]",10,0,,,,asphalt,,
way,305061681,private,parking,,,surface,"POLYGON ((6.5645308 46.5179954, 6.5644989 46.5179952, 6.5644688 46.517995, 6.5644372 46.5179949, 6.5644064 46.5179947, 6.5643754 46.5179945, 6.5643448 46.5179943, 6.5643141 46.5179941, 6.5642834 46.5179939, 6.5642523 46.5179938, 6.5642209 46.5179936, 6.5641887 46.5179934, 6.5641881 46.5180393, 6.5642201 46.5180395, 6.5642511 46.5180397, 6.5642818 46.5180399, 6.5643125 46.5180401, 6.564344 46.5180403, 6.5643749 46.5180404, 6.564405 46.5180406, 6.5644359 46.5180408, 6.5644671 46.518041, 6.5644973 46.5180412, 6.5645295 46.5180414, 6.5645308 46.5179954))",,"[3096299272, 9828660650, 9828660648, 9828660646, 9828660644, 9828660642, 9828660640, 9828660638, 9828660636, 9828660634, 9828660632, 3096299273, 3096299274, 9828660631, 9828660633, 9828660635, 9828660637, 9828660639, 9828660641, 9828660643, 9828660645, 9828660647, 9828660649, 3096299275, 3096299272]",11,,,,,,,
way,758895191,private,parking,,,surface,"POLYGON ((6.5629469 46.5216463, 6.5629931 46.5216287, 6.5628176 46.5213261, 6.5625428 46.52084, 6.5623993 46.5205932, 6.5622619 46.5203513, 6.5622552 46.5203423, 6.5621839 46.5202173, 6.5620638 46.520005, 6.5619557 46.5198226, 6.5616949 46.5193689, 6.5615368 46.5190688, 6.5614306 46.5188627, 6.5614022 46.5187877, 6.5613467 46.5187976, 6.5613704 46.5188651, 6.5614551 46.5190309, 6.5615663 46.5192365, 6.5617925 46.5196486, 6.5621056 46.5202029, 6.5622382 46.5204275, 6.5623446 46.5206369, 6.5625104 46.5208979, 6.5626596 46.5211587, 6.5629469 46.5216463))",,"[7087925196, 8933519258, 8933519259, 8933519262, 8933519263, 8933519266, 8933519268, 8933519269, 8933519270, 8933519271, 8933519274, 8933519276, 8933519278, 7087925198, 7087925199, 8933519279, 8933519277, 8933519275, 8933519273, 7087925200, 8933519265, 8933519264, 8933519261, 8933519260, 7087925196]",,,,,,,,
way,975363549,private,parking,,,street_side,"POLYGON ((6.5714154 46.5198773, 6.5714833 46.5198777, 6.5715289 46.519878, 6.5715296 46.5198324, 6.5714839 46.5198321, 6.5714161 46.5198317, 6.5714154 46.5198773))",,"[9025996724, 9025996720, 9025996723, 9025996722, 9025996719, 9025996721, 9025996724]",3,1,,,,,,
way,975363553,private,parking,,,street_side,"POLYGON ((6.5683077 46.5210839, 6.5683326 46.5210839, 6.5683339 46.5209576, 6.5683003 46.5209575, 6.5682995 46.521046, 6.5683077 46.5210839))",,"[9025996730, 9025996729, 9025996736, 9025996735, 9025996728, 9025996730]",,,,,parallel,asphalt,,
way,975363558,delivery,parking,,,street_side,"POLYGON ((6.5683348 46.520696, 6.5683012 46.5206959, 6.5683003 46.5209575, 6.5683339 46.5209576, 6.5683348 46.520696))",,"[9025996738, 9025996737, 9025996735, 9025996736, 9025996738]",,,,,,,,
way,975363559,private,parking,,,street_side,"POLYGON ((6.56839 46.5215809, 6.5684187 46.5215811, 6.5684198 46.5214729, 6.5683911 46.5214728, 6.56839 46.5215809))",,"[9025996742, 9025996741, 9025996740, 9025996739, 9025996742]",,,,,parallel,,,
