u,v,key,osmid,name,highway,oneway,reversed,length,geometry,bridge,junction
2569260911,2569260938,0,250489563,,unclassified,False,False,98.238,"LINESTRING (120.2640056 31.4879497, 120.2639819 31.4884643, 120.2639685 31.4888326)",,
2569260913,2583147346,0,250489558,黄山路,unclassified,False,True,41.798,"LINESTRING (120.2709498 31.4870158, 120.2713906 31.4870172)",,
2569260913,2569260948,0,250489554,黄山路,unclassified,True,False,21.848,"LINESTRING (120.2709498 31.4870158, 120.2709412 31.4870544, 120.2709193 31.487089, 120.2708862 31.4871164, 120.270845 31.4871339, 120.2707995 31.4871401)",,roundabout
2569260919,2569353782,0,250489555,泰山路,unclassified,False,True,70.339,"LINESTRING (120.2724952 31.4903432, 120.2717547 31.4903055)",,
2569260919,2569335544,0,250495354,,service,False,True,82.112,"LINESTRING (120.2724952 31.4903432, 120.2725129 31.4896049)",,
2569260919,2569337360,0,250495354,,service,False,False,747.39,"LINESTRING (120.2724952 31.4903432, 120.2723443 31.4929809, 120.272338 31.4930457, 120.2723112 31.4931189, 120.2722692 31.4931959, 120.2722049 31.4932691, 120.271301 31.4939187, 120.2712142 31.4939537, 120.2711266 31.4939758, 120.2710452 31.4939834, 120.2709694 31.4939821, 120.2686551 31.4935336, 120.2686688 31.4930972)",,
2569260923,5085060201,0,250489567,两江路,unclassified,False,False,99.331,"LINESTRING (120.2707634 31.4811975, 120.2707642 31.4820908)",,
2569260923,2569260832,0,250489567,两江路,unclassified,False,True,137.124,"LINESTRING (120.2707634 31.4811975, 120.2707804 31.4799644)",,
2569260923,2706632041,0,250705143,武夷山路,unclassified,False,False,65.167,"LINESTRING (120.2707634 31.4811975, 120.2714506 31.4811952)",,
2569260923,2569245000,0,250705143,武夷山路,unclassified,False,True,239.328,"LINESTRING (120.2707634 31.4811975, 120.2682396 31.4811951)",,
2569260930,2569245000,0,250488879,中央大道,unclassified,False,False,152.349,"LINESTRING (120.2682357 31.479825, 120.2682396 31.4811951)",,
2569260930,2706621050,0,250488879,中央大道,unclassified,False,True,52.68,"LINESTRING (120.2682357 31.479825, 120.2682266 31.4793513)",,
2569260930,2569260894,0,250705137,峨眉山路,unclassified,False,True,224.977,"LINESTRING (120.2682357 31.479825, 120.2706081 31.4798158)",,
2569260930,2570938552,0,"[250705136, 250705137]","['峨眉山路', '云水桥']",unclassified,False,"[False, True]",36.605000000000004,"LINESTRING (120.2682357 31.479825, 120.2680563 31.479826, 120.2678497 31.4798272)",yes,
2569260935,2697137463,0,250489552,,unclassified,False,True,53.136,"LINESTRING (120.2646202 31.489871, 120.2640958 31.4897025)",,
2569260935,2569335536,0,250489563,,unclassified,False,True,11.249,"LINESTRING (120.2646202 31.489871, 120.2645358 31.4897999)",,
2569260935,2569335445,0,250489568,泰山路,unclassified,False,False,31.231,"LINESTRING (120.2646202 31.489871, 120.2649255 31.4899764)",,
2569260938,2569335568,0,250489563,,unclassified,False,False,7.684,"LINESTRING (120.2639685 31.4888326, 120.2639761 31.4889014)",,
2569260938,2569335454,0,250495203,,service,False,False,74.112,"LINESTRING (120.2639685 31.4888326, 120.2647501 31.4888315)",,
2569260938,2569260911,0,250489563,,unclassified,False,True,98.238,"LINESTRING (120.2639685 31.4888326, 120.2639819 31.4884643, 120.2640056 31.4879497)",,
2569260946,2583147379,0,250489558,黄山路,unclassified,False,False,45.335,"LINESTRING (120.2723549 31.4870206, 120.2718768 31.487019)",,
2569260946,2569335594,0,250495354,,service,False,False,178.80700000000002,"LINESTRING (120.2723549 31.4870206, 120.27244 31.4874558, 120.2724882 31.4878126, 120.2725348 31.4886193)",,
2569260946,2569337355,0,250495354,,service,False,True,202.88799999999998,"LINESTRING (120.2723549 31.4870206, 120.2722853 31.4862018, 120.2722712 31.4851982)",,
2569260948,2569335512,0,250495200,,service,False,True,67.283,"LINESTRING (120.2707995 31.4871401, 120.2707872 31.4877451)",,
2569260948,2569260866,0,250489554,黄山路,unclassified,True,False,22.134999999999998,"LINESTRING (120.2707995 31.4871401, 120.2707422 31.4871307, 120.2706933 31.4871035, 120.2706602 31.4870625, 120.2706478 31.4870139)",,roundabout
