u,v,key,osmid,highway,oneway,reversed,length,geometry,tunnel,maxspeed,lanes,name,width,access,service
7631495189,7631495188,0,817122334,footway,False,False,7.085,"LINESTRING (-71.1123269 42.3770817, -71.1122912 42.3770237)",,,,,,,
7631495189,11042486757,0,817122343,footway,False,False,15.718,"LINESTRING (-71.1123269 42.3770817, -71.1122073 42.3771066, -71.1121431 42.377121)",,,,,,,
7631495189,7631495203,0,817122343,footway,False,True,27.553,"LINESTRING (-71.1123269 42.3770817, -71.1125889 42.3770273, -71.1126506 42.3770169)",,,,,,,
688404499,688404504,0,54678858,footway,False,True,25.259,"LINESTRING (-71.1181878 42.3734736, -71.1183493 42.3736669)",,,,,,,
688404499,391543591,0,672543031,footway,False,False,14.223,"LINESTRING (-71.1181878 42.3734736, -71.1181362 42.3735957)",,,,,,,
688404504,688404499,0,54678858,footway,False,False,25.259,"LINESTRING (-71.1183493 42.3736669, -71.1181878 42.3734736)",,,,,,,
688404504,688404505,0,54678858,footway,False,True,24.155,"LINESTRING (-71.1183493 42.3736669, -71.118509 42.3738493)",,,,,,,
688404504,8729088293,0,942673964,footway,False,False,23.269,"LINESTRING (-71.1183493 42.3736669, -71.1181139 42.3737833)",,,,,,,
688404504,688404503,0,942673964,footway,False,True,6.443,"LINESTRING (-71.1183493 42.3736669, -71.1184153 42.3736356)",,,,,,,
688404506,391540956,0,54678852,footway,False,True,29.768,"LINESTRING (-71.1185734 42.3738601, -71.1184946 42.3741214)",,,,,,,
688404506,688404505,0,942673966,footway,False,True,5.425,"LINESTRING (-71.1185734 42.3738601, -71.118509 42.3738493)",,,,,,,
688404507,391540956,0,34145406,footway,False,True,3.959,"LINESTRING (-71.1185426 42.3741246, -71.1184946 42.3741214)",,,,,,,
61329436,1096311851,0,42115713,footway,False,False,25.338,"LINESTRING (-71.119162 42.378915, -71.1188638 42.3788567)",,,,,,,
61329436,6309394717,0,673734307,footway,False,False,26.802,"LINESTRING (-71.119162 42.378915, -71.1190808 42.3787208, -71.1190421 42.3786961)",,,,,,,
7631495197,7631495188,0,817122334,footway,False,True,8.705,"LINESTRING (-71.1122863 42.3769455, -71.1122912 42.3770237)",,,,,,,
7631495197,7631495201,0,817122339,footway,False,False,5.687,"LINESTRING (-71.1122863 42.3769455, -71.1123536 42.3769335)",,,,,,,
7631495198,7631495201,0,817122339,footway,False,True,7.032,"LINESTRING (-71.1124367 42.3769183, -71.1123536 42.3769335)",,,,,,,
