u,v,key,osmid,name,highway,oneway,reversed,length,service,geometry,tunnel
1808717255,5464996347,0,567888875,实训路,living_street,False,False,332.81200000000007,,"LINESTRING (116.4809945 39.8729503, 116.4811907 39.8727264, 116.4812831 39.8724473, 116.4812523 39.8719744, 116.4810982 39.8715299, 116.4807162 39.8711563, 116.4804512 39.8710664, 116.4801678 39.871038, 116.4798165 39.8711373, 116.4795269 39.8711752, 116.4794352 39.8711583)",
1808717255,5464996384,0,567888881,四教北路,living_street,False,False,437.122,,"LINESTRING (116.4809945 39.8729503, 116.4809039 39.873104, 116.4808449 39.8733716, 116.4808663 39.8736433, 116.4808824 39.8739356, 116.48092 39.874195, 116.4809039 39.8744461, 116.4777586 39.8744415)",
1808717262,5464996372,0,169707811,奥林匹克路,residential,False,True,35.174,,"LINESTRING (116.4785966 39.8727856, 116.47875 39.872492)",
1808717262,5464996384,0,169707811,奥林匹克路,residential,False,False,197.52700000000002,,"LINESTRING (116.4785966 39.8727856, 116.4784073 39.8731596, 116.4777586 39.8744415)",
1808717262,5464996353,0,169707841,日新路,residential,False,False,116.953,,"LINESTRING (116.4785966 39.8727856, 116.4790579 39.8729092, 116.47953 39.8729503, 116.4799305 39.8728959)",
1808717262,1808717213,0,169707841,日新路,residential,False,True,215.65200000000002,,"LINESTRING (116.4785966 39.8727856, 116.4778456 39.8725551, 116.4770302 39.8723863, 116.4762311 39.8722998, 116.4761645 39.8722996)",
1808717268,5258122158,0,1047352405,思源路,residential,False,True,32.999,,"LINESTRING (116.4770238 39.8771498, 116.4766371 39.8771504)",
1808717280,2139848966,0,169707875,,residential,False,False,13.666,,"LINESTRING (116.4747556 39.8771544, 116.4747565 39.8772773)",
1808717280,1808717396,0,1047352405,思源路,residential,False,False,63.267,,"LINESTRING (116.4747556 39.8771544, 116.475497 39.877152)",
1808717280,1808717315,0,1047352405,思源路,residential,False,True,41.644,,"LINESTRING (116.4747556 39.8771544, 116.4746253 39.8771536, 116.4742676 39.8771559)",
1808717284,1808717377,0,146612951,银杏大道,residential,False,True,117.689,,"LINESTRING (116.4775541 39.8748456, 116.476175 39.8748397)",
1808717284,1808717338,0,169707811,奥林匹克路,residential,False,False,200.442,,"LINESTRING (116.4775541 39.8748456, 116.4775446 39.8766482)",
1808717284,5464996384,0,169707811,奥林匹克路,residential,False,True,48.204,,"LINESTRING (116.4775541 39.8748456, 116.4777586 39.8744415)",
1808717286,1808717341,0,169707878,,residential,False,True,121.68,,"LINESTRING (116.4750977 39.8756083, 116.4736718 39.8756123)",
1808717286,5257003754,0,543815666,,path,False,False,41.405,,"LINESTRING (116.4750977 39.8756083, 116.475089 39.875236)",
1808717286,1808717162,0,169707878,,residential,False,False,47.956,,"LINESTRING (116.4750977 39.8756083, 116.4752492 39.8758157, 116.4755013 39.8758116)",
1808717299,9630747850,0,543815685,,path,False,False,48.982,,"LINESTRING (116.4736684 39.876067, 116.4730944 39.876066)",
1808717299,1808717341,0,169707797,学子路,residential,False,False,50.562000000000005,,"LINESTRING (116.4736684 39.876067, 116.4736702 39.8757386, 116.4736718 39.8756123)",
1808717299,1808717208,0,169707797,学子路,residential,False,True,44.694,,"LINESTRING (116.4736684 39.876067, 116.4736612 39.8764113, 116.4736619 39.8764689)",
1808717301,1808717129,0,169707885,,service,False,False,64.85,driveway,"LINESTRING (116.471923 39.8764678, 116.4726829 39.8764747)",
1808717301,1808717150,0,"[1047352405, 169707798]","['思源路', '秋实路']",residential,False,False,82.019,,"LINESTRING (116.471923 39.8764678, 116.4719152 39.8766987, 116.471905 39.8770407, 116.472048 39.8771633)",
