element_type,osmid,geometry,access,amenity,fee,name,parking,capacity,park_ride,surface,nodes,building,operator,operator:type,source,capacity:disabled,ways,type
way,947990656,"POLYGON ((-76.4686878 42.4470468, -76.4686278 42.4470112, -76.4686272 42.4469708, -76.4686281 42.4469324, -76.4683796 42.4469309, -76.4683795 42.4470164, -76.4682014 42.4470157, -76.4682004 42.4471018, -76.468686 42.4471037, -76.4686878 42.4470468))",,parking,,,,,,,"[8774832574, 8774832573, 6383843703, 6383843698, 6383843705, 6383843694, 6383843693, 6383843690, 6383843688, 8774832574]",,,,,,,
way,951314359,"POLYGON ((-76.4745409 42.4480087, -76.4745485 42.4477461, -76.4744313 42.4477428, -76.4744304 42.4479862, -76.4744675 42.4480064, -76.4745409 42.4480087))",,parking,,,,,,,"[8805442395, 8805442396, 8805442397, 213413304, 8805442398, 8805442395]",,,,,,,
way,951314360,"POLYGON ((-76.4743303 42.4485562, -76.4740867 42.4485245, -76.4739237 42.4484897, -76.4739334 42.4484578, -76.4741764 42.4484968, -76.4743356 42.4485227, -76.4743303 42.4485562))",,parking,,,,,,,"[8805442399, 8805442400, 8805442401, 8805442402, 8805442403, 8805442404, 8805442399]",,,,,,,
way,951314361,"POLYGON ((-76.4750676 42.4486622, -76.4747525 42.4486627, -76.4747519 42.4486504, -76.4745962 42.4486523, -76.4744284 42.4485888, -76.4744608 42.4485437, -76.4745394 42.4485567, -76.47474 42.4485841, -76.4749353 42.4485957, -76.475067 42.4485969, -76.4750676 42.4486622))",,parking,,,,,,,"[8805442405, 8805442406, 8805442407, 8805442408, 8805442409, 8805442410, 2401633603, 213413289, 213413286, 8805442411, 8805442405]",,,,,,,
way,962688067,"POLYGON ((-76.4880108 42.4512373, -76.4879794 42.4511985, -76.4879291 42.4510637, -76.4878835 42.4510209, -76.4878171 42.4510277, -76.4877673 42.4510114, -76.4877423 42.4509658, -76.4877396 42.4509174, -76.4877691 42.4508657, -76.4878761 42.4509093, -76.487937 42.450897, -76.4878909 42.4508439, -76.4879167 42.4508099, -76.4877525 42.4507623, -76.4877304 42.4508113, -76.4876437 42.4508126, -76.4876492 42.4509338, -76.4875699 42.4509569, -76.4876658 42.4510781, -76.487806 42.4511992, -76.4878835 42.4512278, -76.4880108 42.4512373))",,parking,,,surface,,,,"[8905096467, 5735273953, 5735273952, 8905096468, 8905096469, 8905096470, 8905096485, 8905096471, 8905096472, 8905096473, 8905096474, 8905096475, 8905096476, 8905096477, 8905096478, 8905096479, 8905096480, 8905096481, 8905096482, 8905096483, 8905096484, 8905096467]",,Chi Psi Fraternity,,,,,
way,962688068,"POLYGON ((-76.4890401 42.4511216, -76.489184 42.4512496, -76.4891729 42.4513857, -76.4886693 42.4515817, -76.488459 42.4513884, -76.4890401 42.4511216))",,parking,,,,,,,"[8905096486, 8905096487, 8905096488, 8905096489, 8905096490, 8905096486]",,,,,,,
way,964096613,"POLYGON ((-76.479076 42.4463506, -76.4790777 42.4461319, -76.4787848 42.4461332, -76.4787796 42.4463506, -76.479076 42.4463506))",permit,parking,,,surface,11,,asphalt,"[8917798249, 8917798250, 8917798251, 8917798252, 8917798249]",,Cornell University,university,,3,,
way,964096616,"POLYGON ((-76.4784261 42.4459375, -76.4784035 42.4453236, -76.4780378 42.4453236, -76.4780868 42.4458771, -76.4784261 42.4459375))",permit,parking,,,surface,14,,asphalt,"[8917798253, 7847900848, 7847900701, 4063684636, 8917798253]",,Cornell University,university,,4,,
way,973347718,"POLYGON ((-76.4791907 42.4449102, -76.4790353 42.4449107, -76.4790345 42.4447906, -76.4790748 42.4447431, -76.4792303 42.4446323, -76.4792978 42.444632, -76.4792992 42.4448354, -76.4791902 42.4448358, -76.4791907 42.4449102))",,parking,,,surface,,,,"[9008728716, 9008744317, 9008744318, 9008744319, 9008744320, 9008744321, 9008744322, 9008744323, 9008728716]",,Cornell University,private,,,,
way,992327136,"POLYGON ((-76.4921471 42.4482733, -76.4920787 42.4482764, -76.4920735 42.4482535, -76.4920923 42.4482258, -76.4919555 42.4481941, -76.4919381 42.4482347, -76.49193 42.448295, -76.4919394 42.4483663, -76.4919314 42.4484672, -76.491922 42.4485691, -76.4919073 42.4486381, -76.4918752 42.4487279, -76.4918348 42.4488126, -76.4917911 42.4488931, -76.4917152 42.4490123, -76.4918643 42.449056, -76.4919082 42.4489739, -76.4919872 42.4488361, -76.4920574 42.4488541, -76.4921011 42.4487578, -76.4921334 42.4486547, -76.4921549 42.4485543, -76.4921567 42.4484783, -76.4920847 42.4484774, -76.492086 42.4484381, -76.4921589 42.4484382, -76.4921471 42.4482733))",,parking,,,surface,,,,"[9168417430, 9168417429, 9168417428, 9168417427, 9168417426, 9168417425, 9168417424, 9168417423, 9168417422, 9168417421, 9168417420, 10243831110, 9168417419, 9168417418, 9168417417, 9168350916, 9168350913, 10243831109, 9168350912, 9168350911, 10243819608, 9168350910, 9168350909, 10243819606, 10243819607, 10243819605, 9168417430]",,,,,,,
way,992327137,"POLYGON ((-76.4920534 42.4493412, -76.4918657 42.4492816, -76.4920361 42.4489997, -76.4920926 42.4490182, -76.492163 42.448893, -76.4921054 42.4488748, -76.4921481 42.4487871, -76.4921793 42.448682, -76.492206 42.4485704, -76.4922145 42.4484669, -76.4922878 42.4484697, -76.4922865 42.4484331, -76.4922155 42.448432, -76.4922063 42.4482471, -76.4922682 42.4482432, -76.492256 42.4481054, -76.4921923 42.4481055, -76.4921706 42.4479454, -76.4922358 42.4479366, -76.4922324 42.447891, -76.4923078 42.4478841, -76.4923101 42.4479118, -76.4923825 42.4479063, -76.4924244 42.4482374, -76.4924337 42.4483738, -76.4924364 42.4484893, -76.4924207 42.448607, -76.4923908 42.4487324, -76.4923525 42.4488442, -76.4923084 42.4489387, -76.4922431 42.4490669, -76.4922241 42.4490676, -76.4920534 42.4493412))",,parking,,,surface,,,,"[9168417455, 9168417454, 9168417453, 9168417450, 10243819604, 9168417449, 10243819603, 9168417448, 9168417447, 10243819600, 10243819602, 10243819601, 9168417446, 9168417445, 10243819599, 10243819595, 10243819594, 9168417444, 9168417443, 9168417442, 9168417441, 9168417440, 9168417439, 10243819593, 9168417438, 10243819592, 9168417437, 10243819591, 9168417436, 10243819590, 10243819589, 9168417434, 9168417455]",,,,,,,
way,1106711659,"POLYGON ((-76.4814545 42.4541358, -76.4814608 42.4539303, -76.4812864 42.45393, -76.4812893 42.4541443, -76.4814545 42.4541358))",private,parking,,,surface,13,,paved,"[10127127232, 10127127233, 10127127234, 10127127235, 10127127232]",,,,,,,
