u,v,key,osmid,highway,oneway,reversed,length,name,geometry,service,tunnel,lanes,maxspeed,access,ref,bridge,width
213419306,1234261408,0,347340033,tertiary,False,False,34.018,Feeney Way,"LINESTRING (-76.4827542 42.4482072, -76.4827422 42.4479014)",,,2,25 mph,,,,
213419306,1043464463,0,347340033,tertiary,False,True,30.21,Feeney Way,"LINESTRING (-76.4827542 42.4482072, -76.4827738 42.4484785)",,,2,25 mph,,,,
213419487,4063684668,0,20182459,path,False,True,55.462,,"LINESTRING (-76.4724853 42.4478911, -76.4718628 42.4476967)",,,,,,,,
213419487,2401633606,0,20182459,path,False,False,110.25899999999999,,"LINESTRING (-76.4724853 42.4478911, -76.4728474 42.4479963, -76.4732858 42.4482404, -76.473536 42.4483665, -76.4736271 42.4484011)",,,,,,,,
213419487,8508232884,0,"[916005976, 1123436344, 1123436342, 1123436343]","['steps', 'footway']",False,True,126.098,,"LINESTRING (-76.4724853 42.4478911, -76.4725462 42.4479441, -76.4726542 42.448035, -76.4727175 42.4480781, -76.4732249 42.4483504, -76.4733734 42.4484287, -76.4734437 42.4485416, -76.4734706 42.4486059, -76.473489 42.4486958)",,,,,,,,
213420677,213420679,0,20182630,residential,False,True,8.228,Northcross Road,"LINESTRING (-76.4783296 42.4568134, -76.478346 42.4568864)",,,,,,,,
213420677,5087504255,0,20184590,residential,False,True,11.12,Northcross Road,"LINESTRING (-76.4783296 42.4568134, -76.4783104 42.4567144)",,,,25 mph,,,,
213420677,5087504254,0,677344775,tertiary,False,False,6.706,Jessup Road,"LINESTRING (-76.4783296 42.4568134, -76.4782481 42.4568088)",,,,25 mph,,,,
213420677,5087504253,0,677344776,tertiary,False,True,8.597,Jessup Road,"LINESTRING (-76.4783296 42.4568134, -76.4784336 42.4568229)",,,2,25 mph,,,,
213420679,213420677,0,20182630,residential,False,False,8.228,Northcross Road,"LINESTRING (-76.478346 42.4568864, -76.4783296 42.4568134)",,,,,,,,
213420679,2108337068,0,20182630,residential,False,True,47.317,Northcross Road,"LINESTRING (-76.478346 42.4568864, -76.478354 42.4569167, -76.4784342 42.4573069)",,,,,,,,
213420679,5087504253,0,"[543830345, 543830346]",footway,False,False,15.634,,"LINESTRING (-76.478346 42.4568864, -76.4784469 42.4568883, -76.4784336 42.4568229)",,,,,,,,
213420679,5087504254,0,"[543830346, 543830347]",footway,False,True,15.094000000000001,,"LINESTRING (-76.478346 42.4568864, -76.4782722 42.4568881, -76.4782481 42.4568088)",,,,,,,,
213420689,835864123,0,677344774,service,False,False,22.488,,"LINESTRING (-76.4781983 42.4587146, -76.4779242 42.4587174)",,,,,,,,
213420689,2014327750,0,69935152,service,False,False,94.27199999999999,,"LINESTRING (-76.4781983 42.4587146, -76.4782257 42.4582059, -76.4782369 42.4578673)",parking_aisle,,,,,,,
213420689,213413158,0,677344774,service,False,True,110.574,,"LINESTRING (-76.4781983 42.4587146, -76.478315 42.4587046, -76.4784048 42.4586733, -76.478448 42.4586056, -76.4784752 42.458517, -76.4784864 42.4584294, -76.4785231 42.4581707, -76.4785239 42.45785)",,,,,,,,
213420692,5753756390,0,200875151,service,False,True,12.169,,"LINESTRING (-76.4750371 42.4590325, -76.4751089 42.4590187, -76.4751806 42.4590048)",,,,,,,,
213420692,4341271541,0,677344772,tertiary,False,True,82.48700000000001,Pleasant Grove Road,"LINESTRING (-76.4750371 42.4590325, -76.4747921 42.4583867, -76.4747648 42.4583184)",,,2,30 mph,,,,
213420995,213421003,0,560780229,service,False,True,92.411,Triticum Drive,"LINESTRING (-76.4610906 42.448381, -76.4621439 42.4480867)",,,,,,,,
213420995,5407812710,0,560781630,service,False,False,74.57300000000001,Medicago Drive,"LINESTRING (-76.4610906 42.448381, -76.4613186 42.4488348, -76.4614237 42.4490046)",,,,,,,,
213421003,1319459491,0,20185603,residential,False,False,26.397,Farrier Road,"LINESTRING (-76.4621439 42.4480867, -76.4624468 42.4480067)",,,,,,,,
213421003,213518875,0,20190887,tertiary,False,True,71.97,Caldwell Road,"LINESTRING (-76.4621439 42.4480867, -76.4615743 42.4475945)",,,,,,,,
213421003,213420995,0,560780229,service,False,False,92.411,Triticum Drive,"LINESTRING (-76.4621439 42.4480867, -76.4610906 42.448381)",,,,,,,,
213421003,213427978,0,20190887,tertiary,False,False,80.953,Caldwell Road,"LINESTRING (-76.4621439 42.4480867, -76.4625864 42.4484934, -76.4627548 42.4486583)",,,,,,,,
213421277,213429808,0,20184098,service,False,False,109.658,Solidago Road,"LINESTRING (-76.4567704 42.4466225, -76.4567448 42.4456365)",,,,,private,,,
213421277,213421281,0,107643116,service,False,False,196.012,McGowan Woods Road,"LINESTRING (-76.4567704 42.4466225, -76.4573288 42.4466519, -76.4580388 42.4467146, -76.458255 42.447521)",,,,,private,,,
213421281,213421277,0,107643116,service,False,True,196.012,McGowan Woods Road,"LINESTRING (-76.458255 42.447521, -76.4580388 42.4467146, -76.4573288 42.4466519, -76.4567704 42.4466225)",,,,,private,,,
213421281,213436703,0,522920985,primary,False,True,227.683,Dryden Road,"LINESTRING (-76.458255 42.447521, -76.459311 42.447117, -76.460021 42.446846, -76.4607186 42.4465787)",,,,45 mph,,NY 366,,
213426754,10226039136,0,20183621,service,False,True,21.029,Crisp Apple Drive,"LINESTRING (-76.4619227 42.444002, -76.4619004 42.4438136)",,,,,private,,,
213426754,213426758,0,20183621,service,False,False,231.43900000000002,Crisp Apple Drive,"LINESTRING (-76.4619227 42.444002, -76.4619895 42.445957, -76.4620125 42.4460172, -76.4620535 42.4460727)",,,,,private,,,
213426754,10226039153,0,1118111005,service,False,False,284.861,,"LINESTRING (-76.4619227 42.444002, -76.4622677 42.4439692, -76.4631079 42.4439324, -76.4635006 42.4439373, -76.463667 42.4439201, -76.4645722 42.4437261, -76.4647436 42.4436979, -76.4649332 42.4436856, -76.4653459 42.4436844)",,,,,private,,,
213426758,213436698,0,523927812,primary,False,True,265.38,Dryden Road,"LINESTRING (-76.4620535 42.4460727, -76.4649168 42.4449629)",,,2,,,NY 366,,
213426758,213426754,0,20183621,service,False,True,231.43900000000002,Crisp Apple Drive,"LINESTRING (-76.4620535 42.4460727, -76.4620125 42.4460172, -76.4619895 42.445957, -76.4619227 42.444002)",,,,,private,,,
213426758,213436703,0,523927812,primary,False,False,123.144,Dryden Road,"LINESTRING (-76.4620535 42.4460727, -76.461541 42.446273, -76.4607186 42.4465787)",,,2,,,NY 366,,
213427978,5407812714,0,560781631,service,False,False,19.74,Maize Drive,"LINESTRING (-76.4627548 42.4486583, -76.4625264 42.4487141)",,,,,,,,
213427978,213421003,0,20190887,tertiary,False,True,80.953,Caldwell Road,"LINESTRING (-76.4627548 42.4486583, -76.4625864 42.4484934, -76.4621439 42.4480867)",,,,,,,,
213428100,7847900778,0,347340044,tertiary,False,False,4.693,Tower Road,"LINESTRING (-76.4744305 42.447568, -76.4743733 42.4475679)",,,,25 mph,,,,
213428100,213541161,0,347340044,tertiary,False,True,42.789,Tower Road,"LINESTRING (-76.4744305 42.447568, -76.474834 42.447569, -76.474952 42.447569)",,,,25 mph,,,,
213428105,7847876991,0,20183878,residential,False,False,8.643,Mann Drive,"LINESTRING (-76.4737561 42.4475695, -76.4737591 42.4476472)",,,,,,,,
213428105,7847900778,0,347340044,tertiary,False,True,50.642,Tower Road,"LINESTRING (-76.4737561 42.4475695, -76.4743733 42.4475679)",,,,25 mph,,,,
213428105,213519467,0,347340044,tertiary,False,False,144.75300000000001,Tower Road,"LINESTRING (-76.4737561 42.4475695, -76.472656 42.447563, -76.4725602 42.4475641, -76.472389 42.447566, -76.471992 42.447562)",,,,25 mph,,,,
213428120,1236695088,0,330453181,service,False,False,4.451,,"LINESTRING (-76.4759292 42.4449304, -76.4759735 42.4449535)",,,,,,,,
213428120,213428125,0,570300165,residential,False,False,19.061,Kite Hill Drive,"LINESTRING (-76.4759292 42.4449304, -76.4760706 42.4447944)",,,,,,,,
213428120,5482903753,0,570300165,residential,False,True,8.698,Kite Hill Drive,"LINESTRING (-76.4759292 42.4449304, -76.4758556 42.4449867)",,,,,,,,
213428125,1236695083,0,107637340,service,False,True,87.6,,"LINESTRING (-76.4760706 42.4447944, -76.4771319 42.444709)",parking_aisle,,,,,,,
