u,v,key,osmid,highway,oneway,reversed,length,geometry,name,tunnel,bridge,service
2271615127,3824109101,0,552968520,residential,False,True,79.864,"LINESTRING (103.9311227 30.751394, 103.9313615 30.7509964, 103.9313874 30.7509446, 103.9313999 30.7508869, 103.931401 30.7507906, 103.9313994 30.7507312)",,,,
2271615127,5502448056,0,572770087,service,False,True,155.706,"LINESTRING (103.9311227 30.751394, 103.9311223 30.7513542, 103.931122 30.7513251, 103.9311215 30.7512826, 103.9311589 30.7510157, 103.9311589 30.7509776, 103.9311332 30.7509334, 103.9310421 30.7508431, 103.9310217 30.7508287, 103.9310024 30.750815, 103.9309441 30.750799, 103.9309024 30.7507934, 103.9308596 30.7507876, 103.93078 30.7507768, 103.9301943 30.7507023, 103.9301563 30.7507015, 103.9301223 30.7507145)",,,,
2271615127,6389942866,0,"[814133748, 814133749, 814133750]",service,False,"[False, True]",35.033,"LINESTRING (103.9311227 30.751394, 103.9310859 30.7513705, 103.9309808 30.7513496, 103.930801 30.7513272, 103.93077 30.7513241)",,building_passage,,
2271615140,9131668085,0,687770521,service,False,True,17.648,"LINESTRING (103.9264829 30.7517639, 103.9263341 30.7518579)",,,,
2271615140,2271615081,0,217855194,path,False,False,148.76,"LINESTRING (103.9264829 30.7517639, 103.9263479 30.7514268, 103.9262978 30.7512476, 103.9261759 30.7511344, 103.9259529 30.7508301, 103.9257256 30.7506251)",,,,
2271615140,5515470572,0,687770521,service,False,False,99.81,"LINESTRING (103.9264829 30.7517639, 103.9268079 30.7515586, 103.9273245 30.7512323)",,,,
2271615318,9050478402,0,544136500,service,False,False,37.661,"LINESTRING (103.9330747 30.7529125, 103.9334603 30.7529825)",,,,
2271615318,5515466556,0,544161582,residential,False,False,89.40199999999999,"LINESTRING (103.9330747 30.7529125, 103.9330163 30.7531292, 103.9329465 30.7533275, 103.9328074 30.7535917, 103.9327669 30.7536686)",,,,
2271615318,5261438367,0,544161582,residential,False,True,92.90399999999998,"LINESTRING (103.9330747 30.7529125, 103.9330951 30.7527161, 103.9331075 30.752546, 103.9330994 30.75244, 103.9330888 30.7523798, 103.9330807 30.752334, 103.9330307 30.7520832)",,,,
2271615321,5736623170,0,552968520,residential,False,True,10.4,"LINESTRING (103.9290832 30.7529858, 103.9291911 30.752998)",,,,
