element_type,osmid,nodes,building,geometry,name
way,150516025,"[1634183026, 1634183030, 1634183051, 1634183037, 1634183024, 1634183023, 1634183053, 1634183050, 1634183026]",yes,"POLYGON ((106.5027571 29.5373214, 106.5027552 29.5371568, 106.5029335 29.5371552, 106.5029325 29.5370758, 106.5031375 29.5370741, 106.5031391 29.5372119, 106.5029478 29.5372136, 106.502949 29.5373197, 106.5027571 29.5373214))",
way,150516026,"[1634183045, 1634183044, 1634183032, 1634183028, 1634183048, 1634183034, 1634183041, 1634183038, 1634183045]",yes,"POLYGON ((106.5031839 29.53713, 106.5033725 29.5371271, 106.5033694 29.5370033, 106.5035202 29.5370056, 106.5035181 29.5368411, 106.5033298 29.5368423, 106.5033295 29.5369662, 106.5031796 29.5369683, 106.5031839 29.53713))",
way,150516102,"[1634185251, 1634185249, 1634185250, 1634185243, 1634185251]",yes,"POLYGON ((106.5035708 29.5371902, 106.5036195 29.5371923, 106.5036141 29.5366789, 106.5035697 29.5366773, 106.5035708 29.5371902))",
way,150519113,"[1634209986, 1634209987, 1634209993, 1634209991, 1634209984, 1634209983, 1634209980, 1634209982, 1634209986]",yes,"POLYGON ((106.501483 29.5376334, 106.5014807 29.5373858, 106.501521 29.5373578, 106.5016175 29.5373392, 106.5017114 29.5373485, 106.5018106 29.5373835, 106.5019287 29.5373882, 106.501933 29.5376334, 106.501483 29.5376334))",
way,150522400,"[1634271436, 1634271404, 1634271444, 1634271432, 1634271411, 1634271414, 1634271433, 1634271428, 1634271436]",yes,"POLYGON ((106.5015791 29.5369511, 106.5016127 29.5368327, 106.5017478 29.5368617, 106.5017262 29.5369378, 106.5018937 29.5369737, 106.5018601 29.5370921, 106.5017065 29.5370591, 106.5017281 29.5369831, 106.5015791 29.5369511))",
way,150522402,"[1634271401, 1634271406, 1634271402, 1634271420, 1634271401]",yes,"POLYGON ((106.5034415 29.5362237, 106.5034398 29.5361339, 106.5038385 29.5361281, 106.5038402 29.5362178, 106.5034415 29.5362237))",
way,150522404,"[1634271442, 1634271408, 1634271426, 1634271384, 1634271442]",yes,"POLYGON ((106.5023647 29.5369635, 106.5027244 29.5369612, 106.502724 29.5369083, 106.5023643 29.5369106, 106.5023647 29.5369635))",
way,150522405,"[1634271378, 1634271386, 1634271435, 1634271431, 1634271378]",yes,"POLYGON ((106.5035682 29.5364532, 106.5039072 29.5364511, 106.5039063 29.5363467, 106.5035674 29.5363488, 106.5035682 29.5364532))",
way,150522406,"[1634271429, 1634271383, 1634271412, 1634271382, 1634271429]",yes,"POLYGON ((106.5018625 29.5367754, 106.5025628 29.5367717, 106.5025623 29.5366774, 106.5018641 29.5366778, 106.5018625 29.5367754))",
way,150522407,"[1634271381, 1634271405, 1634271376, 1634271439, 1634271441, 1634271417, 1634271418, 1634271380, 1634271381]",yes,"POLYGON ((106.5010462 29.5371167, 106.5012847 29.5371155, 106.5012839 29.5370014, 106.5014612 29.5370005, 106.5014603 29.5368637, 106.5012066 29.536865, 106.5012074 29.5369898, 106.5010454 29.5369906, 106.5010462 29.5371167))",
way,150522408,"[1634271446, 1634271430, 1634271434, 1634271399, 1634271446]",yes,"POLYGON ((106.5018376 29.536898, 106.5022253 29.5370506, 106.5022641 29.536976, 106.5018765 29.5368234, 106.5018376 29.536898))",
way,150522409,"[1634271407, 1634271400, 1634271409, 1634271379, 1634271407]",yes,"POLYGON ((106.5028215 29.5365989, 106.5034906 29.536596, 106.5034899 29.53647, 106.5028208 29.5364729, 106.5028215 29.5365989))",
way,150522412,"[1634271397, 1634271427, 1634271377, 1634271398, 1634271397]",yes,"POLYGON ((106.5030691 29.5367428, 106.5030684 29.5366814, 106.5032379 29.53668, 106.5032385 29.5367414, 106.5030691 29.5367428))",
way,150522413,"[1634271415, 1634271385, 1634271403, 1634271375, 1634271415]",yes,"POLYGON ((106.50276 29.5368671, 106.503094 29.5368646, 106.5030928 29.5367526, 106.5027589 29.5367551, 106.50276 29.5368671))",
way,150578326,"[1634781553, 1634781551, 1634781552, 1634781554, 1634781553]",yes,"POLYGON ((106.5001903 29.5367747, 106.5001916 29.5366379, 106.5008879 29.536643, 106.5008866 29.5367797, 106.5001903 29.5367747))",
way,150578876,"[1634783090, 1634783088, 1634783089, 1634783087, 1634783090]",yes,"POLYGON ((106.5023496 29.5370555, 106.502741 29.5370561, 106.5027411 29.5370026, 106.5023497 29.537002, 106.5023496 29.5370555))",
way,150579239,"[1634785067, 1634785075, 1634785079, 1634785077, 1634785067]",yes,"POLYGON ((106.5001393 29.5370315, 106.5007059 29.5370372, 106.5007076 29.5369128, 106.5001409 29.5369072, 106.5001393 29.5370315))",
way,150579693,"[1634786195, 1634786188, 1634786198, 1634786190, 1634786195]",yes,"POLYGON ((106.5001438 29.5372567, 106.5005704 29.5372598, 106.5005731 29.5371431, 106.5001452 29.5371426, 106.5001438 29.5372567))",
way,150579694,"[1634786187, 1634786196, 1634786189, 1634907139, 1634907132, 1634907136, 1634907138, 1634786193, 1634786187]",yes,"POLYGON ((106.5000317 29.5380599, 106.5005398 29.5380641, 106.5005425 29.5378138, 106.5004144 29.5378128, 106.5004131 29.5379346, 106.5001936 29.5379328, 106.5001949 29.53781, 106.5000345 29.5378087, 106.5000317 29.5380599))",
way,150579695,"[1634786192, 1634786194, 1634786197, 1634786191, 1634786192]",yes,"POLYGON ((106.5001243 29.5376583, 106.5005343 29.5376601, 106.5005346 29.5374171, 106.5001234 29.5374153, 106.5001243 29.5376583))",
