u,v,key,osmid,highway,oneway,reversed,length,geometry,tunnel
4116113808,6428138079,0,409744753,service,False,True,101.236,"LINESTRING (103.7318562 36.0599368, 103.7308084 36.0602706)",
4116113808,4116113884,0,409744728,service,False,False,93.106,"LINESTRING (103.7318562 36.0599368, 103.7320518 36.060332, 103.7322288 36.060718)",
4116113808,4116113745,0,409744728,service,False,True,80.535,"LINESTRING (103.7318562 36.0599368, 103.7318158 36.059855, 103.7314349 36.0592983)",
4116113811,4116113779,0,409744760,service,False,False,95.404,"LINESTRING (103.7291926 36.0599721, 103.7301777 36.0596528)",
4116113811,4116113726,0,409744731,service,False,False,109.803,"LINESTRING (103.7291926 36.0599721, 103.7290316 36.0592522, 103.7290343 36.0589963)",
4116113811,4116113882,0,409744731,service,False,True,84.351,"LINESTRING (103.7291926 36.0599721, 103.729434 36.0606052, 103.7294763 36.060695)",
4116113827,4116113769,0,409744763,service,False,False,205.233,"LINESTRING (103.7336534 36.0601782, 103.735815 36.059584)",
4116113827,4116113884,0,409744731,service,False,False,148.765,"LINESTRING (103.7336534 36.0601782, 103.7336826 36.0602453, 103.7322288 36.060718)",
4116113827,4116113689,0,409744731,service,False,True,198.35500000000002,"LINESTRING (103.7336534 36.0601782, 103.7333822 36.0595558, 103.7331676 36.0588489, 103.7330627 36.058462)",
4116113845,4116113779,0,409744752,service,False,True,84.722,"LINESTRING (103.7305429 36.0603552, 103.7301777 36.0596528)",
4116113845,6428138079,0,409744753,service,False,False,25.653,"LINESTRING (103.7305429 36.0603552, 103.7308084 36.0602706)",
4116113845,4116113882,0,409744753,service,False,True,103.053,"LINESTRING (103.7305429 36.0603552, 103.7294763 36.060695)",
4116113882,4116113845,0,409744753,service,False,False,103.053,"LINESTRING (103.7294763 36.060695, 103.7305429 36.0603552)",
4116113882,4116113811,0,409744731,service,False,False,84.351,"LINESTRING (103.7294763 36.060695, 103.729434 36.0606052, 103.7291926 36.0599721)",
4116113882,4116113903,0,409744731,service,False,True,224.423,"LINESTRING (103.7294763 36.060695, 103.7298309 36.0614465, 103.7298953 36.0615202, 103.7300294 36.0615202, 103.7311774 36.0611083)",
4116113884,4116113903,0,409744731,service,False,False,103.998,"LINESTRING (103.7322288 36.060718, 103.7311774 36.0611083)",
4116113884,4116113808,0,409744728,service,False,True,93.106,"LINESTRING (103.7322288 36.060718, 103.7320518 36.060332, 103.7318562 36.0599368)",
4116113884,4116113827,0,409744731,service,False,True,148.765,"LINESTRING (103.7322288 36.060718, 103.7336826 36.0602453, 103.7336534 36.0601782)",
4116113903,4116113884,0,409744731,service,False,True,103.998,"LINESTRING (103.7311774 36.0611083, 103.7322288 36.060718)",
