element_type,osmid,nodes,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,addr:city,addr:postcode,leisure,sport,wikidata,wikimedia_commons,wikipedia,building:levels,amenity,shop,brand,brand:en,brand:wikidata,brand:zh,name:en,layer
way,435148726,"[4331003014, 4331003015, 4331003016, 4331003017, 4331003014]",apartments,,,,,"POLYGON ((116.3531344 39.991887, 116.3531383 39.9917959, 116.3538694 39.9918145, 116.3538654 39.9919056, 116.3531344 39.991887))",,,,,,,,,,,,,,,,
way,435148727,"[4331003018, 4331003019, 4331003020, 4331003021, 4331003018]",apartments,,,,,"POLYGON ((116.3517396 39.99182, 116.3517434 39.9917205, 116.3529441 39.9917475, 116.3529403 39.9918471, 116.3517396 39.99182))",,,,,,,,,,,,,,,,
way,435148728,"[4331003022, 4331003023, 4331003024, 4331003025, 4331003022]",apartments,,,,,"POLYGON ((116.3517652 39.9914425, 116.3517686 39.9913349, 116.3530364 39.9913585, 116.353033 39.9914661, 116.3517652 39.9914425))",,,,,,,,,,,,,,,,
way,435148729,"[4331003026, 4331003027, 4331003028, 4331003029, 4331003026]",apartments,,,,,"POLYGON ((116.3531493 39.9914602, 116.3531521 39.9913721, 116.3539021 39.9913864, 116.3538992 39.9914744, 116.3531493 39.9914602))",,,,,,,,,,,,,,,,
way,435148730,"[4331003030, 4331003031, 4331003032, 4331003033, 4331003030]",apartments,,,,,"POLYGON ((116.3540552 39.9915302, 116.3540619 39.9914314, 116.3549794 39.9914679, 116.3549727 39.9915667, 116.3540552 39.9915302))",,,,,,,,,,,,,,,,
way,435148731,"[4331003034, 4331003035, 4331003036, 4331003037, 4331003034]",apartments,,,,,"POLYGON ((116.3523355 39.9911254, 116.352341 39.9910317, 116.353069 39.9910569, 116.3530635 39.9911506, 116.3523355 39.9911254))",,,,,,,,,,,,,,,,
way,435148732,"[4331003038, 4331003039, 4331003040, 4331003041, 4331003038]",apartments,,,,,"POLYGON ((116.3531688 39.9911575, 116.3531747 39.9910561, 116.3539072 39.9910811, 116.3539013 39.9911825, 116.3531688 39.9911575))",,,,,,,,,,,,,,,,
way,435148733,"[4331003042, 4331003043, 4331003044, 4331003045, 4331003042]",apartments,,,,,"POLYGON ((116.3540203 39.9911777, 116.3540241 39.9910895, 116.3549362 39.9911131, 116.3549323 39.9912012, 116.3540203 39.9911777))",,,,,,,,,,,,,,,,
way,543823929,"[5257077320, 5257077521, 5257077522, 5257077523, 5257077524, 5257077525, 5257077526, 5257077527, 5257077528, 5257077529, 5257077530, 5257077531, 5257077532, 5257077533, 5257077534, 5257077535, 5257077536, 5257077537, 5257077538, 5257077539, 5257077540, 5257077541, 5257077542, 5257077543, 5257077544, 5257077545, 5257077546, 5257077547, 5257077548, 5257077549, 5257077550, 5257077551, 5257077552, 5257077320]",university,教学楼+学术报告厅+实验楼,教学楼+学术报告厅+实验楼,教学楼+学术报告厅+实验楼,教學樓+學術報告廳+實驗樓,"POLYGON ((116.3500733 39.9898593, 116.3500785 39.9896157, 116.3501121 39.9895808, 116.3501173 39.989436, 116.350764 39.9894497, 116.3507611 39.9895305, 116.3508476 39.9895324, 116.350907 39.9896187, 116.3508338 39.9897081, 116.3507307 39.9897065, 116.3507294 39.9897546, 116.3512751 39.9897632, 116.3512774 39.989679, 116.3512019 39.9896778, 116.3512075 39.9894721, 116.3514059 39.9894753, 116.3513998 39.9897046, 116.3515619 39.9897072, 116.3515564 39.9899095, 116.3506547 39.9898952, 116.3506598 39.9897066, 116.3506124 39.9896217, 116.350642 39.9895581, 116.350419 39.9895553, 116.3504178 39.9896075, 116.3503281 39.9896063, 116.3503288 39.9895756, 116.350144 39.9895732, 116.3501428 39.9896285, 116.3501952 39.9896292, 116.3501946 39.9896553, 116.3502517 39.9896561, 116.3502473 39.9898615, 116.3500733 39.9898593))",,,,,,,,,,,,,,,,
way,543824549,"[5257089970, 5257089971, 5257089972, 5257089973, 5257089974, 5257089975, 5257089983, 5257089984, 5257089985, 5257089982, 5257089981, 5257089980, 5257089979, 5257089978, 5257089977, 5257089976, 5257089970]",university,办公楼,办公楼,办公楼,辦公樓,"POLYGON ((116.3481268 39.9880908, 116.3482983 39.9880955, 116.3483033 39.9879913, 116.3486472 39.9880009, 116.3486458 39.9880318, 116.3487288 39.9880341, 116.3487297 39.9880143, 116.3488956 39.9880189, 116.3488946 39.9880397, 116.3489801 39.988042, 116.3489814 39.9880149, 116.3493192 39.9880243, 116.3493145 39.9881249, 116.3494829 39.9881296, 116.349495 39.9878739, 116.3481389 39.9878362, 116.3481268 39.9880908))",,,,,,,,,,,,,,,,
