u,v,key,osmid,name,highway,oneway,reversed,length,width,geometry
1735462751,8018424148,0,321833268,,residential,False,True,28.546,5,"LINESTRING (116.3413656 40.000593, 116.3413363 40.0008002, 116.341335 40.0008485)"
1735462752,1343383540,0,119617631,图书馆路,residential,False,False,88.489,,"LINESTRING (116.3413045 40.0019497, 116.3402658 40.0019354)"
1735462752,1735462754,0,"[321833264, 161576629]",,residential,False,True,207.05399999999997,5,"LINESTRING (116.3413045 40.0019497, 116.3416923 40.001956, 116.3416434 40.0035205)"
1735462752,8018424148,0,321833268,,residential,False,False,122.572,5,"LINESTRING (116.3413045 40.0019497, 116.3412874 40.0016729, 116.341335 40.0008485)"
1735462754,6251473892,0,667662497,,footway,False,True,136.421,,"LINESTRING (116.3416434 40.0035205, 116.340042 40.0034995)"
1735462754,1735462752,0,"[321833264, 161576629]",,residential,False,False,207.05399999999997,5,"LINESTRING (116.3416434 40.0035205, 116.3416923 40.001956, 116.3413045 40.0019497)"
1735462754,6251473896,0,667662497,,footway,False,False,86.992,,"LINESTRING (116.3416434 40.0035205, 116.3416735 40.0035209, 116.3417676 40.0035533, 116.3425104 40.0035714, 116.342628 40.0036362)"
5094589569,1343383539,0,119617631,图书馆路,residential,False,False,126.292,,"LINESTRING (116.3384328 40.0018991, 116.336951 40.0018599)"
5094589569,11181484542,0,119617631,图书馆路,residential,False,True,77.779,,"LINESTRING (116.3384328 40.0018991, 116.3393456 40.001918)"
5094589579,1343383539,0,42364857,北林银杏大道,residential,False,False,213.376,,"LINESTRING (116.3368575 40.0037775, 116.336951 40.0018599)"
5094589579,6564344838,0,42364857,北林银杏大道,residential,False,True,67.232,,"LINESTRING (116.3368575 40.0037775, 116.3368245 40.0043816)"
