u,v,key,osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,service,access,tunnel
213285584,392505324,0,"[34227409, 34227410]",,,"['steps', 'footway']",False,True,56.115,,"LINESTRING (-73.5766007 45.5030881, -73.5762529 45.5034397, -73.576191 45.5035031)",,,
213285585,10565869143,0,20169089,,,footway,False,True,13.83,,"LINESTRING (-73.5756262 45.5048598, -73.5757924 45.5048162)",,,
213285585,1282745081,0,1178369653,,,footway,False,True,20.242,,"LINESTRING (-73.5756262 45.5048598, -73.5758356 45.5049675)",,,
213285585,11582634001,0,"[1245916517, 1178369653]",,,footway,False,False,8.46,,"LINESTRING (-73.5756262 45.5048598, -73.5756026 45.5048477, -73.5755233 45.5048485)",,,
213285592,11582634001,0,19912777,,,service,False,True,10.295,,"LINESTRING (-73.5756023 45.5047743, -73.5755233 45.5048485)",,,
229533885,8750348174,0,133806983,,,service,False,False,4.678,,"LINESTRING (-73.5799497 45.5067124, -73.5799024 45.5066865)",,,
229533885,10946298400,0,133806983,,,service,False,True,6.073,,"LINESTRING (-73.5799497 45.5067124, -73.579912 45.5067602)",,,
229533885,9153134867,0,143798693,,,service,False,False,138.892,,"LINESTRING (-73.5799497 45.5067124, -73.5800387 45.5067404, -73.5801464 45.506759, -73.580239 45.5067524, -73.5803261 45.5067231, -73.5803781 45.5066869, -73.5804137 45.5066496, -73.5807218 45.5058029)",,,
229533920,10946298361,0,133806983,,,service,False,False,10.849,,"LINESTRING (-73.5794615 45.5046543, -73.5795267 45.5045681)",,,
229533920,8750348174,0,133806983,,,service,False,True,307.88000000000005,,"LINESTRING (-73.5794615 45.5046543, -73.5793518 45.5046183, -73.5792564 45.5046087, -73.5791592 45.5046175, -73.5790691 45.5046301, -73.5789773 45.5046539, -73.5789011 45.5046848, -73.5788412 45.5047246, -73.5788071 45.5047678, -73.5787855 45.5048063, -73.5787663 45.5048903, -73.5787882 45.5049864, -73.5789849 45.5060336, -73.5789988 45.5061396, -73.5790132 45.5061857, -73.5790235 45.5062152, -73.5790438 45.5062482, -73.5791181 45.5063032, -73.5796779 45.5065748, -73.5799024 45.5066865)",,,
229533920,9153134867,0,143798693,,,service,False,True,178.004,,"LINESTRING (-73.5794615 45.5046543, -73.5795615 45.5047116, -73.5806662 45.5053296, -73.5807367 45.5053738, -73.5807767 45.5054074, -73.5808046 45.5054455, -73.5808183 45.505485, -73.580819 45.5055239, -73.5808062 45.505568, -73.5807218 45.5058029)",,,
229533923,10946298361,0,133806983,,,service,False,True,5.99,,"LINESTRING (-73.5795627 45.5045205, -73.5795267 45.5045681)",,,
229533923,10946251257,0,13500459,,Rue McTavish,living_street,True,False,68.779,20,"LINESTRING (-73.5795627 45.5045205, -73.5797251 45.5045931, -73.580284 45.5048766)",,,
229534212,11014250196,0,143792941,,,footway,False,True,22.905,,"LINESTRING (-73.5794913 45.5073421, -73.5792653 45.5072104)",,,
229534212,11289783910,0,1218387376,,,steps,False,True,9.844,,"LINESTRING (-73.5794913 45.5073421, -73.579565 45.5072702)",,,
229534212,11022826994,0,945180299,,,footway,False,False,17.076,,"LINESTRING (-73.5794913 45.5073421, -73.5794523 45.5073797, -73.5794094 45.5074435, -73.5793948 45.5074786)",,,
229538145,6576986597,0,143793042,,,service,False,True,7.156,,"LINESTRING (-73.5798553 45.5080699, -73.579908 45.5080172)",driveway,,
229538145,10926982152,0,1213614190,,Rue University,secondary,True,False,15.516000000000002,,"LINESTRING (-73.5798553 45.5080699, -73.5799887 45.5081418, -73.5800131 45.508155)",,,
264345847,10946298339,0,1178322463,,,footway,False,True,5.819,,"LINESTRING (-73.5785686 45.5041108, -73.5786338 45.5041363)",,,
264345847,31706828,0,92352683,,Avenue du Docteur-Penfield,secondary,True,False,73.174,50,"LINESTRING (-73.5785686 45.5041108, -73.5784958 45.5043022, -73.5784572 45.5045288, -73.5784445 45.5047604)",,,
264345847,10926982188,0,"[1178322466, 1178322463]",,,footway,False,"[False, True]",6.293,,"LINESTRING (-73.5785686 45.5041108, -73.5785185 45.5040915, -73.578497 45.5040847)",,,
264346145,10926982188,0,"[24365504, 143798696]",,,"['steps', 'footway']",False,False,9.996,,"LINESTRING (-73.5784225 45.5040147, -73.5784331 45.5040405, -73.5784643 45.5040593, -73.578497 45.5040847)",,,
264346145,10926986709,0,"[112977916, 1178322461]",,,"['steps', 'footway']",False,False,8.806,,"LINESTRING (-73.5784225 45.5040147, -73.5784585 45.5040046, -73.5784966 45.5040087, -73.5785314 45.5040142)",,,
264346145,124056468,0,"[1178322460, 24365533]",,,"['steps', 'footway']",False,True,8.173,,"LINESTRING (-73.5784225 45.5040147, -73.5783892 45.5040025, -73.5783359 45.5039737)",,,
332514088,332514089,0,30176565,,,service,False,False,51.851,,"LINESTRING (-73.5773361 45.5034355, -73.5777243 45.5030568)",alley,,
332514088,124072401,0,263901278,,Rue McTavish,pedestrian,False,False,36.029,,"LINESTRING (-73.5773361 45.5034355, -73.5777114 45.5036247)",,,
332514088,213285584,0,"[13500588, 263901278]",,Rue McTavish,pedestrian,False,True,69.116,,"LINESTRING (-73.5773361 45.5034355, -73.5766344 45.5031033, -73.5766007 45.5030881)",,,
332514089,332514088,0,30176565,,,service,False,True,51.851,,"LINESTRING (-73.5777243 45.5030568, -73.5773361 45.5034355)",alley,,
332514089,1563386637,0,142872170,,,service,False,True,28.631,,"LINESTRING (-73.5777243 45.5030568, -73.5780271 45.5032026)",alley,,
332514089,1563386642,0,142872174,,,service,False,True,89.162,,"LINESTRING (-73.5777243 45.5030568, -73.5767796 45.5026045)",alley,,
332514089,10926986708,0,142872175,,,service,False,False,45.649,,"LINESTRING (-73.5777243 45.5030568, -73.5780455 45.5027135)",alley,,
392505309,1573497839,0,143792933,,,service,False,True,61.324,,"LINESTRING (-73.5774437 45.5058094, -73.5777715 45.5059805, -73.5781496 45.5059749)",,,
392505309,1575941634,0,144012626,,,service,False,False,42.385999999999996,,"LINESTRING (-73.5774437 45.5058094, -73.5774742 45.5057602, -73.5777451 45.5054933)",,,
392505309,11291338311,0,"[34227402, 1218424087]",2,,service,False,False,24.619,,"LINESTRING (-73.5774437 45.5058094, -73.5774269 45.5058396, -73.5772753 45.5059959)",,,
392505309,10822695809,0,"[1218424089, 34015148]",,,service,True,False,17.234,,"LINESTRING (-73.5774437 45.5058094, -73.5773684 45.5057706, -73.5773507 45.5057616, -73.5772653 45.5057178)",,yes,
392505324,213285584,0,"[34227409, 34227410]",,,"['steps', 'footway']",False,False,56.115,,"LINESTRING (-73.576191 45.5035031, -73.5762529 45.5034397, -73.5766007 45.5030881)",,,
595231555,10946656189,0,46523107,,,service,False,False,7.301,,"LINESTRING (-73.5810549 45.5041069, -73.5811065 45.5040521)",,,
595231555,10946656126,0,263213891,2,Rue Peel,secondary,False,True,5.393,30,"LINESTRING (-73.5810549 45.5041069, -73.5809981 45.5040792)",,,
595231560,595231561,0,"[1111889401, 1111889402, 46523108]",,,service,True,False,41.246,,"LINESTRING (-73.5820598 45.5030419, -73.5821356 45.5029667, -73.5822183 45.5028652, -73.5822528 45.5028219, -73.5822598 45.5027669, -73.5822371 45.502712)",,,building_passage
595231560,10946656189,0,"[1178357889, 1178357890, 46523107]",,,service,False,True,134.689,,"LINESTRING (-73.5820598 45.5030419, -73.5820225 45.5030867, -73.581981 45.5031285, -73.5819606 45.5031478, -73.5818254 45.5032898, -73.5811065 45.5040521)",,,yes
595231561,10946656154,0,46523109,,,service,False,False,16.195,,"LINESTRING (-73.5822371 45.502712, -73.5823589 45.502594)",,,
595231561,595231560,0,"[1111889403, 1111889404, 46523110]",,,service,True,False,52.35900000000001,,"LINESTRING (-73.5822371 45.502712, -73.5821472 45.5027239, -73.5820977 45.5027367, -73.5820684 45.5027522, -73.582019 45.502789, -73.5819578 45.5028576, -73.5819537 45.502905, -73.5819497 45.502939, -73.5819673 45.5029729, -73.5820044 45.5030058, -73.5820598 45.5030419)",,,building_passage
924402169,11292368565,0,79105651,,,footway,False,True,17.905,,"LINESTRING (-73.578083 45.5038077, -73.5779556 45.5039417)",,,
924402169,124072401,0,263901278,,Rue McTavish,pedestrian,False,True,35.394,,"LINESTRING (-73.578083 45.5038077, -73.5777114 45.5036247)",,,
924402169,11292379091,0,263901278,,Rue McTavish,pedestrian,False,False,23.89,,"LINESTRING (-73.578083 45.5038077, -73.5782195 45.5038749, -73.5782925 45.5039108, -73.5783145 45.5039427)",,,
1028394536,10822695794,0,143801172,,,service,False,False,5.92,,"LINESTRING (-73.5802018 45.5107932, -73.5802144 45.5108457)",,no,
1028394536,10822695794,1,143801182,,,service,False,True,5.92,,"LINESTRING (-73.5802018 45.5107932, -73.5802144 45.5108457)",driveway,,
1028394536,1573611428,0,"[143801172, 143801174]",,,service,False,True,134.32999999999998,,"LINESTRING (-73.5802018 45.5107932, -73.5801617 45.5107125, -73.5800994 45.5106442, -73.5799144 45.510477, -73.5799251 45.5102589, -73.580046 45.5097458, -73.5800717 45.5096559)",,no,yes
1282739753,11291338270,0,142872178,,,footway,False,True,5.558,,"LINESTRING (-73.5743429 45.5053043, -73.5743843 45.5052636)",,,
1282745072,10565869143,0,20169089,,,footway,False,False,22.77,,"LINESTRING (-73.5760686 45.5047494, -73.5757924 45.5048162)",,,
1282745072,11582633977,0,20169089,,,footway,False,True,21.253,,"LINESTRING (-73.5760686 45.5047494, -73.576328 45.5046904)",,,
1282745072,1282745081,0,112976644,,,footway,False,False,30.296,,"LINESTRING (-73.5760686 45.5047494, -73.5758356 45.5049675)",,,
1282745081,1282745072,0,112976644,,,footway,False,True,30.296,,"LINESTRING (-73.5758356 45.5049675, -73.5760686 45.5047494)",,,
1282745081,213285585,0,1178369653,,,footway,False,False,20.242,,"LINESTRING (-73.5758356 45.5049675, -73.5756262 45.5048598)",,,
1282745081,11582634000,0,"[1245916516, 112976644]",,,footway,False,False,4.946,,"LINESTRING (-73.5758356 45.5049675, -73.5758247 45.5049728, -73.57578 45.5049888)",,,
1282745081,11582633979,0,1178369653,,,footway,False,True,84.525,,"LINESTRING (-73.5758356 45.5049675, -73.5760213 45.505063, -73.5760599 45.5050775, -73.5761118 45.5050855, -73.5761566 45.5050855, -73.5762033 45.5050769, -73.5762509 45.505061, -73.5762844 45.5050442, -73.576315 45.5050214, -73.57634 45.5049969, -73.576356 45.5049678, -73.5763631 45.5049378, -73.5763575 45.504796, -73.576363 45.5046612)",,,
1282745096,11582634090,0,"[1245916524, 112976636]",,,footway,False,"[False, True]",150.069,,"LINESTRING (-73.5751812 45.5055649, -73.5756644 45.5058019, -73.5762467 45.5060876, -73.5764023 45.505924, -73.576494 45.5059552, -73.5767024 45.5060423)",,,yes
1282745096,11582634000,0,"[1245916516, 143797205, 112976639]",,,footway,False,True,79.69,,"LINESTRING (-73.5751812 45.5055649, -73.5755254 45.5052094, -73.5757367 45.5050043, -73.57578 45.5049888)",,,yes
1282761408,11289783737,0,34227403,,,service,True,False,23.356,,"LINESTRING (-73.5777629 45.504813, -73.5775917 45.5049854)",,yes,
1282761408,11289783695,0,"[1218387348, 1218387349, 1218391702]",,,"['steps', 'footway']",False,"[False, True]",19.982,,"LINESTRING (-73.5777629 45.504813, -73.5777285 45.5047955, -73.5777116 45.5048094, -73.577697 45.5048199, -73.5775313 45.5048058)",,,
1282761416,1282761417,0,112977922,,,corridor,False,True,29.041,,"LINESTRING (-73.5745135 45.5046569, -73.5747265 45.5044426)",,,yes
1282761417,1282761416,0,112977922,,,corridor,False,False,29.041,,"LINESTRING (-73.5747265 45.5044426, -73.5745135 45.5046569)",,,yes
1282761417,11582634001,0,"[112977920, 1245916517, 651206790, 651206791, 112977917]",,,"['footway', 'corridor', 'steps']",False,"[False, True]",98.67799999999998,,"LINESTRING (-73.5747265 45.5044426, -73.5753881 45.504765, -73.5754439 45.504709, -73.5754805 45.504727, -73.5754001 45.5048075, -73.5753832 45.5048206, -73.5754364 45.5048463, -73.5754427 45.5048493, -73.5755233 45.5048485)",,,yes
1282761417,6106946858,0,"[651206784, 651206796]",,,"['steps', 'footway']",False,"[False, True]",15.301,,"LINESTRING (-73.5747265 45.5044426, -73.5747345 45.5044344, -73.5748214 45.5043449, -73.5748263 45.5043258)",,,
1282761422,11582634089,0,1245916511,,,footway,False,True,3.644,,"LINESTRING (-73.576792 45.5052447, -73.5768212 45.5052191)",,,
1282761422,124072385,0,"[1218387344, 13502753]",,,service,False,False,94.18100000000001,,"LINESTRING (-73.576792 45.5052447, -73.5769362 45.5053193, -73.5769751 45.5053659, -73.5769735 45.5054249, -73.5769216 45.5055495, -73.5768334 45.5057132, -73.5767862 45.5058101, -73.5767795 45.5058644, -73.5767884 45.5059215, -73.5768143 45.5060089)",,,
1282761422,124072380,0,13502753,,,service,False,True,36.63,,"LINESTRING (-73.576792 45.5052447, -73.5766676 45.5051813, -73.5764113 45.5050515)",,,
1282761422,11582633972,0,"[1245916510, 1245916511]",,,footway,False,False,4.516,,"LINESTRING (-73.576792 45.5052447, -73.5767642 45.505269, -73.5767556 45.5052763)",,,
1282761430,11423890499,0,143868596,,,footway,False,True,37.988,,"LINESTRING (-73.5748538 45.5042308, -73.5748509 45.5041468, -73.5748623 45.5039631, -73.5748703 45.5039465, -73.5749178 45.5039012)",,,
1282761430,6106946860,0,415845341,,,footway,False,False,15.768,,"LINESTRING (-73.5748538 45.5042308, -73.5749017 45.5043167, -73.5749283 45.5043523, -73.5749343 45.5043607)",,,
1282761430,6106946858,0,651206796,,,footway,False,False,10.780999999999999,,"LINESTRING (-73.5748538 45.5042308, -73.5748319 45.5043031, -73.5748263 45.5043258)",,,
1455282298,10946298422,0,132259976,,,service,False,False,6.945,,"LINESTRING (-73.5802881 45.5037325, -73.5802396 45.5037849)",,,
1455282298,10946656126,0,263213891,2,Rue Peel,secondary,False,False,67.438,30,"LINESTRING (-73.5802881 45.5037325, -73.5809981 45.5040792)",,,
1455282298,11069939436,0,263213891,2,Rue Peel,secondary,False,True,68.374,30,"LINESTRING (-73.5802881 45.5037325, -73.5797309 45.5034557, -73.5796198 45.5034052, -73.5795678 45.5033816)",,,
1455282302,1455282303,0,132259978,,,steps,False,False,4.526,,"LINESTRING (-73.5795911 45.5043312, -73.5795579 45.5043646)",,,
1455282303,1455282302,0,132259978,,,steps,False,True,4.526,,"LINESTRING (-73.5795579 45.5043646, -73.5795911 45.5043312)",,,
1455282303,1472721949,0,132259979,,,steps,False,True,19.793,,"LINESTRING (-73.5795579 45.5043646, -73.5793544 45.5042581)",,,
1455282303,10946656120,0,"[132259978, 1178357879]",,,"['steps', 'footway']",False,"[False, True]",9.293,,"LINESTRING (-73.5795579 45.5043646, -73.5795071 45.504415, -73.5794896 45.5044331)",,,
1455282303,10946298422,0,"[132259976, 133806985]",,,"['service', 'footway']",False,"[False, True]",95.115,,"LINESTRING (-73.5795579 45.5043646, -73.5796054 45.5043856, -73.5797059 45.5043927, -73.5799532 45.504154, -73.5799152 45.5041353, -73.5802396 45.5037849)",,,
1472721947,1472721949,0,133806984,,,service,False,True,15.851,,"LINESTRING (-73.5794624 45.5041373, -73.5793544 45.5042581)",driveway,,
1472721949,1455282303,0,132259979,,,steps,False,False,19.793,,"LINESTRING (-73.5793544 45.5042581, -73.5795579 45.5043646)",,,
1472721949,1472721947,0,133806984,,,service,False,False,15.851,,"LINESTRING (-73.5793544 45.5042581, -73.5794624 45.5041373)",driveway,,
