u,v,key,osmid,oneway,highway,reversed,length,geometry,bridge
7925084277,7925084279,0,849445660,False,residential,True,124.217,"LINESTRING (116.1589377 40.1767239, 116.1588009 40.176811, 116.1586812 40.1768633, 116.1585273 40.1769286, 116.1583792 40.1769504, 116.1581227 40.1769504, 116.1579916 40.1769286, 116.1578434 40.1768981, 116.1577408 40.1768458, 116.1576154 40.1767805)",
7925084279,7925084198,0,849445659,False,residential,True,126.977,"LINESTRING (116.1576154 40.1767805, 116.1569941 40.1773945, 116.1569998 40.1777603)",
7925084279,7925084277,0,849445660,False,residential,False,124.21700000000001,"LINESTRING (116.1576154 40.1767805, 116.1577408 40.1768458, 116.1578434 40.1768981, 116.1579916 40.1769286, 116.1581227 40.1769504, 116.1583792 40.1769504, 116.1585273 40.1769286, 116.1586812 40.1768633, 116.1588009 40.176811, 116.1589377 40.1767239)",
7925084279,7925084280,0,849445660,False,residential,True,93.295,"LINESTRING (116.1576154 40.1767805, 116.1575128 40.1766891, 116.1574387 40.1766107, 116.1573646 40.1764975, 116.157319 40.1763407, 116.1573019 40.1762536, 116.1572961 40.176007)",
7925084280,7925084279,0,849445660,False,residential,False,93.295,"LINESTRING (116.1572961 40.176007, 116.1573019 40.1762536, 116.157319 40.1763407, 116.1573646 40.1764975, 116.1574387 40.1766107, 116.1575128 40.1766891, 116.1576154 40.1767805)",
7925084298,7925084360,0,849445660,False,residential,False,99.275,"LINESTRING (116.1591942 40.1761186, 116.1591914 40.1752258)",
7925084298,7925084338,0,849445669,False,residential,True,99.753,"LINESTRING (116.1591942 40.1761186, 116.1603683 40.1761229)",
7925084298,7925084277,0,849445660,False,residential,True,72.243,"LINESTRING (116.1591942 40.1761186, 116.1591714 40.1762579, 116.1591372 40.1764365, 116.159103 40.1765323, 116.1590175 40.1766281, 116.1589377 40.1767239)",
7925084301,7925084302,0,849445661,False,residential,False,90.07,"LINESTRING (116.1604937 40.1742808, 116.1615538 40.1742852)",
7925084301,7925084369,0,849445661,False,residential,True,16.959,"LINESTRING (116.1604937 40.1742808, 116.1602941 40.1742815)",
7925084301,7925084309,0,849445662,False,residential,False,152.488,"LINESTRING (116.1604937 40.1742808, 116.1604937 40.174124, 116.1605051 40.173928, 116.1605279 40.1737234, 116.1605108 40.1735404, 116.1604823 40.1733314, 116.1604424 40.1732051, 116.1601745 40.1730004)",
