element_type,osmid,nodes,building,operator,smoking,wheelchair,geometry,amenity,fast_food,name,layer
way,1013065620,"[9346427780, 9346427781, 9346427782, 9346427798, 9346427799, 9346427783, 9346427784, 9346427780]",yes,北京大学,no,yes,"POLYGON ((116.1598984 40.1762222, 116.1599092 40.1763153, 116.1598884 40.1763911, 116.1598017 40.1763859, 116.1596509 40.1763768, 116.1594987 40.1763677, 116.1595122 40.1762422, 116.1598984 40.1762222))",,,,
way,1013065621,"[9346427785, 9346427786, 9346427787, 9346427788, 9346427793, 9346427796, 9346427785]",yes,北京大学,no,yes,"POLYGON ((116.1592894 40.1767606, 116.1591847 40.1768647, 116.159468 40.1770411, 116.1596151 40.1768971, 116.1595123 40.176854, 116.1593783 40.1767979, 116.1592894 40.1767606))",,,,
way,1013065622,"[9346427789, 9346427795, 9346427794, 9346427790, 9346427791, 9346427797, 9346427800, 9346427792, 9346427789]",yes,北京大学,no,yes,"POLYGON ((116.1594617 40.1766827, 116.1594962 40.1766943, 116.1596241 40.1767373, 116.1597955 40.176795, 116.1599065 40.1765765, 116.1597596 40.1765417, 116.1596153 40.1765075, 116.1595519 40.1764924, 116.1594617 40.1766827))",,,,
way,1013065623,"[9346427793, 9346427794, 9346427795, 9346427796, 9346427793]",yes,北京大学,no,yes,"POLYGON ((116.1595123 40.176854, 116.1596241 40.1767373, 116.1594962 40.1766943, 116.1593783 40.1767979, 116.1595123 40.176854))",,,,
way,1013065624,"[9346427797, 9346427798, 9346427799, 9346427800, 9346427797]",yes,北京大学,no,yes,"POLYGON ((116.1597596 40.1765417, 116.1598017 40.1763859, 116.1596509 40.1763768, 116.1596153 40.1765075, 116.1597596 40.1765417))",,,,
way,1013065625,"[9346427801, 9346427802, 9346427803, 9346427804, 9346427801]",yes,北京大学,no,yes,"POLYGON ((116.1596539 40.1771515, 116.1596528 40.1772262, 116.1601499 40.1772307, 116.160151 40.1771559, 116.1596539 40.1771515))",,,,
way,1013065626,"[9346427805, 9346427806, 9346427807, 9346427808, 9346427809, 9346427810, 9346427811, 9346427805]",yes,北京大学,no,yes,"POLYGON ((116.1615699 40.1771237, 116.1615453 40.177268, 116.1620259 40.177327, 116.1620034 40.1774639, 116.1621107 40.1774762, 116.1621643 40.1772065, 116.1621461 40.1771893, 116.1615699 40.1771237))",,,,
way,1013065627,"[9346427812, 9346427813, 9346427814, 9346427815, 9346427816, 9346427817, 9346427812]",yes,北京大学,no,yes,"POLYGON ((116.1617907 40.1775807, 116.1617701 40.1776911, 116.1618434 40.177699, 116.1618224 40.1778119, 116.1620428 40.1778359, 116.1620844 40.1776126, 116.1617907 40.1775807))",,,,
way,1013065628,"[9346427818, 9346427819, 9346427820, 9346427821, 9346427822, 9346427823, 9346427824, 9346427825, 9346427826, 9346427827, 9346427828, 9346427829, 9346427818]",yes,北京大学,no,yes,"POLYGON ((116.1615951 40.1766947, 116.1615671 40.176837, 116.1617001 40.1768522, 116.1617049 40.1768279, 116.1617716 40.1768356, 116.1617677 40.1768557, 116.1620204 40.1768847, 116.1620236 40.1768684, 116.1620726 40.176874, 116.1620688 40.1768934, 116.1622175 40.1769105, 116.1622453 40.1767693, 116.1615951 40.1766947))",,,,
way,1013065629,"[9346427830, 9346427831, 9346427832, 9346427833, 9346427834, 9346427835, 9346427836, 9346427837, 9346427838, 9346427839, 9346427840, 9346427841, 9346427830]",yes,北京大学,no,yes,"POLYGON ((116.1616735 40.1762829, 116.1616451 40.1764354, 116.1617786 40.1764499, 116.1617827 40.1764278, 116.1618456 40.1764347, 116.1618416 40.1764563, 116.1620994 40.1764844, 116.162103 40.1764648, 116.1621632 40.1764714, 116.1621605 40.176486, 116.1622979 40.1765009, 116.1623253 40.1763538, 116.1616735 40.1762829))",,,,
way,1013065630,"[9346427842, 9346427843, 9346427844, 9346427845, 9346427846, 9346427847, 9346427848, 9346427849, 9346427850, 9346427851, 9346427852, 9346427853, 9346427854, 9346427855, 9346427856, 9346427857, 9346427858, 9346427859, 9346427860, 9346427861, 9346427862, 9346427863, 9346427864, 9346427865, 9346427866, 9346427842]",yes,北京大学,no,yes,"POLYGON ((116.1625687 40.1764515, 116.1625587 40.1764722, 116.1625109 40.1767824, 116.163211 40.1768561, 116.1632516 40.1766424, 116.1632435 40.1766169, 116.1632254 40.1765962, 116.1632011 40.17659, 116.163183 40.1765893, 116.1631614 40.1765935, 116.1631406 40.1766038, 116.1631262 40.1766142, 116.1631073 40.1766859, 116.1629467 40.17667, 116.1629548 40.1766224, 116.1628555 40.1766073, 116.1628438 40.1766631, 116.1626769 40.1766438, 116.162704 40.1764846, 116.162695 40.1764563, 116.1626832 40.1764411, 116.1626634 40.1764336, 116.1626309 40.1764294, 116.1626029 40.1764287, 116.1625849 40.1764356, 116.1625687 40.1764515))",,,,
way,1013065631,"[9346427867, 9346427868, 9346427882, 9346427869, 9346427870, 9346427871, 9346427872, 9346427873, 9346427874, 9346427875, 9346427876, 9346427877, 9346427878, 9346427879, 9346427880, 9346427881, 9346427867]",yes,北京大学,no,yes,"POLYGON ((116.1626994 40.175735, 116.1626236 40.1761709, 116.162643 40.176205, 116.162674 40.1762312, 116.1627264 40.1762466, 116.1627913 40.1762331, 116.1628306 40.1761947, 116.1628679 40.1759435, 116.1630422 40.1759649, 116.1630383 40.1759835, 116.163059 40.1759966, 116.1631222 40.1760028, 116.1631529 40.1759952, 116.1631559 40.1759785, 116.1633807 40.1760023, 116.1634154 40.175811, 116.1626994 40.175735))",,,,
way,1013065632,"[9346427884, 9346427885, 9346427886, 9346427887, 9346427888, 9346427889, 9346427890, 9346427891, 9346427892, 9346427893, 9346427894, 9346427895, 9346427896, 9346427897, 9346427898, 9346427899, 9346427900, 9346427901, 9346427902, 9346427903, 9346427904, 9346427905, 9346427906, 9346427884]",yes,北京大学,no,yes,"POLYGON ((116.1597147 40.17493, 116.1600014 40.1749329, 116.1600021 40.1748897, 116.1600488 40.1748901, 116.1601241 40.1749954, 116.1601221 40.1751344, 116.16001 40.1751334, 116.1600109 40.1750731, 116.15957 40.1750692, 116.1595714 40.1749754, 116.159511 40.1749748, 116.1595161 40.1746441, 116.1594468 40.1746434, 116.1594486 40.1745312, 116.1595019 40.1745317, 116.1595033 40.1744506, 116.1600936 40.1744563, 116.1600943 40.1744139, 116.1602304 40.1744152, 116.1602283 40.1745397, 116.1602126 40.1745396, 116.1602111 40.1746264, 116.1597201 40.1746215, 116.1597147 40.17493))",,,,
way,1013065633,"[9346427907, 9346427908, 9346427909, 9346427910, 9346427911, 9346427912, 9346427913, 9346427914, 9346427915, 9346427916, 9346427917, 9346427918, 9346427919, 9346427920, 9346427921, 9346427922, 9346427923, 9346427924, 9346427925, 9346427926, 9346427907]",yes,北京大学,no,yes,"POLYGON ((116.1603845 40.1735411, 116.1599664 40.1735323, 116.1595772 40.1738169, 116.1596359 40.1739261, 116.1603556 40.1739321, 116.1603558 40.173913, 116.1604116 40.1739135, 116.1604097 40.1740401, 116.1603544 40.1740397, 116.1603531 40.1741252, 116.1595366 40.1741182, 116.1595378 40.1740342, 116.1594356 40.1740334, 116.1593323 40.1738433, 116.1593826 40.1738053, 116.1593307 40.1737651, 116.159872 40.1733568, 116.1603359 40.1733665, 116.1603338 40.1734264, 116.1603886 40.1734275, 116.1603845 40.1735411))",,,,
way,1013065634,"[9346427927, 9346427928, 9346427929, 9346427930, 9346427931, 9346427932, 9346427933, 9346427934, 9346427935, 9346427936, 9346427937, 9346427938, 9346427939, 9346427940, 9346427941, 9346427942, 9346427927]",yes,北京大学,no,yes,"POLYGON ((116.1600378 40.1738462, 116.1601029 40.1738706, 116.1602484 40.1738579, 116.1603389 40.1737867, 116.1603594 40.1737409, 116.1603645 40.1737087, 116.1603479 40.1736707, 116.1603173 40.1736463, 116.1602905 40.1736385, 116.1602165 40.1736307, 116.1601603 40.1736327, 116.1600914 40.17366, 116.1600391 40.1736941, 116.160011 40.1737243, 116.1599919 40.1737575, 116.1600021 40.173815, 116.1600378 40.1738462))",,,,
way,1013065635,"[9346427943, 9346427944, 9346427945, 9346427946, 9346427943]",yes,北京大学,no,yes,"POLYGON ((116.1598715 40.1730509, 116.1593525 40.1734276, 116.1592677 40.1733593, 116.1597866 40.1729826, 116.1598715 40.1730509))",,,,
way,1013065636,"[9346427947, 9346427948, 9346427949, 9346427950, 9346427951, 9346427952, 9346427953, 9346427954, 9346427947]",yes,北京大学,no,yes,"POLYGON ((116.1591554 40.1732956, 116.1596774 40.1729374, 116.159556 40.1729455, 116.1589824 40.1729408, 116.1589597 40.1730301, 116.1589673 40.1730916, 116.1590204 40.1731843, 116.1590947 40.1732643, 116.1591554 40.1732956))",,,,
way,1013065638,"[9346427974, 9346427975, 9346427976, 9346427977, 9346427974]",yes,北京大学,no,yes,"POLYGON ((116.1613086 40.1784461, 116.1612522 40.1789869, 116.1614314 40.1789978, 116.1614879 40.178457, 116.1613086 40.1784461))",,,,
