u,v,key,osmid,highway,oneway,reversed,length,geometry,service,tunnel,bridge
9550311928,9550311927,0,"[1036623718, 1036623719]",service,False,True,41.118,"LINESTRING (120.7373636 31.2717953, 120.7373808 31.2715335, 120.7373878 31.2714261)",parking_aisle,yes,
9550311930,9550312286,0,1036623712,service,False,False,11.021,"LINESTRING (120.7380148 31.2711957, 120.7381232 31.2711605)",,,
9550311930,9550311892,0,1036623720,service,False,True,21.559,"LINESTRING (120.7380148 31.2711957, 120.7378034 31.2711254)",,,
9550311930,9550311893,0,1036623712,service,False,True,39.351,"LINESTRING (120.7380148 31.2711957, 120.7379824 31.2712063, 120.7377457 31.2712841, 120.7376326 31.2713311)",,,
9550311934,9550311860,0,"[1036623722, 1036623723]",service,False,True,43.324,"LINESTRING (120.7351983 31.2707184, 120.7351213 31.2708871, 120.7350327 31.2710814)",parking_aisle,yes,
9550311943,9550312263,0,1036623708,service,False,False,70.18199999999999,"LINESTRING (120.7365191 31.2729611, 120.7366298 31.2729643, 120.7367291 31.2729519, 120.7368031 31.2729041, 120.73704 31.2725927)",,,
9550311943,9550344574,0,1036623708,service,False,True,115.381,"LINESTRING (120.7365191 31.2729611, 120.7355995 31.272935, 120.7354173 31.2729196, 120.7353144 31.2728844)",,,
9550311943,9536946727,0,1036623724,footway,False,True,55.547000000000004,"LINESTRING (120.7365191 31.2729611, 120.7365002 31.2728864, 120.7365384 31.272882, 120.736638 31.2728766, 120.7366941 31.2728515, 120.7366762 31.2728319, 120.7365971 31.2728471, 120.736504 31.272846, 120.736414 31.2728422)",,,
9550312029,9550312046,0,1036623728,footway,False,False,7.811,"LINESTRING (120.7362056 31.272686, 120.7361753 31.2726207)",,,
9550312029,9536946727,0,1036623728,footway,False,True,26.396,"LINESTRING (120.7362056 31.272686, 120.7363205 31.272782, 120.7363877 31.2728253, 120.736414 31.2728422)",,,
9550312029,9550329016,0,"[1036627906, 1036627907]","['steps', 'footway']",False,False,21.054000000000002,"LINESTRING (120.7362056 31.272686, 120.736069 31.2727231, 120.7359917 31.2727332)",,,
9550312031,9550312038,0,1036623728,footway,False,True,10.153,"LINESTRING (120.736131 31.2723638, 120.7361363 31.272455)",,,
9550312031,9550312032,0,"[1036623729, 1036623730, 1036623751]","['steps', 'footway']",False,False,34.875,"LINESTRING (120.736131 31.2723638, 120.7360195 31.2723329, 120.735937 31.2723124, 120.7358347 31.2722867, 120.7357798 31.272273)",,,
9550312031,9550312037,0,"[1036623752, 1036623731, 1036623732]","['steps', 'footway']",False,False,25.583000000000002,"LINESTRING (120.736131 31.2723638, 120.7361677 31.272345, 120.7362072 31.2723221, 120.7362823 31.2722273, 120.7363073 31.2721956)",,,
9550312032,9550312088,0,1036623741,footway,False,False,44.863,"LINESTRING (120.7357798 31.272273, 120.735858 31.272076, 120.7359524 31.2719354, 120.7359819 31.2719136)",,,
9550312032,9550312081,0,1036623741,footway,False,True,12.561,"LINESTRING (120.7357798 31.272273, 120.7357651 31.2723119, 120.7357392 31.2723805)",,,
9550312032,9550312031,0,"[1036623729, 1036623730, 1036623751]","['steps', 'footway']",False,True,34.875,"LINESTRING (120.7357798 31.272273, 120.7358347 31.2722867, 120.735937 31.2723124, 120.7360195 31.2723329, 120.736131 31.2723638)",,,
9550312037,9550312093,0,1036623742,footway,False,False,20.743,"LINESTRING (120.7363073 31.2721956, 120.7361563 31.2720609)",,,
9550312037,9550312058,0,1036623742,footway,False,True,10.169,"LINESTRING (120.7363073 31.2721956, 120.7363402 31.2722169, 120.7363926 31.2722508)",,,
9550312037,9550312031,0,"[1036623752, 1036623731, 1036623732]","['steps', 'footway']",False,True,25.583000000000002,"LINESTRING (120.7363073 31.2721956, 120.7362823 31.2722273, 120.7362072 31.2723221, 120.7361677 31.272345, 120.736131 31.2723638)",,,
9550312038,9550312031,0,1036623728,footway,False,False,10.153,"LINESTRING (120.7361363 31.272455, 120.736131 31.2723638)",,,
9550312038,9550312046,0,1036623728,footway,False,True,19.046999999999997,"LINESTRING (120.7361363 31.272455, 120.7361418 31.2725486, 120.7361753 31.2726207)",,,
9550312038,9550312041,0,"[1036623733, 1036623734]","['steps', 'footway']",False,False,18.724,"LINESTRING (120.7361363 31.272455, 120.7360753 31.2724581, 120.7359402 31.2724707)",,,
9550312041,9550329014,0,1036627905,steps,False,False,0.965,"LINESTRING (120.7359402 31.2724707, 120.7359388 31.2724793)",,,
9550312041,9550312081,0,"[1036623741, 1036623733, 1036623750]","['steps', 'footway']",False,False,28.116000000000003,"LINESTRING (120.7359402 31.2724707, 120.7357762 31.272456, 120.7357296 31.2724519, 120.7357392 31.2723805)",,,
9550312041,9550312038,0,"[1036623733, 1036623734]","['steps', 'footway']",False,True,18.724,"LINESTRING (120.7359402 31.2724707, 120.7360753 31.2724581, 120.7361363 31.272455)",,,
9550312046,9550312029,0,1036623728,footway,False,True,7.811,"LINESTRING (120.7361753 31.2726207, 120.7362056 31.272686)",,,
9550312046,9550312038,0,1036623728,footway,False,False,19.046999999999997,"LINESTRING (120.7361753 31.2726207, 120.7361418 31.2725486, 120.7361363 31.272455)",,,
9550312046,9550312058,0,"[1036623736, 1036623737, 1036623753, 1036623742]","['steps', 'footway']",False,False,59.33,"LINESTRING (120.7361753 31.2726207, 120.7362646 31.2726077, 120.7362903 31.272591, 120.7363012 31.2725675, 120.7362744 31.2724148, 120.7362964 31.2724015, 120.7364025 31.2723375, 120.7364398 31.272315, 120.7363926 31.2722508)",,,
9550312058,9550312062,0,1036623739,footway,False,False,47.557,"LINESTRING (120.7363926 31.2722508, 120.7365075 31.2722181, 120.7365738 31.2721461, 120.7366197 31.2720392, 120.7366376 31.2719215)",,,
9550312058,9550312081,0,"[1036623738, 1036623739, 1036623740]",footway,False,"[False, True]",69.06099999999999,"LINESTRING (120.7363926 31.2722508, 120.7363514 31.2722829, 120.7362913 31.2723435, 120.7361711 31.2724058, 120.7360553 31.2724186, 120.7359222 31.272415, 120.7358064 31.2723911, 120.735798 31.2723898, 120.7357392 31.2723805)",,,yes
9550312058,9550312037,0,1036623742,footway,False,False,10.169,"LINESTRING (120.7363926 31.2722508, 120.7363402 31.2722169, 120.7363073 31.2721956)",,,
9550312058,9550312046,0,"[1036623736, 1036623753, 1036623737, 1036623742]","['steps', 'footway']",False,True,59.33,"LINESTRING (120.7363926 31.2722508, 120.7364398 31.272315, 120.7364025 31.2723375, 120.7362964 31.2724015, 120.7362744 31.2724148, 120.7363012 31.2725675, 120.7362903 31.272591, 120.7362646 31.2726077, 120.7361753 31.2726207)",,,
9550312062,9550312086,0,1036623739,footway,False,False,28.626,"LINESTRING (120.7366376 31.2719215, 120.7365942 31.2717404, 120.7365602 31.2716739)",,,
9550312062,9550312058,0,1036623739,footway,False,True,47.557,"LINESTRING (120.7366376 31.2719215, 120.7366197 31.2720392, 120.7365738 31.2721461, 120.7365075 31.2722181, 120.7363926 31.2722508)",,,
9550312062,9550312170,0,1036623747,footway,False,False,50.699,"LINESTRING (120.7366376 31.2719215, 120.7367061 31.2719328, 120.7367459 31.2719397, 120.7371025 31.2719452, 120.7371689 31.2719462)",,,
9550312069,9550312075,0,"[1036623739, 1036623740]",footway,False,False,80.824,"LINESTRING (120.7357674 31.2713609, 120.7356143 31.2714133, 120.7354689 31.271494, 120.7353796 31.2715921, 120.7353387 31.2716575, 120.7352903 31.2717557, 120.7352647 31.2718866)",,,
9550312069,9550312167,0,1036623739,footway,False,True,41.503,"LINESTRING (120.7357674 31.2713609, 120.7359537 31.2713282, 120.7361477 31.2713173, 120.7361941 31.2713375)",,,
9550312069,9550312088,0,1036623742,footway,False,True,64.87599999999999,"LINESTRING (120.7357674 31.2713609, 120.7358056 31.2714599, 120.7358297 31.2715224, 120.7359209 31.2718012, 120.7359819 31.2719136)",,,
9550312075,9550312172,0,1036623740,footway,False,False,48.927,"LINESTRING (120.7352647 31.2718866, 120.735275 31.2720131, 120.7353132 31.2721199, 120.7354 31.2722224, 120.7354679 31.2722699)",,,
9550312075,9550312069,0,"[1036623739, 1036623740]",footway,False,True,80.82400000000001,"LINESTRING (120.7352647 31.2718866, 120.7352903 31.2717557, 120.7353387 31.2716575, 120.7353796 31.2715921, 120.7354689 31.271494, 120.7356143 31.2714133, 120.7357674 31.2713609)",,,
9550312075,9550312088,0,1036623743,footway,False,True,68.375,"LINESTRING (120.7352647 31.2718866, 120.7353746 31.2718828, 120.7354414 31.2718833, 120.7357354 31.2718858, 120.7359819 31.2719136)",,,
9550312081,9550312058,0,"[1036623738, 1036623739, 1036623740]",footway,False,"[False, True]",69.061,"LINESTRING (120.7357392 31.2723805, 120.735798 31.2723898, 120.7358064 31.2723911, 120.7359222 31.272415, 120.7360553 31.2724186, 120.7361711 31.2724058, 120.7362913 31.2723435, 120.7363514 31.2722829, 120.7363926 31.2722508)",,,yes
9550312081,9550312172,0,1036623740,footway,False,True,29.083,"LINESTRING (120.7357392 31.2723805, 120.7356909 31.2723729, 120.7355531 31.2723293, 120.7354679 31.2722699)",,,
9550312081,9550312032,0,1036623741,footway,False,False,12.561,"LINESTRING (120.7357392 31.2723805, 120.7357651 31.2723119, 120.7357798 31.272273)",,,
9550312081,9550312041,0,"[1036623733, 1036623741, 1036623750]","['steps', 'footway']",False,True,28.116,"LINESTRING (120.7357392 31.2723805, 120.7357296 31.2724519, 120.7357762 31.272456, 120.7359402 31.2724707)",,,
