u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,service,maxspeed,lanes,bridge,width
3724109293,7867520891,0,368553897,,service,,False,False,36.253,"LINESTRING (106.4247909 29.8246636, 106.4248467 29.824592, 106.4248892 29.8244109, 106.4249011 29.8243571)",,,,,
3724109299,3724109290,0,973994912,,service,,False,False,16.244999999999997,"LINESTRING (106.4248709 29.824014, 106.4247761 29.8240287, 106.4247296 29.8240765)",,,,,
3724109299,7867520891,0,"[973994912, 368553897]",,service,,False,True,42.159,"LINESTRING (106.4248709 29.824014, 106.4249579 29.8240885, 106.424932 29.8242181, 106.4249011 29.8243571)",,,,,
3724109301,3724109293,0,368553897,,service,,False,False,8.188,"LINESTRING (106.4247105 29.8246872, 106.4247909 29.8246636)",,,,,
3724109301,3724109302,0,368553899,,steps,,False,False,65.737,"LINESTRING (106.4247105 29.8246872, 106.4245611 29.825264)",,,,,
3724109301,3724109314,0,"[973994912, 368553897]",,service,,False,True,41.74,"LINESTRING (106.4247105 29.8246872, 106.42465 29.8246358, 106.4246189 29.8245738, 106.4246738 29.8243444)",,,,,
3724109302,3724109301,0,368553899,,steps,,False,True,65.737,"LINESTRING (106.4245611 29.825264, 106.4247105 29.8246872)",,,,,
3724109302,3724109306,0,368553900,,footway,,False,True,34.439,"LINESTRING (106.4245611 29.825264, 106.4249091 29.8253331)",,,,,
3724109302,3724109307,0,368553900,,footway,,False,False,64.081,"LINESTRING (106.4245611 29.825264, 106.4242245 29.8251972, 106.4241506 29.8254664)",,,,,
3724109304,3724109307,0,368553900,,footway,,False,True,22.775,"LINESTRING (106.4241064 29.8256676, 106.4241506 29.8254664)",,,,,
3724109304,3724109315,0,368553903,,footway,,False,False,25.021,"LINESTRING (106.4241064 29.8256676, 106.4238926 29.825795)",,,,,
3724109304,3724109308,0,368553900,,footway,,False,False,90.05499999999999,"LINESTRING (106.4241064 29.8256676, 106.4247876 29.8257911, 106.4248388 29.8255898)",,,,,
