u,v,key,osmid,highway,oneway,reversed,length,name,geometry
8515442064,8515442057,0,916831866,service,False,False,105.92699999999999,翔宇路,"LINESTRING (118.8135878 32.0379367, 118.813844 32.0379016, 118.8146972 32.0377848)"
8515442065,8515442045,0,916831867,service,False,True,85.719,长空路,"LINESTRING (118.8134091 32.0367493, 118.8125049 32.0368315)"
8515442065,8515442090,0,916831871,service,False,True,74.894,明德路,"LINESTRING (118.8134091 32.0367493, 118.8135161 32.0374167)"
8515442065,8515442058,0,916831867,service,False,False,105.80799999999999,长空路,"LINESTRING (118.8134091 32.0367493, 118.8138683 32.0366963, 118.8145214 32.0366213)"
8515442065,8515442094,0,916831871,service,False,False,110.55499999999999,明德路,"LINESTRING (118.8134091 32.0367493, 118.8133589 32.0364082, 118.8132507 32.0357642)"
8515442066,8515442059,0,916831868,service,False,False,105.391,凌云路,"LINESTRING (118.8132063 32.0354727, 118.8143132 32.0353391)"
8515442066,8515442051,0,916831868,service,False,True,83.28,凌云路,"LINESTRING (118.8132063 32.0354727, 118.8123311 32.0355751)"
8515442066,8515442094,0,916831871,service,False,True,32.682,明德路,"LINESTRING (118.8132063 32.0354727, 118.8132507 32.0357642)"
8515442066,8515442068,0,916831871,service,False,False,64.911,明德路,"LINESTRING (118.8132063 32.0354727, 118.813042 32.0351426, 118.812865 32.0349743)"
8515442068,8515442066,0,916831871,service,False,True,64.911,明德路,"LINESTRING (118.812865 32.0349743, 118.813042 32.0351426, 118.8132063 32.0354727)"
8515442069,8515442111,0,916831867,service,False,False,40.278,长空路,"LINESTRING (118.8177479 32.0363402, 118.8181686 32.0362768)"
8515442069,8515450327,0,916831867,service,False,True,71.522,长空路,"LINESTRING (118.8177479 32.0363402, 118.8169967 32.0364308)"
8515442069,8515450325,0,916831872,service,False,True,39.021,,"LINESTRING (118.8177479 32.0363402, 118.8177923 32.0366891)"
8515442070,8515442043,0,916831873,service,False,True,97.027,,"LINESTRING (118.8178828 32.038251, 118.8177185 32.0373896)"
8515442071,8515442026,0,916831874,service,False,True,52.293,,"LINESTRING (118.8138285 32.0409208, 118.8137583 32.0404543)"
8515442072,8515442074,0,916831875,service,False,False,24.532,,"LINESTRING (118.8147625 32.0408298, 118.815021 32.0408041)"
8515442073,8515442074,0,916831875,service,False,True,24.665,,"LINESTRING (118.8152809 32.0407783, 118.815021 32.0408041)"
8515442074,8515442021,0,916831862,service,False,False,38.028,,"LINESTRING (118.815021 32.0408041, 118.8149919 32.040463)"
8515442074,8515442022,0,916831862,service,False,True,22.096,,"LINESTRING (118.815021 32.0408041, 118.8150379 32.0410023)"
8515442074,8515442073,0,916831875,service,False,False,24.665,,"LINESTRING (118.815021 32.0408041, 118.8152809 32.0407783)"
8515442074,8515442072,0,916831875,service,False,True,24.532,,"LINESTRING (118.815021 32.0408041, 118.8147625 32.0408298)"
8515442075,8515442021,0,916831864,service,False,True,65.396,向学路,"LINESTRING (118.8143011 32.0405177, 118.8149919 32.040463)"
8515442075,8515442076,0,916831876,service,False,False,53.694,,"LINESTRING (118.8143011 32.0405177, 118.8142348 32.0400381)"
8515442075,8515442026,0,916831864,service,False,False,53.649,向学路,"LINESTRING (118.8143011 32.0405177, 118.8139698 32.0405439, 118.8137583 32.0404543)"
8515442076,8515442055,0,916831876,service,False,False,72.349,,"LINESTRING (118.8142348 32.0400381, 118.8149961 32.0399551)"
8515442076,8515442075,0,916831876,service,False,True,53.694,,"LINESTRING (118.8142348 32.0400381, 118.8143011 32.0405177)"
8515442076,8515442080,0,916831877,service,False,False,30.528,,"LINESTRING (118.8142348 32.0400381, 118.8142028 32.0397649)"
8515442078,8515442021,0,916831864,service,False,False,70.784,向学路,"LINESTRING (118.8157395 32.0404028, 118.8149919 32.040463)"
8515442078,8515442024,0,916831864,service,False,True,32.6,向学路,"LINESTRING (118.8157395 32.0404028, 118.8160838 32.040375)"
8515442078,8515442055,0,916831876,service,False,True,121.24099999999999,,"LINESTRING (118.8157395 32.0404028, 118.8156994 32.0399114, 118.8149961 32.0399551)"
8515442079,8515442060,0,916831869,service,False,False,36.386,博远路,"LINESTRING (118.8149578 32.0396962, 118.8149205 32.0393705)"
8515442079,8515442055,0,916831869,service,False,True,29.014,博远路,"LINESTRING (118.8149578 32.0396962, 118.8149961 32.0399551)"
8515442079,8515442080,0,916831878,service,False,True,71.574,,"LINESTRING (118.8149578 32.0396962, 118.8142028 32.0397649)"
8515442080,8515442076,0,916831877,service,False,True,30.528,,"LINESTRING (118.8142028 32.0397649, 118.8142348 32.0400381)"
8515442080,8515442079,0,916831878,service,False,False,71.574,,"LINESTRING (118.8142028 32.0397649, 118.8149578 32.0396962)"
8515442080,8515442081,0,916831878,service,False,True,23.619,,"LINESTRING (118.8142028 32.0397649, 118.8139531 32.0397827)"
8515442081,8515442080,0,916831878,service,False,False,23.619,,"LINESTRING (118.8139531 32.0397827, 118.8142028 32.0397649)"
8515442081,8515442029,0,916831878,service,False,True,48.922,,"LINESTRING (118.8139531 32.0397827, 118.8134359 32.0398195)"
8515442081,8515442082,0,916831879,service,False,False,38.106,,"LINESTRING (118.8139531 32.0397827, 118.8139435 32.0394401)"
8515442082,8985309483,0,916831870,service,False,False,32.662,,"LINESTRING (118.8139435 32.0394401, 118.8142888 32.0394155)"
8515442082,8515442061,0,916831870,service,False,True,52.2,,"LINESTRING (118.8139435 32.0394401, 118.8133928 32.0394897)"
8515442082,8515442081,0,916831879,service,False,True,38.106,,"LINESTRING (118.8139435 32.0394401, 118.8139531 32.0397827)"
8515442083,8515442087,0,916831880,service,False,False,41.004,,"LINESTRING (118.8130171 32.0388378, 118.8134497 32.038799)"
8515442083,8515442039,0,916831864,service,False,False,95.584,向学路,"LINESTRING (118.8130171 32.0388378, 118.8129048 32.0387462, 118.8128109 32.0386541, 118.8127358 32.0384597, 118.812677 32.0380616)"
8515442083,8515442085,0,916831864,service,False,True,49.845,向学路,"LINESTRING (118.8130171 32.0388378, 118.813101 32.0388994, 118.8132512 32.0390088, 118.8133278 32.0391088, 118.8133515 32.0391728)"
8515442084,8515442089,0,916831869,service,False,False,42.773,博远路,"LINESTRING (118.8148355 32.0387065, 118.8147885 32.0383239)"
8515442084,8515442056,0,916831869,service,False,True,21.045,博远路,"LINESTRING (118.8148355 32.0387065, 118.814858 32.0388948)"
8515442084,8985309482,0,916831880,service,False,True,55.898,,"LINESTRING (118.8148355 32.0387065, 118.814244 32.0387425)"
8515442085,8515442061,0,916831864,service,False,True,35.452,向学路,"LINESTRING (118.8133515 32.0391728, 118.8133928 32.0394897)"
8515442085,8515442083,0,916831864,service,False,False,49.845,向学路,"LINESTRING (118.8133515 32.0391728, 118.8133278 32.0391088, 118.8132512 32.0390088, 118.813101 32.0388994, 118.8130171 32.0388378)"
