element_type,osmid,nodes,building,geometry,historic,name,amenity,name:en,name:zh,name:zh-Hans,name:zh-Hant,tourism
way,916831941,"[8515450587, 8515450588, 8515450589, 8515450590, 8515450587]",school,"POLYGON ((118.8165573 32.0357841, 118.8164546 32.0352884, 118.8167477 32.0352447, 118.8168503 32.0357405, 118.8165573 32.0357841))",,B22号楼,,,,,,
way,916831943,"[8515450593, 8515450594, 8515450595, 8515450596, 8515450597, 8515450598, 8515450593]",school,"POLYGON ((118.8163095 32.0350649, 118.8162436 32.0346674, 118.816986 32.0345789, 118.8170012 32.0346706, 118.8171394 32.0346542, 118.8171901 32.0349601, 118.8163095 32.0350649))",,,,,,,,
way,916831944,"[8515450599, 8515450600, 8515450601, 8515450602, 8515450599]",school,"POLYGON ((118.8172062 32.0341818, 118.8171837 32.0340312, 118.8179138 32.0339528, 118.8179363 32.0341033, 118.8172062 32.0341818))",,,,,,,,
way,916831945,"[8515450603, 8515450604, 8515450605, 8515450606, 8515450607, 8515450608, 8515450609, 8515450610, 8515450603]",school,"POLYGON ((118.8158829 32.0346863, 118.8158864 32.0341793, 118.8165624 32.0340713, 118.8165553 32.0342393, 118.816166 32.0342843, 118.8162262 32.0347403, 118.8160173 32.0347463, 118.8160032 32.0346533, 118.8158829 32.0346863))",,B1号楼 B3号楼,,,,,,
way,916831946,"[8515450611, 8515450612, 8515450613, 8515450614, 8515450611]",school,"POLYGON ((118.8166908 32.0345185, 118.816665 32.0344003, 118.8171378 32.0343261, 118.8171636 32.0344444, 118.8166908 32.0345185))",,,,,,,,
way,916831947,"[8515450615, 8515450616, 8515450617, 8515450618, 8515450615]",school,"POLYGON ((118.8166648 32.0342576, 118.8166388 32.0340649, 118.8171386 32.0340164, 118.8171646 32.0342092, 118.8166648 32.0342576))",,B5号楼,,,,,,
way,916831948,"[8515450619, 8515450620, 8515450621, 8515450622, 8515450623, 8515450624, 8515450625, 8515450626, 8515450627, 8515450628, 8515450629, 8515450619]",school,"POLYGON ((118.8182073 32.0369587, 118.8181968 32.0368826, 118.818035 32.0368987, 118.817993 32.0365952, 118.8181514 32.0365795, 118.8181363 32.0364702, 118.8179158 32.0364922, 118.8178467 32.0366438, 118.8179113 32.0371123, 118.8181255 32.037091, 118.8181086 32.0369685, 118.8182073 32.0369587))",,C15号楼,,,,,,
way,916831949,"[8515450630, 8515450631, 8515450632, 8515450633, 8515450630]",school,"POLYGON ((118.8179905 32.0373272, 118.8179745 32.0371881, 118.8183012 32.0371612, 118.8183171 32.0373002, 118.8179905 32.0373272))",,C13号楼,,,,,,
way,916831950,"[8515450634, 8515450635, 8515450636, 8515450637, 8515450638, 8515450639, 8515450634]",school,"POLYGON ((118.8161113 32.038559, 118.8160698 32.0383178, 118.8168319 32.0382235, 118.81685 32.0383284, 118.8167671 32.0383387, 118.8167905 32.0384751, 118.8161113 32.038559))",,C2号楼,,,,,,
way,916831951,"[8515450640, 8515450641, 8515450642, 8515450643, 8515450640]",school,"POLYGON ((118.816476 32.0381461, 118.8164098 32.0376812, 118.8168435 32.0376368, 118.8169097 32.0381017, 118.816476 32.0381461))",,C1号楼,,,,,,
way,916831952,"[8515450644, 8515450645, 8515450646, 8515450647, 8515450644]",school,"POLYGON ((118.8171263 32.0384686, 118.8170967 32.0382806, 118.8174377 32.038242, 118.8174674 32.03843, 118.8171263 32.0384686))",,C3号楼,,,,,,
way,916831953,"[8515450648, 8515450649, 8515450650, 8515450651, 8515450652, 8515450653, 8515450654, 8515450655, 8515450656, 8515450657, 8515450658, 8515450659, 8515450648]",school,"POLYGON ((118.8170253 32.0380953, 118.816983 32.0378146, 118.8170367 32.0378088, 118.8170066 32.0376081, 118.81757 32.0375473, 118.8175985 32.037737, 118.8177581 32.0377198, 118.8178021 32.0380122, 118.8176891 32.0380244, 118.8177032 32.0381183, 118.8175185 32.0381383, 118.8175042 32.0380435, 118.8170253 32.0380953))",,C7号楼,,,,,,
way,916831954,"[8515450660, 8515450661, 8515450662, 8515450663, 8515450660]",school,"POLYGON ((118.8178938 32.0378323, 118.817865 32.0375989, 118.8181919 32.0375698, 118.8182208 32.0378032, 118.8178938 32.0378323))",,C12号楼,,,,,,
way,916831955,"[8515450664, 8515450665, 8515450666, 8515450667, 8515450664]",school,"POLYGON ((118.8179478 32.0380288, 118.8179286 32.037925, 118.8182339 32.0378844, 118.8182531 32.0379882, 118.8179478 32.0380288))",,C11号楼,,,,,,
way,916831956,"[8515450668, 8515450669, 8515450670, 8515450671, 8515450668]",school,"POLYGON ((118.817526 32.0383003, 118.8174972 32.0381537, 118.8177704 32.0381151, 118.8177992 32.0382618, 118.817526 32.0383003))",,C5号楼,,,,,,
way,916831957,"[8515450672, 8515450673, 8515450674, 8515450675, 8515450672]",school,"POLYGON ((118.8179789 32.038179, 118.8179553 32.0380601, 118.8182938 32.038012, 118.8183173 32.0381309, 118.8179789 32.038179))",,C10号楼,,,,,,
way,916831958,"[8515450676, 8515450677, 8515450678, 8515450679, 8515450676]",school,"POLYGON ((118.817239 32.0374303, 118.8172106 32.0372839, 118.8177009 32.0372155, 118.8177294 32.0373618, 118.817239 32.0374303))",,C16号楼,,,,,,
way,916831959,"[8515450680, 8515450681, 8515450682, 8515450683, 8515450680]",school,"POLYGON ((118.8161973 32.0373777, 118.8161792 32.0372336, 118.816545 32.0372005, 118.8165632 32.0373446, 118.8161973 32.0373777))",,C20号楼,,,,,,
way,916831960,"[8515450684, 8515450685, 8515450686, 8515450687, 6877640641, 8515450684]",yes,"POLYGON ((118.8166817 32.0409152, 118.8166542 32.0406516, 118.8171439 32.0406149, 118.8171714 32.0408785, 118.816921 32.0408973, 118.8166817 32.0409152))",,橘子酒店,,Orange Hotel,橘子酒店,橘子酒店,橘子酒店,hotel
way,916831966,"[8515450717, 8515450718, 8515450719, 8515450720, 8515450717]",yes,"POLYGON ((118.8169052 32.0404696, 118.8168561 32.0398729, 118.8170796 32.0398597, 118.8171287 32.0404563, 118.8169052 32.0404696))",,,,,,,,
way,916831967,"[8515450721, 8515450722, 8515450723, 8515450724, 8515450721]",yes,"POLYGON ((118.8168559 32.0398218, 118.8168068 32.0392252, 118.8170303 32.039212, 118.8170795 32.0398086, 118.8168559 32.0398218))",,,,,,,,
