u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge,maxspeed,width,tunnel,service
5173027989,6265111359,0,669046554,创新路,unclassified,False,False,41.478,"LINESTRING (113.9956507 22.5975263, 113.995383 22.5972469)",,,,,,,
5173027989,9326228301,0,"[533170945, 669046554]",创新路,unclassified,False,True,38.149,"LINESTRING (113.9956507 22.5975263, 113.995723 22.5976362, 113.9957731 22.5977096, 113.9958596 22.5978093)",,,,,,,
5173027989,5173028017,0,"[864686952, 533170949, 533170950]",,unclassified,False,True,98.921,"LINESTRING (113.9956507 22.5975263, 113.9957876 22.5974925, 113.9961825 22.5973898, 113.996579 22.5972878)",,,yes,,,,
5173027992,8527043444,0,533170958,创知南路,pedestrian,False,False,59.802,"LINESTRING (113.9933156 22.5986145, 113.993647 22.5990568)",,,,,,,
5173027992,5173028153,0,533170958,创知南路,pedestrian,False,True,22.884,"LINESTRING (113.9933156 22.5986145, 113.9931791 22.5984518)",,,,,,,
5173027992,5173028321,0,918534489,卓越路,unclassified,False,True,91.633,"LINESTRING (113.9933156 22.5986145, 113.9940601 22.5981599)",,,,,,,
5173027992,5193738422,0,920732025,卓越路,pedestrian,False,False,14.711,"LINESTRING (113.9933156 22.5986145, 113.9932034 22.5986968)",,,,,,,
5173027995,5173028371,0,536044866,卓越路,pedestrian,False,False,17.631,"LINESTRING (113.9930433 22.5991838, 113.9930254 22.5993415)",,,,,,,
5173027995,8527043443,0,918112411,,footway,False,False,32.529,"LINESTRING (113.9930433 22.5991838, 113.9933466 22.5992685)",,,,,,,
5173027995,5173028220,0,536044866,卓越路,pedestrian,False,True,21.379,"LINESTRING (113.9930433 22.5991838, 113.9930381 22.5990485, 113.9930469 22.5989922)",,,,,,,
5173027997,8488485212,0,918108060,创知南路,pedestrian,False,True,18.437,"LINESTRING (113.9937532 22.5996356, 113.9939004 22.5995406)",,,,,,,
5173027997,8509513120,0,918108060,创知南路,pedestrian,False,False,106.809,"LINESTRING (113.9937532 22.5996356, 113.9937413 22.5996864, 113.9937255 22.5997366, 113.9937174 22.599967, 113.9936974 22.6005385, 113.993706 22.6005919)",,,,,,,
