element_type,osmid,geometry,nodes,amenity,building,internet_access,internet_access:fee,internet_access:ssid,name,name:de,name:en,name:zh,name:zh-Hans,name:zh-Hant,website,addr:housename,leisure,sport,healthcare,building:levels,alt_name:en,tourism,url,addr:city,addr:postcode,addr:street,layer,shop,building:levels:underground,alt_name,ways,type
way,190426981,"POLYGON ((116.3382727 39.9796284, 116.3382812 39.9795105, 116.3387525 39.9795193, 116.3387482 39.9796352, 116.3382727 39.9796284))","[2010554140, 2010554136, 2010554145, 2010554148, 2010554140]",,yes,,,,401住宅,,,401住宅,401住宅,401住宅,,,,,,,,,,,,,,,,,,
way,190426982,"POLYGON ((116.3383441 39.9784608, 116.3383504 39.9783453, 116.3387899 39.9783493, 116.3387836 39.9784696, 116.3383441 39.9784608))","[2010554137, 2010554146, 2010554144, 2010554135, 2010554137]",,yes,,,,403住宅,,,403住宅,403住宅,403住宅,,,,,,,,,,,,,,,,,,
way,190427033,"POLYGON ((116.3370464 39.9784714, 116.3370532 39.9783486, 116.3381443 39.9783843, 116.3381374 39.9785071, 116.3370464 39.9784714))","[2010555084, 2010555085, 2010555076, 2010555081, 2010555084]",,yes,,,,406住宅,,,406住宅,406住宅,406住宅,,,,,,,,,,,,,,,,,,
way,190427034,"POLYGON ((116.3371591 39.9794638, 116.3371672 39.9793113, 116.3373811 39.979318, 116.3373899 39.9791547, 116.337178 39.979148, 116.3371862 39.9789938, 116.3379043 39.9790164, 116.337896 39.9791733, 116.3376401 39.9791653, 116.337631 39.9793345, 116.3378785 39.9793422, 116.3378708 39.9794862, 116.3371591 39.9794638))","[2010555087, 5546915075, 5546915071, 5546915072, 5546915073, 2010555082, 2010555079, 5546915070, 5546915069, 5546915068, 5546915074, 2010555086, 2010555087]",hospital,yes,,,,北航校医院,Krankenhaus,Beihang Hospital,,,,,,,,hospital,,,,,,,,,,,,,
way,190427035,"POLYGON ((116.3370259 39.9787778, 116.3370325 39.9786631, 116.3381385 39.9787008, 116.3381318 39.9788154, 116.3370259 39.9787778))","[2010555089, 2010555075, 2010555088, 2010555090, 2010555089]",,yes,,,,407住宅,,,407住宅,407住宅,407住宅,,,,,,,,,,,,,,,,,,
way,190427036,"POLYGON ((116.3370749 39.9781481, 116.3370824 39.9780347, 116.3381821 39.9780676, 116.3381745 39.9781811, 116.3370749 39.9781481))","[2010555077, 2010555078, 2010555083, 2010555080, 2010555077]",,yes,,,,405住宅,,,405住宅,405住宅,405住宅,,,,,,,,,,,,,,,,,,
way,190427568,"POLYGON ((116.3392772 39.980209, 116.3392821 39.9800981, 116.3396745 39.9801083, 116.3396718 39.9801698, 116.3403473 39.9801873, 116.3403498 39.9801314, 116.3407387 39.9801415, 116.3407342 39.9802429, 116.3403543 39.980233, 116.3403513 39.9802994, 116.3396602 39.9802814, 116.339667 39.9802208, 116.3392772 39.980209))","[2010558903, 2010558911, 2010558909, 2010558910, 2010558907, 2010558905, 2010558913, 2010558914, 2010558915, 2010558902, 2010558904, 2010558906, 2010558903]",,yes,,,,学生11公寓,,,学生11公寓,学生11公寓,學生11公寓,,,,,,,,,,,,,,,,,,
way,190427801,"POLYGON ((116.3401015 39.9813618, 116.3401055 39.9812386, 116.3408052 39.981252, 116.3408735 39.9812533, 116.3408671 39.9814523, 116.3407717 39.9814505, 116.3407741 39.9813746, 116.3401015 39.9813618))","[2010560765, 2010560783, 10220985962, 2010560803, 2010560801, 2010560770, 2010560800, 2010560765]",,dormitory,,,,7公寓,,,7公寓,7公寓,7公寓,,,,,,,,,,,,,,,,,,
way,190427802,"POLYGON ((116.3390383 39.9806212, 116.3390478 39.980475, 116.3398394 39.980505, 116.33983 39.9806512, 116.3390383 39.9806212))","[2010560757, 2010560751, 2010560780, 2010560754, 2010560757]",,dormitory,,,,2公寓,2. Studentenwohnheim,2nd Dormitory,2公寓,2公寓,2公寓,,,,,,,,,,,,,,,,,,
way,190427803,"POLYGON ((116.3400795 39.9817445, 116.3400885 39.9815736, 116.3401757 39.9815763, 116.3401731 39.9816253, 116.3406374 39.9816397, 116.340631 39.9817616, 116.3400795 39.9817445))","[2010560786, 2010560795, 2010560785, 2010560787, 2010560763, 2010560756, 2010560786]",,dormitory,,,,10公寓,,,10公寓,10公寓,10公寓,,,,,,,,,,,,,,,,,,
way,190427804,"POLYGON ((116.3391406 39.9817182, 116.3391454 39.9816152, 116.339614 39.9816279, 116.3396173 39.9815558, 116.3397143 39.9815584, 116.3397063 39.9817335, 116.3391406 39.9817182))","[2010560755, 2010560759, 2010560792, 2010560788, 2010560758, 2010560752, 2010560755]",,dormitory,,,,9公寓,,,9公寓,9公寓,9公寓,,,,,,,,,,,,,,,,,,
way,190427806,"POLYGON ((116.3382298 39.9817195, 116.3382411 39.9814767, 116.3383701 39.9814802, 116.3383665 39.9815581, 116.3384017 39.9815591, 116.3384002 39.9815908, 116.3388858 39.9816041, 116.3388892 39.9815309, 116.3390702 39.9815358, 116.3390606 39.9817422, 116.3382298 39.9817195))","[2010560778, 2010560774, 5334645889, 5334645892, 5992972838, 5992972839, 5334677801, 5334677802, 2010560777, 2010560793, 2010560778]",,dormitory,,,,4公寓,,,4公寓,4公寓,4公寓,,,,,,,,,,,,,,,,,,
way,190427808,"POLYGON ((116.3389946 39.9813811, 116.3390091 39.981175, 116.3397971 39.9812077, 116.3397879 39.9813384, 116.3391165 39.9813105, 116.3391112 39.9813859, 116.3389946 39.9813811))","[2010560784, 2010560748, 2010560790, 2010560753, 2010560802, 2010560781, 2010560784]",,dormitory,,,,3公寓,,,3公寓,3公寓,3公寓,,,,,,7,,,,,,,,,,,,
way,190427809,"POLYGON ((116.3408982 39.98025, 116.3409007 39.9801178, 116.3416395 39.980126, 116.3416356 39.9803305, 116.3415449 39.9803295, 116.3415463 39.9802573, 116.3408982 39.98025))","[2010560794, 2010560768, 2010560773, 2010560767, 2010560791, 2010560776, 2010560794]",,dormitory,,,,学生5公寓,,,学生5公寓,学生5公寓,學生5公寓,,,,,,,,,,,,,,,,,,
way,190427810,"POLYGON ((116.3384155 39.9813517, 116.3384595 39.9803814, 116.3388683 39.9803923, 116.3388243 39.9813625, 116.3384155 39.9813517))","[2010560799, 2010560789, 2010560796, 2010560798, 2010560799]",,yes,,,,西区食堂 / 合一楼,,,西区食堂 / 合一楼,西区食堂 / 合一楼,西區食堂/合一樓,,,,,,4,,,,,,,,,,,,
way,190427811,"POLYGON ((116.3401467 39.9806168, 116.3401517 39.9804955, 116.3408299 39.9805119, 116.3408326 39.980446, 116.3409272 39.9804483, 116.3409195 39.9806355, 116.3401467 39.9806168))","[2010560782, 2010560771, 2010560762, 2010560772, 2010560769, 2010560766, 2010560782]",,dormitory,,,,6公寓,,,6公寓,6公寓,6公寓,,,,,,,,,,,,,,,,,,
way,190427995,"POLYGON ((116.3411352 39.9807245, 116.3411411 39.9804901, 116.3416681 39.9804983, 116.3416618 39.9807323, 116.3411352 39.9807245))","[2010562695, 2010562694, 2706659351, 2010562693, 2010562695]",restaurant,yes,,,,东区食堂,,,东区食堂,东区食堂,東區食堂,,,,,,,,,,,,,,,,,,
way,190430062,"POLYGON ((116.3408492 39.9817075, 116.3408563 39.9815642, 116.3409579 39.9815671, 116.3409536 39.9816528, 116.3414428 39.9816669, 116.341448 39.981562, 116.3415789 39.9815658, 116.3415708 39.9817284, 116.3408492 39.9817075))","[2010580634, 2010580631, 5334645893, 5334645888, 5334645891, 5334645894, 2010580632, 2010580633, 2010580634]",,dormitory,,,,8公寓,,,8公寓,8公寓,8公寓,,,,,,,,,,,,,,,,,,
way,190430779,"POLYGON ((116.336648 39.9807159, 116.3366558 39.98057, 116.3373827 39.9805928, 116.3373749 39.9807387, 116.336648 39.9807159))","[2010584813, 2010584822, 2010584815, 2010584823, 2010584813]",,yes,,,,308住宅,,,308住宅,308住宅,308住宅,,,,,,,,,,,,,,,,,,
way,190430780,"POLYGON ((116.3376422 39.9810534, 116.3376637 39.9806711, 116.3378085 39.9806752, 116.3377924 39.9810575, 116.3376422 39.9810534))","[2010584818, 2010584817, 2010584821, 2010584820, 2010584818]",,yes,,,,303住宅,,,303住宅,303住宅,303住宅,,,,,,,,,,,,,,,,,,
way,190430781,"POLYGON ((116.3366384 39.9810371, 116.3366448 39.9808945, 116.3373671 39.9809135, 116.3373607 39.9810561, 116.3366384 39.9810371))","[2010584816, 2010584819, 2010584814, 2010584824, 2010584816]",,yes,,,,307住宅,,,307住宅,307住宅,307住宅,,,,,,,,,,,,,,,,,,
way,190444293,"POLYGON ((116.3418914 39.9812345, 116.3419006 39.9809233, 116.3421123 39.9809233, 116.3421116 39.9809835, 116.3421102 39.9811027, 116.3421085 39.9812398, 116.3419379 39.9812356, 116.3418914 39.9812345))","[2010693417, 2010693412, 2010693414, 2010693413, 2010693420, 2010693410, 6924289509, 2010693417]",,yes,,,,六号楼西,,,六号楼西,六号楼西,六號樓西,,,,,,,,,,,,,,,,,,
way,190444294,"POLYGON ((116.3428236 39.9806059, 116.3428343 39.9801908, 116.3432795 39.9802031, 116.3434029 39.980273, 116.343401 39.9806232, 116.3428236 39.9806059))","[2010693419, 2010693409, 2010693403, 2010693404, 2010693407, 2010693419]",,yes,,,,八号楼,,,八号楼,八号楼,八號樓,,,,,,,,,,,,,,,,,,
way,190444295,"POLYGON ((116.3421102 39.9811027, 116.3421116 39.9809835, 116.3431526 39.9810058, 116.3431457 39.981131, 116.3421102 39.9811027))","[2010693420, 2010693413, 2010693406, 2010693421, 2010693420]",,yes,,,,六号楼,,,六号楼,六号楼,六號樓,,,,,,,,,,,,,,,,,,
way,190444296,"POLYGON ((116.3419539 39.9805864, 116.3419742 39.9801824, 116.3425682 39.9802, 116.3425623 39.9803168, 116.3420503 39.9803016, 116.3420426 39.9804541, 116.342439 39.9804659, 116.3424351 39.9805436, 116.3425523 39.980547, 116.3425494 39.9806041, 116.3419539 39.9805864))","[2010693411, 2010693416, 2010693418, 8789773642, 8789773637, 8789773638, 8789773640, 8789773639, 8789773641, 2010693423, 2010693411]",,yes,,,,培训中心,,,培训中心,培训中心,培訓中心,,,,,,,,,,,,,,,,,,
way,190444297,"POLYGON ((116.3431379 39.9812729, 116.3431457 39.981131, 116.3431526 39.9810058, 116.343154 39.9809811, 116.3432935 39.9809811, 116.3432771 39.9812731, 116.3431379 39.9812729))","[2010693422, 2010693421, 2010693406, 2010693415, 2010693408, 2010693405, 2010693422]",,yes,,,,六号楼东,,,六号楼东,六号楼东,六號樓東,,,,,,,,,,,,,,,,,,
way,190444423,"POLYGON ((116.345018 39.9807057, 116.3450364 39.9803074, 116.3457058 39.9803127, 116.3456908 39.9807204, 116.345018 39.9807057))","[2010695198, 2010695200, 2010695202, 2010695211, 2010695198]",concert_hall,yes,,,,晨兴音乐厅,,,晨兴音乐厅,晨兴音乐厅,晨興音樂廳,,,,,,,,,,,,,,,,,,
way,190444424,"POLYGON ((116.3436246 39.9807393, 116.3436456 39.9803732, 116.3441106 39.9803888, 116.3440896 39.9807549, 116.3436246 39.9807393))","[2010695195, 2010695210, 2010695197, 2010695192, 2010695195]",,yes,,,,第九馆 / 逸夫楼,,,第九馆 / 逸夫楼,第九馆 / 逸夫楼,第九館 / 逸夫樓,,,,,,,,,,,,,,,,,,
way,190444425,"POLYGON ((116.3441353 39.9813765, 116.3441898 39.9802978, 116.3445426 39.9803, 116.3448792 39.9803022, 116.344831 39.9813932, 116.3441353 39.9813765))","[2010695194, 2010695193, 6813608235, 2010695188, 2010695190, 2010695194]",,yes,,,,北京航空航天博物馆,,Beijing Air and Space Museum,北京航空航天博物馆,北京航空航天博物馆,北京航空航太博物館,,,,,,,Beijing Aviation Museum,museum,http://airandspacemuseum.buaa.edu.cn/,,,,,,,,,
way,190444428,"POLYGON ((116.3455906 39.9814501, 116.3456042 39.9811821, 116.3458032 39.981188, 116.3457895 39.9814561, 116.3455906 39.9814501))","[2010695214, 2010695191, 2010695213, 2010695199, 2010695214]",,yes,,,,第五馆东,,,第五馆东,第五馆东,第五館東,,,,,,,,,,,,,,,,,,
way,190444429,"POLYGON ((116.3448989 39.9813926, 116.3449076 39.9811571, 116.345141 39.9811599, 116.3451303 39.9814239, 116.3448973 39.9814238, 116.3448989 39.9813926))","[2010695209, 2010695207, 2010695189, 2010695206, 6924289508, 2010695209]",,yes,,,,第五馆,,,第五馆,第五馆,第五館,,,,,,,,,,,,,,,,,,
way,190444632,"POLYGON ((116.3458821 39.9806238, 116.3458973 39.9803062, 116.346652 39.9803233, 116.3466375 39.9807443, 116.3464107 39.9807374, 116.3464188 39.9805078, 116.3460405 39.980501, 116.346036 39.9806239, 116.3458821 39.9806238))","[2010698507, 2010698513, 2010698519, 2010698505, 2010698517, 2010698515, 2010698509, 2010698511, 2010698507]",,yes,,,,第六馆,,,第六馆,第六馆,第六館,,,,,,,,,,,,,,,,,,
way,190482667,"POLYGON ((116.3436428 39.9811487, 116.3439411 39.9811606, 116.3439276 39.9813733, 116.3439258 39.9814017, 116.3436332 39.9813962, 116.3436362 39.9812689, 116.3436428 39.9811487))","[2011229397, 2011229403, 6924289507, 2011229401, 2723447870, 6924289505, 2011229397]",,yes,,,,第九馆北 / 南配电楼,,,第九馆北 / 南配电楼,第九馆北 / 南配电楼,第九館北 / 南配電樓,,,,,,,,,,,,,,,,,,
way,190484072,"POLYGON ((116.3442895 39.9793477, 116.3443099 39.9787274, 116.3447784 39.9787365, 116.3447579 39.9793568, 116.3442895 39.9793477))","[2011250839, 2011250808, 2011250824, 2011250833, 2011250839]",,yes,,,,新主楼F座,,,新主楼F座,新主楼F座,新主樓F座,,,,,,,,,,,,,,,,,,
way,190484074,"POLYGON ((116.3362706 39.9800941, 116.3362719 39.9799923, 116.3369181 39.9799992, 116.3369168 39.9801011, 116.3362706 39.9800941))","[2011250806, 2011250850, 2011250813, 2011250855, 2011250806]",,yes,,,,309住宅,,,309住宅,309住宅,309住宅,,,,,,,,,,,,,,,,,,
way,190484076,"POLYGON ((116.3362349 39.9815978, 116.3362403 39.981454, 116.3367984 39.9814664, 116.336793 39.9816102, 116.3362349 39.9815978))","[2011250859, 2011250815, 2011250826, 2011250811, 2011250859]",,yes,,,,306住宅,,,306住宅,306住宅,306住宅,,,,,,,,,,,,,,,,,,
way,190560774,"POLYGON ((116.3357838 39.9790038, 116.3357882 39.9789008, 116.3368282 39.9789271, 116.3368238 39.97903, 116.3357838 39.9790038))","[2012073309, 2012073296, 2012073314, 2012073295, 2012073309]",,yes,,,,413住宅,,,413住宅,413住宅,413住宅,,,,,,,,,,,,,,,,,,
way,190560775,"POLYGON ((116.3357666 39.9780502, 116.3357735 39.977935, 116.3368597 39.977973, 116.3368528 39.9780881, 116.3357666 39.9780502))","[2012073302, 2012073311, 2012073313, 2012073290, 2012073302]",,yes,,,,416住宅,,,416住宅,416住宅,416住宅,,,,,,,,,,,,,,,,,,
way,190560776,"POLYGON ((116.3361402 39.9796394, 116.3361402 39.979549, 116.3367732 39.9795613, 116.3367678 39.9796559, 116.3361402 39.9796394))","[2012073305, 2012073301, 2012073299, 2012073318, 2012073305]",,yes,,,,411住宅,,,411住宅,411住宅,411住宅,,,,,,,,,,,,,,,,,,
way,190560777,"POLYGON ((116.335751 39.9783652, 116.3357568 39.9782605, 116.3368754 39.9782972, 116.3368696 39.9784019, 116.335751 39.9783652))","[2012073320, 2012073308, 2012073297, 2012073315, 2012073320]",,yes,,,,415住宅,,,415住宅,415住宅,415住宅,,,,,,,,,,,,,,,,,,
way,190560778,"POLYGON ((116.335743 39.9793096, 116.3357489 39.9792066, 116.3367915 39.9792417, 116.3367856 39.9793447, 116.335743 39.9793096))","[2012073312, 2012073317, 2012073300, 2012073293, 2012073312]",,yes,,,,412住宅,,,412住宅,412住宅,412住宅,,,,,,,,,,,,,,,,,,
way,190560779,"POLYGON ((116.3354106 39.9796476, 116.3354106 39.9795366, 116.3360329 39.9795449, 116.3360329 39.97966, 116.3354106 39.9796476))","[2012073316, 2012073321, 2012073319, 2012073298, 2012073316]",,yes,,,,418住宅,,,418住宅,418住宅,418住宅,,,,,,,,,,,,,,,,,,
way,190560780,"POLYGON ((116.3358318 39.9776816, 116.335837 39.9775891, 116.3368992 39.9776242, 116.3368939 39.9777167, 116.3358318 39.9776816))","[2012073292, 2012073306, 2012073291, 2012073310, 2012073292]",,yes,,,,417住宅,,,417住宅,417住宅,417住宅,,,,,,,,,,,,,,,,,,
way,190560781,"POLYGON ((116.3357962 39.978686, 116.3358003 39.9785813, 116.3368299 39.978605, 116.3368258 39.9787097, 116.3357962 39.978686))","[2012073303, 2012073307, 2012073294, 2012073304, 2012073303]",,yes,,,,414住宅,,,414住宅,414住宅,414住宅,,,,,,,,,,,,,,,,,,
way,190560924,"POLYGON ((116.3372484 39.9776105, 116.3372569 39.9774224, 116.3373613 39.9774258, 116.3373627 39.9774043, 116.3374606 39.9774068, 116.3374592 39.9774289, 116.3378408 39.9774413, 116.3378421 39.9774176, 116.3380453 39.9774233, 116.3380446 39.9774464, 116.3381044 39.9774487, 116.3380945 39.9776358, 116.3372484 39.9776105))","[2012076031, 2012076033, 8789773623, 8789773621, 8789773622, 8789773624, 8789773627, 8789773626, 8789773625, 8789773628, 2012076032, 2012076030, 2012076031]",,yes,,,,北航附中,,,北航附中,北航附中,北航附中,,,,,,,,,,,,,,,,,,
way,190561617,"POLYGON ((116.3353895 39.9801148, 116.3353945 39.9799641, 116.3360919 39.9799724, 116.3360838 39.9801183, 116.3353895 39.9801148))","[2012081571, 2012081568, 2012081569, 2012081570, 2012081571]",,yes,,,,综合维修部,,,综合维修部,综合维修部,綜合維修部,,,,,,,,,,,,,,,,,,
way,190561719,"POLYGON ((116.3358029 39.980927, 116.3358074 39.980275, 116.3361586 39.9802767, 116.336162 39.9803098, 116.3365771 39.980311, 116.3365434 39.9809521, 116.3358029 39.980927))","[2012082432, 2012082434, 2012082431, 6924398177, 6924398178, 2012082430, 2012082432]",,yes,,,,北航幼儿园,,,北航幼儿园,北航幼儿园,北航幼儿園,,,,,,,,,,,,,,,,,,
way,190561981,"POLYGON ((116.3350887 39.9822866, 116.3350887 39.9821797, 116.3354602 39.9821883, 116.3356646 39.9821972, 116.3356734 39.9819701, 116.3358022 39.9819701, 116.3357904 39.9822829, 116.3356614 39.9822786, 116.335657 39.9823139, 116.3350887 39.9822866))","[2012084786, 2012084801, 3702176242, 2012084766, 2012084799, 2012084795, 2012084775, 2012084778, 2012084783, 2012084786]",,yes,,,,204住宅,,,204住宅,204住宅,204住宅,,,,,,,,,,,,,,,,,,
way,190561982,"POLYGON ((116.3352272 39.9819123, 116.3352172 39.9821427, 116.3350887 39.9821427, 116.3351064 39.9817985, 116.3357853 39.9818145, 116.3357837 39.9819265, 116.3352272 39.9819123))","[2012084781, 2012084792, 2012084767, 2012084764, 2012084761, 2012084772, 2012084781]",,yes,,,,203住宅,,,203住宅,203住宅,203住宅,,,,,,,,,,,,,,,,,,
way,190562246,"POLYGON ((116.335993 39.9823147, 116.3360008 39.9821686, 116.3369696 39.9821989, 116.3369618 39.982345, 116.335993 39.9823147))","[2012087428, 2012087427, 2012087423, 2012087424, 2012087428]",,yes,,,,205住宅,,,205住宅,205住宅,205住宅,,,,,,,,,,,,,,,,,,
way,190562247,"POLYGON ((116.335962 39.9827049, 116.3359697 39.9825536, 116.3369524 39.982583, 116.3369447 39.9827343, 116.335962 39.9827049))","[2012087426, 2012087430, 2012087429, 2012087425, 2012087426]",,yes,,,,208住宅,,,208住宅,208住宅,208住宅,,,,,,,,,,,,,,,,,,
way,190562310,"POLYGON ((116.3371201 39.9827458, 116.3371222 39.9826141, 116.3377593 39.98262, 116.3377572 39.9827517, 116.3371201 39.9827458))","[2012088411, 2012088406, 2012088413, 2012088416, 2012088411]",,yes,,,,207住宅,,,207住宅,207住宅,207住宅,,,,,,,,,,,,,,,,,,
way,190562311,"POLYGON ((116.3371693 39.9823203, 116.3371718 39.9821955, 116.3377568 39.9822023, 116.3377543 39.9823271, 116.3371693 39.9823203))","[2012088405, 2012088402, 2012088408, 2012088417, 2012088405]",,yes,,,,206住宅,,,206住宅,206住宅,206住宅,,,,,,,,,,,,,,,,,,
way,190562312,"POLYGON ((116.3371219 39.983102, 116.337124 39.9829681, 116.3378028 39.9829745, 116.3378007 39.9831084, 116.3371219 39.983102))","[2012088407, 2012088414, 2012088404, 2012088412, 2012088407]",,yes,,,,212住宅,,,212住宅,212住宅,212住宅,,,,,,,,,,,,,,,,,,
way,190562313,"POLYGON ((116.3371606 39.981967, 116.3371661 39.9818273, 116.3378795 39.9818438, 116.337874 39.9819835, 116.3371606 39.981967))","[2012088403, 2012088410, 2012088415, 2012088409, 2012088403]",,yes,,,,201住宅,,,201住宅,201住宅,201住宅,,,,,,,,,,,,,,,,,,
way,190562420,"POLYGON ((116.3380645 39.9831377, 116.3380717 39.9829647, 116.3383356 39.9829736, 116.3383296 39.9830763, 116.3384034 39.9830789, 116.3384061 39.9830429, 116.3387078 39.9830517, 116.3387105 39.9830136, 116.3386347 39.9830121, 116.3386354 39.9829823, 116.3390048 39.9829926, 116.3389927 39.9832302, 116.338396 39.9832151, 116.3383993 39.9831472, 116.3383256 39.9831452, 116.3383082 39.9831693, 116.3382947 39.9831858, 116.3382793 39.9831955, 116.3382619 39.9832038, 116.3382411 39.9832115, 116.3382183 39.9832156, 116.3381908 39.9832156, 116.3381536 39.9832091, 116.3381256 39.9831972, 116.3381062 39.9831854, 116.3380946 39.9831754, 116.3380855 39.9831657, 116.3380701 39.9831477, 116.3380645 39.9831377))","[2012088957, 2012088956, 8789773694, 8789773680, 8789773679, 8789773678, 8789773677, 8789773676, 8789773675, 8789773695, 2012088959, 2012088958, 8789773696, 8789803318, 8789803317, 8789773691, 8789773690, 8789773685, 8789773686, 8789773687, 8789773688, 8789773689, 8789773684, 8789773683, 8789773682, 8789773681, 8789773692, 8789773693, 2012088957]",,yes,,,,思源楼,,,思源楼,思源楼,思源樓,,,,,,,,,,,,,,,,,,
way,190562498,"POLYGON ((116.3443107 39.9787036, 116.3443249 39.9780637, 116.3447928 39.9780698, 116.3447786 39.9787097, 116.3443107 39.9787036))","[2012089534, 2012089533, 2012089536, 2012089535, 2012089534]",,yes,,,,新主楼E座,,,新主楼E座,新主楼E座,新主樓E座,,,,,,,,,,,,,,,,,,
way,190562606,"POLYGON ((116.3448551 39.9783853, 116.3448647 39.9780778, 116.3463789 39.9781056, 116.3463693 39.9784131, 116.3448551 39.9783853))","[2012090379, 2012090382, 2012090381, 2012090384, 2012090379]",,yes,,,,新主楼D座,,,新主楼D座,新主楼D座,新主樓D座,,,,,,,,,,,,,,,,,,
way,190563610,"POLYGON ((116.346401 39.9787691, 116.3464144 39.9781211, 116.346849 39.9781264, 116.3468356 39.9787744, 116.346401 39.9787691))","[2012095599, 2012095585, 2012095608, 2012095605, 2012095599]",,yes,,,,新主楼C座,,,新主楼C座,新主楼C座,新主樓C座,,,,,,,,,,,,,,,,,,
way,190563611,"POLYGON ((116.3463734 39.9794126, 116.346393 39.9788118, 116.346839 39.9788204, 116.3468193 39.9794212, 116.3463734 39.9794126))","[2012095596, 2012095590, 2012095593, 2012095602, 2012095596]",,yes,,,,新主楼B座,,,新主楼B座,新主楼B座,新主樓B座,,,,,,,,,,,,,,,,,,
