u,v,key,osmid,highway,access,oneway,reversed,length,tunnel,geometry,junction,bridge,service,name
3862618311,3862618314,1,383062111,footway,permissive,False,True,19.306,,"LINESTRING (121.4021924 31.2298742, 121.4021297 31.2298577, 121.4020992 31.2298716, 121.4020924 31.2298871, 121.4021326 31.2299497)",,,,
3862618311,3790337882,0,383062111,footway,permissive,False,False,23.847,,"LINESTRING (121.4021924 31.2298742, 121.4022223 31.2298498, 121.4022951 31.2298306, 121.402325 31.2298077, 121.4023721 31.2298013, 121.40239 31.2297851, 121.4023962 31.2297694)",,,,
3862618314,3805651415,0,383062112,footway,permissive,False,False,9.433,,"LINESTRING (121.4021326 31.2299497, 121.402102 31.2300304)",,,,
3862618314,3862618311,0,383062111,footway,permissive,False,False,19.306,,"LINESTRING (121.4021326 31.2299497, 121.4020924 31.2298871, 121.4020992 31.2298716, 121.4021297 31.2298577, 121.4021924 31.2298742)",,,,
3862618314,3862618311,1,383062111,footway,permissive,False,True,11.015,,"LINESTRING (121.4021326 31.2299497, 121.4021734 31.2299318, 121.4021924 31.2298742)",,,,
3925409218,3925427728,0,113662987,service,permissive,False,False,62.101,,"LINESTRING (121.3988969 31.2256883, 121.3988801 31.22513)",,,,
3925409218,1288652662,0,113662987,service,permissive,False,True,39.042,,"LINESTRING (121.3988969 31.2256883, 121.3989075 31.2260393)",,,,
3925409218,3925409219,0,389371684,service,permissive,False,False,56.813,,"LINESTRING (121.3988969 31.2256883, 121.3982996 31.2257012)",,,driveway,
3925409219,3925409218,0,389371684,service,permissive,False,True,56.813,,"LINESTRING (121.3982996 31.2257012, 121.3988969 31.2256883)",,,driveway,
3925427728,1288652663,0,113662987,service,permissive,False,False,58.329,,"LINESTRING (121.3988801 31.22513, 121.3988649 31.2246056)",,,,
3925427728,3925409218,0,113662987,service,permissive,False,True,62.101,,"LINESTRING (121.3988801 31.22513, 121.3988969 31.2256883)",,,,
3925427728,3925427730,0,389373571,service,permissive,False,False,42.876,,"LINESTRING (121.3988801 31.22513, 121.3988506 31.2251306, 121.3984293 31.2251386)",,,driveway,
3925427730,3925427728,0,389373571,service,permissive,False,True,42.876,,"LINESTRING (121.3984293 31.2251386, 121.3988506 31.2251306, 121.3988801 31.22513)",,,driveway,
3927043710,1288664482,0,114518358,footway,permissive,False,False,37.784,,"LINESTRING (121.4007579 31.226551, 121.4007586 31.2262112)",,,,
3927043710,3830943572,0,389537422,footway,,False,True,66.246,,"LINESTRING (121.4007579 31.226551, 121.4014546 31.2265517)",,,,
3927043710,1297097898,0,114518358,footway,permissive,False,True,65.445,,"LINESTRING (121.4007579 31.226551, 121.4007576 31.2266789, 121.4002189 31.2266785)",,,,
3927075299,3927075311,0,389540316,service,,False,True,36.293,,"LINESTRING (121.4012194 31.2256806, 121.4013794 31.225892, 121.4014338 31.2259503)",,,driveway,
3927075311,1288652709,0,113662988,service,permissive,False,False,29.19,,"LINESTRING (121.4014338 31.2259503, 121.4014315 31.2262128)",,,,
3927075311,1288652713,0,113662988,service,permissive,False,True,87.191,,"LINESTRING (121.4014338 31.2259503, 121.401437 31.2255372, 121.4015122 31.2254728, 121.4015131 31.2251928)",,,,
3927075311,3927075299,0,389540316,service,,False,False,36.293,,"LINESTRING (121.4014338 31.2259503, 121.4013794 31.225892, 121.4012194 31.2256806)",,,driveway,
4420884882,3847040739,0,381500989,footway,,False,True,23.175,,"LINESTRING (121.401277 31.2315357, 121.4015053 31.2316087)",,,,
4420884884,3792792789,0,375941841,footway,,False,False,11.317,,"LINESTRING (121.4014383 31.2314847, 121.4015495 31.231521)",,,,
