element_type,osmid,geometry,nodes,building,name,ref,building:levels,alt_name,leisure,sport,roof:shape,location,power,substation,amenity,bath:open_air,bath:sand_bath,opening_hours,department,faculty,height,layer,min_height,frequency,voltage,ways,type,short_name
way,696699050,"POLYGON ((121.384155 31.3220372, 121.3841278 31.3220692, 121.3840126 31.3221013, 121.3835278 31.3220148, 121.3833222 31.3219675, 121.3833489 31.321878, 121.3835525 31.3219211, 121.383558 31.3219033, 121.383894 31.3219629, 121.3840008 31.3219797, 121.3840957 31.3219755, 121.3841317 31.3219869, 121.3841525 31.3220122, 121.384155 31.3220372))","[6542707829, 6542707830, 6542707831, 6542707832, 6542707833, 6542707834, 9671407418, 6542707835, 6542708154, 6542707836, 6542708153, 6542707837, 6542707838, 6542707829]",hospital,上海大学校医院,,,,,,,,,,,,,,,,,,,,,,,
way,696699063,"POLYGON ((121.3849726 31.3197543, 121.3849105 31.3197515, 121.3849055 31.3198331, 121.3848708 31.3198313, 121.3848757 31.31975, 121.3848345 31.3197481, 121.3848391 31.319673, 121.3848803 31.3196748, 121.3848841 31.3196115, 121.3849189 31.3196133, 121.384915 31.3196764, 121.3849771 31.3196791, 121.3849726 31.3197543))","[6542707973, 6542707974, 9183287555, 9183287554, 6542707977, 6542707978, 6542707979, 6542707980, 9183287553, 9183287552, 6542707983, 6542707984, 6542707973]",yes,,,,,,,,,,,,,,,,,,,,,,,,
way,696699084,"POLYGON ((121.3924639 31.3185969, 121.3924719 31.3184749, 121.3924422 31.3184735, 121.392446 31.318415, 121.3918531 31.3183865, 121.3918557 31.318346, 121.3918173 31.3183441, 121.3918146 31.3183846, 121.3916316 31.3183758, 121.3916197 31.3185562, 121.3924639 31.3185969))","[6542708133, 6542708134, 9363993910, 9363993909, 6542708135, 6542708136, 6542708137, 6542708138, 6542708139, 6542708140, 6542708133]",university,HA楼,HA,,,,,,,,,,,,,,,,,,,,,,
way,696699085,"POLYGON ((121.3916177 31.319168, 121.3916246 31.3190444, 121.3917693 31.3190503, 121.3917623 31.3191739, 121.3916177 31.319168))","[6542708141, 6542708142, 6542708143, 6542708144, 6542708141]",yes,,8,,,,,,indoor,substation,distribution,,,,,,,,,,,,,,
way,696699086,"POLYGON ((121.3918657 31.3191927, 121.391874 31.3190574, 121.3919601 31.3190613, 121.3919518 31.3191965, 121.3918657 31.3191927))","[6542708145, 6542708146, 6542708147, 6542708148, 6542708145]",university,,,,,,,,,,,,,,,,,,,,,,,,
way,696699087,"POLYGON ((121.3923313 31.3192182, 121.3923378 31.3191059, 121.3922182 31.3191009, 121.3922117 31.3192132, 121.3923313 31.3192182))","[6542708149, 6542708150, 6542708151, 6542708152, 6542708149]",university,污水排放泵房,,,,,,,,,,,,,,,,,,,,,,,
way,696699088,"POLYGON ((121.3839754 31.3217543, 121.3839436 31.3218671, 121.3834443 31.3217644, 121.3834761 31.3216515, 121.3839754 31.3217543))","[6542708155, 6542708156, 6542708157, 6542708158, 6542708155]",university,,,,,,,,,,,,,,,,,,,,,,,,
way,696699089,"POLYGON ((121.3825549 31.3218185, 121.3825749 31.3217422, 121.3825301 31.3217336, 121.3826072 31.3214399, 121.3829083 31.3214976, 121.3828638 31.3216674, 121.3832892 31.3217489, 121.3832367 31.3219491, 121.3825549 31.3218185))","[6542708159, 6542708160, 6542708161, 6542708162, 6542708163, 6542708164, 6542708165, 6542708166, 6542708159]",university,上海大学出版社,,,,,,,,,,,,,,,,,,,,,,,
way,696699090,"POLYGON ((121.3842291 31.3180131, 121.3842417 31.3178445, 121.3839042 31.3178261, 121.3838822 31.3181211, 121.384065 31.318131, 121.3840744 31.3180047, 121.3842291 31.3180131))","[6542708169, 6542708170, 6542708171, 6542708172, 6542708173, 6542708174, 6542708169]",yes,上大浴室,,2,,,,,,,,public_bath,no,no,15:30-23:30,,,,,,,,,,
way,696699091,"POLYGON ((121.3835487 31.3176282, 121.3835338 31.3178294, 121.3831235 31.3178072, 121.3831385 31.317606, 121.3835487 31.3176282))","[6542708175, 6542708176, 6542708177, 6542708178, 6542708175]",retail,,,,,,,,,,,,,,,,,,,,,,,,
way,696699093,"POLYGON ((121.3908811 31.3226323, 121.3909068 31.3223571, 121.3903633 31.32232, 121.3903613 31.3223416, 121.3899529 31.3223137, 121.3899274 31.3225865, 121.3905122 31.3226263, 121.390514 31.3226073, 121.3908811 31.3226323))","[6542708192, 6542708193, 9110301329, 9110301328, 6542708194, 6542708195, 9110301331, 9110301330, 6542708192]",university,材料复合研究中心,,,,,,,,,,,,,,,,,,,,,,,
way,696699094,"POLYGON ((121.3895891 31.3224417, 121.3896003 31.3223129, 121.3893842 31.3222994, 121.3893731 31.3224281, 121.3895891 31.3224417))","[6542708196, 6542708197, 6542708198, 6542708199, 6542708196]",university,锅炉房,,,,,,,,,,,,,,,,,,,,,,,
way,696699095,"POLYGON ((121.3892479 31.3222295, 121.3892489 31.3221591, 121.3889416 31.3221559, 121.3889406 31.3222263, 121.3892479 31.3222295))","[6542708200, 6542708201, 6542708202, 6542708203, 6542708200]",university,红光基地南楼,,,,,,,,,,,,,,,,,,,,,,,
way,696699096,"POLYGON ((121.3889112 31.3222421, 121.3889123 31.3221558, 121.3886927 31.3221536, 121.3886916 31.3222399, 121.3889112 31.3222421))","[6542708204, 6542708205, 6542708206, 6542708207, 6542708204]",university,,,,,,,,,,,,,,,,,,,,,,,,
