u,v,key,osmid,name,highway,oneway,reversed,length,lanes,bridge,geometry,tunnel
6542708098,6542708114,0,696699081,,footway,False,False,40.875,,,"LINESTRING (121.3875867 31.3143759, 121.3874446 31.3142098, 121.3873093 31.3140965)",
6542708098,622400437,0,759322198,南外环路,unclassified,False,False,353.365,2,,"LINESTRING (121.3875867 31.3143759, 121.387686 31.3143221, 121.3877946 31.3142522, 121.3880119 31.3140826, 121.3881983 31.3139738, 121.3883042 31.3139279, 121.388429 31.3138867, 121.3885684 31.3138512, 121.3887106 31.3138294, 121.388846 31.3138214, 121.3889936 31.3138271, 121.3896681 31.3138603, 121.3909298 31.3139548, 121.3911015 31.3139949)",
6542708098,6541410590,0,759322198,南外环路,unclassified,False,True,119.15199999999999,2,,"LINESTRING (121.3875867 31.3143759, 121.3874748 31.3144223, 121.38735 31.3144618, 121.387236 31.3144893, 121.3871174 31.3145077, 121.3869926 31.314514, 121.3868532 31.3145128, 121.386361 31.3144836)",
6542708102,6542708115,0,696699081,,footway,False,False,19.806,,,"LINESTRING (121.3872207 31.3139877, 121.3870869 31.3138511)",
6542708102,6542708115,1,696699082,,footway,False,True,32.824,,,"LINESTRING (121.3872207 31.3139877, 121.387237 31.3139443, 121.3872593 31.3138974, 121.3872675 31.313854, 121.3871862 31.3138453, 121.3870869 31.3138511)",
6542708102,6542708114,0,696699081,,footway,False,True,15.358,,,"LINESTRING (121.3872207 31.3139877, 121.387237 31.3140346, 121.3872878 31.3140884, 121.3873093 31.3140965)",
6542708114,6542708102,0,696699081,,footway,False,False,15.358,,,"LINESTRING (121.3873093 31.3140965, 121.3872878 31.3140884, 121.387237 31.3140346, 121.3872207 31.3139877)",
6542708114,6542708098,0,696699081,,footway,False,True,40.875,,,"LINESTRING (121.3873093 31.3140965, 121.3874446 31.3142098, 121.3875867 31.3143759)",
6542708114,6542708115,0,696699081,,footway,False,True,177.75799999999998,,,"LINESTRING (121.3873093 31.3140965, 121.3871922 31.3141631, 121.3870073 31.3141648, 121.3866231 31.3141318, 121.3865824 31.3140936, 121.3864869 31.3139859, 121.3864483 31.3138783, 121.3864971 31.3137584, 121.3865763 31.3137063, 121.3867308 31.3137011, 121.3869138 31.3137393, 121.3870744 31.3138383, 121.3870869 31.3138511)",
6542708115,6542708102,0,696699081,,footway,False,True,19.806,,,"LINESTRING (121.3870869 31.3138511, 121.3872207 31.3139877)",
6542708115,6542708102,1,696699082,,footway,False,False,32.824,,,"LINESTRING (121.3870869 31.3138511, 121.3871862 31.3138453, 121.3872675 31.313854, 121.3872593 31.3138974, 121.387237 31.3139443, 121.3872207 31.3139877)",
6542708115,6542708114,0,696699081,,footway,False,False,177.758,,,"LINESTRING (121.3870869 31.3138511, 121.3870744 31.3138383, 121.3869138 31.3137393, 121.3867308 31.3137011, 121.3865763 31.3137063, 121.3864971 31.3137584, 121.3864483 31.3138783, 121.3864869 31.3139859, 121.3865824 31.3140936, 121.3866231 31.3141318, 121.3870073 31.3141648, 121.3871922 31.3141631, 121.3873093 31.3140965)",
6544027567,9671443518,0,696817186,,path,False,True,49.405,,,"LINESTRING (121.3843759 31.3143591, 121.384336 31.3148021)",
6544027567,622398761,0,759322198,南外环路,unclassified,False,False,24.955,2,,"LINESTRING (121.3843759 31.3143591, 121.3846383 31.3143696)",
6544027567,9281135101,0,759322198,南外环路,unclassified,False,True,105.495,2,,"LINESTRING (121.3843759 31.3143591, 121.3832676 31.3142993)",
6546722322,6536367323,0,"[697065788, 993986741, 697065790]",,footway,False,False,71.43700000000001,,yes,"LINESTRING (121.3868762 31.322089, 121.3868844 31.321997, 121.3869027 31.3217936, 121.3868454 31.3214509)",
6546722322,9183275299,0,697065801,,service,False,False,89.705,,,"LINESTRING (121.3868762 31.322089, 121.3870235 31.3221025, 121.3870637 31.3221151, 121.3870852 31.3221346, 121.3870986 31.3221701, 121.3871013 31.3222136, 121.3870811 31.3224233, 121.3870597 31.3224634, 121.3870329 31.3224783, 121.3869926 31.3224828, 121.3867365 31.3224657)",
6546722322,9183275311,0,697065801,,service,False,True,120.0,,,"LINESTRING (121.3868762 31.322089, 121.386188 31.3220521, 121.3860458 31.3220372, 121.385626 31.3219558)",
7010443142,6541390236,0,696557602,,path,False,True,117.599,,,"LINESTRING (121.386547 31.3163376, 121.3853177 31.3162128)",
7010443142,622398269,0,696557568,泮池南路,unclassified,False,False,91.688,2,,"LINESTRING (121.386547 31.3163376, 121.3866467 31.3162332, 121.386753 31.3161336, 121.3868655 31.3160392, 121.3869839 31.3159501, 121.3870861 31.3158685, 121.3871935 31.3157919, 121.3872372 31.3157642)",
7010443142,9054860486,0,696557568,泮池南路,unclassified,False,True,29.979,2,,"LINESTRING (121.386547 31.3163376, 121.3864541 31.3164466, 121.3863683 31.3165597)",
7613784379,7613802390,0,815114956,,living_street,False,True,91.4,,,"LINESTRING (121.3822159 31.3137707, 121.3821443 31.3145904)",
7613802389,7613802416,0,815114956,,living_street,False,False,18.373,,,"LINESTRING (121.3821034 31.3150477, 121.3821165 31.3149108, 121.3821189 31.314883)",
7613802389,7613802415,0,815114957,,footway,False,False,19.770999999999997,,,"LINESTRING (121.3821034 31.3150477, 121.3820157 31.3150257, 121.38194 31.3149809, 121.3819258 31.3149637)",
7613802390,7613784379,0,815114956,,living_street,False,False,91.4,,,"LINESTRING (121.3821443 31.3145904, 121.3822159 31.3137707)",
7613802390,7613802398,0,815114956,,living_street,False,True,16.859,,,"LINESTRING (121.3821443 31.3145904, 121.3821312 31.3147416)",
7613802390,7613802395,0,815114957,,footway,False,True,20.384,,,"LINESTRING (121.3821443 31.3145904, 121.3820528 31.3145992, 121.3819702 31.314634, 121.3819491 31.3146527)",
7613802393,7613802394,0,815114958,,footway,False,False,24.679,,,"LINESTRING (121.381865 31.3148062, 121.3821241 31.3148224)",
7613802393,7613802395,0,815114957,,footway,False,False,19.48,,,"LINESTRING (121.381865 31.3148062, 121.3818688 31.3147625, 121.3819063 31.3146907, 121.3819491 31.3146527)",
7613802393,7613802415,0,815114957,,footway,False,True,19.036,,,"LINESTRING (121.381865 31.3148062, 121.3818619 31.314841, 121.3818867 31.3149168, 121.3819258 31.3149637)",
7613802394,7613802398,0,815114956,,living_street,False,False,9.01,,,"LINESTRING (121.3821241 31.3148224, 121.3821312 31.3147416)",
7613802394,7613802416,0,815114956,,living_street,False,True,6.757,,,"LINESTRING (121.3821241 31.3148224, 121.3821189 31.314883)",
7613802394,7613802393,0,815114958,,footway,False,True,24.679,,,"LINESTRING (121.3821241 31.3148224, 121.381865 31.3148062)",
7613802395,7613802390,0,815114957,,footway,False,False,20.384,,,"LINESTRING (121.3819491 31.3146527, 121.3819702 31.314634, 121.3820528 31.3145992, 121.3821443 31.3145904)",
7613802395,7613802393,0,815114957,,footway,False,True,19.48,,,"LINESTRING (121.3819491 31.3146527, 121.3819063 31.3146907, 121.3818688 31.3147625, 121.381865 31.3148062)",
7613802395,7613802398,0,815114959,,footway,False,False,20.601,,,"LINESTRING (121.3819491 31.3146527, 121.3820007 31.3147001, 121.382059 31.314729, 121.3821312 31.3147416)",
7613802398,7613802390,0,815114956,,living_street,False,False,16.859,,,"LINESTRING (121.3821312 31.3147416, 121.3821443 31.3145904)",
7613802398,7613802394,0,815114956,,living_street,False,True,9.01,,,"LINESTRING (121.3821312 31.3147416, 121.3821241 31.3148224)",
7613802398,7613802405,0,815114959,,footway,False,False,43.91,,,"LINESTRING (121.3821312 31.3147416, 121.3821945 31.3147419, 121.3822697 31.3147242, 121.382345 31.3147113, 121.3824146 31.314729, 121.3824654 31.3147644, 121.3824974 31.3148223, 121.3825049 31.314848)",
7613802398,7613802395,0,815114959,,footway,False,True,20.601,,,"LINESTRING (121.3821312 31.3147416, 121.382059 31.314729, 121.3820007 31.3147001, 121.3819491 31.3146527)",
7613802405,7613802398,0,815114959,,footway,False,True,43.91,,,"LINESTRING (121.3825049 31.314848, 121.3824974 31.3148223, 121.3824654 31.3147644, 121.3824146 31.314729, 121.382345 31.3147113, 121.3822697 31.3147242, 121.3821945 31.3147419, 121.3821312 31.3147416)",
7613802405,7613802416,0,815114960,,footway,False,False,43.798,,,"LINESTRING (121.3825049 31.314848, 121.3824726 31.3149013, 121.3824006 31.3149472, 121.3823352 31.3149528, 121.3822736 31.3149462, 121.3822022 31.3149176, 121.3821363 31.3148838, 121.3821189 31.314883)",
7613802405,9671443518,0,"[1052370504, 1052370505, 815114961, 1052370503]",,"['steps', 'footway']",False,False,190.828,,yes,"LINESTRING (121.3825049 31.314848, 121.3826542 31.3148564, 121.3832394 31.3148894, 121.3832501 31.3147327, 121.3834161 31.3147414, 121.384336 31.3148021)",
7613802415,7613802393,0,815114957,,footway,False,False,19.036,,,"LINESTRING (121.3819258 31.3149637, 121.3818867 31.3149168, 121.3818619 31.314841, 121.381865 31.3148062)",
7613802415,7613802389,0,815114957,,footway,False,True,19.771,,,"LINESTRING (121.3819258 31.3149637, 121.38194 31.3149809, 121.3820157 31.3150257, 121.3821034 31.3150477)",
7613802415,7613802416,0,815114960,,footway,False,True,21.658,,,"LINESTRING (121.3819258 31.3149637, 121.3819492 31.3149446, 121.3820021 31.3148992, 121.3820638 31.3148805, 121.3821189 31.314883)",
7613802416,7613802394,0,815114956,,living_street,False,False,6.757,,,"LINESTRING (121.3821189 31.314883, 121.3821241 31.3148224)",
7613802416,7613802389,0,815114956,,living_street,False,True,18.373,,,"LINESTRING (121.3821189 31.314883, 121.3821165 31.3149108, 121.3821034 31.3150477)",
7613802416,7613802415,0,815114960,,footway,False,False,21.658,,,"LINESTRING (121.3821189 31.314883, 121.3820638 31.3148805, 121.3820021 31.3148992, 121.3819492 31.3149446, 121.3819258 31.3149637)",
7613802416,7613802405,0,815114960,,footway,False,True,43.798,,,"LINESTRING (121.3821189 31.314883, 121.3821363 31.3148838, 121.3822022 31.3149176, 121.3822736 31.3149462, 121.3823352 31.3149528, 121.3824006 31.3149472, 121.3824726 31.3149013, 121.3825049 31.314848)",
8983186648,8983186652,0,696557634,,footway,False,True,60.135,,,"LINESTRING (121.3899298 31.3180958, 121.3896337 31.3185738)",
8983186648,6541410672,0,696557634,,footway,False,False,61.760999999999996,,,"LINESTRING (121.3899298 31.3180958, 121.3902431 31.3177327, 121.3902904 31.3176365)",
8983186648,6541410743,0,696557636,,service,False,False,66.544,,,"LINESTRING (121.3899298 31.3180958, 121.3900452 31.3181502, 121.3901921 31.3182354, 121.3905124 31.3184272)",
8983186648,6541410738,0,696557636,,service,False,True,108.693,,,"LINESTRING (121.3899298 31.3180958, 121.3898143 31.3180935, 121.389572 31.3180932, 121.3893905 31.318143, 121.3887964 31.3181052)",
8983186649,6541410611,0,696557614,,service,False,True,45.874,,,"LINESTRING (121.391549 31.3158579, 121.3919567 31.316079)",
8983186649,6541410616,0,696557614,,service,False,False,159.163,,,"LINESTRING (121.391549 31.3158579, 121.3912278 31.3156912, 121.3911326 31.3156614, 121.3904567 31.3156351, 121.3901952 31.3154879, 121.3900211 31.3153899)",
8983186649,8983186650,0,"[970631562, 970631564, 696557615]",,footway,False,False,57.275999999999996,,,"LINESTRING (121.391549 31.3158579, 121.3914242 31.3160187, 121.3913905 31.3160647, 121.3913664 31.3160975, 121.3913105 31.3161666, 121.3912358 31.316297)",
8983186649,6541410617,0,"[970631562, 970631563, 970631565]",,footway,False,True,61.535,,,"LINESTRING (121.391549 31.3158579, 121.3917322 31.315622, 121.3917666 31.3155775, 121.391907 31.3153967)",
8983186650,6541410632,0,696557616,,service,False,True,43.829,,,"LINESTRING (121.3912358 31.316297, 121.3916198 31.3165155)",
8983186650,8983186651,0,"[970631567, 970631566, 696557615]",,footway,False,False,59.684,,,"LINESTRING (121.3912358 31.316297, 121.3911419 31.316461, 121.391114 31.3165096, 121.3911013 31.3165318, 121.3909281 31.316764)",
8983186650,8983186649,0,"[970631562, 970631564, 696557615]",,footway,False,True,57.275999999999996,,,"LINESTRING (121.3912358 31.316297, 121.3913105 31.3161666, 121.3913664 31.3160975, 121.3913905 31.3160647, 121.3914242 31.3160187, 121.391549 31.3158579)",
8983186650,6541410626,0,696557616,,service,False,False,161.136,,,"LINESTRING (121.3912358 31.316297, 121.3908993 31.316114, 121.390855 31.3161014, 121.3901161 31.3160567, 121.3898799 31.3159223, 121.3896917 31.3158152)",
8983186651,6541410627,0,696557617,,service,False,True,39.658,,,"LINESTRING (121.3909281 31.316764, 121.3912765 31.3169605)",
8983186651,6541410631,0,696557617,,service,False,False,165.036,,,"LINESTRING (121.3909281 31.316764, 121.3905747 31.3165654, 121.3904956 31.3165402, 121.3897996 31.3165001, 121.389558 31.3163637, 121.3893555 31.3162494)",
8983186651,6541410621,0,"[970631568, 970631569, 970631566]",,footway,False,False,32.902,,,"LINESTRING (121.3909281 31.316764, 121.3908314 31.3168936, 121.3907954 31.3169384, 121.3907373 31.3170109)",
8983186651,8983186650,0,"[696557615, 970631566, 970631567]",,footway,False,True,59.684,,,"LINESTRING (121.3909281 31.316764, 121.3911013 31.3165318, 121.391114 31.3165096, 121.3911419 31.316461, 121.3912358 31.316297)",
8983186652,8983186648,0,696557634,,footway,False,False,60.135,,,"LINESTRING (121.3896337 31.3185738, 121.3899298 31.3180958)",
8983186652,8983186653,0,696557634,,footway,False,True,44.534,,,"LINESTRING (121.3896337 31.3185738, 121.3893667 31.318903)",
8983186652,6541410736,0,696557635,,service,False,False,63.108000000000004,,,"LINESTRING (121.3896337 31.3185738, 121.389857 31.3186137, 121.3899515 31.3187349, 121.3901798 31.3188511)",
8983186652,6541410729,0,696557635,,service,False,True,136.282,,,"LINESTRING (121.3896337 31.3185738, 121.3895442 31.3185578, 121.3893041 31.3185454, 121.389075 31.3186137, 121.3885549 31.3185702, 121.3882533 31.3184409)",
8983186653,8983186652,0,696557634,,footway,False,False,44.534,,,"LINESTRING (121.3893667 31.318903, 121.3896337 31.3185738)",
8983186653,6541410727,0,696557634,,footway,False,True,14.678,,,"LINESTRING (121.3893667 31.318903, 121.3892787 31.3190115)",
8983186653,6541410712,0,"[696557633, 696557630]",,footway,False,True,146.26899999999998,,,"LINESTRING (121.3893667 31.318903, 121.3891877 31.318825, 121.3884536 31.3187843, 121.3884238 31.319036, 121.3883565 31.3191966, 121.3883533 31.3192883)",
9054860482,9054860486,0,696557568,泮池南路,unclassified,False,False,47.099,2,,"LINESTRING (121.3861484 31.3169388, 121.386213 31.3168089, 121.3862864 31.3166823, 121.3863683 31.3165597)",
