u,v,key,osmid,highway,maxspeed,oneway,reversed,length,geometry,lanes,name,bridge,tunnel,access,service
6305075446,7759808695,0,831068561,unclassified,20,False,False,9.514,"LINESTRING (116.1461498 40.2488343, 116.1462014 40.2488199, 116.1462469 40.2487935)",,,,,,
6305075446,7759502676,0,1086695186,unclassified,20,False,True,30.54,"LINESTRING (116.1461498 40.2488343, 116.145977 40.2488565, 116.145797 40.2488878)",,,,,,
6305075446,6305075180,0,1123237118,unclassified,20,False,False,49.563,"LINESTRING (116.1461498 40.2488343, 116.1460287 40.2486858, 116.1458227 40.2484653)",2,博学大道,,,,
6305075451,9956795238,0,673274045,service,5,False,True,3.008,"LINESTRING (116.1447582 40.2511233, 116.1447561 40.2510963)",,,,,,
6305075451,7772301904,0,673329013,footway,,False,True,23.018,"LINESTRING (116.1447582 40.2511233, 116.1447702 40.2513301)",,,,,,
6305075451,7772301912,0,673276053,unclassified,,False,False,10.076,"LINESTRING (116.1447582 40.2511233, 116.1447354 40.2511247, 116.1446398 40.25113)",,,,,,
6305075451,9105666646,0,1086665264,unclassified,20,False,True,57.952999999999996,"LINESTRING (116.1447582 40.2511233, 116.1453682 40.2511011, 116.1454403 40.2510985)",,,,,,
6305103591,7588367246,0,673276075,footway,,False,False,5.449,"LINESTRING (116.1416981 40.2514424, 116.1416985 40.2513934)",,,,,,
6305103591,9979144830,0,812421561,unclassified,20,False,False,4.176,"LINESTRING (116.1416981 40.2514424, 116.1417473 40.251442)",,,,,,
6305103591,7772395557,0,812421561,unclassified,20,False,True,84.758,"LINESTRING (116.1416981 40.2514424, 116.1407398 40.2514378, 116.1406994 40.2514376)",,,,,,
6305103592,7588367265,0,812421561,unclassified,20,False,False,6.125,"LINESTRING (116.1425996 40.2514357, 116.1426716 40.2514395)",,,,,,
6305103592,9979144830,0,812421561,unclassified,20,False,True,72.335,"LINESTRING (116.1425996 40.2514357, 116.1417473 40.251442)",,,,,,
6305103592,7588367236,0,673276079,footway,,False,False,5.531,"LINESTRING (116.1425996 40.2514357, 116.1425984 40.2514022, 116.1425948 40.2513862)",,,,,,
6305103593,7588367257,0,673279451,footway,,False,False,5.642,"LINESTRING (116.143124 40.2514427, 116.1431267 40.2514934)",,,,,,
6305103593,6305629461,0,"[812421562, 673276053]",unclassified,20,False,"[False, True]",101.234,"LINESTRING (116.143124 40.2514427, 116.1431881 40.251429, 116.1432381 40.2514135, 116.1433085 40.2513736, 116.1433686 40.2513321, 116.1434346 40.2512845, 116.1434894 40.2512488, 116.1435302 40.2512309, 116.1435721 40.2512122, 116.1436339 40.2511945, 116.1437042 40.2511798, 116.1437814 40.2511755, 116.1440424 40.2511621, 116.1441656 40.2511552, 116.1441857 40.2511547, 116.1442093 40.2511542)",,,,,,
6305103593,6305105281,0,812421562,unclassified,20,False,True,4.954,"LINESTRING (116.143124 40.2514427, 116.1430897 40.2514444, 116.1430657 40.251444)",,,,,,
6305105192,6305105193,0,673276066,footway,5,False,False,10.769,"LINESTRING (116.1389955 40.2500894, 116.139108 40.2500446)",,,,,,
6305105192,6305075417,0,673276066,footway,5,False,True,19.27,"LINESTRING (116.1389955 40.2500894, 116.138821 40.250083, 116.1387687 40.2500811)",,,,,,
6305105192,6305105196,0,673328968,footway,,False,False,40.620000000000005,"LINESTRING (116.1389955 40.2500894, 116.1392128 40.2501088, 116.1394637 40.2500572)",,,,,,
6305105193,6305105192,0,673276066,footway,5,False,True,10.769,"LINESTRING (116.139108 40.2500446, 116.1389955 40.2500894)",,,,,,
6305105193,6305629109,0,673276066,footway,5,False,False,18.787,"LINESTRING (116.139108 40.2500446, 116.1391754 40.2500308, 116.1392578 40.2500304, 116.1393228 40.2500485)",,,,,,
6305105193,6305629108,0,673328969,footway,,False,False,28.846000000000004,"LINESTRING (116.139108 40.2500446, 116.1388215 40.2500497, 116.1387682 40.2500507)",,,,,,
6305105196,6305629109,0,673276066,footway,5,False,True,11.997,"LINESTRING (116.1394637 40.2500572, 116.1393228 40.2500485)",,,,,,
6305105196,6305105197,0,673276066,footway,5,False,False,21.236,"LINESTRING (116.1394637 40.2500572, 116.1396509 40.2500484, 116.1397133 40.2500529)",,,,,,
