element_type,osmid,geometry,nodes,building:colour,building:levels,height,name,name:zh,name:zh-Hans,name:zh-Hant,roof:colour,roof:shape,addr:housename,building,layer,roof:material,building:material,ref,roof:height,roof:levels,amenity,bench,bin,lit,shelter_type,capacity,man_made,content,office,material,construction,building:level,building:prefabricated,ways,type,note,healthcare
way,944919550,"POLYGON ((116.141333 40.2523678, 116.141302 40.2522761, 116.1411807 40.2520464, 116.1411981 40.2520397, 116.1412759 40.2521721, 116.1414024 40.2521985, 116.1413919 40.2521359, 116.1413983 40.2520668, 116.1414175 40.2520289, 116.1414571 40.2519999, 116.1415322 40.2519827, 116.1416174 40.2519999, 116.1416825 40.2520286, 116.1417433 40.2520818, 116.1417725 40.252135, 116.141787 40.2521838, 116.1418236 40.2523326, 116.1418205 40.2523629, 116.1417401 40.2524634, 116.1416905 40.252488, 116.14165 40.2524957, 116.1415836 40.2524946, 116.1414921 40.2524733, 116.1414431 40.2524649, 116.1413723 40.2524563, 116.1413496 40.252441, 116.141333 40.2523678))","[8747915690, 9979144850, 9105698551, 8747915691, 9979144855, 9979144854, 9979144856, 9979144857, 9979144858, 9105698552, 9979144851, 8747915692, 9979144852, 9105698548, 9979144853, 9105698549, 9105698550, 9105698557, 9105698556, 9105698555, 9105698554, 9979144846, 9979144847, 9979144848, 9979144849, 8747915693, 8747915690]",,,,校史博物馆,校史博物馆,校史博物馆,校史博物館,,,,museum,,,,,,,,,,,,,,,,,,,,,,,
way,961218118,"POLYGON ((116.1389262 40.2533188, 116.1388814 40.2528013, 116.1393984 40.2527753, 116.1394074 40.2528787, 116.1390347 40.2528975, 116.1390588 40.2531757, 116.1394271 40.2531572, 116.1394389 40.253293, 116.1389262 40.2533188))","[8891766420, 8891766421, 8891766422, 8891766425, 8891766427, 8891766426, 8891766424, 8891766423, 8891766420]",,5,,紫竹苑11号楼,紫竹苑11号楼,紫竹苑11号楼,紫竹苑11號樓,,,,dormitory,,,,11,,,,,,,,,,,,,,,,,,,
way,961218119,"POLYGON ((116.1389866 40.254134, 116.1389419 40.2536165, 116.1394589 40.2535905, 116.1394678 40.2536939, 116.1390951 40.2537127, 116.1391192 40.2539909, 116.1394875 40.2539724, 116.1394993 40.2541082, 116.1389866 40.254134))","[8891766428, 8891766429, 8891766430, 8891766431, 8891766432, 8891766433, 8891766434, 8891766435, 8891766428]",,5,,紫竹苑宿舍楼,紫竹苑宿舍楼,紫竹苑宿舍楼,紫竹苑宿舍樓,,,,dormitory,,,,,,,,,,,,,,,,,,,,,,,
way,961218120,"POLYGON ((116.1404088 40.2541593, 116.139786 40.254161, 116.1397854 40.2540501, 116.1404082 40.2540483, 116.1404088 40.2541593))","[8891766437, 8891766438, 8891766439, 8891766440, 8891766437]",,5,,紫竹苑宿舍楼,紫竹苑宿舍楼,紫竹苑宿舍楼,紫竹苑宿舍樓,,,,dormitory,,,,,,,,,,,,,,,,,,,,,,,
way,961218121,"POLYGON ((116.1402304 40.2527442, 116.1402896 40.2532608, 116.1397735 40.2532953, 116.1397617 40.2531921, 116.1401337 40.2531672, 116.1401018 40.2528894, 116.1397341 40.252914, 116.1397185 40.2527783, 116.1402304 40.2527442))","[8891766444, 8891766445, 8891766446, 8891766447, 8891766448, 8891766449, 8891766450, 8891766451, 8891766444]",,5,,紫竹苑12号楼,紫竹苑12号楼,紫竹苑12号楼,紫竹苑12號樓,,,,dormitory,,,,12,,,,,,,,,,,,,,,,,,,
way,993004507,"POLYGON ((116.146404 40.2488918, 116.1463579 40.2488323, 116.1463929 40.2488165, 116.1464389 40.248876, 116.146404 40.2488918))","[9174041466, 9174041467, 9174041468, 9174041469, 9174041466]",,,,,,,,,,,yes,,,,,,,fire_station,,,,,,,,,,,,,,,,
way,993004508,"POLYGON ((116.1462114 40.2487227, 116.1461823 40.2486831, 116.1463269 40.2486214, 116.146356 40.248661, 116.1462114 40.2487227))","[9174041470, 9174041471, 9174041472, 9174041473, 9174041470]",,,,,,,,,,,industrial,,,,,,,,,,,,,,,,,,,,,,,
way,993004509,"POLYGON ((116.1448763 40.2511735, 116.1448727 40.2511359, 116.1447828 40.251141, 116.1447864 40.2511785, 116.1448763 40.2511735))","[9174041476, 9174041477, 9174041478, 9174041479, 9174041476]",,,,,,,,,,,yes,,,,,,,fire_station,,,,,,,,,,,,,,,,
way,1056196991,"POLYGON ((116.1404872 40.2475924, 116.1404894 40.2474857, 116.1405574 40.2474866, 116.1405551 40.2475933, 116.1404872 40.2475924))","[9705067669, 9705067670, 9705067671, 9705067672, 9705067669]",gray,1,3,,,,,white,gabled,,industrial,,,,,,,,,,,,,,,,,,,,,,,
way,1056196999,"POLYGON ((116.1404877 40.2491337, 116.1404877 40.2491018, 116.1405091 40.2491025, 116.14051 40.2491337, 116.1404877 40.2491337))","[9705067703, 9705067704, 9705067705, 9705067706, 9705067703]",,,,温室,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
way,1056197001,"POLYGON ((116.1405667 40.2491159, 116.1405666 40.2491186, 116.1405654 40.2491212, 116.1405631 40.2491233, 116.14056 40.2491248, 116.1405565 40.2491253, 116.1405529 40.249125, 116.1405498 40.2491238, 116.1405473 40.2491219, 116.1405458 40.2491196, 116.1405453 40.2491169, 116.140546 40.2491143, 116.1405477 40.249112, 116.1405503 40.2491102, 116.1405535 40.2491092, 116.1405569 40.249109, 116.1405603 40.2491096, 116.1405633 40.2491111, 116.1405655 40.2491133, 116.1405667 40.2491159))","[9705077322, 9705077323, 9705077324, 9705077325, 9705077326, 9705077327, 9705067709, 9705067710, 9705067711, 9705067715, 9705067716, 9705077317, 9705077318, 9705077319, 9705077320, 9705077321, 9705067712, 9705067713, 9705067714, 9705077322]",,,3,,,,,,,,yes,,,,,,,,,,,,,storage_tank,sewage,,,,,,,,,
