element_type,osmid,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,fixme,nodes,amenity,cuisine,internet_access,internet_access:fee,name:en,outdoor_seating,shop,building:levels,office,fast_food,healthcare,healthcare:speciality,website
way,399018596,apartments,26号楼,26号楼,26号楼,26號樓,"POLYGON ((116.3542222 39.9623695, 116.3544192 39.962371, 116.3544186 39.9624237, 116.3545595 39.9624248, 116.3545614 39.9622809, 116.3543458 39.9622793, 116.3543464 39.9622337, 116.3542239 39.9622328, 116.3542222 39.9623695))",,"[4017586308, 4017586309, 4017586310, 4017586311, 4017586312, 4017586313, 4017586314, 4017586315, 4017586308]",,,,,,,,,,,,,
way,399038556,apartments,,,,,"POLYGON ((116.3526406 39.9578182, 116.3531992 39.9578298, 116.353203 39.9576417, 116.3526519 39.957633, 116.3526406 39.9578182))",,"[4017759232, 4017759233, 4017759234, 4017759235, 4017759232]",,,,,,,,,,,,,
way,399038557,apartments,21号楼,21号楼,21号楼,21號樓,"POLYGON ((116.3526816 39.9573814, 116.3529949 39.9573901, 116.3530024 39.9572599, 116.3526854 39.9572512, 116.3526816 39.9573814))",,"[4017759236, 4017759237, 4017759238, 4017759239, 4017759236]",,,,,,,,,,,,,
way,399038558,apartments,13号楼,13号楼,13号楼,13號樓,"POLYGON ((116.353031 39.9574937, 116.3536613 39.9574937, 116.3536673 39.9573983, 116.353031 39.9574012, 116.353031 39.9574937))",,"[4017759240, 4017759241, 4017759242, 4017759243, 4017759240]",,,,,,,,,,,,,
way,399038559,apartments,,,,,"POLYGON ((116.3534115 39.9579651, 116.3534128 39.9578236, 116.35412 39.9578205, 116.3542855 39.9578177, 116.3542874 39.9579042, 116.3544905 39.9579027, 116.3544905 39.9580036, 116.3542911 39.958008, 116.3542893 39.9579532, 116.3534115 39.9579651))",,"[4017759244, 4017759245, 4017759246, 4017759247, 4017759248, 4017759249, 4017759250, 4017759251, 4017759252, 4017759244]",,,,,,,,,,,,,
way,399038560,apartments,,,,,"POLYGON ((116.3534366 39.9582802, 116.3534366 39.9581779, 116.3538109 39.9581735, 116.3538109 39.9582182, 116.3547251 39.9582182, 116.3547251 39.9583148, 116.3538072 39.9583148, 116.3538053 39.9582745, 116.3534366 39.9582802))",,"[4017759253, 4017759254, 4017759255, 4017759256, 4017759257, 4017759258, 4017759259, 4017759260, 4017759253]",,,,,,,,,,,,,
way,399038561,apartments,19号楼,19号楼,19号楼,19號樓,"POLYGON ((116.3525149 39.9586829, 116.3531693 39.9586912, 116.3531908 39.9585966, 116.3525149 39.9585801, 116.3525149 39.9586829))",,"[4017759261, 4017759262, 4017759263, 4017759264, 4017759261]",,,,,,,,,,,,,
way,399038562,house,科学会堂,科学会堂,科学会堂,科學會堂,"POLYGON ((116.3526303 39.9601659, 116.3530219 39.9601741, 116.3530574 39.9595863, 116.3526464 39.9595862, 116.3526303 39.9601659))",,"[4017759265, 4017759266, 4017759267, 4017759268, 4017759265]",,,,,,,,,,,,,
way,399041101,apartments,11号楼,11号楼,11号楼,11號樓,"POLYGON ((116.3518814 39.956939, 116.3526779 39.9569472, 116.3526779 39.9568359, 116.351876 39.9568317, 116.3518814 39.956939))",,"[4017781502, 4017781503, 4017781504, 4017781505, 4017781502]",,,,,,,,,,,,,
way,399041102,yes,北京邮电大学幼儿园,北京邮电大学幼儿园,北京邮电大学幼儿园,北京郵電大學幼儿園,"POLYGON ((116.3528073 39.9582132, 116.3528046 39.9580734, 116.3530514 39.9580816, 116.353046 39.9580446, 116.3532767 39.9580507, 116.3532659 39.9582091, 116.3533491 39.958207, 116.3533464 39.9582625, 116.3532472 39.9582625, 116.3532472 39.9583304, 116.3530299 39.9583283, 116.3530353 39.9582152, 116.3528073 39.9582132))",,"[4017781506, 4017781507, 4017781508, 4017781509, 4017781510, 4017781511, 4017781512, 4017781513, 4017781514, 4017781515, 4017781516, 4017781517, 4017781506]",childcare,,,,,,,,,,,,
way,399041103,apartments,,,,,"POLYGON ((116.3546688 39.9579753, 116.3548892 39.957984, 116.354912 39.9574365, 116.3546878 39.9574336, 116.3546688 39.9579753))",,"[4017781518, 4017781519, 4017781520, 4017781521, 4017781518]",,,,,,,,,,,,,
way,399041104,house,,,,,"POLYGON ((116.3538119 39.9577485, 116.3538145 39.957658, 116.3538575 39.9576601, 116.3538601 39.9575326, 116.3540211 39.9575367, 116.354013 39.9577526, 116.3538119 39.9577485))",,"[4017781522, 4017781523, 4017781524, 4017781525, 4017781526, 4017781527, 4017781522]",,,,,,,,,,,,,
way,399042378,apartments,23号楼,23号楼,23号楼,23號樓,"POLYGON ((116.3525293 39.9635553, 116.3530992 39.9635699, 116.3531068 39.9634359, 116.3525255 39.9634243, 116.3525293 39.9635553))",,"[4017787594, 4017787595, 4017787596, 4017787597, 4017787594]",,,,,,,,,,,,,
way,399042379,apartments,24号楼,24号楼,24号楼,24號樓,"POLYGON ((116.3531828 39.9635728, 116.3544784 39.9636136, 116.3544898 39.963468, 116.3531866 39.9634301, 116.3531828 39.9635728))",,"[4017787598, 4017787599, 4017787600, 4017787601, 4017787598]",,,,,,,,,,,,,
way,399046289,university,教三楼,教三楼,教三楼,教三樓,"POLYGON ((116.349515 39.9592074, 116.3495257 39.958899, 116.3495472 39.9588373, 116.3504001 39.9588497, 116.350384 39.9591211, 116.3505825 39.9591293, 116.350604 39.9588538, 116.3506737 39.9588538, 116.3507542 39.958862, 116.3508132 39.9588867, 116.350899 39.9589442, 116.3509419 39.9589648, 116.3508988 39.9592792, 116.3499761 39.9592504, 116.3498635 39.9592956, 116.3497671 39.9592156, 116.349515 39.9592074))",,"[4017820155, 4017820156, 4017820157, 4017820158, 4017820159, 4017820160, 4017820161, 4017820162, 4017820163, 4017820164, 4017820165, 4017820166, 4017820167, 4017820168, 4017820169, 4017820170, 4017820155]",,,,,,,,,,,,,
way,399046290,house,,,,,"POLYGON ((116.3544072 39.9620826, 116.3545734 39.9620865, 116.3545884 39.9617175, 116.3544222 39.9617136, 116.3544072 39.9620826))",,"[4017820171, 4017820172, 4017820173, 4017820174, 4017820171]",,,,,,,,,,,,,
way,399046291,house,,,,,"POLYGON ((116.3533304 39.9569644, 116.3533278 39.9568061, 116.3539473 39.9568019, 116.3539393 39.9569644, 116.3533304 39.9569644))",,"[4017820175, 4017820176, 4017820177, 4017820178, 4017820175]",,,,,,,,,,,,,
way,399046292,university,12号楼,12号楼,12号楼,12號樓,"POLYGON ((116.3530193 39.9571268, 116.3536711 39.9571309, 116.3536738 39.9570199, 116.3532178 39.9570219, 116.3532205 39.9568061, 116.3530193 39.9568061, 116.3530193 39.9571268))",,"[4017820179, 4017820180, 4017820181, 4017820182, 4017820183, 4017820184, 4017820179]",,,,,,,,,,,,,
way,399046293,house,,,,,"POLYGON ((116.3537301 39.9571165, 116.3540788 39.9571165, 116.3540788 39.9570096, 116.3537301 39.9570117, 116.3537301 39.9571165))",,"[4017820185, 4017820186, 4017820187, 4017820188, 4017820185]",,,,,,,,,,,,,
way,582551389,yes,教工餐厅,教工餐厅,教工餐厅,教工餐廳,"POLYGON ((116.3518657 39.962363, 116.3523562 39.9623733, 116.3523854 39.9619836, 116.3521098 39.9619733, 116.3520919 39.9623098, 116.3518679 39.9623063, 116.3518657 39.962363))",,"[5571169978, 5571169979, 5571169980, 5571169981, 5571169982, 5571169983, 5571169978]",restaurant,,,,,,,,,cafeteria,,,
way,582551392,yes,北邮邮驿站,北邮邮驿站,北邮邮驿站,北郵郵驛站,"POLYGON ((116.3509591 39.963552, 116.3515541 39.9635623, 116.3515586 39.9633737, 116.3509681 39.9633634, 116.3509591 39.963552))",,"[5571169990, 5571169991, 5571169992, 5571169993, 5571169990]",,,,,,,,,,,,,
way,959801254,hospital,北京中仁中医医院,北京中仁中医医院,北京中仁中医医院,北京中仁中醫醫院,"POLYGON ((116.3542391 39.9569038, 116.3542388 39.956811, 116.3546555 39.9568102, 116.3546557 39.9569032, 116.3542391 39.9569038))",,"[8880432302, 8880432303, 8880432304, 8880432305, 8880432302]",hospital,,,,Beijing Zhongren Hospital of Traditional Chinese Medicine,,,,,,hospital,traditional_chinese_medicine,http://www.zrzyyy.com/
