u,v,key,osmid,highway,oneway,reversed,length,geometry,service
4017578097,4017578099,0,399048643,service,False,True,35.124,"LINESTRING (116.3499895 39.9627818, 116.3499693 39.9630973)",
4017578097,4017931897,0,399057341,service,False,False,81.033,"LINESTRING (116.3499895 39.9627818, 116.3509397 39.9628075)",
4017578097,4017931896,0,399057341,service,False,True,61.896,"LINESTRING (116.3499895 39.9627818, 116.3492637 39.9627622)",
4017578098,4017578099,0,399017965,service,False,False,54.892,"LINESTRING (116.3493254 39.9630859, 116.3499693 39.9630973)",
4017578099,4017578098,0,399017965,service,False,True,54.892,"LINESTRING (116.3499693 39.9630973, 116.3493254 39.9630859)",
4017578099,4017578097,0,399048643,service,False,False,35.124,"LINESTRING (116.3499693 39.9630973, 116.3499895 39.9627818)",
4017578099,4017581632,0,"[399048643, 399048645, 399048638]",service,False,"[False, True]",192.81099999999998,"LINESTRING (116.3499693 39.9630973, 116.3499422 39.9635253, 116.3509046 39.9635495, 116.3509343 39.9629825)",
4017578100,1226520295,0,106617839,service,False,False,78.823,"LINESTRING (116.3500568 39.9619329, 116.3509816 39.9619405)",
4017578100,2857344072,0,106617839,service,False,True,68.431,"LINESTRING (116.3500568 39.9619329, 116.3492546 39.9619069)",
4017578100,8821671890,0,399017966,service,False,True,49.105,"LINESTRING (116.3500568 39.9619329, 116.3500219 39.9623737)",
4017578100,4017578103,0,399017968,service,False,False,116.269,"LINESTRING (116.3500568 39.9619329, 116.3501004 39.9608878)",
4017578101,8821671890,0,399017967,service,False,False,66.197,"LINESTRING (116.3492457 39.962352, 116.3500219 39.9623737)",
4017578101,2857344072,0,399057342,service,False,False,49.499,"LINESTRING (116.3492457 39.962352, 116.3492546 39.9619069)",
4017578101,4017931898,0,399057342,service,False,True,20.073,"LINESTRING (116.3492457 39.962352, 116.3492262 39.9625319)",
4017578102,5184510898,0,281751523,service,False,False,21.833,"LINESTRING (116.3509594 39.9623989, 116.3512153 39.9624079)",
4017578102,8821671890,0,399017967,service,False,True,79.95,"LINESTRING (116.3509594 39.9623989, 116.3500219 39.9623737)",
4017578102,1226520295,0,399048646,service,False,False,51.007,"LINESTRING (116.3509594 39.9623989, 116.3509816 39.9619405)",
4017578102,4017931897,0,"[399048645, 399048646]",service,False,True,45.464999999999996,"LINESTRING (116.3509594 39.9623989, 116.3509428 39.9627408, 116.3509397 39.9628075)",
4017578103,1226520237,0,106617841,service,False,False,79.679,"LINESTRING (116.3501004 39.9608878, 116.3510338 39.9609281)",
4017578103,1226520260,0,106617841,service,False,True,67.54,"LINESTRING (116.3501004 39.9608878, 116.3493082 39.9608725)",
4017578103,4017578100,0,399017968,service,False,True,116.269,"LINESTRING (116.3501004 39.9608878, 116.3500568 39.9619329)",
4017581631,4017581632,0,399018089,service,False,False,65.938,"LINESTRING (116.3517072 39.9630092, 116.3509343 39.9629825)",
4017581631,8973662952,0,399018089,service,False,True,14.723,"LINESTRING (116.3517072 39.9630092, 116.3518799 39.9630124)",
4017581631,8973662957,0,969718469,service,False,False,50.916,"LINESTRING (116.3517072 39.9630092, 116.3516897 39.9634669)",
4017581632,4017581631,0,399018089,service,False,True,65.938,"LINESTRING (116.3509343 39.9629825, 116.3517072 39.9630092)",
4017581632,4017931897,0,399048645,service,False,False,19.465,"LINESTRING (116.3509343 39.9629825, 116.3509397 39.9628075)",
4017581632,4017578099,0,"[399048643, 399048645, 399048638]",service,False,"[False, True]",192.811,"LINESTRING (116.3509343 39.9629825, 116.3509046 39.9635495, 116.3499422 39.9635253, 116.3499693 39.9630973)",
4017824612,4017824614,0,399047056,service,False,True,55.81,"LINESTRING (116.3494217 39.9573177, 116.3494077 39.9578195)",
4017824612,4017824613,0,399047057,service,False,False,71.054,"LINESTRING (116.3494217 39.9573177, 116.3502549 39.9573383)",
4017824612,2857344066,0,399047056,service,False,False,236.769,"LINESTRING (116.3494217 39.9573177, 116.3494317 39.9570299, 116.3518339 39.9570142)",
4017824613,4017824615,0,344376660,service,False,True,55.374,"LINESTRING (116.3502549 39.9573383, 116.3502368 39.9578361)",
4017824613,4017824612,0,399047057,service,False,True,71.054,"LINESTRING (116.3502549 39.9573383, 116.3494217 39.9573177)",
4017824613,1226520217,0,344376660,service,False,False,101.897,"LINESTRING (116.3502549 39.9573383, 116.350262 39.9571419, 116.3511114 39.9571419, 116.3512011 39.9571448)",
4017824614,4017824612,0,399047056,service,False,False,55.81,"LINESTRING (116.3494077 39.9578195, 116.3494217 39.9573177)",
4017824614,4017824616,0,399047056,service,False,True,34.289,"LINESTRING (116.3494077 39.9578195, 116.3493992 39.9581278)",
4017824614,4017824615,0,399047058,service,False,False,70.691,"LINESTRING (116.3494077 39.9578195, 116.3502368 39.9578361)",
4017824615,4017824613,0,344376660,service,False,False,55.374,"LINESTRING (116.3502368 39.9578361, 116.3502549 39.9573383)",
4017824615,4017824617,0,344376660,service,False,True,34.317,"LINESTRING (116.3502368 39.9578361, 116.3502255 39.9581446)",
4017824615,4017824614,0,399047058,service,False,True,70.691,"LINESTRING (116.3502368 39.9578361, 116.3494077 39.9578195)",
4017824616,4017824614,0,399047056,service,False,False,34.289,"LINESTRING (116.3493992 39.9581278, 116.3494077 39.9578195)",
4017824616,4017824617,0,399047059,service,False,False,70.452,"LINESTRING (116.3493992 39.9581278, 116.3502255 39.9581446)",
4017824616,3511265495,0,"[399047056, 399054971]",service,False,"[False, True]",98.19900000000001,"LINESTRING (116.3493992 39.9581278, 116.3493835 39.9583773, 116.3502096 39.9583896)",
4017824617,4017824615,0,344376660,service,False,False,34.317,"LINESTRING (116.3502255 39.9581446, 116.3502368 39.9578361)",
4017824617,3511265495,0,344376660,service,False,True,27.276,"LINESTRING (116.3502255 39.9581446, 116.3502096 39.9583896)",
4017824617,4017824616,0,399047059,service,False,True,70.452,"LINESTRING (116.3502255 39.9581446, 116.3493992 39.9581278)",
4017824618,8973691525,0,399047060,service,False,False,42.007,"LINESTRING (116.3511876 39.9575234, 116.3516803 39.9575326)",
4017824618,1226520217,0,399053824,service,False,False,42.114,"LINESTRING (116.3511876 39.9575234, 116.3512011 39.9571448)",
4017824618,4017893148,0,399053824,service,False,True,55.662,"LINESTRING (116.3511876 39.9575234, 116.3511657 39.9580237)",
4017824619,8973691526,0,399047060,service,False,True,26.79,"LINESTRING (116.3525109 39.957543, 116.3521966 39.9575449)",
4017824619,4017824620,0,399047061,service,False,False,94.884,"LINESTRING (116.3525109 39.957543, 116.3536239 39.9575604)",
4017824619,4017911125,0,399055359,service,False,False,44.681,"LINESTRING (116.3525109 39.957543, 116.352535 39.9571416)",
4017824619,4017924034,0,399055359,service,False,True,37.212,"LINESTRING (116.3525109 39.957543, 116.3524975 39.9578775)",
4017824620,4017824619,0,399047061,service,False,True,94.884,"LINESTRING (116.3536239 39.9575604, 116.3525109 39.957543)",
4017824621,4017911121,0,399047063,service,False,True,113.846,"LINESTRING (116.3547505 39.9583827, 116.3534148 39.9583865)",
4017824624,2463866299,0,399047066,service,False,True,51.246,"LINESTRING (116.3493792 39.959312, 116.3493692 39.9597728)",
