element_type,osmid,nodes,building,source,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,leisure,name,amenity,drink:tea,addr:district,addr:province,layer
way,549381311,"[5306827238, 5306827239, 5306827240, 5306827241, 5306827242, 5306827254, 5306827253, 5306827252, 5306827251, 5306827243, 5306827244, 5306827245, 5306827246, 5306827247, 5306827248, 5306827249, 5306827250, 5306827238]",yes,,"POLYGON ((120.0356811 30.2313173, 120.0362959 30.2313173, 120.0362959 30.231355, 120.0363688 30.231355, 120.0363746 30.2317705, 120.036202 30.2317713, 120.0362024 30.2319265, 120.0359594 30.2319249, 120.0359619 30.2317729, 120.0353605 30.2317721, 120.0353518 30.231569, 120.0354567 30.231569, 120.0354567 30.2314255, 120.0355237 30.2313651, 120.035617 30.2313626, 120.035617 30.2312845, 120.0356782 30.2312845, 120.0356811 30.2313173))",,,,,,家和堂,restaurant,,,,
way,549381312,"[5306827258, 5306827259, 5306827260, 5306827261, 5306827258]",apartments,,"POLYGON ((120.0372263 30.2332493, 120.0372278 30.2330552, 120.037836 30.2330589, 120.0378345 30.2332529, 120.0372263 30.2332493))",,,,,,东1,,,,,
way,549381313,"[5306827265, 5306827266, 5306827267, 5306827268, 5306827265]",apartments,,"POLYGON ((120.0372245 30.2328042, 120.0372241 30.2326139, 120.0378189 30.2326128, 120.0378193 30.2328031, 120.0372245 30.2328042))",,,,,,东2,,,,,
way,549381314,"[5306827269, 5306827270, 5306827271, 5306827272, 5306827269]",apartments,,"POLYGON ((120.0372286 30.2323644, 120.0372293 30.2321615, 120.0378088 30.2321629, 120.0378081 30.2323659, 120.0372286 30.2323644))",,,,,,东3,,,,,
way,549381315,"[5306827273, 5306827274, 5306827275, 5306827276, 5306827273]",apartments,,"POLYGON ((120.0367172 30.2324109, 120.0367146 30.2322088, 120.0370976 30.2322052, 120.0371002 30.2324072, 120.0367172 30.2324109))",,,,,,东4,,,,,
way,549381316,"[5306827277, 5306827278, 5306827279, 5306827280, 5306827281, 5306827282, 5306827277]",dormitory,,"POLYGON ((120.0370795 30.2316459, 120.0372056 30.2314965, 120.0375683 30.2317253, 120.0377463 30.2317237, 120.0377487 30.2319134, 120.0375073 30.2319156, 120.0370795 30.2316459))",,,,,,东5,,,,,
way,549381317,"[5306827284, 5306827285, 5306827286, 5306827287, 5306827288, 5306827289, 5306827290, 5306827291, 5306827284]",apartments,,"POLYGON ((120.0377586 30.2337082, 120.037758 30.2335234, 120.037939 30.2335229, 120.0379391 30.2335572, 120.0385124 30.2335558, 120.038513 30.2337515, 120.0379165 30.233753, 120.0379163 30.2337078, 120.0377586 30.2337082))",,,,,,东6,,,,,
way,549381318,"[5306827293, 5306827294, 5306827295, 5306827296, 5306827293]",apartments,,"POLYGON ((120.0379788 30.2332311, 120.0379788 30.2330495, 120.0385203 30.2330495, 120.0385203 30.2332311, 120.0379788 30.2332311))",,,,,,东7,,,,,
way,549381319,"[5306827297, 5306827298, 5306827299, 5306827300, 5306827297]",apartments,,"POLYGON ((120.0379853 30.2327902, 120.0379849 30.2326122, 120.0385208 30.2326114, 120.0385212 30.2327894, 120.0379853 30.2327902))",,,,,,东8,,,,,
way,549381320,"[5306827301, 5306827302, 5306827303, 5306827304, 5306827301]",apartments,,"POLYGON ((120.0379776 30.2323494, 120.0379772 30.2321606, 120.0384728 30.2321598, 120.0384732 30.2323486, 120.0379776 30.2323494))",,,,,,东9,,,,,
