element_type,osmid,geometry,nodes,building,building:colour,building:levels,building:material,name,name:zh,name:zh-Hans,name:zh-Hant,roof:colour,roof:material,addr:city,addr:district,addr:postcode,addr:province,addr:street,roof:shape,roof:height,amenity,tourism,leisure,addr:housenumber,name:en,sport,height,roof:orientation,office,access,bicycle_parking,layer,ways,type
way,515161759,"POLYGON ((116.302785 39.9707193, 116.3025597 39.970705, 116.3025367 39.9709169, 116.302502 39.9712374, 116.3024609 39.9712348, 116.3024687 39.9711632, 116.3022709 39.9711506, 116.3022625 39.971228, 116.3023171 39.9712315, 116.302298 39.9714076, 116.3026123 39.9714276, 116.3026218 39.9713402, 116.302717 39.9713462, 116.302785 39.9707193))","[5031781244, 5031781241, 5031781232, 5031781238, 5031781236, 5031781235, 5031781237, 5031781233, 5031781234, 5031781242, 5031781239, 5031781240, 5031781243, 5031781244]",university,#b60b2d,8,brick,明德新闻楼,明德新闻楼,明德新闻楼,明德新聞樓,gray,concrete,,,,,,,,,,,,,,,,,,,,,
way,515161760,"POLYGON ((116.3025946 39.9705379, 116.3028164 39.970552, 116.3028905 39.9699179, 116.3028091 39.969856, 116.302734 39.9698457, 116.3025103 39.9698303, 116.3024972 39.969945, 116.3025366 39.9699476, 116.3025349 39.9699624, 116.3025334 39.9699752, 116.3026578 39.9699836, 116.3026323 39.9702073, 116.3025946 39.9705379))","[5031781259, 5031781256, 5031781257, 5031781250, 5031781251, 5031781258, 5031781254, 5031781253, 5031781247, 5031781252, 5031781255, 5031781249, 5031781259]",university,#b60b2d,10,brick,明德法学楼,明德法学楼,明德法学楼,明德法學樓,gray,concrete,,,,,,,,,,,,,,,,,,,,,
way,515161761,"POLYGON ((116.3012454 39.9704519, 116.3012805 39.970144, 116.3013017 39.969959, 116.3015627 39.9699765, 116.3015694 39.9699178, 116.30151 39.9699138, 116.3015043 39.9698499, 116.3014707 39.9697841, 116.3013688 39.9697594, 116.3013206 39.9697573, 116.3013225 39.9697332, 116.301199 39.9697277, 116.3011972 39.9697518, 116.3011096 39.969748, 116.3010309 39.9704383, 116.3012454 39.9704519))","[5031781273, 5031781248, 5031781269, 5031781268, 5031781267, 5031781266, 5031781272, 5031781264, 5031781265, 5031781262, 5031781261, 5031781260, 5031781263, 5031781271, 5031781270, 5031781273]",university,#b60b2d,10,brick,明德商学楼,明德商学楼,明德商学楼,明德商學樓,gray,concrete,,,,,,,,,,,,,,,,,,,,,
way,515292438,"POLYGON ((116.3034099 39.9699917, 116.3041368 39.9700431, 116.3041509 39.9699263, 116.303424 39.9698749, 116.3034099 39.9699917))","[5032671871, 5032671870, 5032671869, 5032671868, 5032671871]",yes,#c6bbbb,6,,宜园1楼,宜园1楼,宜园1楼,宜園1樓,,,,,,,,,,,,,,,,,,,,,,,
way,515292439,"POLYGON ((116.3039973 39.97163, 116.3044131 39.9716505, 116.3044266 39.9714895, 116.3040109 39.971469, 116.3039973 39.97163))","[5032671875, 5032671874, 5032671873, 5032671872, 5032671875]",apartments,#ef8d72,8,plaster,知行4楼,知行4楼,知行4楼,知行4樓,,,,,,,,,,,,,,,,,,,,,,,
way,515292440,"POLYGON ((116.3042092 39.9708879, 116.3051136 39.9709514, 116.3051265 39.9708427, 116.3042222 39.9707792, 116.3042092 39.9708879))","[5032671880, 5032671879, 5032671878, 5032671877, 5032671880]",yes,#c8aa8c,6,brick,静园22楼,静园22楼,静园22楼,靜園22樓,gray,concrete,,,,,,gabled,3.00,,,,,,,,,,,,,,
way,515292441,"POLYGON ((116.307157 39.9702198, 116.3078949 39.9702716, 116.307908 39.9701623, 116.30717 39.9701105, 116.307157 39.9702198))","[5032671884, 5032671883, 5032671882, 5032671881, 5032671884]",residential,#c8aa8c,6,brick,静园1楼,静园1楼,静园1楼,靜園1樓,gray,concrete,,,,,,,,,,,,,,,,,,,,,
way,515292442,"POLYGON ((116.3071221 39.9705035, 116.3078837 39.9705569, 116.3078972 39.9704439, 116.3071356 39.9703904, 116.3071221 39.9705035))","[5032671888, 5032671887, 5032671886, 5032671885, 5032671888]",residential,#c8aa8c,6,brick,静园2楼,静园2楼,静园2楼,靜園2樓,gray,concrete,,,,,,,,,,,,,,,,,,,,,
way,515292443,"POLYGON ((116.3070899 39.9706865, 116.3078443 39.9707394, 116.307857 39.970633, 116.3071026 39.9705801, 116.3070899 39.9706865))","[5032671892, 5032671891, 5032671890, 5032671889, 5032671892]",yes,#c8aa8c,1,brick,,,,,blue,metal,,,,,,,,bicycle_parking,,,,,,,,,private,building,,,
way,515292444,"POLYGON ((116.3070738 39.9708509, 116.3078398 39.9709047, 116.3078517 39.9708057, 116.3070856 39.9707519, 116.3070738 39.9708509))","[5032671896, 5032671895, 5032671894, 5032671893, 5032671896]",residential,#c8aa8c,6,brick,静园3楼,静园3楼,静园3楼,靜園3樓,gray,concrete,,,,,,,,,,,,,,,,,,,,,
way,515292445,"POLYGON ((116.3070524 39.9711634, 116.3078121 39.9712167, 116.3078248 39.9711099, 116.3070651 39.9710566, 116.3070524 39.9711634))","[5032671900, 5032671899, 5032671898, 5032671897, 5032671900]",residential,#c8aa8c,6,brick,静园4楼,静园4楼,静园4楼,靜園4樓,gray,concrete,,,,,,,,,,,,,,,,,,,,,
way,515292446,"POLYGON ((116.3070202 39.9714676, 116.3077407 39.9715181, 116.3077551 39.9713977, 116.3070346 39.9713471, 116.3070202 39.9714676))","[5032671904, 5032671903, 5032671902, 5032671901, 5032671904]",residential,#c8aa8c,6,brick,静园5楼,静园5楼,静园5楼,靜園5樓,gray,concrete,,,,,,,,,,,,,,,,,,,,,
way,515292447,"POLYGON ((116.3062638 39.9701685, 116.3070013 39.9702202, 116.3070148 39.9701068, 116.3062773 39.970055, 116.3062638 39.9701685))","[5032671908, 5032671907, 5032671906, 5032671905, 5032671908]",residential,#c8aa8c,6,brick,静园8楼,静园8楼,静园8楼,靜園8樓,gray,concrete,,,,,,,,,,,,,,,,,,,,,
