u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,maxspeed
5169253693,5169253703,1,532742890,path,False,True,43.666999999999994,"LINESTRING (116.3115274 39.9682446, 116.3115316 39.9682866, 116.3115491 39.9683184, 116.3115743 39.9683432, 116.3116069 39.9683624, 116.3116446 39.9683749, 116.3116852 39.9683797, 116.311726 39.9683767, 116.3117646 39.968366, 116.3117985 39.9683482, 116.311826 39.9683242, 116.3118446 39.9682956, 116.3118532 39.9682644)",,,
5169253703,5169253715,0,532742888,path,False,True,64.255,"LINESTRING (116.3118532 39.9682644, 116.3126045 39.9683132)",,,
5169253703,5169253693,0,532742890,path,False,False,43.667,"LINESTRING (116.3118532 39.9682644, 116.3118446 39.9682956, 116.311826 39.9683242, 116.3117985 39.9683482, 116.3117646 39.968366, 116.311726 39.9683767, 116.3116852 39.9683797, 116.3116446 39.9683749, 116.3116069 39.9683624, 116.3115743 39.9683432, 116.3115491 39.9683184, 116.3115316 39.9682866, 116.3115274 39.9682446)",,,
5169253703,5169253693,1,532742890,path,False,True,43.785,"LINESTRING (116.3118532 39.9682644, 116.3118513 39.9682325, 116.3118389 39.968202, 116.3118169 39.9681749, 116.3117867 39.9681529, 116.3117503 39.9681375, 116.3117065 39.9681293, 116.3116614 39.9681306, 116.3116185 39.9681412, 116.311581 39.9681604, 116.3115518 39.9681867, 116.311533 39.9682181, 116.3115274 39.9682446)",,,
5169253715,5169253703,0,532742888,path,False,False,64.255,"LINESTRING (116.3126045 39.9683132, 116.3118532 39.9682644)",,,
5169253715,5169254621,0,532742891,path,False,False,21.498000000000005,"LINESTRING (116.3126045 39.9683132, 116.3126153 39.9682888, 116.3126379 39.9682697, 116.3126687 39.9682592, 116.3127023 39.9682589, 116.3127333 39.9682691, 116.3127532 39.9682841, 116.3127653 39.9683034, 116.3127684 39.9683248)",,,
5169253715,5169254621,1,532742891,path,False,True,22.3,"LINESTRING (116.3126045 39.9683132, 116.3126073 39.9683389, 116.3126233 39.9683616, 116.3126507 39.9683778, 116.3126844 39.9683839, 116.3127184 39.9683789, 116.3127467 39.9683636, 116.3127619 39.9683456, 116.3127684 39.9683248)",,,
5169254621,1779334550,0,532742889,path,False,True,24.851,"LINESTRING (116.3127684 39.9683248, 116.3130591 39.9683425)",,,
5169254621,5169253715,0,532742891,path,False,False,22.3,"LINESTRING (116.3127684 39.9683248, 116.3127619 39.9683456, 116.3127467 39.9683636, 116.3127184 39.9683789, 116.3126844 39.9683839, 116.3126507 39.9683778, 116.3126233 39.9683616, 116.3126073 39.9683389, 116.3126045 39.9683132)",,,
5169254621,5169253715,1,532742891,path,False,True,21.498000000000005,"LINESTRING (116.3127684 39.9683248, 116.3127653 39.9683034, 116.3127532 39.9682841, 116.3127333 39.9682691, 116.3127023 39.9682589, 116.3126687 39.9682592, 116.3126379 39.9682697, 116.3126153 39.9682888, 116.3126045 39.9683132)",,,
5170874275,3250028221,0,182857673,residential,False,False,79.614,"LINESTRING (116.3012706 39.9694226, 116.3014009 39.9694311, 116.3022015 39.969483)",汇贤路,2,15
